# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79941e+02,6.34500e-02,1.26900e+01,1.79941e+02,6.34500e-02,1.26900e+01,7.85897e-08,1.79941e+02,6.34500e-02,1.26900e+01,7.85897e-08,3.94480e-02,3.94480e-02,0.00000e+00,-1.73673e-02,-1.73673e-02,inf,3.48839e+00,3.48839e+00,-inf,1.49694e+01,1.08000e+05,1.08000e+05
1.00000e-02,1.79883e+02,1.26900e-01,1.26900e+01,1.79883e+02,1.26900e-01,1.26900e+01,7.89483e-08,1.79883e+02,1.26900e-01,1.26900e+01,7.89483e-08,3.94480e-02,3.94480e-02,0.00000e+00,-2.23101e-02,-2.23101e-02,inf,3.49037e+00,3.49037e+00,-inf,1.49714e+01,1.08000e+05,1.08000e+05
1.50000e-02,1.79824e+02,1.90350e-01,1.26900e+01,1.79824e+02,1.90350e-01,1.26900e+01,7.93070e-08,1.79824e+02,1.90350e-01,1.26900e+01,7.93070e-08,3.94480e-02,3.94480e-02,0.00000e+00,-2.72324e-02,-2.72324e-02,inf,3.49234e+00,3.49234e+00,-inf,1.49734e+01,1.08000e+05,1.08000e+05
2.00000e-02,1.79766e+02,2.53800e-01,1.26900e+01,1.79766e+02,2.53800e-01,1.26900e+01,7.96659e-08,1.79766e+02,2.53800e-01,1.26900e+01,7.96659e-08,3.94480e-02,3.94480e-02,0.00000e+00,-3.21342e-02,-3.21342e-02,inf,3.49430e+00,3.49430e+00,-inf,1.49753e+01,1.08000e+05,1.08000e+05
2.50000e-02,1.79707e+02,3.17250e-01,1.26900e+01,1.79707e+02,3.17250e-01,1.26900e+01,8.00249e-08,1.79707e+02,3.17250e-01,1.26900e+01,8.00249e-08,3.94480e-02,3.94480e-02,0.00000e+00,-3.70157e-02,-3.70157e-02,inf,3.49625e+00,3.49625e+00,-inf,1.49773e+01,1.08000e+05,1.08000e+05
3.00000e-02,1.79649e+02,3.80700e-01,1.26900e+01,1.79649e+02,3.80700e-01,1.26900e+01,8.03840e-08,1.79649e+02,3.80700e-01,1.26900e+01,8.03840e-08,3.94480e-02,3.94480e-02,0.00000e+00,-4.18770e-02,-4.18770e-02,inf,3.49819e+00,3.49819e+00,-inf,1.49792e+01,1.08000e+05,1.08000e+05
3.50000e-02,1.79590e+02,4.44150e-01,1.26900e+01,1.79590e+02,4.44150e-01,1.26900e+01,8.07432e-08,1.79590e+02,4.44150e-01,1.26900e+01,8.07432e-08,3.94480e-02,3.94480e-02,0.00000e+00,-4.67181e-02,-4.67181e-02,inf,3.50013e+00,3.50013e+00,-inf,1.49811e+01,1.08000e+05,1.08000e+05
4.00000e-02,1.79532e+02,5.07600e-01,1.26900e+01,1.79532e+02,5.07600e-01,1.26900e+01,8.11025e-08,1.79532e+02,5.07600e-01,1.26900e+01,8.11025e-08,3.94480e-02,3.94480e-02,0.00000e+00,-5.15392e-02,-5.15392e-02,inf,3.50206e+00,3.50206e+00,-inf,1.49831e+01,1.08000e+05,1.08000e+05
4.50000e-02,1.79473e+02,5.71050e-01,1.26900e+01,1.79473e+02,5.71050e-01,1.26900e+01,8.14619e-08,1.79473e+02,5.71050e-01,1.26900e+01,8.14619e-08,3.94480e-02,3.94480e-02,0.00000e+00,-5.63403e-02,-5.63403e-02,inf,3.50398e+00,3.50398e+00,-inf,1.49850e+01,1.08000e+05,1.08000e+05
5.00000e-02,1.79415e+02,6.34500e-01,1.26900e+01,1.79415e+02,6.34500e-01,1.26900e+01,8.18215e-08,1.79415e+02,6.34500e-01,1.26900e+01,8.18215e-08,3.94480e-02,3.94480e-02,0.00000e+00,-6.11216e-02,-6.11216e-02,inf,3.50589e+00,3.50589e+00,-inf,1.49869e+01,1.08000e+05,1.08000e+05
5.50000e-02,1.79356e+02,6.97950e-01,1.26900e+01,1.79356e+02,6.97950e-01,1.26900e+01,8.21811e-08,1.79356e+02,6.97950e-01,1.26900e+01,8.21811e-08,3.94480e-02,3.94480e-02,0.00000e+00,-6.58831e-02,-6.58831e-02,inf,3.50780e+00,3.50780e+00,-inf,1.49888e+01,1.08000e+05,1.08000e+05
6.00000e-02,1.79298e+02,7.61400e-01,1.26900e+01,1.79298e+02,7.61400e-01,1.26900e+01,8.25408e-08,1.79298e+02,7.61400e-01,1.26900e+01,8.25408e-08,3.94480e-02,3.94480e-02,0.00000e+00,-7.06249e-02,-7.06249e-02,inf,3.50969e+00,3.50969e+00,-inf,1.49907e+01,1.08000e+05,1.08000e+05
