Bolide Detection Notification: 2014-049

At 12:50:44 UT on 18 Feb 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 32.8 °S, Lon 61.5 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.56e+10 watts/steradian, and total radiated flash
energy 1.37e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.800,  9.31e+08),
           (-0.797, -5.84e+08),
           (-0.793, -6.98e+08),
           (-0.786,  1.08e+09),
           (-0.783, -8.73e+07),
           (-0.780, -3.74e+08),
           (-0.776, -1.32e+09),
           (-0.773,  6.61e+08),
           (-0.770, -1.62e+09),
           (-0.766,  2.69e+08),
           (-0.763, -1.57e+09),
           (-0.759,  5.09e+08),
           (-0.756, -2.14e+09),
           (-0.753, -2.57e+09),
           (-0.749,  4.90e+08),
           (-0.746, -2.11e+09),
           (-0.742,  6.69e+06),
           (-0.739, -7.00e+08),
           (-0.736, -4.14e+08),
           (-0.732, -4.02e+08),
           (-0.729,  5.83e+08),
           (-0.726,  1.07e+09),
           (-0.722, -2.15e+09),
           (-0.715, -1.02e+09),
           (-0.712, -2.27e+08),
           (-0.709, -3.59e+08),
           (-0.705, -1.72e+09),
           (-0.702, -1.10e+09),
           (-0.699, -2.09e+09),
           (-0.695, -7.27e+08),
           (-0.692, -2.43e+09),
           (-0.689, -1.16e+09),
           (-0.685, -2.71e+09),
           (-0.682, -9.33e+08),
           (-0.678, -6.15e+08),
           (-0.675, -1.36e+09),
           (-0.672, -6.99e+08),
           (-0.668, -4.12e+08),
           (-0.665, -2.25e+09),
           (-0.661, -1.36e+09),
           (-0.658, -2.72e+08),
           (-0.655, -5.42e+08),
           (-0.651,  1.39e+07),
           (-0.648,  2.20e+08),
           (-0.645, -2.17e+09),
           (-0.638,  2.75e+09),
           (-0.634,  2.54e+09),
           (-0.628,  2.85e+08),
           (-0.624,  1.58e+09),
           (-0.621,  1.69e+08),
           (-0.618, -4.95e+08),
           (-0.614, -7.81e+08),
           (-0.611, -9.37e+08),
           (-0.608, -6.65e+08),
           (-0.604, -1.73e+09),
           (-0.601, -3.92e+07),
           (-0.597, -1.42e+09),
           (-0.594, -1.26e+09),
           (-0.591, -2.24e+09),
           (-0.587, -9.61e+08),
           (-0.584, -1.53e+09),
           (-0.580, -1.51e+09),
           (-0.577, -7.82e+08),
           (-0.574, -6.73e+08),
           (-0.570, -1.18e+09),
           (-0.567,  5.48e+07),
           (-0.564, -2.01e+09),
           (-0.560,  3.46e+08),
           (-0.557, -1.08e+09),
           (-0.553, -1.91e+09),
           (-0.550,  7.86e+07),
           (-0.547, -9.67e+08),
           (-0.543, -1.67e+08),
           (-0.540, -9.47e+08),
           (-0.537,  1.11e+09),
           (-0.533,  4.00e+07),
           (-0.530, -6.19e+08),
           (-0.527, -9.10e+08),
           (-0.523,  1.03e+09),
           (-0.520, -1.29e+09),
           (-0.516,  1.23e+09),
           (-0.510, -7.04e+08),
           (-0.506, -1.40e+09),
           (-0.503, -7.64e+08),
           (-0.500, -2.46e+09),
           (-0.496, -1.45e+09),
           (-0.493, -1.46e+09),
           (-0.489,  5.26e+08),
           (-0.486, -3.84e+08),
           (-0.483,  3.27e+08),
           (-0.479, -7.92e+07),
           (-0.476, -4.00e+07),
           (-0.472,  6.25e+08),
           (-0.469, -1.93e+09),
           (-0.466, -1.01e+09),
           (-0.462, -1.26e+09),
           (-0.459, -5.31e+08),
           (-0.456, -1.92e+09),
           (-0.452, -1.55e+09),
           (-0.446,  1.70e+09),
           (-0.442,  2.95e+09),
           (-0.439,  3.26e+09),
           (-0.435,  3.73e+09),
           (-0.432,  6.12e+08),
           (-0.429, -8.49e+08),
           (-0.425,  5.71e+08),
           (-0.422, -4.25e+08),
           (-0.419,  1.14e+09),
           (-0.415,  4.61e+08),
           (-0.412, -4.43e+08),
           (-0.408,  1.86e+08),
           (-0.405, -1.16e+09),
           (-0.402,  1.05e+09),
           (-0.398,  1.24e+09),
           (-0.395, -8.87e+07),
           (-0.391,  1.42e+08),
           (-0.388, -1.49e+09),
           (-0.385, -2.15e+09),
           (-0.381, -2.32e+09),
           (-0.375, -1.41e+09),
           (-0.371, -1.88e+09),
           (-0.368, -1.14e+09),
           (-0.364,  5.39e+08),
           (-0.361,  2.23e+06),
           (-0.358, -6.02e+08),
           (-0.354, -2.32e+09),
           (-0.351, -2.37e+09),
           (-0.348, -9.16e+08),
           (-0.344,  2.33e+08),
           (-0.341,  1.87e+08),
           (-0.338, -3.16e+09),
           (-0.334, -1.30e+09),
           (-0.331, -1.63e+09),
           (-0.327, -2.92e+09),
           (-0.324, -2.12e+09),
           (-0.321, -1.78e+09),
           (-0.317, -3.21e+09),
           (-0.314, -3.18e+09),
           (-0.310, -4.10e+09),
           (-0.307, -5.94e+08),
           (-0.304, -2.01e+08),
           (-0.300, -1.29e+09),
           (-0.297, -2.23e+09),
           (-0.294,  6.78e+08),
           (-0.290, -1.07e+09),
           (-0.287, -1.19e+09),
           (-0.283, -7.15e+08),
           (-0.280, -1.02e+09),
           (-0.277,  4.81e+07),
           (-0.273, -3.05e+09),
           (-0.270, -2.66e+09),
           (-0.267, -1.89e+09),
           (-0.263, -2.52e+09),
           (-0.260,  1.80e+07),
           (-0.257, -7.97e+08),
           (-0.253, -1.06e+09),
           (-0.250, -5.69e+08),
           (-0.246, -1.68e+09),
           (-0.243, -8.02e+08),
           (-0.240, -1.50e+09),
           (-0.236, -1.47e+09),
           (-0.233,  6.32e+08),
           (-0.229, -8.16e+07),
           (-0.226, -4.75e+08),
           (-0.223, -5.54e+07),
           (-0.219, -1.05e+09),
           (-0.216, -3.43e+09),
           (-0.213, -1.72e+09),
           (-0.209, -2.48e+09),
           (-0.206, -6.29e+08),
           (-0.202, -1.12e+09),
           (-0.199, -1.03e+09),
           (-0.196, -2.92e+09),
           (-0.192,  7.64e+08),
           (-0.189,  1.41e+09),
           (-0.186, -1.79e+09),
           (-0.182, -1.30e+09),
           (-0.179, -6.61e+08),
           (-0.176, -1.60e+09),
           (-0.172, -1.12e+09),
           (-0.169, -3.39e+07),
           (-0.165,  7.87e+08),
           (-0.159, -6.72e+08),
           (-0.155, -2.18e+09),
           (-0.152, -1.47e+09),
           (-0.149, -2.79e+09),
           (-0.145, -1.82e+09),
           (-0.142,  3.91e+08),
           (-0.138,  1.01e+09),
           (-0.135,  6.34e+08),
           (-0.132,  3.39e+08),
           (-0.128,  5.30e+08),
           (-0.125, -6.78e+08),
           (-0.121,  8.67e+08),
           (-0.118,  6.60e+08),
           (-0.115, -3.48e+09),
           (-0.111, -5.60e+08),
           (-0.108, -1.66e+08),
           (-0.105,  8.50e+07),
           (-0.101, -6.08e+06),
           (-0.098, -1.62e+09),
           (-0.095, -1.23e+09),
           (-0.091,  6.96e+08),
           (-0.088, -2.06e+09),
           (-0.084, -9.60e+08),
           (-0.081, -1.56e+08),
           (-0.078, -1.68e+09),
           (-0.074, -2.37e+09),
           (-0.071, -9.81e+08),
           (-0.068, -3.08e+09),
           (-0.064, -8.06e+08),
           (-0.061, -1.85e+09),
           (-0.057, -2.13e+09),
           (-0.054,  7.91e+07),
           (-0.051, -1.85e+09),
           (-0.047, -7.17e+08),
           (-0.044, -1.24e+09),
           (-0.040, -6.58e+08),
           (-0.037,  2.23e+08),
           (-0.034, -1.63e+09),
           (-0.030, -1.71e+08),
           (-0.027, -1.50e+09),
           (-0.024, -1.24e+08),
           (-0.020,  4.97e+09),
           (-0.017,  1.63e+09),
           (-0.013,  4.93e+08),
           (-0.010,  2.05e+09),
           (-0.007,  1.93e+09),
           (-0.003,  2.56e+09),
           (-0.000,  5.24e+09),
           ( 0.003,  1.15e+10),
           ( 0.010,  2.56e+10),
           ( 0.013,  2.53e+10),
           ( 0.017,  2.05e+10),
           ( 0.020,  1.69e+10),
           ( 0.024,  1.11e+10),
           ( 0.027,  1.24e+10),
           ( 0.030,  9.81e+09),
           ( 0.034,  9.61e+09),
           ( 0.037,  9.34e+09),
           ( 0.041,  6.92e+09),
           ( 0.044,  6.57e+09),
           ( 0.047,  5.48e+09),
           ( 0.051,  5.72e+09),
           ( 0.054,  5.18e+09),
           ( 0.057,  2.23e+09),
