Bolide Detection Notification: 2015-063

At 04:30:05 UT on 04 Mar 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 15.8 °S, Lon 88.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.56e+10 watts/steradian, and total radiated flash
energy 5.32e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -1.33e+09),
           (-0.496, -1.18e+09),
           (-0.493,  6.49e+08),
           (-0.489,  2.01e+09),
           (-0.486, -1.98e+09),
           (-0.483, -1.07e+09),
           (-0.479, -3.35e+08),
           (-0.476,  2.07e+07),
           (-0.473, -7.94e+08),
           (-0.469, -1.03e+08),
           (-0.466,  2.16e+09),
           (-0.462, -8.42e+08),
           (-0.459,  5.08e+08),
           (-0.456,  9.59e+08),
           (-0.452,  5.65e+08),
           (-0.449, -1.29e+08),
           (-0.442,  6.99e+08),
           (-0.439, -1.31e+09),
           (-0.435,  3.68e+08),
           (-0.432,  5.63e+08),
           (-0.429,  1.19e+09),
           (-0.425,  7.68e+08),
           (-0.422, -4.77e+07),
           (-0.419, -1.73e+09),
           (-0.415, -1.36e+09),
           (-0.412, -7.02e+07),
           (-0.408, -4.83e+08),
           (-0.405, -6.78e+08),
           (-0.398,  1.11e+09),
           (-0.395, -6.46e+08),
           (-0.392, -5.56e+08),
           (-0.388, -1.08e+09),
           (-0.385,  8.80e+08),
           (-0.381, -7.25e+07),
           (-0.378,  1.91e+08),
           (-0.375,  1.89e+09),
           (-0.371, -6.53e+08),
           (-0.368,  6.67e+08),
           (-0.365,  1.34e+09),
           (-0.361,  1.07e+09),
           (-0.358, -2.58e+07),
           (-0.354,  9.29e+08),
           (-0.351,  7.62e+08),
           (-0.348,  2.76e+08),
           (-0.344,  7.35e+08),
           (-0.341,  8.75e+08),
           (-0.338,  2.35e+07),
           (-0.334,  8.03e+08),
           (-0.331, -1.36e+09),
           (-0.324,  5.24e+08),
           (-0.321,  1.94e+08),
           (-0.317,  9.99e+08),
           (-0.314, -5.39e+08),
           (-0.311, -1.10e+09),
           (-0.307,  3.59e+08),
           (-0.304,  3.59e+08),
           (-0.300,  9.70e+08),
           (-0.297, -9.20e+08),
           (-0.294,  4.24e+08),
           (-0.290, -1.04e+09),
           (-0.287, -6.04e+08),
           (-0.284, -1.25e+09),
           (-0.280, -1.32e+08),
           (-0.277,  7.19e+08),
           (-0.273, -4.62e+08),
           (-0.270,  5.56e+07),
           (-0.263, -7.41e+07),
           (-0.260, -9.36e+08),
           (-0.257,  6.29e+08),
           (-0.253,  8.66e+08),
           (-0.250, -4.62e+07),
           (-0.246, -1.70e+09),
           (-0.243, -2.17e+08),
