Bolide Detection Notification: 2015-100

At 01:14:27 UT on 10 Apr 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 42.8 °S, Lon 8.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.80e+09 watts/steradian, and total radiated flash
energy 2.09e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.998,  1.40e+08),
           (-1.995, -6.79e+07),
           (-1.991, -8.59e+08),
           (-1.988,  1.45e+08),
           (-1.981,  1.11e+09),
           (-1.978, -3.82e+08),
           (-1.974, -2.32e+08),
           (-1.971, -9.81e+08),
           (-1.968, -8.80e+08),
           (-1.964, -3.64e+07),
           (-1.961, -8.78e+08),
           (-1.957, -7.28e+08),
           (-1.954,  1.65e+08),
           (-1.951,  3.98e+08),
           (-1.947, -1.20e+09),
           (-1.944, -3.69e+08),
           (-1.941, -2.71e+08),
           (-1.937,  3.67e+08),
           (-1.934, -4.94e+08),
           (-1.927,  3.89e+07),
           (-1.924,  4.23e+08),
           (-1.920, -6.52e+08),
           (-1.917,  5.50e+08),
           (-1.914, -3.18e+08),
           (-1.907, -1.01e+09),
           (-1.900, -1.84e+08),
           (-1.897,  1.03e+09),
           (-1.893, -1.52e+08),
           (-1.890, -1.11e+08),
           (-1.887, -2.83e+08),
           (-1.880, -9.63e+08),
           (-1.877, -9.53e+08),
           (-1.873, -9.14e+08),
           (-1.870, -3.97e+08),
           (-1.866, -1.03e+08),
           (-1.863, -2.09e+08),
           (-1.860,  3.07e+08),
           (-1.856,  4.66e+08),
           (-1.853, -7.36e+08),
           (-1.849, -1.83e+08),
           (-1.846, -2.54e+08),
           (-1.843, -4.25e+08),
           (-1.836,  5.20e+08),
           (-1.833, -6.27e+08),
           (-1.829, -7.38e+08),
           (-1.826, -4.59e+07),
           (-1.822,  1.59e+08),
           (-1.819,  8.18e+08),
           (-1.816, -3.12e+08),
           (-1.812,  3.32e+08),
           (-1.809,  1.41e+08),
           (-1.802, -7.07e+08),
           (-1.795, -2.95e+08),
           (-1.792,  1.59e+08),
           (-1.789, -6.01e+08),
           (-1.785, -7.85e+08),
           (-1.782, -1.77e+08),
           (-1.775, -5.27e+08),
           (-1.772,  2.87e+08),
           (-1.768,  1.92e+08),
           (-1.765, -4.34e+08),
           (-1.762, -7.53e+08),
           (-1.758, -7.66e+08),
           (-1.755,  9.20e+08),
           (-1.748, -9.96e+08),
           (-1.745, -3.13e+08),
           (-1.741, -1.74e+08),
           (-1.738,  1.82e+08),
           (-1.735,  1.57e+08),
           (-1.731,  1.10e+08),
           (-1.728,  3.45e+08),
           (-1.725,  8.53e+08),
           (-1.721,  1.11e+09),
           (-1.718,  1.08e+07),
           (-1.714,  4.48e+08),
           (-1.711, -1.60e+08),
           (-1.708,  5.76e+08),
           (-1.704, -2.30e+08),
           (-1.701, -5.38e+08),
           (-1.698, -3.92e+08),
           (-1.694,  9.53e+08),
           (-1.688,  8.08e+08),
           (-1.684, -1.75e+08),
           (-1.681,  5.41e+07),
           (-1.677, -4.36e+08),
           (-1.674,  6.53e+08),
           (-1.671, -2.20e+08),
           (-1.667,  9.23e+07),
           (-1.664,  1.47e+08),
           (-1.660,  1.57e+08),
           (-1.657, -5.56e+08),
           (-1.654,  3.65e+08),
           (-1.650,  3.95e+07),
           (-1.647,  4.80e+08),
           (-1.644,  4.90e+08),
           (-1.640,  1.38e+08),
           (-1.637,  3.49e+08),
           (-1.633,  8.71e+08),
           (-1.630,  9.43e+08),
           (-1.623, -3.45e+08),
           (-1.620, -2.75e+06),
           (-1.617,  8.24e+08),
           (-1.613, -2.82e+08),
           (-1.610, -3.85e+08),
           (-1.607, -3.89e+08),
           (-1.603,  2.59e+08),
           (-1.596, -2.12e+08),
           (-1.593,  6.68e+08),
           (-1.590, -8.21e+07),
           (-1.586, -3.72e+08),
           (-1.583, -7.35e+07),
           (-1.580,  5.89e+08),
           (-1.576, -4.00e+08),
           (-1.573, -7.88e+08),
           (-1.569, -3.75e+08),
           (-1.563,  9.50e+08),
           (-1.559,  8.34e+07),
           (-1.556, -1.35e+08),
           (-1.552,  3.15e+08),
           (-1.549, -1.43e+09),
           (-1.546, -9.17e+08),
           (-1.542,  6.75e+07),
           (-1.536,  8.01e+08),
           (-1.532, -3.81e+08),
           (-1.529, -1.02e+09),
           (-1.525,  5.91e+07),
           (-1.522, -1.28e+09),
           (-1.519, -1.29e+09),
           (-1.515, -4.10e+08),
           (-1.512, -1.03e+09),
           (-1.509, -1.21e+09),
           (-1.502, -2.40e+08),
           (-1.498, -1.10e+09),
           (-1.495, -7.86e+08),
           (-1.492, -1.46e+08),
           (-1.485, -1.39e+09),
           (-1.482, -2.33e+08),
           (-1.478, -9.04e+08),
           (-1.475, -8.02e+08),
           (-1.471,  1.34e+08),
           (-1.468, -1.40e+09),
           (-1.465, -8.88e+07),
           (-1.461, -6.18e+08),
           (-1.455, -2.13e+08),
           (-1.451, -1.63e+09),
           (-1.444, -4.63e+08),
           (-1.441, -1.24e+09),
           (-1.438, -1.28e+09),
           (-1.434, -2.03e+09),
           (-1.431, -6.00e+08),
           (-1.428, -5.42e+08),
           (-1.424, -1.32e+09),
           (-1.421, -1.77e+08),
           (-1.417, -8.97e+08),
           (-1.414, -8.92e+08),
           (-1.411, -1.13e+09),
           (-1.407, -2.73e+08),
           (-1.404, -7.26e+08),
           (-1.401, -1.52e+09),
           (-1.397, -2.01e+08),
           (-1.394, -6.21e+08),
           (-1.391, -5.49e+08),
           (-1.384, -1.01e+09),
           (-1.380, -3.89e+08),
           (-1.377, -4.31e+08),
           (-1.374, -1.25e+09),
           (-1.370, -1.47e+09),
           (-1.367, -6.71e+08),
           (-1.364, -5.28e+08),
           (-1.360, -1.61e+09),
           (-1.357, -2.79e+08),
           (-1.353, -1.03e+09),
           (-1.350, -1.63e+08),
           (-1.347, -4.47e+06),
           (-1.343, -1.18e+09),
           (-1.340, -1.46e+09),
           (-1.336,  1.29e+08),
           (-1.333, -1.40e+08),
           (-1.330, -1.48e+09),
           (-1.326, -1.51e+09),
           (-1.323, -9.25e+08),
           (-1.320, -7.44e+08),
           (-1.316, -1.14e+09),
           (-1.313, -4.51e+08),
           (-1.309, -6.08e+08),
           (-1.306, -1.67e+09),
           (-1.303, -9.35e+08),
           (-1.299, -9.64e+08),
           (-1.296, -1.12e+09),
           (-1.293, -8.97e+08),
           (-1.289, -9.49e+08),
           (-1.286, -1.83e+09),
           (-1.282, -1.35e+09),
           (-1.279, -5.62e+08),
           (-1.272, -1.75e+09),
           (-1.269, -9.05e+08),
           (-1.266, -1.39e+09),
           (-1.262, -1.34e+09),
           (-1.259, -1.52e+09),
           (-1.256, -1.44e+09),
           (-1.252, -1.17e+09),
           (-1.242, -9.16e+08),
           (-1.239, -1.39e+09),
           (-1.232, -4.93e+08),
           (-1.228, -8.70e+08),
           (-1.225, -8.32e+08),
           (-1.222, -1.05e+09),
           (-1.218, -7.30e+08),
           (-1.215, -1.16e+09),
           (-1.212,  4.75e+08),
           (-1.208, -1.37e+09),
           (-1.205, -1.10e+09),
           (-1.201, -4.54e+08),
           (-1.198, -1.38e+09),
           (-1.195, -7.78e+08),
           (-1.191, -4.55e+08),
           (-1.188, -1.74e+09),
           (-1.185, -9.29e+08),
           (-1.181, -1.55e+09),
           (-1.178, -1.73e+09),
           (-1.175, -1.01e+09),
           (-1.171, -7.16e+08),
           (-1.168, -9.20e+08),
           (-1.164, -5.72e+08),
           (-1.161, -9.80e+08),
           (-1.158, -9.08e+08),
           (-1.154, -1.09e+09),
           (-1.151, -1.01e+09),
           (-1.147, -1.39e+09),
           (-1.144, -9.05e+08),
           (-1.141, -1.20e+09),
           (-1.137, -6.95e+08),
           (-1.134, -1.04e+09),
           (-1.131, -8.14e+08),
           (-1.127, -8.53e+08),
           (-1.124, -9.31e+08),
           (-1.120, -9.13e+08),
           (-1.117, -1.55e+09),
           (-1.114, -1.63e+09),
           (-1.110, -2.43e+09),
           (-1.107, -8.28e+08),
           (-1.104, -5.33e+08),
           (-1.100, -2.38e+09),
           (-1.097, -1.27e+09),
           (-1.093, -9.40e+08),
           (-1.090, -1.39e+09),
           (-1.087, -7.63e+08),
           (-1.083, -1.39e+09),
           (-1.080, -1.83e+08),
           (-1.077, -1.10e+09),
           (-1.073, -9.66e+08),
           (-1.070, -9.82e+08),
           (-1.067, -5.13e+08),
           (-1.063, -7.76e+08),
           (-1.060, -1.98e+08),
           (-1.056, -6.41e+08),
           (-1.053, -7.90e+08),
           (-1.050, -2.65e+08),
           (-1.046, -2.11e+09),
           (-1.043, -5.38e+08),
           (-1.039, -4.81e+08),
           (-1.036, -2.01e+09),
           (-1.029, -9.09e+08),
           (-1.026, -1.16e+09),
           (-1.023, -1.15e+09),
           (-1.019, -1.10e+09),
           (-1.012, -9.26e+07),
           (-1.009, -1.62e+09),
           (-1.002, -9.06e+08),
           (-0.999, -1.56e+09),
           (-0.996, -1.43e+09),
           (-0.992, -7.13e+08),
           (-0.989, -1.41e+09),
           (-0.986, -1.78e+09),
           (-0.982, -8.91e+08),
           (-0.975, -1.43e+09),
           (-0.969, -9.49e+08),
           (-0.965, -1.37e+09),
           (-0.962, -6.80e+08),
           (-0.958, -1.13e+09),
           (-0.955, -1.26e+09),
           (-0.952, -1.62e+09),
           (-0.948, -1.74e+09),
           (-0.945, -1.44e+09),
           (-0.942, -1.73e+09),
           (-0.938, -1.46e+09),
           (-0.935, -6.88e+08),
           (-0.931, -8.67e+08),
           (-0.928, -7.23e+08),
           (-0.925, -1.41e+09),
           (-0.921, -1.70e+09),
           (-0.918, -1.19e+09),
           (-0.915, -1.00e+09),
           (-0.911, -1.82e+09),
           (-0.908, -1.58e+09),
           (-0.901, -6.33e+08),
           (-0.894, -1.87e+09),
           (-0.888, -2.13e+07),
           (-0.884, -1.15e+09),
           (-0.881, -1.02e+09),
           (-0.877, -4.70e+08),
           (-0.871, -1.78e+09),
           (-0.867, -1.53e+08),
           (-0.864, -3.29e+08),
           (-0.861, -1.62e+09),
           (-0.857, -7.85e+08),
           (-0.854, -1.46e+09),
           (-0.850, -7.26e+08),
           (-0.847, -1.08e+09),
           (-0.844, -1.17e+09),
           (-0.837, -3.74e+08),
           (-0.834, -1.45e+09),
           (-0.830, -2.08e+09),
           (-0.827, -1.09e+09),
           (-0.823, -1.23e+09),
           (-0.820, -1.02e+09),
           (-0.817, -9.94e+08),
           (-0.813, -1.64e+09),
           (-0.810, -1.01e+09),
           (-0.807, -8.06e+08),
           (-0.803, -1.02e+09),
           (-0.800, -1.50e+09),
           (-0.796, -3.77e+08),
           (-0.793, -3.43e+08),
           (-0.790, -9.70e+08),
           (-0.786, -6.79e+08),
           (-0.783, -2.45e+08),
           (-0.780, -3.55e+08),
           (-0.776, -9.33e+08),
           (-0.773, -6.59e+08),
           (-0.769, -1.66e+09),
           (-0.763, -7.00e+08),
           (-0.759, -1.70e+08),
           (-0.756, -1.58e+09),
           (-0.753, -1.21e+09),
           (-0.746, -8.56e+08),
           (-0.742, -1.29e+09),
           (-0.739, -3.56e+08),
           (-0.736, -1.08e+09),
           (-0.732, -1.35e+09),
           (-0.729, -1.10e+09),
           (-0.726, -1.13e+09),
           (-0.722, -1.06e+09),
           (-0.719, -1.27e+08),
           (-0.716, -1.87e+09),
           (-0.712, -7.80e+08),
           (-0.709, -7.27e+08),
           (-0.705, -1.22e+09),
           (-0.699, -5.62e+08),
           (-0.695, -1.56e+09),
           (-0.692, -7.63e+08),
           (-0.688, -4.98e+08),
           (-0.685, -1.58e+09),
           (-0.682, -1.41e+09),
           (-0.678, -9.29e+08),
           (-0.675, -9.17e+08),
           (-0.672, -1.39e+09),
           (-0.665, -5.97e+06),
           (-0.661, -5.52e+08),
           (-0.658, -3.86e+08),
           (-0.655, -4.05e+08),
           (-0.651, -4.92e+08),
           (-0.648, -9.05e+05),
           (-0.645, -7.66e+08),
           (-0.641, -9.97e+08),
           (-0.638,  4.11e+08),
           (-0.634, -5.78e+08),
           (-0.631, -1.09e+09),
           (-0.628, -5.55e+08),
           (-0.624, -7.57e+08),
           (-0.621,  7.01e+08),
           (-0.618, -3.40e+08),
           (-0.614, -1.73e+08),
           (-0.611, -1.07e+09),
           (-0.607,  2.42e+08),
           (-0.604, -8.43e+08),
           (-0.597, -5.55e+08),
           (-0.594, -8.39e+08),
           (-0.591, -1.18e+08),
           (-0.587, -2.99e+08),
           (-0.584,  3.82e+07),
           (-0.580, -6.76e+08),
           (-0.577,  2.04e+08),
           (-0.570, -8.34e+08),
           (-0.567, -1.36e+09),
           (-0.564, -1.43e+09),
           (-0.557, -3.62e+08),
           (-0.553, -4.19e+08),
           (-0.550, -2.96e+08),
