Bolide Detection Notification: 2017-049

At 19:48:29 UT on 18 Feb 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.2 °N, Lon 60.4 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.40e+10 watts/steradian, and total radiated flash
energy 3.17e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  3.31e+08),
           (-0.996,  7.79e+08),
           (-0.992,  4.15e+08),
           (-0.989, -1.05e+09),
           (-0.986, -1.61e+09),
           (-0.979, -3.32e+08),
           (-0.972, -1.06e+08),
           (-0.969,  6.21e+08),
           (-0.965, -5.24e+08),
           (-0.962,  1.94e+08),
           (-0.958, -3.67e+08),
           (-0.955, -3.97e+08),
           (-0.952, -2.17e+08),
           (-0.948, -6.39e+08),
           (-0.945,  1.13e+09),
           (-0.942, -3.52e+08),
           (-0.938,  4.76e+08),
           (-0.931, -1.20e+07),
           (-0.928,  2.83e+08),
           (-0.925, -1.49e+08),
           (-0.921,  2.70e+08),
           (-0.918,  1.05e+09),
           (-0.915, -5.95e+08),
           (-0.911,  2.43e+08),
           (-0.908,  1.44e+09),
           (-0.904,  2.54e+08),
           (-0.901,  2.18e+08),
           (-0.898, -1.72e+09),
           (-0.894,  1.87e+08),
           (-0.891,  7.88e+08),
           (-0.888,  7.10e+08),
           (-0.884, -8.94e+08),
           (-0.881,  5.56e+08),
           (-0.877,  7.56e+08),
           (-0.874, -6.41e+08),
           (-0.871, -7.16e+07),
           (-0.867, -8.13e+07),
           (-0.864,  9.40e+08),
           (-0.861,  6.90e+08),
           (-0.857,  4.36e+07),
           (-0.854, -2.70e+08),
           (-0.851, -1.24e+09),
           (-0.847,  1.19e+08),
           (-0.844, -5.01e+08),
           (-0.840,  3.76e+08),
           (-0.837,  2.49e+08),
           (-0.834,  1.10e+09),
           (-0.827, -2.13e+08),
           (-0.823,  5.44e+08),
           (-0.820, -2.75e+08),
           (-0.817, -3.34e+08),
           (-0.813, -3.02e+08),
           (-0.810,  6.19e+08),
           (-0.807, -2.07e+08),
           (-0.803,  2.59e+08),
           (-0.800,  2.38e+08),
           (-0.796, -1.01e+08),
           (-0.793,  6.76e+08),
           (-0.790, -1.84e+08),
           (-0.786, -4.35e+08),
           (-0.783,  1.42e+08),
           (-0.776,  4.36e+08),
           (-0.773,  1.41e+09),
           (-0.769, -9.83e+08),
           (-0.766, -7.61e+08),
           (-0.763,  5.99e+08),
           (-0.759, -1.86e+08),
           (-0.756,  7.58e+08),
           (-0.753, -2.96e+08),
           (-0.749, -7.21e+05),
           (-0.746,  1.07e+08),
           (-0.742,  6.16e+08),
           (-0.739,  7.47e+08),
           (-0.736,  7.23e+08),
           (-0.732,  1.66e+08),
           (-0.729, -9.20e+08),
           (-0.726,  9.59e+07),
           (-0.722,  6.14e+08),
           (-0.719,  9.46e+07),
           (-0.716,  9.35e+07),
           (-0.712,  7.42e+08),
           (-0.705, -1.01e+09),
           (-0.699,  1.32e+09),
           (-0.695, -3.84e+08),
           (-0.692,  8.00e+08),
           (-0.689,  3.85e+08),
           (-0.685,  1.78e+08),
           (-0.682, -9.07e+08),
           (-0.678,  5.73e+08),
           (-0.675,  3.52e+08),
           (-0.672,  4.73e+08),
           (-0.668,  3.20e+08),
           (-0.665, -3.11e+08),
           (-0.661,  9.91e+08),
           (-0.658,  6.84e+07),
           (-0.655, -3.50e+08),
           (-0.651,  4.47e+08),
           (-0.648,  6.61e+07),
           (-0.645, -5.41e+08),
           (-0.638,  9.79e+08),
           (-0.634, -5.35e+08),
           (-0.631, -3.19e+08),
           (-0.628,  1.42e+09),
