Bolide Detection Notification: 2017-194

At 09:30:36 UT on 13 Jul 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 23.1 °N, Lon 60.7 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.11e+10 watts/steradian, and total radiated flash
energy 7.07e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  8.69e+08),
           (-0.496,  1.03e+08),
           (-0.493,  2.90e+06),
           (-0.489,  1.85e+08),
           (-0.486,  4.31e+08),
           (-0.483,  2.14e+09),
           (-0.479,  2.60e+09),
           (-0.476,  6.37e+07),
           (-0.473,  8.05e+08),
           (-0.469,  2.99e+08),
           (-0.466,  2.91e+08),
           (-0.462, -1.65e+09),
           (-0.459, -4.59e+08),
           (-0.456, -1.02e+09),
           (-0.452,  3.72e+08),
           (-0.449, -1.93e+09),
           (-0.446, -6.62e+08),
           (-0.442, -6.66e+08),
           (-0.439,  1.66e+08),
           (-0.435, -1.50e+09),
           (-0.432, -2.02e+08),
           (-0.429,  1.32e+09),
           (-0.425,  1.43e+08),
           (-0.422,  2.31e+08),
           (-0.419, -7.08e+08),
           (-0.415, -8.33e+08),
           (-0.412, -2.38e+09),
           (-0.408,  3.32e+08),
           (-0.405,  2.16e+08),
           (-0.402, -1.30e+09),
           (-0.398,  3.54e+08),
           (-0.395,  2.73e+08),
           (-0.392,  9.04e+08),
           (-0.388, -7.07e+08),
           (-0.385, -2.28e+08),
           (-0.381,  2.04e+09),
           (-0.378,  1.18e+09),
           (-0.375, -6.17e+08),
           (-0.371, -9.54e+08),
           (-0.368, -6.28e+08),
           (-0.365, -1.11e+07),
           (-0.358,  4.04e+08),
           (-0.354, -1.15e+09),
           (-0.351, -5.63e+08),
           (-0.348,  5.78e+08),
           (-0.344,  6.00e+07),
           (-0.341, -5.49e+08),
           (-0.334,  1.68e+08),
           (-0.331, -1.27e+09),
           (-0.327,  6.13e+08),
