Bolide Detection Notification: 2018-128

At 02:27:13 UT on 08 May 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 32.0 °N, Lon 60.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.85e+10 watts/steradian, and total radiated flash
energy 7.36e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -8.47e+07),
           (-0.996,  5.03e+08),
           (-0.992, -3.41e+08),
           (-0.989, -7.99e+08),
           (-0.986, -2.69e+08),
           (-0.982, -5.13e+08),
           (-0.979, -1.26e+09),
           (-0.975,  3.58e+08),
           (-0.972, -1.96e+08),
           (-0.969, -2.83e+08),
           (-0.965, -7.87e+08),
           (-0.962,  1.18e+08),
           (-0.959, -3.01e+08),
           (-0.955, -1.25e+07),
           (-0.952, -5.99e+08),
           (-0.948,  8.74e+08),
           (-0.945, -4.13e+07),
           (-0.942,  5.01e+08),
           (-0.938,  7.79e+08),
           (-0.935,  3.37e+08),
           (-0.931,  2.56e+08),
           (-0.928, -3.28e+08),
           (-0.925, -7.68e+07),
           (-0.921,  9.91e+08),
           (-0.918,  1.01e+09),
           (-0.915, -1.24e+09),
           (-0.911,  8.82e+08),
           (-0.908,  8.35e+08),
           (-0.905,  5.89e+08),
           (-0.901,  7.14e+08),
           (-0.898,  2.35e+08),
           (-0.894,  9.90e+08),
           (-0.891,  7.96e+08),
           (-0.888,  9.95e+08),
           (-0.884,  5.83e+07),
           (-0.881, -5.64e+08),
           (-0.878,  3.46e+07),
           (-0.874,  2.86e+08),
           (-0.871,  1.15e+09),
           (-0.867,  7.91e+08),
           (-0.864,  1.80e+09),
           (-0.861,  1.43e+09),
           (-0.857,  1.75e+09),
           (-0.854,  2.07e+08),
           (-0.851,  1.45e+09),
           (-0.847,  1.75e+09),
           (-0.844,  8.89e+08),
           (-0.840,  1.58e+09),
           (-0.837,  1.04e+09),
           (-0.834,  3.45e+08),
           (-0.830,  2.12e+09),
           (-0.827,  1.52e+09),
           (-0.824, -6.65e+08),
           (-0.820,  4.70e+08),
           (-0.817,  1.32e+09),
           (-0.813,  2.89e+08),
           (-0.810,  1.99e+09),
           (-0.807,  1.13e+09),
           (-0.803,  1.46e+09),
           (-0.800,  1.72e+09),
           (-0.793,  1.10e+09),
           (-0.790, -9.07e+06),
           (-0.786,  7.57e+08),
           (-0.783,  1.27e+09),
           (-0.780,  8.05e+08),
           (-0.776,  1.30e+09),
           (-0.773,  1.70e+09),
           (-0.770,  1.96e+09),
           (-0.766,  1.78e+09),
           (-0.763,  1.11e+09),
           (-0.759,  1.31e+09),
           (-0.756,  3.31e+09),
           (-0.753,  1.13e+09),
           (-0.749,  3.17e+09),
           (-0.746,  2.53e+09),
           (-0.743,  2.95e+09),
           (-0.739,  3.66e+09),
           (-0.736,  3.87e+09),
           (-0.732,  1.39e+09),
           (-0.729,  1.36e+09),
           (-0.726,  2.53e+09),
           (-0.722,  3.44e+09),
           (-0.719,  1.79e+09),
           (-0.716,  2.85e+09),
           (-0.712,  1.69e+09),
           (-0.709,  1.73e+09),
           (-0.705,  4.23e+09),
           (-0.702,  2.55e+09),
           (-0.699,  2.68e+09),
           (-0.695,  2.18e+09),
           (-0.692,  2.63e+09),
           (-0.689,  1.76e+09),
           (-0.685,  1.88e+09),
           (-0.682,  3.13e+09),
           (-0.678,  2.15e+09),
           (-0.675,  2.64e+09),
           (-0.672,  1.23e+09),
           (-0.668,  3.39e+09),
           (-0.665,  2.33e+09),
           (-0.662,  1.50e+09),
           (-0.658,  2.59e+09),
           (-0.655,  3.00e+09),
           (-0.651,  2.41e+09),
           (-0.648,  3.08e+09),
           (-0.645,  2.76e+09),
           (-0.641,  2.70e+09),
           (-0.638,  3.04e+09),
           (-0.635,  3.07e+09),
           (-0.631,  4.06e+09),
           (-0.628,  3.19e+09),
           (-0.624,  1.56e+09),
           (-0.621,  1.65e+09),
           (-0.618,  1.86e+09),
           (-0.614,  2.39e+09),
           (-0.611,  3.48e+09),
           (-0.608,  8.58e+08),
           (-0.601,  3.60e+09),
           (-0.597,  2.30e+09),
           (-0.594,  2.46e+09),
           (-0.591,  3.28e+09),
           (-0.587,  2.49e+09),
           (-0.584,  3.82e+09),
           (-0.581,  2.58e+09),
           (-0.577,  3.30e+09),
           (-0.574,  2.70e+09),
           (-0.570,  3.73e+09),
           (-0.567,  2.01e+09),
           (-0.564,  3.08e+09),
           (-0.560,  2.86e+09),
           (-0.557,  2.44e+09),
           (-0.553,  3.82e+09),
           (-0.550,  3.08e+09),
           (-0.547,  3.13e+09),
           (-0.543,  2.57e+09),
           (-0.540,  2.85e+09),
           (-0.537,  2.48e+09),
           (-0.533,  3.65e+09),
           (-0.530,  4.20e+09),
           (-0.527,  4.20e+09),
           (-0.523,  2.69e+09),
           (-0.520,  3.59e+09),
           (-0.513,  1.85e+09),
           (-0.506,  4.69e+09),
           (-0.503,  3.62e+09),
           (-0.500,  4.14e+09),
           (-0.496,  3.84e+09),
           (-0.493,  3.80e+09),
           (-0.489,  3.79e+09),
           (-0.486,  4.22e+09),
           (-0.483,  4.83e+09),
           (-0.479,  3.01e+09),
           (-0.476,  4.74e+09),
           (-0.472,  3.62e+09),
           (-0.469,  4.09e+09),
           (-0.466,  5.48e+09),
           (-0.462,  4.45e+09),
           (-0.459,  4.17e+09),
           (-0.456,  4.26e+09),
           (-0.452,  5.13e+09),
           (-0.449,  4.67e+09),
           (-0.446,  4.66e+09),
           (-0.442,  4.28e+09),
           (-0.439,  4.13e+09),
           (-0.435,  3.55e+09),
           (-0.432,  3.86e+09),
