Bolide Detection Notification: 2018-208

At 09:35:14 UT on 27 Jul 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 58.8 °S, Lon 105.8 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.88e+10 watts/steradian, and total radiated flash
energy 1.09e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.648,  6.54e+08),
           (-0.645, -3.12e+08),
           (-0.641, -9.54e+07),
           (-0.638,  1.87e+08),
           (-0.634,  1.81e+09),
           (-0.631,  1.80e+09),
           (-0.628, -4.11e+08),
           (-0.624,  1.24e+08),
           (-0.618,  1.62e+09),
           (-0.614,  5.52e+08),
           (-0.611,  2.67e+08),
           (-0.607,  7.46e+08),
           (-0.604,  7.32e+08),
           (-0.601,  1.10e+08),
           (-0.594,  2.73e+09),
           (-0.591, -2.79e+08),
           (-0.587,  1.66e+09),
           (-0.584,  5.00e+08),
           (-0.580,  1.21e+07),
           (-0.577, -1.00e+09),
           (-0.574,  7.85e+08),
           (-0.570,  1.22e+09),
           (-0.567, -1.79e+08),
           (-0.564,  1.30e+08),
           (-0.560,  2.13e+09),
           (-0.557,  9.27e+08),
           (-0.554,  9.51e+08),
           (-0.550, -1.29e+09),
           (-0.547,  1.19e+09),
           (-0.543,  7.19e+08),
           (-0.540, -1.57e+09),
           (-0.537,  5.34e+08),
           (-0.533, -2.31e+08),
           (-0.530, -3.08e+08),
           (-0.527,  6.40e+08),
           (-0.523,  2.51e+08),
           (-0.520, -1.22e+09),
           (-0.516, -7.43e+08),
           (-0.510,  7.75e+08),
           (-0.506,  1.94e+08),
           (-0.503, -1.47e+09),
           (-0.500,  1.88e+09),
           (-0.496,  9.61e+08),
           (-0.493, -1.18e+09),
           (-0.489,  1.97e+09),
           (-0.486,  2.17e+09),
           (-0.483,  3.71e+08),
           (-0.479,  5.41e+08),
           (-0.476, -2.26e+08),
           (-0.472, -4.48e+08),
           (-0.469, -1.13e+09),
           (-0.466, -7.50e+08),
           (-0.462, -8.29e+08),
           (-0.459,  2.65e+08),
           (-0.456, -1.65e+09),
           (-0.452, -1.63e+08),
           (-0.449,  1.49e+08),
           (-0.445, -2.73e+07),
           (-0.442,  1.97e+08),
           (-0.439,  1.08e+09),
           (-0.435, -6.84e+08),
           (-0.432, -2.90e+08),
           (-0.429, -4.94e+08),
           (-0.425,  1.62e+09),
           (-0.422,  2.06e+09),
           (-0.419, -7.34e+08),
           (-0.415, -1.49e+09),
           (-0.412, -1.03e+08),
           (-0.408,  2.35e+09),
           (-0.405,  1.21e+09),
           (-0.402, -2.00e+09),
           (-0.398, -1.25e+08),
           (-0.395,  2.36e+08),
           (-0.392,  9.06e+08),
           (-0.388,  1.00e+09),
           (-0.385,  8.32e+08),
           (-0.381, -2.95e+08),
           (-0.378, -1.79e+09),
           (-0.375,  3.74e+07),
           (-0.371,  1.35e+09),
           (-0.368,  2.94e+08),
           (-0.365,  4.14e+08),
           (-0.361,  7.30e+07),
           (-0.358, -9.41e+08),
           (-0.354, -3.23e+07),
           (-0.351,  1.79e+08),
           (-0.348,  1.51e+09),
           (-0.344,  1.33e+09),
           (-0.341,  6.33e+08),
           (-0.337,  5.97e+08),
           (-0.334, -4.81e+08),
           (-0.331,  7.41e+08),
           (-0.327, -3.61e+08),
           (-0.324,  9.63e+08),
           (-0.321,  1.56e+07),
           (-0.317,  3.80e+07),
           (-0.314,  2.26e+07),
           (-0.310,  1.80e+09),
           (-0.307,  1.73e+08),
           (-0.304,  1.20e+09),
           (-0.300,  6.28e+08),
           (-0.297, -4.32e+08),
           (-0.294,  8.05e+07),
           (-0.290, -1.82e+08),
           (-0.287,  7.12e+08),
           (-0.283, -1.92e+08),
           (-0.280, -2.44e+08),
           (-0.277,  9.43e+08),
           (-0.273,  9.92e+08),
           (-0.270, -1.53e+08),
           (-0.267,  4.80e+08),
           (-0.263,  2.58e+09),
           (-0.260,  1.62e+09),
           (-0.257,  3.19e+08),
           (-0.253,  8.27e+08),
           (-0.250,  1.70e+08),
           (-0.246,  1.10e+09),
           (-0.243,  8.90e+08),
           (-0.236,  3.69e+08),
           (-0.233, -6.88e+08),
           (-0.230,  1.57e+08),
           (-0.226, -5.63e+08),
           (-0.223, -5.07e+08),
           (-0.219, -2.17e+09),
           (-0.216, -9.40e+08),
           (-0.213,  1.20e+09),
           (-0.209,  1.54e+09),
           (-0.206, -5.20e+08),
           (-0.202, -1.15e+09),
           (-0.199,  8.91e+08),
           (-0.196,  4.43e+08),
           (-0.192,  1.92e+09),
           (-0.189, -7.24e+08),
           (-0.186,  2.97e+08),
           (-0.182,  1.64e+09),
           (-0.179, -4.27e+07),
           (-0.175,  1.85e+09),
           (-0.172,  6.28e+07),
           (-0.169,  2.33e+08),
           (-0.165,  1.60e+09),
           (-0.162,  1.29e+09),
           (-0.159,  1.31e+09),
           (-0.155, -1.41e+08),
           (-0.152,  1.28e+09),
           (-0.148, -5.45e+07),
           (-0.145, -1.12e+09),
           (-0.142,  9.78e+08),
           (-0.138,  5.57e+08),
           (-0.135,  2.16e+08),
           (-0.132, -9.06e+08),
           (-0.128, -3.06e+08),
           (-0.125, -3.88e+08),
           (-0.122, -1.24e+09),
           (-0.118,  1.60e+09),
           (-0.115, -9.21e+08),
           (-0.111,  5.70e+08),
           (-0.108,  1.29e+09),
           (-0.105, -1.89e+09),
           (-0.101,  1.07e+07),
           (-0.098, -1.70e+08),
           (-0.095, -1.49e+08),
           (-0.091,  1.51e+09),
           (-0.088, -3.64e+08),
           (-0.084, -8.20e+08),
           (-0.081,  2.25e+08),
           (-0.078,  2.29e+09),
           (-0.074,  1.93e+09),
           (-0.071, -3.24e+08),
           (-0.068, -8.44e+08),
           (-0.064,  7.49e+07),
           (-0.061, -9.67e+08),
           (-0.057,  8.38e+08),
           (-0.054,  1.76e+09),
           (-0.051,  9.93e+08),
           (-0.047,  9.28e+08),
           (-0.044,  1.56e+09),
           (-0.040,  2.39e+08),
           (-0.037,  1.25e+09),
           (-0.034,  1.44e+09),
           (-0.030,  8.42e+08),
           (-0.027,  7.60e+08),
           (-0.024,  1.95e+09),
           (-0.020,  2.70e+09),
           (-0.017,  9.91e+08),
           (-0.013,  3.41e+09),
           (-0.010,  5.03e+09),
           (-0.007,  2.41e+09),
           (-0.003,  2.99e+09),
           ( 0.000,  5.18e+09),
           ( 0.003,  6.06e+09),
           ( 0.010,  6.82e+09),
           ( 0.013,  9.83e+09),
           ( 0.017,  1.02e+10),
           ( 0.020,  8.68e+09),
           ( 0.024,  9.75e+09),
           ( 0.027,  1.13e+10),
           ( 0.030,  1.19e+10),
           ( 0.037,  1.43e+10),
           ( 0.040,  1.49e+10),
           ( 0.044,  1.51e+10),
           ( 0.047,  1.65e+10),
           ( 0.051,  1.94e+10),
           ( 0.054,  1.88e+10),
           ( 0.057,  2.05e+10),
           ( 0.061,  2.34e+10),
           ( 0.064,  2.24e+10),
           ( 0.067,  2.19e+10),
           ( 0.071,  2.40e+10),
           ( 0.074,  2.50e+10),
           ( 0.078,  2.49e+10),
           ( 0.081,  2.81e+10),
           ( 0.084,  2.88e+10),
           ( 0.088,  2.74e+10),
           ( 0.091,  2.68e+10),
           ( 0.095,  2.69e+10),
           ( 0.098,  2.63e+10),
           ( 0.101,  2.83e+10),
           ( 0.105,  2.83e+10),
           ( 0.108,  2.73e+10),
           ( 0.111,  2.69e+10),
           ( 0.115,  2.87e+10),
           ( 0.118,  2.84e+10),
           ( 0.122,  2.76e+10),
           ( 0.125,  2.71e+10),
           ( 0.128,  2.85e+10),
           ( 0.132,  2.76e+10),
           ( 0.135,  2.86e+10),
           ( 0.138,  2.73e+10),
           ( 0.142,  2.75e+10),
           ( 0.145,  2.73e+10),
           ( 0.149,  2.65e+10),
           ( 0.152,  2.45e+10),
           ( 0.155,  2.54e+10),
           ( 0.159,  2.52e+10),
           ( 0.162,  2.60e+10),
           ( 0.165,  2.58e+10),
           ( 0.169,  2.49e+10),
           ( 0.172,  2.37e+10),
           ( 0.175,  2.40e+10),
           ( 0.179,  2.50e+10),
           ( 0.182,  2.46e+10),
           ( 0.186,  2.30e+10),
           ( 0.189,  2.35e+10),
           ( 0.192,  2.46e+10),
           ( 0.196,  2.28e+10),
           ( 0.202,  2.32e+10),
           ( 0.206,  1.95e+10),
           ( 0.209,  1.78e+10),
           ( 0.213,  1.83e+10),
           ( 0.216,  1.90e+10),
           ( 0.219,  1.77e+10),
           ( 0.223,  1.85e+10),
           ( 0.226,  1.80e+10),
           ( 0.230,  1.72e+10),
           ( 0.233,  1.80e+10),
           ( 0.236,  1.76e+10),
           ( 0.240,  1.79e+10),
           ( 0.243,  1.77e+10),
           ( 0.246,  1.78e+10),
           ( 0.250,  1.77e+10),
           ( 0.253,  1.75e+10),
           ( 0.257,  1.81e+10),
           ( 0.260,  1.70e+10),
           ( 0.263,  1.77e+10),
           ( 0.267,  1.59e+10),
           ( 0.270,  1.70e+10),
           ( 0.273,  1.75e+10),
           ( 0.277,  1.75e+10),
           ( 0.280,  1.68e+10),
           ( 0.284,  1.78e+10),
           ( 0.287,  1.71e+10),
           ( 0.290,  1.53e+10),
           ( 0.294,  1.56e+10),
           ( 0.297,  1.36e+10),
           ( 0.300,  1.61e+10),
           ( 0.304,  1.53e+10),
           ( 0.307,  1.51e+10),
           ( 0.310,  1.49e+10),
           ( 0.314,  1.43e+10),
           ( 0.317,  1.45e+10),
           ( 0.321,  1.35e+10),
           ( 0.324,  1.34e+10),
           ( 0.327,  1.47e+10),
           ( 0.331,  1.40e+10),
           ( 0.334,  1.24e+10),
           ( 0.337,  1.24e+10),
           ( 0.341,  1.29e+10),
           ( 0.344,  1.03e+10),
           ( 0.348,  1.09e+10),
           ( 0.351,  9.58e+09),
           ( 0.354,  1.25e+10),
           ( 0.358,  1.13e+10),
           ( 0.361,  1.10e+10),
           ( 0.364,  1.02e+10),
           ( 0.368,  8.54e+09),
           ( 0.371,  9.25e+09),
           ( 0.375,  9.70e+09),
           ( 0.378,  9.15e+09),
           ( 0.381,  8.19e+09),
           ( 0.385,  1.05e+10),
           ( 0.388,  9.47e+09),
           ( 0.392,  7.78e+09),
           ( 0.395,  7.75e+09),
           ( 0.398,  1.20e+10),
           ( 0.402,  8.85e+09),
           ( 0.405,  8.29e+09),
           ( 0.408,  9.01e+09),
           ( 0.412,  8.33e+09),
           ( 0.415,  9.25e+09),
           ( 0.419,  8.35e+09),
           ( 0.422,  8.11e+09),
           ( 0.425,  8.42e+09),
           ( 0.429,  8.83e+09),
           ( 0.432,  8.38e+09),
           ( 0.435,  7.22e+09),
           ( 0.439,  8.36e+09),
           ( 0.442,  7.39e+09),
           ( 0.445,  7.14e+09),
           ( 0.449,  6.47e+09),
           ( 0.452,  5.99e+09),
           ( 0.456,  5.80e+09),
           ( 0.459,  6.35e+09),
