Bolide Detection Notification: 2019-340

At 10:19:57 UT on 06 Dec 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 3.3 °S, Lon 37.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.31e+10 watts/steradian, and total radiated flash
energy 2.81e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.543, -9.67e+08),
           (-0.540,  4.08e+08),
           (-0.537, -4.17e+07),
           (-0.533, -1.85e+09),
           (-0.530, -6.10e+08),
           (-0.526, -7.88e+08),
           (-0.523, -1.68e+09),
           (-0.520, -5.71e+08),
           (-0.516, -4.33e+08),
           (-0.513, -7.70e+08),
           (-0.510,  1.01e+08),
           (-0.506, -6.89e+08),
           (-0.503, -5.89e+08),
           (-0.499, -1.86e+09),
           (-0.496, -1.43e+09),
           (-0.493, -1.77e+09),
           (-0.489, -1.54e+09),
           (-0.486, -9.63e+08),
           (-0.483, -8.53e+08),
           (-0.479, -1.05e+09),
           (-0.476, -1.87e+08),
           (-0.473, -3.96e+08),
           (-0.469, -1.13e+09),
           (-0.466, -1.67e+09),
           (-0.462, -6.24e+08),
           (-0.459, -1.49e+08),
           (-0.456,  6.01e+08),
           (-0.452, -1.58e+09),
           (-0.449, -8.74e+08),
           (-0.446,  4.16e+08),
           (-0.439, -4.74e+08),
           (-0.435, -5.12e+08),
           (-0.432, -5.94e+08),
           (-0.429, -7.99e+08),
           (-0.425, -3.44e+08),
           (-0.418, -5.14e+08),
           (-0.415, -5.53e+08),
           (-0.412, -7.52e+08),
           (-0.408,  5.35e+08),
           (-0.405, -8.91e+08),
           (-0.402, -1.10e+09),
           (-0.398, -1.01e+09),
           (-0.395, -8.74e+08),
           (-0.392, -9.60e+08),
           (-0.388, -1.42e+09),
           (-0.385, -8.27e+08),
           (-0.381, -1.33e+09),
           (-0.378, -2.08e+08),
           (-0.375, -1.28e+09),
           (-0.371, -6.64e+08),
           (-0.368, -5.23e+08),
           (-0.365,  2.84e+08),
           (-0.361, -8.42e+07),
           (-0.358, -2.82e+08),
           (-0.354,  2.93e+08),
           (-0.351, -1.87e+08),
           (-0.348,  1.09e+09),
           (-0.344, -6.17e+08),
           (-0.341, -7.20e+08),
           (-0.337, -1.18e+07),
           (-0.334, -5.84e+08),
           (-0.331, -9.22e+08),
           (-0.327, -1.04e+08),
           (-0.324, -1.65e+09),
           (-0.321, -1.37e+09),
           (-0.317, -5.69e+08),
           (-0.314, -1.40e+09),
           (-0.310, -1.28e+09),
           (-0.307, -1.34e+09),
           (-0.304, -2.66e+08),
           (-0.300, -6.43e+08),
           (-0.297, -8.16e+08),
           (-0.294, -2.54e+08),
           (-0.290, -1.63e+08),
           (-0.287, -6.62e+08),
           (-0.284, -1.02e+09),
           (-0.280,  1.07e+09),
           (-0.277,  7.77e+08),
           (-0.273,  1.18e+08),
           (-0.270, -3.58e+08),
           (-0.267, -1.03e+09),
           (-0.263, -5.08e+07),
           (-0.260, -1.47e+09),
           (-0.256, -3.35e+08),
           (-0.253,  1.03e+09),
           (-0.250, -5.61e+08),
           (-0.246,  4.59e+08),
           (-0.243, -4.32e+08),
           (-0.240, -1.15e+09),
           (-0.236, -2.30e+08),
           (-0.233, -9.87e+08),
           (-0.229, -8.91e+08),
           (-0.226, -5.37e+08),
