Bolide Detection Notification: 2020-333

At 16:34:10 UT on 28 Nov 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.3 °N, Lon 135.1 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.32e+10 watts/steradian, and total radiated flash
energy 1.43e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597, -1.07e+09),
           (-0.594,  9.33e+08),
           (-0.591,  7.70e+08),
           (-0.587, -2.10e+08),
           (-0.584,  1.27e+09),
           (-0.581,  2.51e+08),
           (-0.577,  1.69e+09),
           (-0.574,  8.60e+08),
           (-0.570,  1.14e+09),
           (-0.567,  3.40e+08),
           (-0.564,  7.29e+08),
           (-0.560,  2.28e+09),
           (-0.557,  4.13e+08),
           (-0.553,  1.18e+09),
           (-0.550,  7.82e+08),
           (-0.547, -6.43e+08),
           (-0.543,  1.25e+09),
           (-0.540,  1.40e+08),
           (-0.537,  4.27e+09),
           (-0.533,  3.25e+09),
           (-0.526,  2.19e+09),
           (-0.523,  1.10e+09),
           (-0.520,  1.70e+09),
           (-0.516,  2.39e+09),
           (-0.513,  2.88e+09),
           (-0.510,  2.24e+09),
           (-0.506,  1.79e+09),
           (-0.503,  2.47e+08),
           (-0.499,  2.44e+09),
           (-0.496,  1.40e+09),
           (-0.493, -7.07e+08),
           (-0.489,  1.55e+09),
           (-0.486,  1.93e+08),
           (-0.483,  2.06e+09),
           (-0.479,  5.99e+08),
           (-0.476,  2.64e+08),
           (-0.473,  9.74e+08),
           (-0.469,  1.16e+09),
           (-0.462,  1.69e+09),
           (-0.459,  2.66e+09),
           (-0.456,  1.91e+09),
           (-0.449, -1.06e+09),
           (-0.446,  7.67e+08),
           (-0.442,  3.44e+09),
           (-0.439,  1.17e+09),
           (-0.435,  6.87e+08),
           (-0.432,  9.55e+08),
           (-0.429,  2.31e+09),
           (-0.425,  6.06e+08),
           (-0.422,  1.24e+09),
           (-0.419,  1.27e+09),
           (-0.415,  2.39e+09),
           (-0.412,  5.76e+08),
           (-0.408,  1.13e+09),
           (-0.405,  1.11e+09),
           (-0.402,  1.76e+09),
           (-0.398,  3.21e+09),
           (-0.395,  5.90e+08),
           (-0.391,  3.74e+09),
           (-0.385, -8.68e+07),
           (-0.381,  2.50e+08),
           (-0.378,  5.46e+08),
           (-0.375,  2.66e+09),
           (-0.371,  1.20e+09),
           (-0.368,  1.16e+09),
           (-0.364,  1.97e+09),
           (-0.361,  2.14e+09),
           (-0.358,  1.25e+07),
           (-0.354, -5.29e+07),
           (-0.351,  2.39e+09),
           (-0.348,  2.48e+09),
           (-0.344, -7.43e+07),
           (-0.341,  8.97e+08),
           (-0.338,  1.48e+09),
           (-0.334, -1.60e+08),
           (-0.331,  1.87e+09),
           (-0.327,  1.82e+09),
           (-0.324,  1.44e+09),
           (-0.321,  2.15e+09),
           (-0.317,  1.76e+08),
           (-0.314,  1.07e+09),
           (-0.311,  8.10e+08),
           (-0.307, -6.66e+07),
           (-0.304,  1.78e+09),
           (-0.300,  4.95e+08),
           (-0.297,  7.68e+08),
           (-0.294,  3.84e+08),
           (-0.290, -5.58e+08),
           (-0.287,  7.47e+08),
           (-0.284,  1.66e+09),
           (-0.280, -1.39e+08),
           (-0.277, -5.25e+07),
           (-0.273,  9.49e+08),
           (-0.270, -2.44e+08),
           (-0.267, -2.62e+08),
           (-0.263,  8.10e+08),
           (-0.256,  6.76e+08),
           (-0.253,  7.28e+08),
           (-0.250, -5.82e+08),
           (-0.246, -8.50e+08),
           (-0.243,  1.47e+09),
           (-0.240,  2.03e+08),
           (-0.236, -2.57e+07),
           (-0.233,  1.28e+09),
           (-0.229,  3.80e+08),
           (-0.226, -4.39e+08),
           (-0.223, -1.81e+09),
           (-0.219, -1.98e+08),
           (-0.216, -2.37e+08),
           (-0.213, -1.60e+09),
           (-0.209,  6.24e+08),
           (-0.206,  1.27e+09),
           (-0.202,  8.69e+08),
           (-0.199,  1.15e+08),
           (-0.196, -1.67e+09),
           (-0.192,  3.37e+08),
           (-0.189, -1.91e+08),
           (-0.186, -9.14e+08),
           (-0.182,  9.05e+08),
           (-0.179, -1.17e+09),
           (-0.176, -8.28e+08),
           (-0.172, -4.27e+08),
           (-0.169, -1.24e+09),
           (-0.165,  1.28e+08),
           (-0.162, -1.40e+08),
           (-0.159,  1.76e+08),
           (-0.155,  7.81e+08),
           (-0.149, -1.19e+09),
           (-0.145, -1.34e+08),
           (-0.142,  2.92e+08),
           (-0.138, -7.92e+08),
           (-0.135,  6.52e+08),
           (-0.132,  5.49e+08),
           (-0.128,  1.82e+09),
           (-0.125, -8.07e+08),
           (-0.122,  9.03e+08),
           (-0.118,  1.12e+09),
           (-0.115, -2.89e+08),
           (-0.111, -8.79e+08),
           (-0.108, -2.99e+08),
           (-0.105,  1.46e+09),
           (-0.101,  3.34e+08),
           (-0.098,  3.45e+08),
           (-0.094,  1.30e+09),
           (-0.091,  2.70e+09),
           (-0.088,  7.47e+08),
           (-0.084,  1.23e+09),
           (-0.081,  1.89e+09),
           (-0.078, -2.56e+08),
           (-0.074,  1.78e+09),
           (-0.071,  2.41e+09),
           (-0.067,  1.15e+09),
           (-0.064,  4.12e+08),
           (-0.061,  8.48e+08),
           (-0.057,  2.24e+09),
           (-0.054,  2.18e+09),
           (-0.051,  3.16e+09),
           (-0.047,  4.95e+09),
           (-0.044,  4.56e+09),
           (-0.041,  5.36e+09),
           (-0.037,  4.03e+09),
           (-0.034,  3.23e+09),
           (-0.030,  4.40e+09),
           (-0.027,  5.45e+09),
           (-0.024,  2.79e+09),
           (-0.020,  2.87e+09),
           (-0.017,  1.60e+09),
           (-0.014,  2.86e+09),
           (-0.010,  3.75e+09),
           (-0.003,  7.25e+09),
           (-0.000,  1.10e+10),
           ( 0.003,  1.27e+10),
           ( 0.007,  1.06e+10),
           ( 0.010,  1.00e+10),
           ( 0.017,  1.11e+10),
           ( 0.020,  1.08e+10),
           ( 0.024,  8.89e+09),
           ( 0.027,  9.08e+09),
           ( 0.030,  7.12e+09),
           ( 0.034,  6.46e+09),
           ( 0.037,  6.07e+09),
           ( 0.041,  6.87e+09),
           ( 0.044,  5.42e+09),
           ( 0.047,  4.78e+09),
           ( 0.051,  3.43e+09),
           ( 0.054,  2.77e+09),
           ( 0.057,  3.57e+09),
           ( 0.061,  1.62e+09),
           ( 0.064,  2.56e+09),
           ( 0.068,  2.48e+09),
           ( 0.071,  8.78e+08),
           ( 0.074,  2.25e+09),
           ( 0.078,  3.02e+09),
           ( 0.081,  1.53e+09),
           ( 0.084, -1.87e+08),
           ( 0.088,  5.06e+08),
           ( 0.091,  1.05e+09),
           ( 0.095,  1.36e+09),
           ( 0.098,  1.72e+09),
           ( 0.101,  3.98e+08),
           ( 0.105,  6.38e+08),
           ( 0.108,  2.45e+09),
           ( 0.111,  1.12e+09),
           ( 0.115,  2.62e+09),
           ( 0.118,  1.08e+09),
           ( 0.121,  9.80e+08),
           ( 0.125,  2.01e+09),
           ( 0.128,  1.18e+09),
           ( 0.132,  2.96e+09),
           ( 0.135,  1.62e+09),
           ( 0.138,  1.05e+09),
           ( 0.142,  1.61e+09),
           ( 0.145,  1.11e+09),
           ( 0.148,  1.51e+09),
           ( 0.152,  2.71e+09),
           ( 0.155,  1.73e+09),
           ( 0.159,  1.55e+09),
           ( 0.162,  2.09e+09),
           ( 0.165,  6.54e+07),
           ( 0.169,  3.50e+08),
           ( 0.172,  1.36e+09),
           ( 0.175, -6.34e+08),
           ( 0.179, -6.07e+08),
           ( 0.182, -1.44e+08),
           ( 0.186, -9.69e+08),
           ( 0.189, -2.52e+07),
           ( 0.192, -1.76e+09),
           ( 0.196, -6.58e+08),
           ( 0.199,  1.30e+09),
           ( 0.203,  1.45e+08),
           ( 0.206,  1.13e+09),
           ( 0.209,  3.41e+08),
