Bolide Detection Notification: 2021-025

At 03:01:37 UT on 25 Jan 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.5 °N, Lon 47.6 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.97e+10 watts/steradian, and total radiated flash
energy 7.26e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -1.17e+07),
           (-0.496, -7.80e+07),
           (-0.489, -7.11e+08),
           (-0.486, -1.94e+08),
           (-0.483,  9.21e+08),
           (-0.479, -1.13e+09),
           (-0.476, -1.40e+09),
           (-0.472, -1.06e+09),
           (-0.469,  4.03e+08),
           (-0.466,  4.98e+08),
           (-0.462, -9.62e+08),
           (-0.459, -9.56e+08),
           (-0.456, -6.14e+08),
           (-0.452, -5.85e+08),
           (-0.449, -1.16e+09),
           (-0.446,  5.03e+07),
           (-0.442,  3.10e+08),
           (-0.439, -9.43e+08),
           (-0.435,  3.70e+08),
           (-0.432,  5.40e+07),
           (-0.429, -2.13e+08),
           (-0.425,  3.96e+08),
           (-0.422, -3.61e+08),
           (-0.418, -2.00e+08),
           (-0.415, -5.56e+08),
           (-0.412,  5.23e+07),
           (-0.408, -1.13e+09),
           (-0.405, -5.76e+08),
           (-0.402,  1.14e+09),
           (-0.398,  3.07e+08),
           (-0.395, -1.66e+09),
           (-0.392, -1.01e+09),
           (-0.388,  7.68e+08),
           (-0.385, -7.24e+08),
           (-0.381, -8.06e+08),
           (-0.378, -4.07e+08),
           (-0.375, -1.46e+08),
           (-0.371,  1.97e+08),
           (-0.368, -8.29e+08),
           (-0.364, -2.44e+08),
           (-0.361,  1.79e+09),
           (-0.358,  1.22e+09),
           (-0.354,  3.40e+08),
           (-0.351,  4.03e+08),
           (-0.348, -8.36e+08),
           (-0.344,  6.84e+08),
           (-0.341,  2.15e+08),
           (-0.338, -6.46e+08),
           (-0.334, -3.25e+08),
           (-0.331, -6.89e+08),
           (-0.327, -1.08e+08),
           (-0.324, -9.80e+08),
           (-0.314, -3.68e+07),
           (-0.311,  3.56e+08),
           (-0.307,  4.27e+07),
           (-0.304,  5.84e+08),
           (-0.300,  1.43e+09),
           (-0.297,  3.13e+08),
           (-0.290,  1.96e+09),
           (-0.287,  2.14e+09),
           (-0.283,  1.02e+09),
           (-0.280,  2.69e+09),
           (-0.277,  2.90e+09),
           (-0.273,  9.53e+08),
           (-0.270,  2.20e+09),
           (-0.267,  1.83e+09),
           (-0.263,  1.82e+09),
           (-0.260,  2.98e+09),
           (-0.257,  8.32e+08),
           (-0.253,  2.55e+09),
           (-0.250,  2.54e+09),
           (-0.246,  1.66e+09),
           (-0.243,  2.31e+09),
           (-0.236,  2.94e+08),
           (-0.233,  8.03e+07),
           (-0.229,  2.12e+09),
           (-0.226,  1.83e+09),
           (-0.223,  2.37e+08),
           (-0.216,  2.38e+09),
           (-0.209,  2.34e+08),
           (-0.203,  1.00e+09),
           (-0.199,  7.28e+08),
           (-0.196,  5.56e+08),
           (-0.192,  1.51e+09),
           (-0.189,  3.30e+08),
           (-0.186,  8.15e+08),
           (-0.182,  2.78e+09),
           (-0.179,  1.34e+09),
           (-0.175,  7.60e+08),
           (-0.172,  1.73e+09),
           (-0.169,  1.83e+09),
           (-0.165,  1.55e+09),
           (-0.162,  1.92e+09),
           (-0.159,  4.03e+09),
           (-0.152,  1.06e+09),
           (-0.149,  1.64e+09),
           (-0.145,  1.50e+09),
           (-0.142,  1.31e+09),
           (-0.138,  2.62e+09),
           (-0.135,  3.09e+09),
           (-0.128,  1.74e+09),
           (-0.125,  1.18e+09),
           (-0.121,  1.80e+09),
           (-0.118,  6.94e+08),
           (-0.115,  1.60e+09),
           (-0.111,  5.94e+08),
           (-0.108,  2.13e+09),
           (-0.105,  2.33e+09),
           (-0.101,  7.82e+08),
           (-0.098,  1.72e+09),
           (-0.095,  1.59e+09),
           (-0.091,  1.67e+09),
           (-0.088,  8.69e+08),
           (-0.084,  3.99e+08),
           (-0.081,  5.31e+08),
           (-0.078,  3.27e+08),
           (-0.074,  1.03e+09),
           (-0.071,  2.11e+09),
           (-0.067,  2.03e+09),
           (-0.064,  8.44e+08),
           (-0.061,  1.01e+09),
           (-0.057,  1.58e+09),
           (-0.054,  2.47e+09),
           (-0.051,  1.09e+09),
           (-0.047,  8.14e+08),
           (-0.044,  8.73e+08),
           (-0.040,  2.82e+08),
           (-0.037,  1.78e+09),
           (-0.034,  1.18e+09),
           (-0.030,  9.90e+08),
           (-0.027,  1.75e+09),
           (-0.024,  2.04e+09),
           (-0.020,  3.41e+09),
           (-0.017,  3.24e+09),
           (-0.014,  4.64e+09),
           (-0.010,  6.88e+09),
           (-0.007,  6.51e+09),
           ( 0.000,  9.34e+09),
           ( 0.003,  9.92e+09),
           ( 0.007,  1.10e+10),
           ( 0.010,  1.91e+10),
           ( 0.014,  1.25e+10),
           ( 0.017,  1.05e+10),
           ( 0.020,  1.15e+10),
           ( 0.024,  1.41e+10),
           ( 0.027,  1.46e+10),
           ( 0.030,  1.56e+10),
           ( 0.034,  1.42e+10),
           ( 0.037,  1.60e+10),
           ( 0.040,  1.63e+10),
           ( 0.044,  1.47e+10),
           ( 0.047,  1.72e+10),
           ( 0.051,  1.45e+10),
           ( 0.054,  1.59e+10),
           ( 0.057,  1.90e+10),
           ( 0.061,  1.75e+10),
           ( 0.064,  1.76e+10),
           ( 0.068,  1.97e+10),
           ( 0.071,  1.56e+10),
           ( 0.074,  1.37e+10),
           ( 0.078,  1.52e+10),
           ( 0.081,  1.48e+10),
           ( 0.084,  1.35e+10),
           ( 0.088,  1.30e+10),
           ( 0.091,  1.34e+10),
           ( 0.094,  1.15e+10),
           ( 0.098,  1.15e+10),
           ( 0.101,  1.20e+10),
           ( 0.105,  9.50e+09),
           ( 0.108,  1.07e+10),
           ( 0.111,  9.63e+09),
           ( 0.115,  9.82e+09),
           ( 0.118,  1.11e+10),
           ( 0.122,  8.95e+09),
           ( 0.125,  9.08e+09),
           ( 0.128,  9.73e+09),
           ( 0.132,  9.43e+09),
           ( 0.135,  9.03e+09),
           ( 0.138,  9.23e+09),
           ( 0.142,  1.08e+10),
           ( 0.145,  1.05e+10),
           ( 0.148,  9.31e+09),
           ( 0.152,  1.09e+10),
           ( 0.155,  9.13e+09),
           ( 0.159,  7.73e+09),
           ( 0.162,  7.64e+09),
           ( 0.165,  8.46e+09),
           ( 0.169,  8.32e+09),
           ( 0.172,  6.08e+09),
           ( 0.176,  6.81e+09),
           ( 0.179,  8.44e+09),
           ( 0.182,  7.42e+09),
           ( 0.186,  6.92e+09),
           ( 0.189,  5.47e+09),
           ( 0.192,  6.07e+09),
           ( 0.196,  6.00e+09),
           ( 0.199,  4.86e+09),
           ( 0.203,  4.61e+09),
           ( 0.206,  4.50e+09),
           ( 0.209,  4.62e+09),
           ( 0.213,  4.59e+09),
