Bolide Detection Notification: 2021-294

At 10:32:02 UT on 21 Oct 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 51.5 °N, Lon 51.4 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.57e+10 watts/steradian, and total radiated flash
energy 4.15e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.28e+09),
           (-0.996, -1.94e+09),
           (-0.992, -1.07e+09),
           (-0.989, -1.30e+09),
           (-0.986,  1.37e+09),
           (-0.982,  1.46e+09),
           (-0.979, -1.22e+09),
           (-0.975, -2.08e+09),
           (-0.972, -2.90e+08),
           (-0.969, -4.79e+08),
           (-0.965, -1.72e+08),
           (-0.962, -7.14e+08),
           (-0.959,  1.45e+08),
           (-0.955, -7.45e+08),
           (-0.952,  5.92e+08),
           (-0.948,  1.30e+08),
           (-0.945,  1.02e+08),
           (-0.942, -2.06e+09),
           (-0.938, -1.84e+09),
           (-0.931,  2.72e+08),
           (-0.928,  1.02e+09),
           (-0.925, -1.24e+09),
           (-0.921, -1.04e+09),
           (-0.918,  6.40e+08),
           (-0.915, -4.97e+08),
           (-0.911, -2.95e+08),
           (-0.908,  1.36e+09),
           (-0.905,  4.03e+08),
           (-0.901, -3.33e+08),
           (-0.898,  1.12e+08),
           (-0.894,  4.23e+08),
           (-0.891, -7.05e+08),
           (-0.888, -9.97e+08),
           (-0.884,  7.32e+07),
           (-0.881,  1.80e+09),
           (-0.878, -4.27e+08),
           (-0.874, -2.20e+09),
           (-0.871,  1.07e+08),
           (-0.867,  1.02e+09),
           (-0.864,  1.48e+08),
           (-0.861, -7.11e+07),
           (-0.857, -1.24e+09),
           (-0.854,  1.21e+08),
           (-0.851, -5.77e+08),
           (-0.847, -1.09e+09),
           (-0.844,  1.17e+08),
           (-0.840,  6.12e+08),
           (-0.834,  9.28e+07),
           (-0.830, -6.69e+07),
           (-0.827,  5.22e+08),
           (-0.824, -8.98e+08),
           (-0.820, -1.98e+08),
           (-0.817, -6.31e+08),
           (-0.813,  1.50e+08),
           (-0.810,  4.31e+08),
           (-0.807, -2.32e+08),
           (-0.800,  1.21e+09),
           (-0.797,  2.75e+08),
           (-0.793,  8.48e+08),
           (-0.790,  1.13e+09),
           (-0.786,  1.39e+08),
           (-0.783,  3.35e+08),
           (-0.780,  1.28e+09),
           (-0.776,  1.16e+09),
           (-0.773,  2.61e+08),
           (-0.770,  3.67e+08),
           (-0.766,  2.37e+08),
           (-0.763,  8.01e+08),
           (-0.759,  4.16e+08),
           (-0.756, -5.10e+08),
           (-0.753,  1.12e+09),
           (-0.749, -1.02e+09),
           (-0.746,  9.72e+08),
           (-0.743, -1.26e+09),
           (-0.739, -4.89e+08),
           (-0.732,  3.89e+08),
           (-0.729, -1.52e+09),
           (-0.726, -1.07e+09),
           (-0.722, -5.31e+08),
           (-0.719, -6.79e+08),
           (-0.716,  1.51e+09),
           (-0.712, -9.80e+08),
           (-0.709, -3.69e+08),
           (-0.705, -1.20e+09),
           (-0.702, -1.16e+08),
           (-0.695,  1.54e+09),
           (-0.692, -6.62e+07),
           (-0.689, -9.46e+08),
           (-0.685, -7.50e+08),
           (-0.682,  8.28e+08),
           (-0.678,  1.62e+09),
           (-0.675, -7.03e+07),
           (-0.672, -8.50e+08),
           (-0.668,  8.54e+08),
           (-0.665,  7.10e+08),
           (-0.662, -1.12e+09),
           (-0.658, -4.56e+08),
           (-0.655, -2.74e+07),
           (-0.651,  2.80e+08),
           (-0.648, -8.25e+08),
           (-0.645, -9.89e+08),
           (-0.641,  1.53e+09),
           (-0.638, -1.36e+09),
           (-0.635, -1.20e+09),
           (-0.631, -7.24e+07),
           (-0.628,  5.03e+08),
           (-0.624, -1.32e+09),
           (-0.621,  2.73e+07),
           (-0.618,  1.59e+08),
           (-0.614,  1.20e+09),
           (-0.611,  2.06e+08),
           (-0.608,  6.15e+08),
           (-0.604,  3.91e+08),
           (-0.601, -1.77e+09),
           (-0.597, -9.86e+08),
           (-0.594, -9.69e+08),
           (-0.591, -7.40e+08),
           (-0.587, -8.25e+07),
           (-0.584,  4.36e+08),
           (-0.581,  1.16e+09),
           (-0.577, -2.17e+08),
           (-0.574, -3.26e+08),
           (-0.570,  2.53e+08),
           (-0.567,  1.36e+08),
           (-0.564, -2.50e+07),
           (-0.560, -3.85e+08),
           (-0.557,  6.73e+08),
           (-0.553,  9.92e+07),
           (-0.550, -8.39e+08),
           (-0.547, -5.28e+07),
           (-0.543, -9.43e+08),
           (-0.540, -1.43e+09),
           (-0.537, -1.24e+09),
           (-0.533,  8.11e+08),
           (-0.530, -1.34e+09),
           (-0.527, -1.40e+08),
           (-0.523, -4.81e+08),
           (-0.520, -1.11e+08),
