Bolide Detection Notification: 2022-070

At 21:22:45 UT on 11 Mar 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 70.0 °N, Lon 9.1 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.93e+11 watts/steradian, and total radiated flash
energy 1.85e+12 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.699,  7.70e+08),
           (-0.695,  5.74e+08),
           (-0.692,  1.48e+09),
           (-0.689, -8.64e+07),
           (-0.685,  9.00e+08),
           (-0.682, -7.23e+08),
           (-0.678, -4.32e+08),
           (-0.675,  1.68e+09),
           (-0.672,  1.19e+09),
           (-0.665, -1.86e+09),
           (-0.662,  1.69e+08),
           (-0.658, -4.71e+08),
           (-0.655,  4.13e+08),
           (-0.651, -1.97e+09),
           (-0.648, -6.82e+08),
           (-0.645, -1.78e+09),
           (-0.641,  1.39e+09),
           (-0.638, -9.62e+06),
           (-0.635, -3.69e+08),
           (-0.631,  5.31e+08),
           (-0.628, -5.99e+08),
           (-0.621,  2.84e+08),
           (-0.618, -1.03e+09),
           (-0.614, -1.45e+09),
           (-0.611,  1.19e+08),
           (-0.608, -3.19e+08),
           (-0.604, -1.26e+09),
           (-0.601,  1.85e+09),
           (-0.597,  5.64e+07),
           (-0.594,  2.26e+09),
           (-0.591, -1.29e+08),
           (-0.587,  1.17e+09),
           (-0.584,  2.22e+08),
           (-0.581,  6.23e+07),
           (-0.577,  9.60e+08),
           (-0.574,  1.01e+09),
           (-0.570, -6.77e+07),
           (-0.567,  1.12e+09),
           (-0.564,  1.74e+09),
           (-0.560,  2.14e+08),
           (-0.557, -9.45e+07),
           (-0.554,  2.21e+08),
           (-0.550,  1.64e+09),
           (-0.543,  1.59e+08),
           (-0.540,  1.49e+09),
           (-0.533,  6.03e+08),
           (-0.530, -2.61e+08),
           (-0.527,  9.00e+08),
           (-0.523,  1.31e+09),
           (-0.513, -7.50e+08),
           (-0.510,  1.25e+09),
           (-0.506,  1.94e+09),
           (-0.503,  2.96e+08),
           (-0.500, -5.75e+08),
           (-0.496,  5.95e+08),
           (-0.493,  1.18e+09),
           (-0.489,  2.61e+08),
           (-0.486,  8.06e+08),
           (-0.483,  5.87e+08),
           (-0.479,  1.36e+09),
           (-0.476,  3.92e+08),
           (-0.473, -1.45e+08),
           (-0.469,  1.82e+09),
           (-0.466,  4.20e+08),
           (-0.462, -4.71e+08),
           (-0.456, -1.77e+08),
           (-0.452,  9.68e+08),
           (-0.449,  1.21e+09),
           (-0.442, -7.30e+08),
           (-0.439,  2.82e+08),
           (-0.435,  7.72e+08),
           (-0.429, -3.76e+08),
           (-0.425,  2.22e+08),
           (-0.422, -8.21e+08),
           (-0.419, -5.75e+08),
           (-0.415,  9.57e+08),
           (-0.412,  1.23e+09),
           (-0.408,  2.14e+08),
           (-0.405,  1.23e+09),
           (-0.402,  3.56e+09),
           (-0.398,  4.38e+08),
           (-0.395, -1.91e+08),
           (-0.392,  1.17e+09),
           (-0.388,  1.93e+09),
           (-0.385,  1.69e+09),
           (-0.381,  9.89e+08),
           (-0.378,  9.05e+08),
           (-0.375,  1.61e+09),
           (-0.371,  5.28e+08),
           (-0.368,  2.80e+09),
           (-0.365,  4.28e+08),
           (-0.361,  1.07e+09),
           (-0.358,  2.15e+09),
           (-0.354, -3.47e+08),
           (-0.351,  1.89e+09),
           (-0.348,  3.49e+08),
           (-0.344,  1.23e+09),
           (-0.341,  6.63e+08),
           (-0.338, -1.03e+09),
           (-0.334,  6.19e+08),
           (-0.327,  3.02e+08),
           (-0.324,  1.22e+09),
           (-0.317,  6.72e+08),
           (-0.314,  1.36e+09),
           (-0.311,  1.17e+09),
           (-0.307,  2.39e+08),
           (-0.304,  8.42e+08),
           (-0.300,  8.38e+08),
           (-0.297,  1.34e+09),
           (-0.294,  1.00e+09),
           (-0.290, -1.19e+08),
           (-0.287,  1.44e+09),
           (-0.284,  1.41e+09),
           (-0.280,  9.63e+08),
           (-0.277,  1.68e+08),
           (-0.273,  2.36e+09),
           (-0.270, -7.97e+07),
           (-0.263,  1.06e+09),
           (-0.260,  2.51e+09),
           (-0.253,  1.33e+08),
           (-0.250,  2.92e+08),
           (-0.246,  1.73e+09),
           (-0.243,  1.08e+09),
           (-0.240,  1.95e+09),
           (-0.236,  2.06e+09),
           (-0.233,  2.13e+08),
           (-0.230, -1.51e+08),
           (-0.226,  1.13e+09),
           (-0.223,  1.69e+09),
           (-0.219, -1.22e+09),
           (-0.216,  3.58e+08),
           (-0.213,  2.89e+09),
           (-0.209,  1.78e+09),
           (-0.206,  1.89e+09),
           (-0.203,  3.86e+09),
           (-0.199,  2.36e+09),
           (-0.196, -3.65e+08),
           (-0.192,  1.70e+09),
           (-0.189,  2.19e+09),
           (-0.186, -9.71e+08),
           (-0.182,  1.83e+09),
           (-0.179,  1.29e+09),
           (-0.176, -4.19e+08),
           (-0.172,  2.46e+09),
           (-0.162,  2.32e+09),
           (-0.159,  1.76e+09),
           (-0.155,  2.47e+09),
           (-0.152,  7.57e+08),
           (-0.149,  2.12e+09),
           (-0.145,  2.07e+09),
           (-0.142,  2.14e+08),
           (-0.138,  2.72e+09),
           (-0.135,  2.25e+09),
           (-0.132,  2.03e+09),
           (-0.128,  2.26e+09),
           (-0.125,  4.90e+08),
           (-0.122,  4.92e+07),
           (-0.118,  3.07e+09),
           (-0.115,  1.42e+09),
           (-0.111,  2.54e+09),
           (-0.108,  2.41e+09),
           (-0.105, -4.50e+08),
           (-0.095,  2.65e+09),
           (-0.091,  1.20e+09),
           (-0.088,  2.85e+09),
           (-0.084,  3.37e+09),
           (-0.081,  3.32e+09),
           (-0.078,  1.58e+09),
           (-0.074,  2.76e+09),
           (-0.071,  2.51e+09),
           (-0.068,  2.52e+09),
           (-0.064,  1.41e+09),
           (-0.061,  2.97e+09),
           (-0.057,  3.92e+09),
           (-0.054,  3.45e+09),
           (-0.051,  4.10e+09),
           (-0.037,  1.78e+09),
           (-0.034,  2.36e+09),
           (-0.027,  3.05e+09),
           (-0.020,  3.88e+09),
           (-0.017,  3.66e+09),
           (-0.014,  3.82e+09),
           (-0.010,  5.64e+09),
           (-0.007,  5.01e+09),
           (-0.003,  6.10e+09),
           (-0.000,  6.81e+09),
           ( 0.003,  4.06e+09),
           ( 0.010,  6.22e+09),
           ( 0.013,  6.44e+09),
           ( 0.017,  7.09e+09),
           ( 0.020,  7.11e+09),
           ( 0.024,  4.59e+09),
           ( 0.027,  5.19e+09),
           ( 0.030,  6.84e+09),
           ( 0.034,  3.12e+09),
           ( 0.037,  6.17e+09),
           ( 0.040,  5.32e+09),
           ( 0.044,  7.64e+09),
           ( 0.047,  5.94e+09),
           ( 0.054,  8.80e+09),
           ( 0.057,  7.50e+09),
           ( 0.061,  7.85e+09),
           ( 0.064,  9.34e+09),
           ( 0.067,  7.79e+09),
           ( 0.071,  9.77e+09),
           ( 0.074,  1.04e+10),
           ( 0.078,  9.77e+09),
           ( 0.081,  9.83e+09),
           ( 0.084,  1.18e+10),
           ( 0.088,  1.13e+10),
           ( 0.091,  1.02e+10),
           ( 0.094,  1.08e+10),
           ( 0.101,  1.46e+10),
           ( 0.105,  1.42e+10),
           ( 0.108,  1.62e+10),
           ( 0.118,  2.02e+10),
           ( 0.121,  2.07e+10),
           ( 0.125,  2.21e+10),
           ( 0.128,  2.17e+10),
           ( 0.132,  2.21e+10),
           ( 0.135,  2.07e+10),
           ( 0.138,  2.32e+10),
           ( 0.142,  2.40e+10),
           ( 0.145,  2.11e+10),
           ( 0.148,  2.42e+10),
           ( 0.152,  2.21e+10),
           ( 0.155,  2.30e+10),
           ( 0.159,  1.99e+10),
           ( 0.162,  2.29e+10),
           ( 0.165,  2.19e+10),
           ( 0.169,  2.48e+10),
           ( 0.172,  2.57e+10),
           ( 0.175,  2.29e+10),
           ( 0.179,  2.32e+10),
           ( 0.182,  2.48e+10),
           ( 0.186,  2.45e+10),
           ( 0.189,  2.38e+10),
           ( 0.192,  2.64e+10),
           ( 0.199,  2.93e+10),
           ( 0.202,  3.14e+10),
           ( 0.206,  3.04e+10),
           ( 0.209,  3.11e+10),
           ( 0.213,  3.31e+10),
           ( 0.216,  3.24e+10),
           ( 0.219,  3.27e+10),
           ( 0.223,  3.32e+10),
           ( 0.226,  3.28e+10),
           ( 0.229,  3.45e+10),
           ( 0.233,  3.39e+10),
           ( 0.236,  3.86e+10),
           ( 0.240,  3.94e+10),
           ( 0.243,  4.07e+10),
           ( 0.246,  4.02e+10),
           ( 0.253,  4.76e+10),
           ( 0.256,  4.68e+10),
           ( 0.263,  4.96e+10),
           ( 0.267,  5.11e+10),
           ( 0.270,  5.00e+10),
           ( 0.273,  5.33e+10),
           ( 0.277,  5.42e+10),
           ( 0.280,  5.77e+10),
           ( 0.283,  5.88e+10),
           ( 0.287,  6.27e+10),
           ( 0.294,  6.74e+10),
           ( 0.297,  7.24e+10),
           ( 0.300,  7.46e+10),
           ( 0.304,  7.86e+10),
           ( 0.310,  8.93e+10),
           ( 0.314,  9.03e+10),
           ( 0.317,  9.22e+10),
           ( 0.321,  9.29e+10),
           ( 0.324,  9.43e+10),
           ( 0.327,  9.73e+10),
           ( 0.331,  1.02e+11),
           ( 0.334,  1.04e+11),
           ( 0.341,  1.13e+11),
           ( 0.344,  1.13e+11),
           ( 0.351,  1.19e+11),
           ( 0.354,  1.19e+11),
           ( 0.358,  1.19e+11),
           ( 0.361,  1.20e+11),
           ( 0.364,  1.22e+11),
           ( 0.368,  1.21e+11),
           ( 0.371,  1.22e+11),
           ( 0.375,  1.20e+11),
           ( 0.378,  1.20e+11),
           ( 0.385,  1.24e+11),
           ( 0.388,  1.29e+11),
           ( 0.391,  1.31e+11),
           ( 0.395,  1.35e+11),
           ( 0.398,  1.42e+11),
           ( 0.402,  1.41e+11),
           ( 0.405,  1.40e+11),
           ( 0.408,  1.42e+11),
           ( 0.412,  1.43e+11),
           ( 0.415,  1.43e+11),
           ( 0.418,  1.42e+11),
           ( 0.425,  1.48e+11),
           ( 0.429,  1.47e+11),
           ( 0.432,  1.50e+11),
           ( 0.435,  1.48e+11),
           ( 0.439,  1.48e+11),
           ( 0.442,  1.49e+11),
           ( 0.445,  1.49e+11),
           ( 0.449,  1.48e+11),
           ( 0.452,  1.52e+11),
           ( 0.456,  1.52e+11),
           ( 0.459,  1.51e+11),
           ( 0.462,  1.55e+11),
           ( 0.466,  1.54e+11),
           ( 0.469,  1.55e+11),
           ( 0.472,  1.55e+11),
           ( 0.483,  1.59e+11),
           ( 0.489,  1.60e+11),
           ( 0.493,  1.63e+11),
           ( 0.499,  1.71e+11),
           ( 0.503,  1.77e+11),
           ( 0.506,  1.81e+11),
           ( 0.510,  1.83e+11),
           ( 0.513,  1.88e+11),
           ( 0.516,  1.89e+11),
           ( 0.520,  1.94e+11),
           ( 0.523,  1.97e+11),
           ( 0.530,  2.05e+11),
           ( 0.533,  2.08e+11),
           ( 0.537,  2.10e+11),
           ( 0.543,  2.15e+11),
           ( 0.550,  2.21e+11),
           ( 0.557,  2.33e+11),
           ( 0.567,  2.49e+11),
           ( 0.570,  2.53e+11),
           ( 0.574,  2.56e+11),
           ( 0.580,  2.57e+11),
           ( 0.584,  2.59e+11),
           ( 0.591,  2.62e+11),
           ( 0.594,  2.60e+11),
           ( 0.601,  2.65e+11),
           ( 0.604,  2.68e+11),
           ( 0.607,  2.74e+11),
           ( 0.611,  2.81e+11),
           ( 0.614,  2.84e+11),
           ( 0.618,  2.90e+11),
           ( 0.621,  2.93e+11),
           ( 0.628,  2.85e+11),
           ( 0.631,  2.83e+11),
           ( 0.638,  2.68e+11),
           ( 0.645,  2.61e+11),
           ( 0.648,  2.55e+11),
           ( 0.651,  2.53e+11),
           ( 0.655,  2.53e+11),
           ( 0.658,  2.53e+11),
           ( 0.661,  2.50e+11),
           ( 0.665,  2.50e+11),
           ( 0.668,  2.51e+11),
           ( 0.675,  2.50e+11),
           ( 0.682,  2.56e+11),
           ( 0.685,  2.54e+11),
           ( 0.688,  2.55e+11),
           ( 0.692,  2.50e+11),
           ( 0.695,  2.49e+11),
           ( 0.699,  2.49e+11),
           ( 0.702,  2.48e+11),
           ( 0.709,  2.41e+11),
           ( 0.712,  2.41e+11),
           ( 0.715,  2.35e+11),
           ( 0.719,  2.31e+11),
           ( 0.722,  2.30e+11),
           ( 0.726,  2.28e+11),
           ( 0.736,  2.22e+11),
           ( 0.739,  2.19e+11),
           ( 0.742,  2.19e+11),
           ( 0.746,  2.21e+11),
           ( 0.749,  2.21e+11),
           ( 0.753,  2.23e+11),
           ( 0.763,  2.32e+11),
           ( 0.766,  2.33e+11),
           ( 0.769,  2.34e+11),
           ( 0.773,  2.37e+11),
           ( 0.780,  2.40e+11),
           ( 0.783,  2.38e+11),
           ( 0.786,  2.36e+11),
           ( 0.790,  2.35e+11),
           ( 0.793,  2.32e+11),
           ( 0.796,  2.30e+11),
           ( 0.800,  2.32e+11),
           ( 0.803,  2.35e+11),
           ( 0.807,  2.36e+11),
           ( 0.810,  2.36e+11),
           ( 0.813,  2.32e+11),
           ( 0.817,  2.23e+11),
           ( 0.820,  2.20e+11),
           ( 0.823,  2.21e+11),
           ( 0.830,  2.27e+11),
           ( 0.834,  2.24e+11),
           ( 0.837,  2.25e+11),
           ( 0.840,  2.22e+11),
           ( 0.844,  2.18e+11),
           ( 0.850,  2.11e+11),
           ( 0.857,  2.00e+11),
           ( 0.861,  1.94e+11),
           ( 0.864,  1.91e+11),
           ( 0.867,  1.87e+11),
           ( 0.871,  1.84e+11),
           ( 0.874,  1.79e+11),
           ( 0.877,  1.76e+11),
           ( 0.881,  1.75e+11),
           ( 0.891,  1.69e+11),
           ( 0.894,  1.67e+11),
           ( 0.901,  1.61e+11),
           ( 0.904,  1.59e+11),
           ( 0.908,  1.56e+11),
           ( 0.911,  1.55e+11),
           ( 0.921,  1.45e+11),
           ( 0.925,  1.43e+11),
           ( 0.928,  1.44e+11),
           ( 0.935,  1.37e+11),
           ( 0.938,  1.34e+11),
           ( 0.942,  1.32e+11),
           ( 0.945,  1.28e+11),
           ( 0.948,  1.27e+11),
           ( 0.965,  1.11e+11),
           ( 0.972,  1.07e+11),
           ( 0.979,  1.01e+11),
           ( 0.982,  9.80e+10),
           ( 0.989,  9.11e+10),
           ( 0.996,  8.79e+10),
           ( 0.999,  8.49e+10),
           ( 1.002,  8.37e+10),
           ( 1.006,  8.17e+10),
           ( 1.009,  7.91e+10),
           ( 1.012,  7.76e+10),
           ( 1.016,  7.34e+10),
           ( 1.019,  7.16e+10),
           ( 1.023,  7.11e+10),
           ( 1.033,  6.08e+10),
           ( 1.039,  5.86e+10),
           ( 1.043,  5.93e+10),
           ( 1.046,  5.74e+10),
           ( 1.050,  5.47e+10),
           ( 1.053,  5.40e+10),
           ( 1.056,  5.12e+10),
           ( 1.060,  5.08e+10),
           ( 1.066,  4.77e+10),
           ( 1.070,  4.44e+10),
           ( 1.077,  4.24e+10),
           ( 1.080,  4.22e+10),
           ( 1.083,  4.08e+10),
           ( 1.087,  3.89e+10),
           ( 1.090,  3.82e+10),
           ( 1.093,  3.63e+10),
           ( 1.097,  3.28e+10),
           ( 1.110,  3.10e+10),
           ( 1.114,  3.02e+10),
           ( 1.117,  2.50e+10),
           ( 1.120,  2.64e+10),
           ( 1.124,  2.44e+10),
           ( 1.137,  2.22e+10),
           ( 1.141,  2.00e+10),
           ( 1.144,  1.91e+10),
           ( 1.151,  1.79e+10),
           ( 1.154,  1.79e+10),
           ( 1.158,  1.52e+10),
           ( 1.161,  1.46e+10),
           ( 1.168,  1.43e+10),
           ( 1.171,  1.37e+10),
           ( 1.174,  1.48e+10),
           ( 1.178,  1.39e+10),
           ( 1.181,  1.17e+10),
