Bolide Detection Notification: 2010-067

At 22:02:07 UT on 08 Mar 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 32.0 °N, Lon 92.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.78e+10 watts/steradian, and total radiated flash
energy 3.19e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -7.28e+08),
           (-0.996,  5.17e+08),
           (-0.992, -1.30e+08),
           (-0.989, -1.25e+09),
           (-0.986,  1.10e+09),
           (-0.982,  2.46e+08),
           (-0.979, -1.59e+09),
           (-0.972,  7.61e+08),
           (-0.969,  9.94e+08),
           (-0.965, -1.14e+08),
           (-0.962, -2.22e+07),
           (-0.958, -1.38e+09),
           (-0.955,  7.15e+08),
           (-0.952, -8.19e+07),
           (-0.948,  9.61e+07),
           (-0.945, -6.17e+08),
           (-0.942, -2.51e+08),
           (-0.938, -4.85e+08),
           (-0.935, -8.97e+08),
           (-0.931, -8.27e+08),
           (-0.928,  4.09e+08),
           (-0.925,  9.03e+08),
           (-0.921,  6.04e+07),
           (-0.915,  1.18e+09),
           (-0.911,  6.58e+08),
           (-0.908,  8.96e+08),
           (-0.904, -2.27e+08),
           (-0.901,  1.36e+09),
           (-0.898,  1.29e+09),
           (-0.891, -4.80e+08),
           (-0.888,  1.36e+09),
           (-0.881,  3.86e+07),
           (-0.877,  7.92e+08),
           (-0.871, -1.00e+09),
           (-0.867,  2.91e+07),
           (-0.861,  9.78e+08),
           (-0.857,  5.55e+08),
           (-0.854,  1.04e+09),
           (-0.851, -5.77e+08),
           (-0.847, -2.93e+07),
           (-0.844, -1.50e+08),
           (-0.840,  9.26e+08),
           (-0.837,  1.02e+08),
           (-0.834,  3.75e+08),
           (-0.830, -4.95e+08),
           (-0.827,  5.26e+08),
           (-0.823, -4.28e+08),
           (-0.820,  1.05e+09),
           (-0.817,  4.74e+08),
           (-0.813,  4.38e+08),
           (-0.810,  1.94e+09),
           (-0.807,  3.43e+08),
           (-0.803,  1.80e+08),
           (-0.800,  1.25e+09),
           (-0.796, -2.01e+08),
           (-0.793, -1.56e+08),
           (-0.790,  2.25e+08),
           (-0.786,  8.67e+08),
           (-0.783,  2.56e+08),
           (-0.780,  9.59e+08),
           (-0.776, -1.03e+09),
           (-0.773, -1.96e+08),
           (-0.769,  1.93e+09),
           (-0.766, -7.13e+08),
           (-0.763, -9.65e+08),
           (-0.759, -6.18e+08),
           (-0.756, -8.94e+08),
           (-0.753,  4.94e+08),
           (-0.749, -7.33e+08),
           (-0.746, -5.27e+08),
           (-0.742,  5.32e+08),
           (-0.739, -6.29e+08),
           (-0.736,  3.05e+08),
           (-0.732,  6.11e+08),
           (-0.729,  3.04e+08),
           (-0.726,  1.88e+08),
           (-0.722, -3.33e+08),
           (-0.719, -1.73e+08),
           (-0.716,  1.01e+09),
           (-0.712, -3.98e+08),
           (-0.709,  1.24e+09),
           (-0.702,  5.76e+08),
           (-0.699,  1.10e+09),
           (-0.695,  1.38e+09),
           (-0.692, -1.88e+08),
           (-0.689,  2.41e+08),
           (-0.685,  2.82e+08),
           (-0.682,  4.47e+08),
           (-0.678, -2.35e+08),
           (-0.675,  3.56e+08),
           (-0.672,  1.19e+09),
           (-0.668,  3.57e+07),
           (-0.665,  3.64e+08),
           (-0.661,  5.32e+08),
           (-0.658,  2.81e+08),
           (-0.655,  5.44e+08),
           (-0.651,  5.17e+08),
           (-0.645,  3.94e+08),
           (-0.641,  9.56e+08),
           (-0.638, -9.09e+08),
           (-0.634,  1.03e+09),
           (-0.631, -4.62e+07),
           (-0.628,  1.10e+07),
           (-0.624,  2.61e+08),
           (-0.621,  3.69e+08),
           (-0.618,  8.10e+08),
           (-0.614, -1.99e+08),
           (-0.611,  4.41e+08),
           (-0.607, -3.11e+08),
           (-0.604,  5.80e+08),
           (-0.601,  7.10e+08),
           (-0.597, -3.29e+08),
           (-0.594, -2.05e+08),
           (-0.591,  1.31e+09),
           (-0.584,  4.69e+08),
