Bolide Detection Notification: 2011-101

At 21:43:40 UT on 11 Apr 2011, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.89e+10 watts/steradian, and total radiated flash
energy 3.81e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.199, -2.39e+08),
           (-0.196,  2.02e+08),
           (-0.192, -7.18e+08),
           (-0.189,  2.91e+08),
           (-0.186, -6.04e+08),
           (-0.182, -7.41e+08),
           (-0.179, -5.81e+08),
           (-0.176, -1.20e+09),
           (-0.172, -1.57e+08),
           (-0.169, -3.18e+07),
           (-0.165, -6.48e+08),
           (-0.162, -1.07e+09),
           (-0.159, -1.08e+09),
           (-0.155, -2.26e+08),
           (-0.152, -3.71e+08),
           (-0.149,  7.15e+08),
           (-0.145, -2.38e+08),
           (-0.142,  5.41e+07),
           (-0.138, -4.21e+08),
           (-0.135, -6.92e+08),
           (-0.132, -6.75e+05),
           (-0.128,  4.77e+08),
           (-0.125, -2.21e+08),
           (-0.121, -3.33e+08),
           (-0.118, -4.01e+08),
           (-0.115, -5.87e+08),
           (-0.111,  1.45e+08),
           (-0.108, -2.97e+07),
           (-0.105,  1.08e+08),
           (-0.101, -1.06e+08),
           (-0.098, -1.04e+09),
           (-0.095, -3.61e+08),
           (-0.091,  6.14e+08),
           (-0.088,  1.19e+08),
           (-0.084,  3.92e+07),
           (-0.081, -2.18e+08),
           (-0.078, -1.14e+09),
           (-0.074, -1.13e+08),
           (-0.071, -3.73e+08),
           (-0.068, -4.84e+08),
           (-0.064, -2.02e+08),
           (-0.061, -9.00e+08),
           (-0.057,  4.61e+08),
           (-0.054,  3.33e+08),
           (-0.051, -1.80e+08),
           (-0.047, -7.89e+08),
           (-0.044,  1.46e+09),
           (-0.040, -3.21e+08),
           (-0.034,  1.74e+08),
           (-0.030, -5.43e+04),
           (-0.027,  1.69e+08),
           (-0.024,  1.18e+09),
           (-0.020,  1.79e+09),
           (-0.017,  1.89e+09),
           (-0.014,  3.45e+09),
           (-0.010,  4.63e+09),
           (-0.003,  5.12e+09),
           ( 0.000,  6.58e+09),
           ( 0.003,  7.11e+09),
           ( 0.007,  7.59e+09),
           ( 0.010,  8.61e+09),
           ( 0.014,  7.59e+09),
           ( 0.017,  7.35e+09),
           ( 0.020,  7.23e+09),
           ( 0.024,  7.49e+09),
           ( 0.027,  7.00e+09),
           ( 0.030,  7.42e+09),
           ( 0.034,  9.50e+09),
           ( 0.037,  1.03e+10),
           ( 0.040,  1.00e+10),
           ( 0.044,  1.04e+10),
           ( 0.047,  1.00e+10),
           ( 0.051,  1.04e+10),
           ( 0.054,  1.06e+10),
           ( 0.057,  1.19e+10),
           ( 0.061,  1.42e+10),
           ( 0.064,  1.59e+10),
           ( 0.067,  1.74e+10),
           ( 0.071,  1.84e+10),
           ( 0.074,  1.87e+10),
           ( 0.078,  1.89e+10),
           ( 0.081,  1.78e+10),
           ( 0.084,  1.69e+10),
           ( 0.091,  1.54e+10),
           ( 0.094,  1.54e+10),
           ( 0.098,  1.73e+10),
           ( 0.101,  1.79e+10),
           ( 0.105,  1.80e+10),
           ( 0.108,  1.54e+10),
           ( 0.111,  1.44e+10),
           ( 0.115,  1.41e+10),
           ( 0.118,  1.46e+10),
           ( 0.121,  1.57e+10),
           ( 0.125,  1.26e+10),
           ( 0.128,  1.22e+10),
           ( 0.132,  1.03e+10),
           ( 0.135,  1.05e+10),
           ( 0.138,  9.74e+09),
           ( 0.142,  1.01e+10),
           ( 0.145,  9.27e+09),
           ( 0.149,  8.89e+09),
           ( 0.152,  8.45e+09),
           ( 0.155,  8.78e+09),
           ( 0.159,  7.84e+09),
           ( 0.162,  8.25e+09),
           ( 0.165,  6.74e+09),
           ( 0.169,  7.42e+09),
           ( 0.172,  8.60e+09),
           ( 0.175,  7.21e+09),
           ( 0.179,  6.86e+09),
           ( 0.182,  6.97e+09),
           ( 0.186,  7.47e+09),
