Bolide Detection Notification: 2013-357

At 08:30:58 UT on 23 Dec 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 39.5 °N, Lon 2.0 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.87e+10 watts/steradian, and total radiated flash
energy 2.84e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.498,  1.19e+09),
           (-1.495, -6.71e+08),
           (-1.492,  1.04e+09),
           (-1.488,  2.81e+08),
           (-1.485,  4.59e+08),
           (-1.482,  4.13e+09),
           (-1.478,  3.13e+09),
           (-1.475,  3.27e+09),
           (-1.471,  3.66e+09),
           (-1.468,  3.45e+09),
           (-1.465,  2.05e+09),
           (-1.461,  1.81e+09),
           (-1.458,  1.75e+09),
           (-1.455,  3.63e+09),
           (-1.451,  2.38e+09),
           (-1.448,  1.82e+09),
           (-1.444,  3.82e+08),
           (-1.441,  2.92e+09),
           (-1.434,  1.40e+09),
           (-1.431,  1.53e+09),
           (-1.428,  6.71e+08),
           (-1.424,  2.33e+09),
           (-1.421,  1.18e+09),
           (-1.417,  3.02e+09),
           (-1.414,  2.06e+09),
           (-1.411,  3.54e+09),
           (-1.407,  1.47e+09),
           (-1.404,  3.23e+09),
           (-1.401,  2.20e+09),
           (-1.397,  4.64e+09),
           (-1.394,  3.96e+09),
           (-1.390,  1.89e+09),
           (-1.387,  3.07e+09),
           (-1.384,  2.14e+09),
           (-1.380,  4.14e+09),
           (-1.377,  4.46e+09),
           (-1.374,  2.88e+09),
           (-1.367,  1.87e+09),
           (-1.360,  2.02e+09),
           (-1.357, -1.14e+09),
           (-1.353,  1.94e+09),
           (-1.350,  1.77e+09),
           (-1.347,  1.73e+09),
           (-1.343,  3.46e+09),
           (-1.340,  3.30e+09),
           (-1.337,  2.92e+09),
           (-1.333,  3.12e+09),
           (-1.330,  1.43e+09),
           (-1.326,  1.68e+09),
           (-1.323,  3.40e+09),
           (-1.320,  3.32e+09),
           (-1.316,  1.97e+09),
           (-1.313,  1.88e+09),
           (-1.309,  1.17e+09),
           (-1.306, -1.51e+08),
           (-1.303,  1.87e+09),
           (-1.299,  2.09e+09),
           (-1.296,  2.43e+09),
           (-1.293,  1.20e+09),
           (-1.289,  2.69e+09),
           (-1.286,  2.66e+09),
           (-1.282,  2.60e+09),
           (-1.279,  4.61e+09),
           (-1.276,  2.42e+09),
           (-1.272,  2.27e+09),
           (-1.269,  3.01e+08),
           (-1.266,  4.02e+09),
           (-1.259,  1.06e+09),
           (-1.255,  4.62e+09),
           (-1.252,  3.40e+09),
           (-1.249, -4.08e+08),
           (-1.245,  2.46e+09),
