Bolide Detection Notification: 2014-149

At 01:12:36 UT on 29 May 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 21.9 °N, Lon 133.1 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.05e+10 watts/steradian, and total radiated flash
energy 3.77e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597, -2.86e+09),
           (-0.594, -1.29e+09),
           (-0.591, -1.65e+09),
           (-0.587, -1.39e+09),
           (-0.584,  6.81e+08),
           (-0.580, -1.46e+09),
           (-0.577, -1.33e+09),
           (-0.574,  2.85e+09),
           (-0.570,  2.09e+09),
           (-0.567, -1.49e+09),
           (-0.564, -1.74e+09),
           (-0.560,  1.88e+09),
           (-0.557, -6.01e+08),
           (-0.553, -1.21e+09),
           (-0.550, -1.30e+09),
           (-0.547,  9.02e+07),
           (-0.543, -7.37e+08),
           (-0.540, -1.89e+09),
           (-0.537,  7.65e+08),
           (-0.533, -2.12e+09),
           (-0.530, -8.13e+08),
           (-0.526,  2.67e+08),
           (-0.523, -2.22e+09),
           (-0.520, -1.22e+09),
           (-0.516, -1.11e+09),
           (-0.513, -1.93e+09),
           (-0.510,  1.35e+08),
           (-0.506,  1.44e+07),
           (-0.503,  1.45e+08),
           (-0.499, -7.97e+07),
           (-0.496, -1.48e+09),
           (-0.493, -1.57e+09),
           (-0.489,  5.08e+08),
           (-0.486, -6.78e+07),
           (-0.483, -8.99e+08),
           (-0.479,  1.26e+09),
           (-0.476,  8.43e+07),
           (-0.472, -1.59e+09),
           (-0.469, -1.51e+09),
           (-0.466,  7.45e+06),
           (-0.462, -7.51e+08),
           (-0.459, -2.22e+09),
           (-0.456,  5.25e+08),
           (-0.452,  5.96e+08),
           (-0.449, -1.85e+09),
           (-0.445,  5.00e+08),
           (-0.442, -9.25e+07),
           (-0.439, -2.20e+09),
           (-0.435, -1.64e+09),
           (-0.432,  4.75e+08),
           (-0.429, -5.39e+08),
           (-0.425,  8.09e+08),
           (-0.422,  1.51e+09),
           (-0.418, -1.56e+09),
           (-0.415,  2.09e+08),
           (-0.412,  1.02e+09),
           (-0.408,  6.68e+08),
           (-0.405, -1.48e+09),
           (-0.402,  2.61e+09),
           (-0.398, -2.47e+08),
           (-0.395, -7.59e+08),
           (-0.391,  1.22e+07),
           (-0.388, -1.50e+08),
           (-0.385,  1.66e+09),
           (-0.381,  1.34e+09),
           (-0.378, -7.11e+08),
           (-0.375,  7.45e+08),
           (-0.371,  7.90e+08),
           (-0.368,  1.83e+09),
           (-0.364,  1.16e+09),
           (-0.361,  2.79e+09),
           (-0.358,  1.87e+09),
           (-0.354,  2.51e+09),
           (-0.351,  1.92e+09),
           (-0.348,  2.95e+09),
           (-0.344,  3.00e+08),
           (-0.341,  8.14e+08),
           (-0.337,  1.52e+09),
           (-0.334,  1.33e+09),
           (-0.331,  2.28e+09),
           (-0.327,  3.13e+08),
           (-0.324,  2.85e+09),
           (-0.321,  2.43e+09),
           (-0.317,  2.80e+09),
           (-0.314,  1.61e+09),
           (-0.310,  8.25e+08),
           (-0.307,  2.37e+08),
           (-0.304,  2.54e+09),
           (-0.300,  2.87e+09),
           (-0.297,  1.53e+09),
           (-0.294,  1.25e+09),
           (-0.290,  2.79e+09),
           (-0.287,  2.05e+09),
           (-0.283,  3.14e+09),
           (-0.280,  3.07e+09),
           (-0.277,  1.71e+09),
           (-0.273,  4.65e+09),
           (-0.270,  2.33e+09),
           (-0.267,  3.22e+09),
           (-0.263,  5.08e+09),
           (-0.260,  1.51e+09),
           (-0.256,  3.91e+09),
           (-0.250,  1.05e+09),
           (-0.246,  2.31e+09),
           (-0.243,  3.82e+09),
           (-0.240,  1.54e+09),
           (-0.236,  4.03e+09),
           (-0.233,  4.10e+09),
           (-0.229, -1.98e+08),
           (-0.226,  2.58e+09),
           (-0.223,  2.32e+09),
           (-0.219,  3.27e+09),
           (-0.216,  2.82e+09),
           (-0.213,  3.11e+09),
           (-0.209,  2.28e+09),
           (-0.206,  4.29e+09),
           (-0.202,  4.60e+09),
           (-0.199,  2.10e+09),
           (-0.196,  1.36e+09),
           (-0.192,  3.16e+08),
           (-0.189,  1.92e+09),
           (-0.186,  2.55e+09),
           (-0.182,  1.67e+09),
           (-0.179,  1.56e+09),
           (-0.175,  2.14e+09),
           (-0.172,  2.94e+09),
           (-0.169,  1.03e+09),
           (-0.165,  1.64e+09),
           (-0.162,  1.93e+09),
           (-0.159,  1.08e+09),
           (-0.155,  2.10e+09),
           (-0.152,  1.51e+09),
           (-0.148,  2.68e+09),
           (-0.145,  2.80e+09),
           (-0.142,  1.60e+09),
           (-0.138,  1.15e+09),
           (-0.135, -1.59e+09),
           (-0.132,  2.91e+09),
           (-0.128,  2.18e+09),
           (-0.125,  2.51e+09),
           (-0.121,  4.34e+09),
           (-0.118,  3.47e+09),
           (-0.115,  1.86e+09),
           (-0.111,  4.01e+09),
           (-0.108,  4.59e+09),
           (-0.105,  3.81e+09),
           (-0.098,  5.03e+09),
           (-0.095,  2.96e+08),
           (-0.091,  2.67e+09),
           (-0.088,  3.08e+09),
           (-0.084,  2.81e+09),
           (-0.081,  4.54e+09),
           (-0.078,  2.30e+09),
           (-0.074,  4.43e+09),
           (-0.071,  3.25e+09),
           (-0.067,  4.65e+09),
           (-0.064,  4.76e+09),
           (-0.061,  2.44e+09),
           (-0.054,  5.58e+09),
           (-0.051,  3.47e+09),
           (-0.044,  7.37e+09),
           (-0.040,  4.70e+09),
           (-0.037,  6.95e+09),
           (-0.034,  5.78e+09),
           (-0.030,  3.31e+09),
           (-0.027,  5.64e+09),
           (-0.024,  3.15e+09),
           (-0.020,  4.46e+09),
