Bolide Detection Notification: 2014-179

At 02:40:05 UT on 28 Jun 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 19.0 °N, Lon 141.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.72e+10 watts/steradian, and total radiated flash
energy 2.45e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  7.69e+08),
           (-0.996,  8.03e+08),
           (-0.992,  1.50e+09),
           (-0.989, -3.87e+08),
           (-0.986, -1.25e+09),
           (-0.982,  7.79e+08),
           (-0.979, -5.97e+08),
           (-0.975, -9.79e+08),
           (-0.972, -6.07e+08),
           (-0.969, -6.57e+08),
           (-0.965, -3.04e+08),
           (-0.962, -1.55e+09),
           (-0.958,  3.82e+07),
           (-0.955, -5.91e+08),
           (-0.952,  4.45e+08),
           (-0.948, -3.67e+07),
           (-0.945,  3.90e+08),
           (-0.942, -1.51e+09),
           (-0.938, -7.45e+08),
           (-0.935,  6.84e+08),
           (-0.928, -9.23e+08),
           (-0.925,  7.39e+08),
           (-0.921, -9.34e+08),
           (-0.918, -2.03e+09),
           (-0.915,  8.18e+05),
           (-0.911, -1.10e+09),
           (-0.908, -4.33e+08),
           (-0.905, -1.45e+09),
           (-0.901, -7.35e+07),
           (-0.898,  3.51e+08),
           (-0.894,  2.43e+08),
           (-0.891, -9.13e+07),
           (-0.888, -8.47e+07),
           (-0.884, -1.44e+09),
           (-0.881,  1.03e+09),
           (-0.878, -9.55e+08),
           (-0.874,  4.64e+08),
           (-0.871, -8.59e+08),
           (-0.867, -1.52e+09),
           (-0.864,  4.62e+08),
           (-0.861,  4.39e+06),
           (-0.857,  5.83e+08),
           (-0.851, -3.15e+08),
           (-0.847, -3.13e+08),
           (-0.844, -2.94e+09),
           (-0.840,  2.55e+09),
           (-0.834, -9.96e+08),
           (-0.830, -1.32e+08),
           (-0.827,  1.65e+09),
           (-0.823, -8.07e+08),
