Bolide Detection Notification: 2014-235

At 06:29:41 UT on 23 Aug 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 61.7 °S, Lon 132.4 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.51e+11 watts/steradian, and total radiated flash
energy 3.82e+12 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.250,  1.01e+09),
           (-0.246,  1.18e+09),
           (-0.243,  2.31e+09),
           (-0.240,  1.39e+09),
           (-0.236,  3.41e+09),
           (-0.233,  3.89e+09),
           (-0.226,  2.56e+09),
           (-0.219,  3.93e+09),
           (-0.216,  3.18e+09),
           (-0.213,  3.46e+09),
           (-0.209,  2.86e+09),
           (-0.206,  3.61e+09),
           (-0.203,  3.60e+09),
           (-0.199,  2.33e+09),
           (-0.196,  4.17e+09),
           (-0.192,  4.40e+09),
           (-0.189,  3.85e+09),
           (-0.186,  1.13e+09),
           (-0.182,  1.38e+09),
           (-0.179,  3.75e+09),
           (-0.175,  4.83e+09),
           (-0.165, -3.84e+08),
           (-0.162,  3.69e+09),
           (-0.155, -3.61e+08),
           (-0.152,  5.89e+09),
           (-0.148,  1.35e+09),
           (-0.145,  1.89e+09),
           (-0.138,  1.30e+09),
           (-0.135,  3.90e+09),
           (-0.132,  2.07e+09),
           (-0.128,  2.07e+09),
           (-0.125,  1.61e+09),
           (-0.121,  3.04e+09),
           (-0.118,  3.30e+09),
           (-0.115,  4.75e+09),
           (-0.111,  2.04e+09),
           (-0.108,  3.84e+09),
           (-0.105,  2.96e+09),
           (-0.101,  4.02e+09),
           (-0.098,  2.73e+09),
           (-0.095,  4.97e+09),
           (-0.091,  4.79e+09),
           (-0.088,  3.00e+09),
           (-0.084,  1.96e+09),
           (-0.081,  1.56e+09),
           (-0.074,  1.74e+09),
           (-0.071,  2.63e+09),
           (-0.068,  4.34e+09),
           (-0.064,  3.47e+09),
           (-0.061,  4.74e+09),
           (-0.057,  3.83e+09),
           (-0.054,  6.44e+09),
           (-0.051,  6.64e+09),
           (-0.047,  3.65e+09),
           (-0.044,  2.99e+09),
           (-0.040,  7.57e+09),
           (-0.037,  2.84e+09),
           (-0.034,  4.36e+09),
           (-0.027,  3.79e+09),
           (-0.024,  7.06e+09),
           (-0.020,  5.53e+09),
           (-0.017,  7.51e+09),
           (-0.013,  7.18e+09),
           (-0.010,  1.11e+10),
           (-0.007,  7.37e+09),
           (-0.003,  8.10e+09),
           ( 0.000,  1.03e+10),
           ( 0.003,  1.02e+10),
           ( 0.007,  1.13e+10),
           ( 0.010,  1.12e+10),
           ( 0.014,  9.62e+09),
           ( 0.017,  8.68e+09),
           ( 0.020,  1.13e+10),
           ( 0.024,  8.03e+09),
           ( 0.027,  8.68e+09),
           ( 0.030,  7.43e+09),
           ( 0.034,  8.71e+09),
           ( 0.037,  6.72e+09),
           ( 0.040,  9.45e+09),
           ( 0.044,  8.29e+09),
           ( 0.047,  9.61e+09),
           ( 0.051,  7.48e+09),
           ( 0.054,  8.50e+09),
           ( 0.057,  8.27e+09),
           ( 0.061,  9.52e+09),
           ( 0.064,  1.19e+10),
           ( 0.068,  9.75e+09),
           ( 0.071,  9.86e+09),
           ( 0.074,  7.50e+09),
           ( 0.078,  8.26e+09),
           ( 0.081,  6.98e+09),
           ( 0.084,  7.36e+09),
           ( 0.088,  9.68e+09),
           ( 0.091,  9.84e+09),
           ( 0.095,  1.07e+10),
           ( 0.098,  9.36e+09),
           ( 0.101,  9.41e+09),
           ( 0.105,  1.05e+10),
           ( 0.108,  1.06e+10),
           ( 0.115,  9.49e+09),
           ( 0.118,  1.06e+10),
           ( 0.121,  7.51e+09),
           ( 0.128,  7.91e+09),
           ( 0.132,  9.08e+09),
           ( 0.135,  6.67e+09),
           ( 0.138,  8.14e+09),
           ( 0.142,  1.15e+10),
           ( 0.145,  9.11e+09),
           ( 0.149,  7.33e+09),
           ( 0.152,  1.00e+10),
           ( 0.155,  7.47e+09),
           ( 0.159,  8.39e+09),
           ( 0.165,  5.91e+09),
           ( 0.169,  7.93e+09),
           ( 0.172,  8.41e+09),
           ( 0.176,  1.16e+10),
           ( 0.179,  9.55e+09),
           ( 0.182,  9.21e+09),
           ( 0.186,  6.67e+09),
           ( 0.189,  6.46e+09),
           ( 0.192,  8.93e+09),
           ( 0.196,  9.12e+09),
           ( 0.199,  7.93e+09),
           ( 0.203,  8.18e+09),
           ( 0.206,  9.18e+09),
           ( 0.209,  9.62e+09),
           ( 0.213,  7.67e+09),
           ( 0.219,  1.22e+10),
           ( 0.223,  1.11e+10),
           ( 0.230,  8.09e+09),
           ( 0.233,  1.12e+10),
           ( 0.236,  7.87e+09),
           ( 0.240,  8.15e+09),
           ( 0.243,  9.89e+09),
           ( 0.246,  7.24e+09),
           ( 0.253,  9.02e+09),
           ( 0.256,  6.65e+09),
           ( 0.260,  9.26e+09),
           ( 0.263,  8.59e+09),
           ( 0.267,  8.63e+09),
           ( 0.270,  9.30e+09),
           ( 0.277,  8.40e+09),
           ( 0.280,  8.79e+09),
           ( 0.284,  1.06e+10),
           ( 0.287,  1.06e+10),
           ( 0.290,  9.60e+09),
           ( 0.294,  9.23e+09),
           ( 0.297,  9.91e+09),
           ( 0.300,  1.11e+10),
           ( 0.304,  1.34e+10),
           ( 0.307,  1.31e+10),
           ( 0.311,  1.50e+10),
           ( 0.314,  1.22e+10),
           ( 0.317,  1.25e+10),
