Bolide Detection Notification: 2014-240

At 03:07:45 UT on 28 Aug 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 3.2 °N, Lon 45.4 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.05e+10 watts/steradian, and total radiated flash
energy 3.41e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.749, -4.49e+08),
           (-0.746,  1.52e+08),
           (-0.742, -1.92e+08),
           (-0.739,  2.58e+08),
           (-0.736,  3.48e+07),
           (-0.732,  7.89e+07),
           (-0.729,  6.34e+08),
           (-0.726, -7.96e+06),
           (-0.722, -2.11e+07),
           (-0.719,  3.69e+08),
           (-0.716, -4.26e+08),
           (-0.712,  4.59e+08),
           (-0.709, -4.43e+07),
           (-0.705,  4.61e+08),
           (-0.702, -1.51e+08),
           (-0.699,  6.68e+08),
           (-0.695,  5.01e+08),
           (-0.692, -6.48e+08),
           (-0.688,  3.39e+08),
           (-0.685, -1.27e+08),
           (-0.682, -2.03e+08),
           (-0.672, -1.11e+08),
           (-0.668, -1.07e+09),
           (-0.665,  2.03e+08),
           (-0.661,  1.67e+08),
           (-0.658, -5.82e+08),
           (-0.655,  4.01e+08),
           (-0.651,  4.80e+08),
           (-0.645, -5.58e+08),
           (-0.641, -1.83e+08),
           (-0.635, -1.21e+07),
           (-0.631, -1.64e+08),
           (-0.628, -3.62e+08),
           (-0.624, -2.10e+06),
           (-0.621, -3.87e+08),
           (-0.618, -5.41e+08),
           (-0.611,  5.74e+08),
           (-0.607, -2.86e+08),
           (-0.604, -8.36e+08),
           (-0.601,  5.64e+08),
           (-0.597, -1.65e+08),
           (-0.594,  2.98e+08),
           (-0.591,  1.23e+08),
           (-0.587,  3.42e+08),
           (-0.580,  3.39e+08),
           (-0.577, -4.15e+08),
           (-0.574, -5.72e+08),
           (-0.570,  6.64e+08),
           (-0.564,  1.77e+08),
           (-0.560,  4.28e+08),
           (-0.557, -4.07e+08),
           (-0.553, -2.12e+08),
           (-0.550,  5.46e+08),
           (-0.547, -1.29e+08),
           (-0.543, -3.27e+08),
           (-0.540,  7.14e+08),
           (-0.537, -2.32e+08),
           (-0.530,  3.19e+08),
           (-0.526, -3.66e+08),
           (-0.523,  1.31e+08),
           (-0.520, -8.78e+07),
           (-0.516, -3.84e+08),
           (-0.513, -4.43e+08),
           (-0.510, -3.44e+07),
           (-0.506, -8.01e+07),
           (-0.499, -5.53e+08),
           (-0.496, -2.98e+08),
           (-0.493, -7.72e+08),
           (-0.489,  4.10e+08),
           (-0.486,  6.43e+08),
           (-0.483,  6.38e+08),
           (-0.476,  1.19e+08),
           (-0.472,  6.20e+07),
           (-0.469, -2.38e+08),
           (-0.466, -2.87e+08),
           (-0.462, -1.26e+08),
           (-0.459, -1.64e+08),
           (-0.456,  9.00e+07),
           (-0.452, -7.49e+07),
           (-0.449,  9.46e+06),
           (-0.446,  2.07e+08),
           (-0.442, -5.34e+08),
           (-0.439,  1.46e+08),
           (-0.435, -1.61e+08),
           (-0.432,  1.71e+07),
           (-0.429,  6.62e+07),
           (-0.422, -5.54e+08),
           (-0.419,  1.91e+07),
           (-0.415, -9.10e+07),
           (-0.412,  1.69e+08),
           (-0.405, -5.31e+08),
           (-0.402, -3.59e+08),
           (-0.398, -7.32e+08),
           (-0.395, -2.61e+08),
           (-0.391, -2.90e+08),
           (-0.388,  6.61e+08),
           (-0.385,  5.00e+08),
           (-0.381,  2.98e+08),
           (-0.378, -2.07e+08),
           (-0.375,  2.09e+08),
           (-0.371,  1.74e+08),
           (-0.368,  1.87e+08),
           (-0.364,  2.44e+08),
           (-0.361, -3.83e+08),
           (-0.358, -4.22e+07),
           (-0.354,  5.47e+08),
           (-0.351,  7.44e+08),
           (-0.348, -4.53e+08),
           (-0.344,  3.21e+07),
           (-0.341,  2.74e+07),
           (-0.337,  2.09e+08),
           (-0.334, -4.41e+07),
           (-0.331,  1.42e+08),
           (-0.327,  3.99e+08),
           (-0.324,  2.63e+08),
           (-0.321,  1.71e+08),
           (-0.317,  3.67e+07),
           (-0.314,  5.37e+08),
           (-0.310,  3.52e+07),
           (-0.307,  4.58e+08),
           (-0.300, -1.34e+08),
           (-0.297, -1.89e+08),
           (-0.294,  6.62e+05),
           (-0.290, -2.22e+07),
           (-0.284, -1.03e+08),
           (-0.280,  6.73e+08),
           (-0.277,  4.57e+08),
           (-0.273, -5.36e+08),
           (-0.267,  4.85e+08),
           (-0.263, -5.22e+08),
           (-0.260, -2.65e+08),
           (-0.256,  7.21e+08),
           (-0.253, -7.40e+08),
           (-0.250, -5.86e+07),
           (-0.246, -1.46e+07),
           (-0.243,  4.53e+08),
           (-0.240, -5.04e+08),
