Bolide Detection Notification: 2015-009

At 17:31:47 UT on 09 Jan 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 2.0 °N, Lon 28.8 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.08e+10 watts/steradian, and total radiated flash
energy 6.51e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  1.36e+09),
           (-0.496, -1.28e+09),
           (-0.493,  1.88e+09),
           (-0.486,  5.07e+08),
           (-0.483, -1.81e+09),
           (-0.479, -7.38e+08),
           (-0.476, -2.60e+08),
           (-0.473, -1.31e+09),
           (-0.469,  2.42e+09),
           (-0.466, -2.94e+09),
           (-0.462,  5.73e+08),
           (-0.459,  1.59e+08),
           (-0.456, -3.06e+09),
           (-0.452, -2.84e+09),
           (-0.449,  3.08e+07),
           (-0.446,  1.32e+09),
           (-0.442, -8.26e+08),
           (-0.439, -5.45e+07),
           (-0.435,  1.43e+09),
           (-0.432, -6.33e+08),
           (-0.429, -4.47e+09),
           (-0.425,  4.20e+09),
           (-0.422, -4.57e+08),
           (-0.419,  4.98e+08),
           (-0.415,  6.73e+08),
           (-0.412, -8.67e+08),
           (-0.408,  4.45e+08),
           (-0.405, -5.48e+09),
           (-0.402,  1.17e+09),
           (-0.398, -3.10e+09),
           (-0.395, -4.82e+08),
           (-0.392,  5.17e+08),
           (-0.388,  3.44e+09),
           (-0.385, -6.51e+09),
           (-0.381,  8.10e+08),
           (-0.378, -5.11e+09),
           (-0.375, -1.94e+09),
           (-0.371, -1.50e+09),
           (-0.368, -1.39e+09),
           (-0.365,  8.73e+08),
           (-0.361, -8.84e+08),
           (-0.358, -4.02e+09),
           (-0.354,  1.73e+09),
           (-0.351,  1.26e+09),
           (-0.348, -7.41e+08),
           (-0.341, -3.81e+09),
           (-0.338,  2.34e+09),
           (-0.331, -1.84e+08),
           (-0.327, -4.33e+09),
           (-0.324,  3.01e+09),
           (-0.321, -2.84e+09),
           (-0.317, -4.43e+08),
           (-0.314, -4.36e+09),
           (-0.310,  2.82e+09),
           (-0.307, -3.23e+09),
           (-0.304,  3.21e+09),
           (-0.300, -2.70e+09),
           (-0.297,  1.41e+09),
           (-0.294, -3.38e+09),
           (-0.290, -3.15e+09),
           (-0.287,  2.06e+09),
           (-0.280, -5.27e+09),
           (-0.277,  1.41e+09),
           (-0.273, -6.40e+08),
           (-0.270, -1.06e+09),
           (-0.267, -3.32e+09),
           (-0.263, -3.34e+08),
           (-0.260, -1.52e+09),
           (-0.257,  2.41e+09),
           (-0.253, -8.82e+08),
           (-0.250, -7.31e+09),
           (-0.246, -1.88e+09),
           (-0.243,  7.19e+08),
           (-0.240,  1.51e+09),
           (-0.236,  8.40e+08),
