Bolide Detection Notification: 2015-098

At 04:06:31 UT on 08 Apr 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 20.4 °S, Lon 51.8 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.56e+09 watts/steradian, and total radiated flash
energy 1.74e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.799,  3.34e+09),
           (-1.796,  1.66e+09),
           (-1.785,  1.37e+08),
           (-1.782, -1.06e+08),
           (-1.779,  9.37e+06),
           (-1.775,  6.08e+08),
           (-1.772,  4.35e+08),
           (-1.769, -2.04e+08),
           (-1.765,  6.32e+08),
           (-1.762,  6.02e+08),
           (-1.758, -2.36e+08),
           (-1.755,  3.60e+08),
           (-1.752,  1.85e+09),
           (-1.748,  3.53e+08),
           (-1.742,  1.57e+09),
           (-1.738,  2.36e+08),
           (-1.735,  8.61e+08),
           (-1.731,  8.84e+08),
           (-1.728,  5.50e+08),
           (-1.725,  2.28e+09),
           (-1.718,  7.85e+08),
           (-1.715,  2.75e+09),
           (-1.711,  1.78e+09),
           (-1.708, -1.64e+08),
           (-1.704,  1.12e+09),
           (-1.701,  6.35e+08),
           (-1.698,  1.96e+09),
           (-1.694,  1.98e+09),
           (-1.691,  7.00e+08),
           (-1.688,  5.08e+08),
           (-1.684,  5.76e+08),
           (-1.681,  1.39e+09),
           (-1.677, -1.62e+08),
           (-1.674,  1.18e+09),
           (-1.671,  9.31e+08),
           (-1.667,  1.53e+08),
           (-1.661,  1.56e+09),
           (-1.657,  1.17e+08),
           (-1.654,  1.17e+09),
           (-1.650,  7.83e+08),
           (-1.647,  1.61e+09),
           (-1.640,  3.39e+08),
           (-1.637,  1.30e+09),
           (-1.634,  7.00e+08),
           (-1.630,  1.58e+09),
           (-1.627,  3.29e+08),
           (-1.623,  7.52e+08),
           (-1.620,  1.72e+09),
           (-1.617,  5.14e+08),
           (-1.613,  9.75e+08),
           (-1.610,  7.23e+08),
           (-1.607,  7.96e+07),
           (-1.600,  1.93e+09),
           (-1.596, -1.89e+08),
           (-1.593,  1.48e+09),
           (-1.590,  6.42e+08),
