Bolide Detection Notification: 2015-153

At 08:44:50 UT on 02 Jun 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.4 °S, Lon 142.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.89e+11 watts/steradian, and total radiated flash
energy 3.80e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.500, -6.26e+07),
           (-0.496,  1.26e+08),
           (-0.493,  1.52e+09),
           (-0.489,  1.02e+09),
           (-0.486,  1.78e+09),
           (-0.483,  5.29e+08),
           (-0.479, -2.84e+08),
           (-0.473,  1.02e+09),
           (-0.469,  7.84e+08),
           (-0.466,  1.65e+09),
           (-0.462,  1.04e+09),
           (-0.459,  1.29e+09),
           (-0.456,  1.26e+09),
           (-0.452,  1.71e+09),
           (-0.449,  1.62e+09),
           (-0.446,  4.83e+08),
           (-0.442,  3.13e+08),
           (-0.439,  1.19e+09),
           (-0.435, -7.71e+08),
           (-0.432,  2.39e+08),
           (-0.429,  8.03e+08),
           (-0.425, -1.73e+08),
           (-0.415,  7.85e+08),
           (-0.412, -7.83e+08),
           (-0.408, -3.73e+08),
           (-0.405, -3.47e+08),
           (-0.402, -1.66e+08),
           (-0.398,  3.91e+08),
           (-0.395,  1.85e+08),
           (-0.392,  2.35e+08),
           (-0.388,  8.92e+08),
           (-0.385,  4.92e+08),
           (-0.378,  2.71e+08),
           (-0.375, -6.50e+08),
           (-0.371, -6.84e+07),
           (-0.368, -9.11e+08),
           (-0.365, -8.97e+07),
           (-0.361, -1.10e+09),
           (-0.358, -4.64e+08),
           (-0.354, -5.67e+08),
           (-0.351, -3.99e+08),
           (-0.344, -1.03e+09),
           (-0.341, -9.62e+08),
           (-0.338, -4.80e+08),
           (-0.334, -4.44e+08),
           (-0.331, -7.85e+08),
           (-0.327,  5.81e+08),
