Bolide Detection Notification: 2015-277

At 21:02:17 UT on 04 Oct 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 22.0 °N, Lon 177.4 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.32e+10 watts/steradian, and total radiated flash
energy 4.87e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  1.10e+09),
           (-0.594,  3.58e+08),
           (-0.591,  5.21e+08),
           (-0.587, -1.06e+09),
           (-0.584,  1.19e+08),
           (-0.580,  1.01e+09),
           (-0.577, -5.19e+08),
           (-0.574, -4.80e+08),
           (-0.570,  1.11e+09),
           (-0.567, -6.83e+07),
           (-0.560,  6.34e+08),
           (-0.557,  7.09e+08),
           (-0.553,  7.30e+08),
           (-0.550,  1.06e+09),
           (-0.547,  8.44e+08),
           (-0.543, -1.43e+08),
           (-0.540, -1.93e+07),
           (-0.537, -9.55e+08),
           (-0.533,  2.29e+09),
           (-0.530, -3.07e+08),
           (-0.526,  7.16e+08),
           (-0.523, -5.85e+08),
           (-0.520,  1.02e+09),
           (-0.516, -7.81e+08),
           (-0.513,  9.73e+08),
           (-0.510,  1.57e+09),
           (-0.506, -1.01e+08),
           (-0.503, -2.13e+08),
           (-0.499,  1.32e+09),
           (-0.496,  7.81e+08),
           (-0.493, -3.75e+07),
           (-0.489,  5.18e+08),
           (-0.486,  1.45e+08),
           (-0.483,  9.00e+08),
           (-0.479, -9.06e+07),
           (-0.476,  7.72e+07),
           (-0.469,  6.35e+08),
           (-0.466,  1.19e+08),
           (-0.462,  6.94e+08),
           (-0.459, -3.85e+08),
           (-0.456,  4.34e+08),
           (-0.452, -1.35e+08),
           (-0.449,  5.78e+08),
           (-0.445,  1.44e+09),
           (-0.442, -4.18e+08),
           (-0.439, -7.45e+07),
           (-0.435, -6.85e+08),
           (-0.432,  1.53e+09),
           (-0.429,  1.77e+08),
           (-0.425,  1.06e+09),
           (-0.422,  4.65e+08),
           (-0.418, -1.13e+09),
           (-0.415,  3.84e+08),
           (-0.412,  8.47e+07),
           (-0.408,  7.20e+08),
           (-0.405,  1.49e+09),
           (-0.402, -6.77e+08),
