Bolide Detection Notification: 2015-364

At 13:07:50 UT on 30 Dec 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.8 °N, Lon 160.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.61e+09 watts/steradian, and total radiated flash
energy 2.09e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  2.00e+08),
           (-0.594,  4.55e+08),
           (-0.591,  6.63e+08),
           (-0.587,  1.04e+09),
           (-0.580, -3.28e+08),
           (-0.577,  7.06e+08),
           (-0.574,  1.20e+09),
           (-0.570,  1.05e+09),
           (-0.564,  3.01e+08),
           (-0.560,  1.27e+09),
           (-0.557, -8.27e+07),
           (-0.553,  6.83e+08),
           (-0.550,  7.86e+08),
           (-0.547,  1.40e+09),
           (-0.543,  3.27e+08),
           (-0.540,  9.13e+08),
           (-0.537,  1.16e+09),
           (-0.530,  9.52e+08),
           (-0.526, -1.40e+08),
           (-0.523,  6.94e+08),
           (-0.520, -5.62e+08),
           (-0.516,  9.89e+08),
           (-0.513, -5.56e+08),
           (-0.510, -3.70e+07),
           (-0.506,  1.58e+09),
           (-0.503, -6.65e+08),
           (-0.499,  5.86e+08),
           (-0.496, -2.32e+08),
           (-0.493, -1.18e+08),
           (-0.489,  9.64e+08),
           (-0.486,  6.32e+08),
           (-0.483,  4.90e+08),
           (-0.479,  6.01e+08),
           (-0.476, -2.75e+08),
           (-0.472, -4.36e+08),
           (-0.469, -2.10e+08),
           (-0.466,  1.93e+08),
           (-0.462,  9.88e+07),
           (-0.459, -7.44e+08),
           (-0.456,  9.28e+08),
           (-0.452, -6.48e+07),
           (-0.449, -5.21e+08),
           (-0.445,  2.45e+08),
           (-0.442, -4.57e+07),
           (-0.439,  5.86e+08),
           (-0.435,  5.90e+08),
           (-0.432,  1.03e+09),
           (-0.429,  8.01e+08),
           (-0.425,  6.20e+08),
           (-0.422, -4.56e+06),
           (-0.415,  9.77e+08),
           (-0.412,  5.35e+08),
           (-0.408,  6.08e+08),
           (-0.405,  2.81e+08),
           (-0.402,  8.69e+08),
           (-0.398, -4.97e+08),
           (-0.395,  4.90e+08),
           (-0.391,  4.84e+08),
           (-0.388,  2.69e+08),
           (-0.385, -5.41e+07),
           (-0.381, -7.55e+07),
           (-0.378, -8.36e+08),
           (-0.375, -1.20e+09),
           (-0.371, -5.81e+08),
           (-0.368,  2.71e+08),
           (-0.364,  5.64e+08),
           (-0.361, -6.52e+08),
           (-0.358, -1.20e+09),
           (-0.354, -2.20e+08),
           (-0.351, -1.18e+09),
           (-0.348, -1.73e+09),
           (-0.344,  2.66e+07),
           (-0.341,  2.57e+08),
           (-0.337,  1.10e+09),
           (-0.334,  3.24e+08),
           (-0.331, -1.26e+08),
           (-0.327, -2.29e+08),
           (-0.321, -6.80e+08),
           (-0.317, -7.64e+08),
           (-0.314, -1.47e+08),
           (-0.310, -1.86e+09),
           (-0.307,  5.69e+08),
           (-0.304,  6.69e+08),
           (-0.300,  2.75e+08),
           (-0.297,  8.15e+06),
           (-0.294,  6.85e+08),
           (-0.290,  6.51e+08),
           (-0.287, -4.98e+08),
           (-0.283, -2.71e+08),
           (-0.280, -5.36e+08),
           (-0.277, -3.35e+08),
           (-0.273, -2.06e+08),
           (-0.270,  1.53e+08),
           (-0.267, -5.69e+08),
           (-0.263, -2.30e+08),
           (-0.260, -3.07e+08),
           (-0.256, -7.84e+08),
           (-0.253, -2.76e+08),
           (-0.250, -2.72e+08),
           (-0.246,  4.42e+08),
           (-0.243, -3.97e+08),
           (-0.240,  2.56e+08),
           (-0.236, -1.90e+08),
           (-0.233,  5.26e+08),
           (-0.229,  1.92e+08),
           (-0.226, -6.57e+08),
           (-0.223,  4.47e+08),
           (-0.216, -6.34e+08),
           (-0.213, -4.70e+08),
           (-0.209,  2.78e+08),
           (-0.206,  5.89e+08),
           (-0.202, -5.24e+08),
           (-0.199,  1.16e+06),
           (-0.196, -2.68e+08),
           (-0.192,  5.01e+08),
           (-0.189,  1.62e+08),
           (-0.186,  6.47e+08),
           (-0.182, -1.79e+08),
           (-0.179, -7.67e+08),
           (-0.175, -1.05e+09),
           (-0.172, -4.88e+08),
           (-0.169, -2.08e+09),
           (-0.165,  2.40e+07),
           (-0.162, -1.36e+09),
           (-0.159, -1.31e+09),
           (-0.155, -1.90e+08),
           (-0.152, -6.93e+08),
           (-0.148,  6.96e+08),
           (-0.145, -2.40e+08),
           (-0.142,  1.83e+07),
           (-0.138,  5.73e+08),
           (-0.135,  7.36e+08),
