Bolide Detection Notification: 2016-044

At 00:10:13 UT on 13 Feb 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 3.1 °N, Lon 117.9 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.70e+10 watts/steradian, and total radiated flash
energy 5.18e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  5.84e+08),
           (-0.196, -6.15e+08),
           (-0.192, -1.92e+09),
           (-0.189, -7.20e+08),
           (-0.186,  1.15e+09),
           (-0.182,  1.23e+09),
           (-0.179, -7.34e+08),
           (-0.176,  1.17e+09),
           (-0.172, -4.76e+08),
           (-0.169, -1.32e+09),
           (-0.165, -3.10e+08),
           (-0.162,  4.25e+08),
           (-0.159,  7.70e+08),
           (-0.155,  9.74e+08),
           (-0.152,  5.55e+08),
           (-0.149,  5.10e+08),
           (-0.145, -4.76e+07),
           (-0.142, -4.69e+08),
           (-0.138, -1.33e+08),
           (-0.135,  6.83e+07),
           (-0.132,  9.12e+08),
           (-0.128, -2.56e+09),
           (-0.125, -1.88e+09),
           (-0.121, -1.32e+09),
           (-0.118, -3.16e+05),
           (-0.115,  1.02e+08),
           (-0.111, -5.56e+08),
           (-0.108,  2.95e+08),
           (-0.105, -1.60e+09),
           (-0.101,  8.91e+08),
           (-0.098, -1.02e+09),
           (-0.095, -1.26e+08),
           (-0.091,  4.51e+08),
           (-0.088, -4.43e+08),
           (-0.084, -1.90e+09),
           (-0.081,  5.32e+08),
           (-0.078, -1.43e+08),
           (-0.074, -2.30e+08),
           (-0.071, -2.52e+07),
           (-0.068, -1.93e+08),
           (-0.064,  1.93e+08),
           (-0.061, -6.88e+08),
           (-0.057, -7.78e+07),
           (-0.054, -1.61e+09),
           (-0.051, -4.81e+08),
           (-0.047,  1.22e+09),
           (-0.044, -7.62e+08),
           (-0.040,  5.91e+08),
           (-0.037, -2.23e+07),
           (-0.034, -8.12e+08),
           (-0.030, -7.51e+08),
           (-0.027,  7.06e+08),
           (-0.024, -1.40e+09),
           (-0.020,  1.35e+09),
           (-0.017, -6.05e+07),
           (-0.014,  1.57e+09),
           (-0.010,  4.06e+08),
           (-0.007,  1.13e+09),
           (-0.003,  2.31e+09),
           ( 0.000,  5.26e+09),
