Bolide Detection Notification: 2016-137

At 10:09:41 UT on 16 May 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 3.2 °N, Lon 6.6 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.21e+10 watts/steradian, and total radiated flash
energy 4.88e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.198,  2.51e+09),
           (-1.195, -1.66e+09),
           (-1.191, -5.01e+08),
           (-1.188,  1.18e+09),
           (-1.185,  2.18e+09),
           (-1.178, -5.76e+08),
           (-1.174,  2.41e+09),
           (-1.171,  1.65e+09),
           (-1.168,  1.22e+09),
           (-1.164, -4.84e+08),
           (-1.161,  2.24e+08),
           (-1.158, -8.19e+08),
           (-1.154, -1.35e+09),
           (-1.151, -3.69e+08),
           (-1.147, -9.62e+08),
           (-1.144,  1.13e+08),
           (-1.141, -3.57e+08),
           (-1.137, -4.23e+08),
           (-1.134, -1.96e+09),
           (-1.131,  6.46e+08),
           (-1.127,  1.24e+09),
           (-1.124, -1.72e+09),
           (-1.120, -2.09e+08),
           (-1.117, -1.04e+08),
           (-1.114,  1.06e+09),
           (-1.110, -1.54e+08),
           (-1.107, -5.21e+08),
           (-1.104, -7.31e+08),
           (-1.100, -2.90e+08),
           (-1.097,  9.05e+08),
           (-1.093,  5.07e+08),
           (-1.090,  3.49e+08),
           (-1.083,  1.36e+09),
           (-1.080,  1.24e+09),
           (-1.077,  4.23e+08),
           (-1.073,  1.27e+09),
           (-1.070,  6.38e+08),
           (-1.066, -7.33e+08),
           (-1.060, -3.76e+08),
           (-1.056, -8.81e+08),
           (-1.053, -2.08e+09),
           (-1.050,  1.78e+09),
           (-1.043,  3.45e+08),
           (-1.039, -8.86e+06),
           (-1.036,  4.14e+08),
           (-1.033, -2.84e+08),
           (-1.029,  4.04e+08),
           (-1.026,  2.07e+09),
           (-1.023,  1.05e+09),
           (-1.019, -7.42e+08),
           (-1.016,  1.72e+09),
           (-1.012, -1.45e+09),
           (-1.009,  2.32e+09),
           (-1.006, -1.01e+09),
           (-1.002,  5.29e+08),
           (-0.999, -1.01e+08),
           (-0.996, -3.78e+08),
           (-0.992,  3.73e+08),
           (-0.989,  1.74e+08),
           (-0.985,  1.10e+09),
           (-0.982, -6.99e+08),
           (-0.979, -1.09e+09),
           (-0.975,  9.11e+08),
           (-0.972,  8.55e+08),
           (-0.969, -2.64e+09),
           (-0.965,  1.66e+08),
           (-0.962,  3.37e+08),
           (-0.958, -1.32e+08),
           (-0.955,  1.56e+07),
           (-0.952, -1.23e+07),
           (-0.948,  4.93e+08),
           (-0.945,  5.69e+08),
           (-0.942, -1.02e+09),
           (-0.938,  2.31e+09),
           (-0.935, -7.91e+08),
           (-0.931, -7.68e+08),
           (-0.928,  1.23e+09),
           (-0.925,  1.07e+09),
           (-0.921, -2.48e+08),
           (-0.918,  2.88e+09),
           (-0.915,  1.02e+07),
           (-0.911, -6.62e+08),
           (-0.908,  1.28e+09),
