Bolide Detection Notification: 2016-266

At 04:57:49 UT on 22 Sep 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 51.8 °S, Lon 178.5 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.98e+10 watts/steradian, and total radiated flash
energy 7.12e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  3.26e+09),
           (-0.594,  1.86e+09),
           (-0.591,  2.00e+09),
           (-0.587,  6.53e+08),
           (-0.584,  1.98e+09),
           (-0.581,  1.64e+09),
           (-0.577,  1.96e+09),
           (-0.574,  2.48e+08),
           (-0.570,  3.27e+08),
           (-0.567, -6.18e+08),
           (-0.564,  5.93e+08),
           (-0.557, -3.16e+07),
           (-0.554,  2.78e+09),
           (-0.550,  1.77e+09),
           (-0.547, -9.63e+08),
           (-0.543, -8.90e+08),
           (-0.540, -8.56e+08),
           (-0.537, -9.75e+08),
           (-0.533,  3.75e+08),
           (-0.530, -4.00e+08),
           (-0.527,  1.18e+09),
           (-0.523,  5.22e+08),
           (-0.520,  6.22e+08),
           (-0.516,  1.46e+09),
           (-0.513,  2.00e+09),
           (-0.510,  1.68e+09),
           (-0.503,  7.72e+07),
           (-0.500,  6.39e+08),
           (-0.496,  1.67e+09),
           (-0.493,  2.03e+09),
           (-0.489,  1.19e+09),
           (-0.486,  2.11e+08),
           (-0.483,  1.79e+09),
           (-0.479,  2.40e+09),
           (-0.476,  7.04e+08),
           (-0.473,  5.65e+08),
           (-0.469, -2.18e+08),
           (-0.466,  9.80e+08),
           (-0.462,  1.50e+08),
           (-0.456,  1.14e+09),
           (-0.452,  7.11e+08),
           (-0.449, -1.79e+08),
           (-0.446,  9.07e+08),
           (-0.442,  3.00e+06),
           (-0.439,  2.47e+08),
           (-0.435, -1.95e+08),
           (-0.432,  1.12e+07),
           (-0.429, -1.42e+09),
           (-0.425, -9.15e+08),
           (-0.422, -3.25e+08),
           (-0.418,  7.92e+08),
           (-0.415,  1.75e+07),
           (-0.408,  1.16e+09),
           (-0.405,  1.14e+09),
           (-0.402,  5.62e+08),
           (-0.398, -4.15e+08),
           (-0.395,  2.72e+08),
           (-0.392, -5.53e+08),
           (-0.388,  5.47e+07),
           (-0.385,  1.67e+09),
           (-0.381,  1.46e+08),
           (-0.378,  4.19e+08),
           (-0.375,  4.31e+08),
           (-0.371,  2.60e+08),
           (-0.365, -6.13e+08),
           (-0.361,  3.17e+08),
           (-0.358,  5.68e+08),
           (-0.354,  7.68e+08),
           (-0.351, -6.01e+08),
           (-0.348,  2.10e+08),
           (-0.344, -1.79e+08),
           (-0.341,  2.81e+08),
           (-0.334, -6.14e+08),
           (-0.331, -9.45e+08),
           (-0.327, -2.55e+08),
           (-0.324,  9.57e+08),
           (-0.321, -1.66e+09),
           (-0.317, -1.16e+09),
           (-0.314, -1.46e+09),
           (-0.310, -9.67e+07),
           (-0.307, -1.82e+09),
           (-0.304, -3.05e+08),
           (-0.294, -2.06e+09),
           (-0.290, -1.43e+09),
           (-0.287, -1.10e+09),
           (-0.283,  2.20e+08),
           (-0.280, -3.51e+08),
           (-0.277, -1.63e+09),
           (-0.273, -1.70e+09),
           (-0.270, -1.39e+09),
           (-0.267, -1.23e+09),
           (-0.263, -1.04e+09),
           (-0.260,  2.72e+08),
           (-0.257, -1.50e+09),
           (-0.253, -1.62e+09),
           (-0.250, -8.40e+08),
           (-0.246, -4.31e+08),
           (-0.243, -4.52e+08),
           (-0.240, -6.19e+08),
           (-0.236,  1.02e+09),
           (-0.233,  9.65e+08),
           (-0.230,  1.36e+09),
           (-0.226,  4.59e+08),
           (-0.223, -9.21e+08),
           (-0.219,  3.76e+07),
           (-0.213, -1.84e+09),
           (-0.206, -1.73e+08),
           (-0.203, -9.29e+08),
           (-0.199, -3.50e+08),
           (-0.196, -2.53e+08),
           (-0.192,  2.69e+08),
           (-0.189, -1.82e+08),
           (-0.186, -2.48e+09),
           (-0.182, -9.10e+08),
           (-0.179, -1.64e+09),
           (-0.175, -5.16e+08),
           (-0.172,  1.13e+09),
           (-0.169,  1.25e+08),
           (-0.165,  5.10e+07),
           (-0.162, -2.41e+08),
           (-0.159, -6.28e+08),
           (-0.155, -1.78e+09),
           (-0.152, -6.24e+08),
           (-0.148, -4.37e+08),
           (-0.145, -1.15e+09),
           (-0.142, -1.20e+09),
           (-0.138, -1.10e+09),
           (-0.135, -1.47e+09),
           (-0.132,  3.85e+08),
           (-0.128, -1.07e+09),
           (-0.125, -3.04e+08),
           (-0.122,  8.69e+08),
           (-0.118,  6.31e+08),
           (-0.115, -1.23e+09),
           (-0.111, -6.56e+08),
           (-0.108, -1.18e+09),
           (-0.105,  6.49e+08),
           (-0.101, -8.09e+06),
           (-0.098, -2.60e+08),
           (-0.095, -2.39e+09),
           (-0.091, -1.19e+09),
           (-0.088,  7.33e+08),
           (-0.084, -1.35e+09),
           (-0.081, -5.42e+08),
           (-0.078,  1.56e+08),
           (-0.074, -9.99e+07),
           (-0.071, -7.57e+07),
           (-0.068,  2.83e+09),
           (-0.064,  1.26e+09),
           (-0.061,  2.78e+09),
           (-0.057,  3.62e+09),
           (-0.054,  1.23e+09),
           (-0.051,  1.00e+09),
           (-0.047,  2.61e+09),
           (-0.044,  2.80e+09),
           (-0.040,  2.06e+09),
           (-0.037,  1.70e+09),
           (-0.034,  2.35e+09),
           (-0.030,  4.35e+09),
           (-0.027,  3.37e+09),
           (-0.024,  3.09e+09),
           (-0.020,  1.87e+09),
           (-0.017,  1.74e+09),
           (-0.014,  2.10e+09),
           (-0.010,  3.42e+09),
           (-0.007,  2.04e+09),
           (-0.003,  1.21e+09),
           ( 0.000,  3.36e+09),
           ( 0.003,  2.94e+09),
           ( 0.007,  3.35e+09),
           ( 0.010,  4.44e+09),
           ( 0.014,  2.57e+09),
           ( 0.017,  3.39e+09),
           ( 0.020,  4.63e+09),
           ( 0.024,  4.63e+09),
           ( 0.027,  5.75e+09),
           ( 0.030,  5.10e+09),
           ( 0.034,  3.51e+09),
           ( 0.037,  3.81e+09),
           ( 0.040,  4.99e+09),
           ( 0.044,  4.52e+09),
           ( 0.047,  5.60e+09),
           ( 0.051,  5.16e+09),
           ( 0.054,  5.44e+09),
           ( 0.057,  6.19e+09),
           ( 0.061,  7.78e+09),
           ( 0.064,  8.51e+09),
           ( 0.067,  8.51e+09),
           ( 0.071,  8.00e+09),
           ( 0.074,  1.02e+10),
           ( 0.078,  9.84e+09),
           ( 0.081,  9.19e+09),
           ( 0.084,  1.03e+10),
           ( 0.088,  1.08e+10),
           ( 0.091,  9.96e+09),
           ( 0.098,  1.26e+10),
           ( 0.101,  1.41e+10),
           ( 0.105,  1.42e+10),
           ( 0.108,  1.53e+10),
           ( 0.111,  1.49e+10),
           ( 0.115,  1.78e+10),
           ( 0.118,  1.72e+10),
           ( 0.121,  1.67e+10),
           ( 0.125,  1.74e+10),
           ( 0.128,  1.66e+10),
           ( 0.135,  1.71e+10),
           ( 0.138,  1.82e+10),
           ( 0.142,  1.86e+10),
           ( 0.145,  1.75e+10),
           ( 0.149,  1.69e+10),
           ( 0.152,  1.80e+10),
           ( 0.155,  1.67e+10),
           ( 0.159,  1.79e+10),
           ( 0.162,  1.88e+10),
           ( 0.165,  1.85e+10),
           ( 0.169,  1.79e+10),
           ( 0.172,  1.72e+10),
           ( 0.175,  1.56e+10),
           ( 0.179,  1.55e+10),
           ( 0.182,  1.85e+10),
           ( 0.186,  1.87e+10),
           ( 0.189,  1.85e+10),
           ( 0.192,  1.89e+10),
           ( 0.196,  1.96e+10),
           ( 0.199,  1.90e+10),
           ( 0.202,  1.95e+10),
           ( 0.206,  1.98e+10),
           ( 0.209,  1.87e+10),
           ( 0.213,  1.81e+10),
           ( 0.216,  1.78e+10),
           ( 0.219,  1.86e+10),
           ( 0.223,  1.86e+10),
           ( 0.226,  1.72e+10),
           ( 0.230,  1.85e+10),
           ( 0.233,  1.74e+10),
           ( 0.236,  1.56e+10),
           ( 0.240,  1.57e+10),
           ( 0.243,  1.58e+10),
           ( 0.246,  1.49e+10),
           ( 0.250,  1.42e+10),
           ( 0.253,  1.32e+10),
           ( 0.256,  1.48e+10),
           ( 0.260,  1.21e+10),
           ( 0.263,  1.09e+10),
           ( 0.267,  1.24e+10),
           ( 0.270,  1.31e+10),
           ( 0.273,  1.13e+10),
           ( 0.277,  1.37e+10),
           ( 0.280,  1.23e+10),
           ( 0.284,  1.30e+10),
           ( 0.287,  1.49e+10),
           ( 0.290,  1.24e+10),
           ( 0.294,  1.12e+10),
           ( 0.297,  1.15e+10),
           ( 0.304,  1.18e+10),
           ( 0.307,  1.28e+10),
           ( 0.310,  1.06e+10),
           ( 0.314,  1.31e+10),
           ( 0.317,  1.48e+10),
           ( 0.324,  1.17e+10),
           ( 0.327,  1.16e+10),
           ( 0.331,  1.11e+10),
           ( 0.334,  1.11e+10),
           ( 0.337,  1.25e+10),
           ( 0.341,  1.17e+10),
           ( 0.344,  1.22e+10),
           ( 0.348,  1.05e+10),
           ( 0.351,  9.37e+09),
           ( 0.358,  1.06e+10),
           ( 0.361,  9.90e+09),
           ( 0.365,  9.27e+09),
           ( 0.368,  8.12e+09),
           ( 0.371,  9.93e+09),
           ( 0.375,  8.79e+09),
           ( 0.378,  7.92e+09),
           ( 0.381,  9.15e+09),
           ( 0.385,  7.08e+09),
           ( 0.388,  7.80e+09),
           ( 0.391,  6.14e+09),
           ( 0.395,  7.02e+09),
           ( 0.398,  9.23e+09),
           ( 0.405,  4.79e+09),
           ( 0.408,  5.45e+09),
           ( 0.412,  5.66e+09),
           ( 0.415,  5.15e+09),
           ( 0.419,  4.18e+09),
           ( 0.422,  4.82e+09),
           ( 0.425,  4.34e+09),
           ( 0.429,  3.28e+09),
           ( 0.432,  2.67e+09),
           ( 0.435,  4.07e+09),
           ( 0.439,  3.95e+09),
           ( 0.442,  4.02e+09),
           ( 0.446,  1.25e+09),
           ( 0.449,  2.37e+09),
           ( 0.452,  4.28e+09),
           ( 0.456,  3.05e+09),
           ( 0.459,  1.03e+09),
           ( 0.462,  1.58e+09),
           ( 0.466,  1.73e+09),
           ( 0.469,  2.17e+09),
           ( 0.472,  2.39e+09),
           ( 0.476,  3.14e+09),
           ( 0.479,  3.21e+09),
           ( 0.483,  1.92e+09),
           ( 0.486,  2.60e+09),
           ( 0.489,  2.45e+09),
           ( 0.493,  1.71e+09),
           ( 0.496,  2.34e+09),
           ( 0.500,  2.05e+09),
           ( 0.503,  1.13e+09),
           ( 0.506,  1.21e+09),
           ( 0.510,  4.31e+09),
           ( 0.513,  2.76e+09),
           ( 0.516,  2.91e+09),
           ( 0.520,  2.40e+09),
           ( 0.523,  3.30e+09),
           ( 0.526,  1.27e+09),
           ( 0.530,  3.66e+08),
           ( 0.533,  2.74e+09),
           ( 0.537,  4.49e+09),
           ( 0.540,  4.88e+09),
           ( 0.543,  3.83e+09),
           ( 0.547,  3.76e+09),
           ( 0.550,  3.03e+09),
           ( 0.554,  1.98e+09),
           ( 0.557,  1.75e+09),
           ( 0.560,  3.02e+09),
           ( 0.564,  2.05e+09),
           ( 0.567,  2.31e+09),
           ( 0.570,  2.82e+09),
           ( 0.574,  2.88e+09),
           ( 0.577,  2.23e+09),
           ( 0.581,  1.92e+09),
           ( 0.584,  5.92e+08),
           ( 0.587,  1.59e+09),
           ( 0.591, -8.69e+08),
           ( 0.594, -9.68e+08),
           ( 0.597, -5.40e+08),
           ( 0.601, -2.98e+08),
           ( 0.604,  2.21e+09),
           ( 0.607, -4.36e+08),
           ( 0.611, -4.57e+08),
           ( 0.614,  1.07e+09),
           ( 0.618,  3.79e+08),
           ( 0.621, -6.89e+08),
           ( 0.624, -2.49e+08),
           ( 0.628, -2.76e+08),
           ( 0.631,  6.77e+08),
           ( 0.635,  5.30e+08),
           ( 0.638, -9.50e+06),
           ( 0.641,  1.52e+08),
           ( 0.645,  2.21e+08),
           ( 0.648,  4.31e+07),
           ( 0.651,  1.80e+09),
           ( 0.655,  7.25e+08),
           ( 0.658,  2.35e+08),
           ( 0.661, -1.83e+08),
           ( 0.665, -1.01e+09),
           ( 0.668, -1.18e+08),
           ( 0.672, -2.85e+08),
           ( 0.675, -1.38e+09),
           ( 0.678,  1.30e+09),
           ( 0.682, -5.29e+08),
           ( 0.685, -2.78e+08),
           ( 0.688, -7.73e+07),
           ( 0.692, -1.39e+09),
           ( 0.695, -1.68e+09),
           ( 0.699, -3.37e+08),
           ( 0.702, -1.94e+09),
           ( 0.705, -1.51e+09),
           ( 0.709, -2.34e+09),
           ( 0.712, -9.29e+08),
           ( 0.716, -2.31e+09),
           ( 0.719, -1.42e+09),
           ( 0.722, -1.21e+09),
           ( 0.726, -8.25e+08),
           ( 0.729,  3.47e+08),
           ( 0.732, -7.96e+08),
           ( 0.736, -1.01e+09),
           ( 0.739, -1.48e+09),
           ( 0.742, -2.11e+09),
           ( 0.746, -9.11e+08),
           ( 0.749, -1.02e+08),
           ( 0.753, -4.55e+08),
           ( 0.756,  1.64e+09),
           ( 0.759,  1.45e+09),
           ( 0.763, -3.17e+08),
           ( 0.770,  1.71e+09),
           ( 0.773, -1.61e+08),
           ( 0.776, -4.61e+08),
           ( 0.780,  7.56e+08),
           ( 0.783, -5.67e+08),
           ( 0.786,  4.60e+08),
           ( 0.790,  1.75e+08),
           ( 0.793,  4.56e+08),
           ( 0.796,  1.31e+08),
           ( 0.800, -2.03e+09),
           ( 0.803, -2.05e+08),
           ( 0.807, -9.25e+08),
           ( 0.810, -6.71e+08),
           ( 0.813,  1.50e+09),
           ( 0.817, -6.88e+07),
           ( 0.820, -2.57e+08),
           ( 0.823, -7.27e+08),
           ( 0.827, -1.55e+09),
           ( 0.830, -3.62e+08),
           ( 0.834, -2.89e+09),
           ( 0.837, -1.37e+09),
           ( 0.840, -2.79e+09),
           ( 0.844, -1.42e+09),
           ( 0.847, -1.22e+09),
           ( 0.851, -1.58e+09),
           ( 0.854,  3.33e+07),
           ( 0.857, -5.51e+08),
           ( 0.861,  2.59e+08),
           ( 0.864,  4.70e+08),
           ( 0.867, -1.26e+09),
           ( 0.874,  5.78e+08),
           ( 0.877, -1.45e+09),
           ( 0.881,  8.53e+08),
           ( 0.884, -1.25e+09),
           ( 0.888, -1.19e+09),
           ( 0.891,  3.78e+08),
           ( 0.894, -4.42e+08),
           ( 0.898, -1.53e+09),
           ( 0.901, -9.37e+08),
           ( 0.905,  1.11e+08),
           ( 0.908, -1.18e+09),
           ( 0.911,  6.47e+08),
           ( 0.915,  8.23e+08),
           ( 0.918,  1.35e+09),
           ( 0.921, -1.54e+09),
           ( 0.925,  6.53e+08),
           ( 0.928,  3.58e+08),
           ( 0.931, -1.44e+08),
           ( 0.935, -1.22e+08),
           ( 0.938, -6.22e+08),
           ( 0.942,  2.50e+08),
           ( 0.945, -1.58e+08),
           ( 0.948, -1.46e+09),
