Bolide Detection Notification: 2016-275

At 20:23:45 UT on 01 Oct 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 36.2 °N, Lon 6.7 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.54e+10 watts/steradian, and total radiated flash
energy 3.15e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  1.61e+08),
           (-0.996,  1.36e+09),
           (-0.992,  5.54e+08),
           (-0.989,  5.02e+08),
           (-0.986,  1.04e+09),
           (-0.982,  1.89e+09),
           (-0.979,  8.47e+08),
           (-0.975,  8.69e+08),
           (-0.972,  1.22e+09),
           (-0.969, -5.00e+08),
           (-0.965,  9.22e+08),
           (-0.959,  4.03e+08),
           (-0.952,  1.44e+09),
           (-0.948, -9.53e+07),
           (-0.945,  6.69e+08),
           (-0.942,  5.17e+08),
           (-0.938,  2.77e+08),
           (-0.935,  6.20e+08),
           (-0.931,  9.18e+07),
           (-0.928,  9.79e+08),
           (-0.925,  1.83e+08),
           (-0.921, -7.59e+06),
           (-0.918,  6.25e+08),
           (-0.915,  1.26e+08),
           (-0.911,  1.71e+09),
           (-0.908,  1.95e+08),
           (-0.905,  7.12e+08),
           (-0.901,  2.85e+08),
           (-0.898,  3.13e+08),
           (-0.894,  9.72e+08),
           (-0.891,  9.32e+07),
           (-0.884,  8.88e+08),
           (-0.881, -2.76e+08),
           (-0.878,  1.55e+09),
           (-0.874,  1.82e+09),
           (-0.867,  2.13e+08),
           (-0.864,  9.89e+08),
           (-0.861,  1.99e+09),
           (-0.857,  9.62e+08),
           (-0.854, -6.19e+08),
           (-0.851, -2.93e+08),
           (-0.847,  3.34e+08),
           (-0.844, -6.18e+07),
           (-0.840,  1.22e+08),
           (-0.837,  9.80e+08),
           (-0.834,  4.91e+08),
           (-0.830, -5.00e+08),
           (-0.827,  4.22e+08),
           (-0.824,  5.57e+08),
           (-0.820,  3.60e+08),
           (-0.817,  7.21e+08),
           (-0.813,  1.65e+09),
           (-0.807, -4.90e+08),
           (-0.803,  9.63e+08),
           (-0.800,  7.50e+08),
           (-0.797,  7.44e+08),
           (-0.793,  3.37e+08),
           (-0.790,  4.44e+08),
           (-0.786, -9.63e+08),
           (-0.783,  1.28e+09),
           (-0.780,  1.38e+09),
           (-0.776,  1.32e+08),
