Bolide Detection Notification: 2016-329

At 14:10:34 UT on 24 Nov 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 15.2 °S, Lon 80.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.93e+10 watts/steradian, and total radiated flash
energy 1.38e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597,  2.72e+06),
           (-0.591,  5.22e+08),
           (-0.587,  2.01e+08),
           (-0.584, -3.68e+08),
           (-0.580,  7.55e+08),
           (-0.577, -7.68e+08),
           (-0.574,  7.22e+08),
           (-0.570,  1.78e+09),
           (-0.567, -5.17e+08),
           (-0.564, -1.33e+09),
           (-0.560, -1.10e+09),
           (-0.557,  2.46e+07),
           (-0.550, -6.12e+08),
           (-0.547, -6.08e+08),
           (-0.543, -7.42e+08),
           (-0.540,  5.55e+08),
           (-0.537, -1.88e+09),
           (-0.533, -5.74e+07),
           (-0.530,  1.51e+08),
           (-0.526, -1.34e+09),
           (-0.523, -1.82e+08),
           (-0.520, -9.89e+08),
           (-0.516, -1.00e+09),
           (-0.513, -7.77e+08),
           (-0.510,  9.76e+08),
           (-0.506, -1.58e+08),
           (-0.503,  3.92e+08),
           (-0.499, -5.20e+08),
           (-0.496, -3.34e+08),
           (-0.493,  9.70e+07),
           (-0.489, -6.53e+08),
           (-0.486,  3.41e+08),
           (-0.483,  1.03e+09),
           (-0.479, -9.32e+07),
           (-0.476,  1.92e+08),
           (-0.472,  1.12e+09),
           (-0.469,  1.46e+09),
           (-0.466, -8.16e+07),
           (-0.462,  4.35e+06),
           (-0.459,  1.23e+09),
           (-0.456,  2.43e+08),
           (-0.452,  4.28e+08),
           (-0.449,  8.57e+08),
           (-0.445, -1.74e+09),
           (-0.442,  5.51e+08),
           (-0.439,  8.62e+08),
           (-0.435,  2.53e+08),
           (-0.432,  1.06e+09),
           (-0.429,  5.03e+08),
           (-0.425,  5.81e+08),
           (-0.422,  8.89e+08),
           (-0.418,  6.41e+08),
           (-0.415,  8.92e+08),
           (-0.412, -5.34e+08),
           (-0.408,  1.64e+08),
           (-0.405,  3.09e+09),
           (-0.402,  1.04e+07),
           (-0.398, -1.16e+09),
           (-0.395, -1.34e+09),
           (-0.391,  1.02e+08),
           (-0.388, -6.25e+08),
           (-0.385,  7.61e+08),
           (-0.381,  4.56e+08),
           (-0.378,  7.60e+07),
           (-0.375, -4.89e+08),
           (-0.371,  1.25e+09),
           (-0.368,  9.15e+08),
           (-0.364,  1.64e+09),
           (-0.361,  3.39e+08),
           (-0.358,  3.53e+08),
           (-0.354,  1.15e+09),
           (-0.351,  2.61e+09),
           (-0.348,  3.11e+07),
           (-0.344, -4.50e+08),
           (-0.341,  4.00e+07),
           (-0.337, -5.23e+08),
           (-0.334,  1.94e+08),
           (-0.331,  3.46e+07),
           (-0.327,  4.37e+08),
           (-0.324,  1.01e+09),
           (-0.321,  7.44e+08),
           (-0.314,  3.31e+07),
           (-0.310,  3.22e+08),
           (-0.307,  1.23e+09),
           (-0.304,  3.06e+08),
           (-0.300,  6.57e+08),
           (-0.297,  5.34e+08),
           (-0.294,  3.27e+08),
           (-0.290,  1.62e+09),
           (-0.287, -2.18e+08),
           (-0.283,  3.55e+08),
           (-0.280,  1.96e+08),
           (-0.277,  1.75e+09),
           (-0.273,  3.31e+07),
           (-0.270,  1.80e+09),
           (-0.267, -3.45e+08),
           (-0.263, -2.20e+08),
           (-0.260,  6.78e+08),
           (-0.256,  3.95e+08),
           (-0.253,  1.11e+09),
           (-0.250,  1.14e+09),
           (-0.246,  1.96e+09),
           (-0.240,  1.32e+09),
           (-0.236,  1.58e+09),
           (-0.233,  9.42e+08),
           (-0.229, -1.19e+08),
           (-0.226,  1.43e+08),
           (-0.223,  1.39e+09),
           (-0.219,  2.15e+09),
           (-0.216,  1.44e+09),
           (-0.213,  1.83e+09),
           (-0.209,  1.50e+09),
           (-0.206,  1.97e+09),
           (-0.202,  5.87e+07),
           (-0.199,  1.18e+09),
           (-0.196,  1.77e+09),
           (-0.192,  9.25e+08),
           (-0.189,  1.09e+09),
           (-0.186,  1.08e+09),
           (-0.182,  2.05e+08),
           (-0.179,  1.77e+09),
           (-0.175,  1.12e+09),
           (-0.172,  3.18e+08),
           (-0.169,  7.14e+08),
           (-0.165,  6.89e+08),
           (-0.162, -7.57e+08),
           (-0.159,  1.45e+09),
           (-0.155,  1.96e+09),
           (-0.152, -3.68e+08),
           (-0.148,  2.21e+09),
           (-0.145,  7.48e+08),
           (-0.142,  1.52e+09),
           (-0.138,  8.11e+08),
           (-0.135,  1.47e+09),
           (-0.132,  1.69e+09),
           (-0.128, -3.46e+08),
           (-0.125, -1.07e+07),
           (-0.121,  5.80e+08),
           (-0.118,  4.49e+08),
           (-0.115, -2.30e+08),
           (-0.111,  2.05e+08),
           (-0.108,  1.14e+09),
           (-0.105, -1.21e+08),
           (-0.101,  4.76e+08),
           (-0.098, -3.99e+08),
           (-0.095, -2.84e+08),
           (-0.091,  5.40e+08),
           (-0.088, -1.10e+08),
           (-0.084, -2.99e+08),
           (-0.081,  5.20e+08),
           (-0.078, -5.04e+08),
           (-0.074,  4.04e+08),
           (-0.071,  3.50e+08),
           (-0.067, -5.09e+08),
           (-0.064,  4.20e+08),
           (-0.061, -3.82e+08),
           (-0.057,  4.34e+08),
           (-0.054,  2.46e+09),
           (-0.051, -7.95e+07),
           (-0.047,  5.16e+08),
           (-0.044,  9.37e+08),
           (-0.040,  3.02e+09),
           (-0.037,  4.10e+08),
           (-0.034,  2.55e+09),
           (-0.030,  3.83e+09),
           (-0.027,  2.77e+09),
           (-0.024,  2.80e+09),
           (-0.020,  3.92e+09),
           (-0.017,  4.70e+09),
           (-0.013,  4.89e+09),
           (-0.010,  3.05e+09),
           (-0.007,  4.23e+09),
           (-0.003,  3.44e+09),
           ( 0.000,  5.04e+09),
           ( 0.003,  6.11e+09),
           ( 0.007,  6.70e+09),
           ( 0.010,  8.35e+09),
           ( 0.014,  8.71e+09),
           ( 0.020,  1.07e+10),
           ( 0.024,  1.14e+10),
           ( 0.027,  1.00e+10),
           ( 0.030,  9.44e+09),
           ( 0.034,  9.51e+09),
           ( 0.037,  9.66e+09),
           ( 0.040,  7.71e+09),
           ( 0.044,  9.53e+09),
           ( 0.051,  1.00e+10),
           ( 0.054,  1.06e+10),
           ( 0.057,  1.14e+10),
           ( 0.061,  1.17e+10),
           ( 0.064,  1.18e+10),
           ( 0.068,  1.01e+10),
           ( 0.071,  1.11e+10),
           ( 0.074,  8.70e+09),
           ( 0.081,  9.87e+09),
           ( 0.084,  9.34e+09),
           ( 0.088,  9.79e+09),
           ( 0.091,  1.11e+10),
           ( 0.095,  1.07e+10),
           ( 0.098,  8.88e+09),
           ( 0.101,  9.67e+09),
           ( 0.105,  7.97e+09),
           ( 0.108,  9.53e+09),
           ( 0.111,  9.71e+09),
           ( 0.115,  7.90e+09),
           ( 0.118,  9.17e+09),
           ( 0.122,  8.35e+09),
           ( 0.125,  8.29e+09),
           ( 0.128,  9.21e+09),
           ( 0.135,  8.72e+09),
           ( 0.138,  7.51e+09),
           ( 0.142,  7.48e+09),
           ( 0.145,  7.08e+09),
           ( 0.149,  7.63e+09),
           ( 0.152,  7.21e+09),
           ( 0.155,  5.94e+09),
           ( 0.159,  8.47e+09),
           ( 0.162,  8.78e+09),
           ( 0.165,  7.54e+09),
           ( 0.169,  8.21e+09),
           ( 0.172,  8.14e+09),
           ( 0.176,  8.23e+09),
           ( 0.179,  9.19e+09),
           ( 0.182,  8.17e+09),
           ( 0.186,  1.01e+10),
           ( 0.189,  1.06e+10),
           ( 0.192,  1.01e+10),
           ( 0.196,  9.76e+09),
           ( 0.199,  9.87e+09),
           ( 0.203,  9.57e+09),
           ( 0.206,  1.21e+10),
           ( 0.209,  1.32e+10),
           ( 0.213,  1.20e+10),
           ( 0.216,  1.23e+10),
           ( 0.219,  1.30e+10),
           ( 0.223,  1.18e+10),
           ( 0.226,  1.25e+10),
           ( 0.230,  1.24e+10),
           ( 0.233,  1.01e+10),
           ( 0.240,  1.30e+10),
           ( 0.243,  1.21e+10),
           ( 0.246,  1.19e+10),
           ( 0.250,  1.47e+10),
           ( 0.253,  1.47e+10),
           ( 0.260,  1.14e+10),
           ( 0.263,  1.13e+10),
           ( 0.267,  1.16e+10),
           ( 0.270,  1.07e+10),
           ( 0.273,  1.02e+10),
           ( 0.277,  1.02e+10),
           ( 0.280,  1.13e+10),
           ( 0.284,  9.58e+09),
           ( 0.287,  9.25e+09),
           ( 0.290,  9.48e+09),
           ( 0.294,  8.58e+09),
           ( 0.297,  9.87e+09),
           ( 0.300,  1.17e+10),
           ( 0.304,  9.93e+09),
           ( 0.307,  1.06e+10),
           ( 0.311,  1.15e+10),
           ( 0.314,  1.28e+10),
           ( 0.317,  1.76e+10),
           ( 0.324,  1.92e+10),
           ( 0.331,  2.19e+10),
           ( 0.334,  2.32e+10),
           ( 0.338,  2.41e+10),
           ( 0.341,  2.62e+10),
           ( 0.344,  2.45e+10),
           ( 0.348,  2.45e+10),
           ( 0.351,  2.24e+10),
           ( 0.354,  2.45e+10),
           ( 0.365,  1.99e+10),
           ( 0.368,  2.14e+10),
           ( 0.371,  2.04e+10),
           ( 0.375,  2.01e+10),
           ( 0.378,  2.02e+10),
           ( 0.381,  2.15e+10),
           ( 0.385,  2.10e+10),
           ( 0.388,  2.35e+10),
           ( 0.392,  2.46e+10),
           ( 0.395,  2.46e+10),
           ( 0.398,  2.46e+10),
           ( 0.402,  2.74e+10),
           ( 0.405,  2.77e+10),
           ( 0.408,  2.87e+10),
           ( 0.415,  3.15e+10),
           ( 0.419,  2.99e+10),
           ( 0.422,  2.98e+10),
           ( 0.425,  2.94e+10),
           ( 0.429,  2.94e+10),
           ( 0.432,  2.87e+10),
           ( 0.435,  3.03e+10),
           ( 0.439,  3.36e+10),
           ( 0.442,  3.36e+10),
           ( 0.446,  3.39e+10),
           ( 0.449,  3.42e+10),
           ( 0.452,  3.43e+10),
           ( 0.456,  3.58e+10),
           ( 0.459,  3.93e+10),
           ( 0.466,  3.70e+10),
           ( 0.469,  3.54e+10),
           ( 0.473,  3.24e+10),
           ( 0.476,  3.02e+10),
           ( 0.479,  3.14e+10),
           ( 0.483,  2.69e+10),
           ( 0.486,  2.70e+10),
           ( 0.489,  2.71e+10),
           ( 0.493,  2.66e+10),
           ( 0.496,  2.47e+10),
           ( 0.500,  2.32e+10),
           ( 0.503,  2.33e+10),
           ( 0.506,  2.37e+10),
           ( 0.513,  2.18e+10),
           ( 0.516,  2.39e+10),
           ( 0.520,  2.18e+10),
           ( 0.523,  2.15e+10),
           ( 0.527,  2.03e+10),
           ( 0.530,  1.83e+10),
           ( 0.533,  1.80e+10),
           ( 0.537,  1.78e+10),
           ( 0.540,  1.93e+10),
           ( 0.547,  1.66e+10),
           ( 0.550,  1.72e+10),
           ( 0.554,  1.70e+10),
           ( 0.557,  1.52e+10),
           ( 0.560,  1.48e+10),
           ( 0.564,  1.39e+10),
           ( 0.567,  1.48e+10),
           ( 0.570,  1.36e+10),
           ( 0.574,  1.28e+10),
           ( 0.577,  1.14e+10),
           ( 0.581,  1.24e+10),
           ( 0.587,  1.15e+10),
           ( 0.591,  1.24e+10),
           ( 0.594,  1.05e+10),
           ( 0.597,  1.16e+10),
           ( 0.601,  9.35e+09),
           ( 0.604,  9.05e+09),
           ( 0.608,  1.00e+10),
           ( 0.611,  9.54e+09),
           ( 0.614,  8.23e+09),
           ( 0.618,  1.01e+10),
           ( 0.621,  9.27e+09),
           ( 0.624,  8.18e+09),
           ( 0.628,  7.67e+09),
           ( 0.631,  7.66e+09),
           ( 0.635,  7.00e+09),
           ( 0.638,  5.36e+09),
           ( 0.641,  4.96e+09),
           ( 0.645,  6.47e+09),
           ( 0.648,  4.81e+09),
           ( 0.651,  5.53e+09),
           ( 0.655,  4.65e+09),
           ( 0.658,  6.14e+09),
           ( 0.662,  5.64e+09),
           ( 0.665,  3.70e+09),
           ( 0.668,  4.36e+09),
           ( 0.672,  3.98e+09),
           ( 0.675,  4.26e+09),
           ( 0.678,  2.65e+09),
           ( 0.682,  3.24e+09),
           ( 0.685,  2.10e+09),
           ( 0.689,  1.61e+09),
           ( 0.692,  1.46e+09),
           ( 0.695,  2.17e+09),
           ( 0.699,  2.11e+09),
           ( 0.702,  1.29e+09),
           ( 0.705, -8.82e+08),
           ( 0.709,  1.71e+09),
           ( 0.712, -1.82e+07),
           ( 0.716,  1.48e+09),
           ( 0.719,  1.61e+09),
           ( 0.722,  2.00e+09),
           ( 0.726,  2.04e+09),
           ( 0.729,  3.98e+08),
           ( 0.732, -8.38e+08),
           ( 0.736,  3.08e+08),
           ( 0.739, -1.93e+08),
           ( 0.743, -2.03e+08),
           ( 0.746, -3.06e+07),
           ( 0.749,  1.42e+07),
           ( 0.753, -1.07e+08),
           ( 0.756,  5.58e+08),
           ( 0.759,  2.63e+08),
           ( 0.763,  9.68e+07),
           ( 0.766,  2.06e+09),
           ( 0.770, -5.70e+08),
           ( 0.773, -5.47e+08),
           ( 0.776,  7.71e+08),
           ( 0.783, -1.41e+08),
           ( 0.786,  3.78e+08),
           ( 0.790,  1.00e+09),
           ( 0.793,  1.13e+09),
           ( 0.797,  2.29e+09),
           ( 0.800,  1.29e+09),
           ( 0.803, -3.33e+08),
           ( 0.807, -2.53e+08),
           ( 0.810, -9.99e+08),
           ( 0.813, -4.88e+08),
           ( 0.817, -3.03e+08),
           ( 0.820,  1.67e+09),
           ( 0.824,  7.43e+08),
           ( 0.827,  1.01e+09),
           ( 0.830,  1.16e+09),
           ( 0.834,  4.99e+08),
           ( 0.837,  1.61e+09),
           ( 0.840,  2.11e+08),
           ( 0.844,  3.57e+08),
           ( 0.847,  1.08e+09),
           ( 0.851,  1.61e+09),
           ( 0.854,  7.59e+08),
           ( 0.857,  9.69e+08),
           ( 0.861,  1.42e+08),
           ( 0.864, -1.23e+08),
           ( 0.867,  1.29e+09),
           ( 0.874,  1.58e+08),
           ( 0.877,  1.11e+09),
           ( 0.881,  5.40e+08),
           ( 0.884,  1.54e+09),
           ( 0.888, -4.47e+08),
           ( 0.891,  1.03e+09),
           ( 0.894,  1.17e+09),
           ( 0.898,  2.43e+09),
           ( 0.901,  1.87e+09),
           ( 0.905,  1.74e+09),
           ( 0.908,  1.04e+09),
           ( 0.911,  8.29e+08),
           ( 0.915,  7.42e+08),
           ( 0.918,  1.53e+09),
           ( 0.921,  1.35e+09),
           ( 0.925,  8.95e+08),
           ( 0.928, -6.79e+08),
           ( 0.932,  6.21e+08),
           ( 0.935,  5.45e+08),
           ( 0.938,  1.37e+09),
           ( 0.942,  1.20e+09),
           ( 0.945, -1.06e+09),
           ( 0.948,  1.11e+09),
           ( 0.952,  2.61e+09),
           ( 0.955,  2.03e+09),
           ( 0.958,  1.73e+09),
           ( 0.962,  4.85e+08),
           ( 0.965,  9.69e+08),
           ( 0.969,  4.94e+07),
           ( 0.972,  6.12e+08),
           ( 0.975, -4.85e+08),
           ( 0.979,  8.78e+08),
           ( 0.982,  4.85e+08),
           ( 0.986, -6.64e+08),
           ( 0.989, -8.45e+08),
           ( 0.992, -8.32e+08),
           ( 0.996, -2.56e+09),
           ( 0.999, -1.32e+09),
           ( 1.002,  2.72e+08),
           ( 1.006,  4.45e+08),
           ( 1.009, -1.27e+09),
           ( 1.013, -9.55e+08),
           ( 1.016, -1.06e+09),
           ( 1.019, -9.74e+08),
           ( 1.023, -9.66e+08),
           ( 1.026, -1.39e+09),
           ( 1.029, -9.59e+08),
           ( 1.033, -3.26e+08),
           ( 1.036, -4.81e+07),
           ( 1.039, -1.86e+09),
           ( 1.043,  2.24e+07),
           ( 1.046, -1.31e+09),
           ( 1.053, -8.44e+08),
           ( 1.056, -1.33e+09),
           ( 1.060, -1.02e+09),
           ( 1.063, -1.97e+09),
           ( 1.067,  4.68e+07),
           ( 1.070,  1.19e+08),
           ( 1.073, -4.43e+08),
           ( 1.077,  1.24e+08),
           ( 1.080, -5.05e+08),
           ( 1.083,  1.31e+09),
           ( 1.087, -6.68e+08),
           ( 1.090,  5.61e+08),
           ( 1.094,  8.53e+08),
           ( 1.097,  8.78e+08),
           ( 1.100,  4.41e+08),
           ( 1.104, -5.50e+08),
           ( 1.107,  5.92e+08),
           ( 1.114, -4.20e+08),
           ( 1.117,  1.53e+08),
           ( 1.121, -1.28e+08),
           ( 1.124, -1.21e+09),
           ( 1.127, -1.67e+08),
           ( 1.131, -4.39e+08),
           ( 1.134, -1.13e+09),
           ( 1.137,  1.68e+08),
           ( 1.141,  2.84e+08),
           ( 1.144, -1.24e+09),
           ( 1.147,  9.30e+08),
           ( 1.151,  1.08e+09),
           ( 1.154, -2.22e+08),
           ( 1.158, -4.00e+08),
           ( 1.161,  9.42e+08),
           ( 1.164, -1.11e+09),
           ( 1.168,  5.22e+08),
           ( 1.171,  2.54e+08),
           ( 1.175, -5.77e+08),
           ( 1.178, -1.49e+08),
           ( 1.181, -5.41e+08),
           ( 1.185,  1.98e+08),
           ( 1.188,  8.62e+07),
           ( 1.191, -1.47e+08),
