Bolide Detection Notification: 2017-204

At 06:12:38 UT on 23 Jul 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.6 °S, Lon 69.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.38e+10 watts/steradian, and total radiated flash
energy 2.77e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.898, -7.74e+07),
           (-0.894,  5.62e+08),
           (-0.891,  7.01e+08),
           (-0.888,  7.34e+08),
           (-0.881,  3.68e+08),
           (-0.878,  1.37e+09),
           (-0.874,  5.60e+07),
           (-0.871,  1.07e+08),
           (-0.867,  6.67e+08),
           (-0.864,  5.13e+08),
           (-0.861,  9.97e+08),
           (-0.857,  1.12e+09),
           (-0.854,  1.47e+09),
           (-0.851,  6.33e+08),
           (-0.844,  1.90e+08),
           (-0.840,  7.03e+08),
           (-0.837,  1.80e+08),
           (-0.834, -2.05e+08),
           (-0.830,  1.58e+09),
           (-0.827,  6.16e+08),
           (-0.824,  7.58e+08),
           (-0.820,  5.78e+08),
           (-0.817,  5.60e+08),
           (-0.813, -1.23e+07),
           (-0.810,  1.27e+09),
           (-0.807,  4.98e+08),
           (-0.803,  7.39e+08),
           (-0.800,  9.12e+08),
           (-0.797,  2.39e+08),
           (-0.793,  3.93e+08),
           (-0.790,  9.30e+08),
           (-0.786,  1.36e+09),
           (-0.780,  6.84e+08),
           (-0.776, -6.97e+07),
           (-0.773,  6.97e+08),
           (-0.770, -4.48e+08),
           (-0.766,  1.01e+09),
           (-0.763,  1.04e+09),
           (-0.759,  4.24e+08),
           (-0.756,  4.86e+08),
           (-0.753,  3.76e+08),
           (-0.749,  1.56e+09),
           (-0.746,  2.54e+08),
           (-0.743,  2.42e+08),
           (-0.739,  9.43e+08),
           (-0.736,  8.54e+08),
           (-0.732,  6.56e+08),
           (-0.729,  7.32e+08),
           (-0.726, -1.20e+09),
           (-0.722, -4.13e+06),
           (-0.719,  1.94e+08),
           (-0.716,  3.11e+08),
           (-0.712,  6.56e+08),
           (-0.709,  1.52e+08),
           (-0.705,  2.87e+08),
           (-0.702,  7.09e+08),
           (-0.699,  1.19e+08),
           (-0.695,  1.16e+09),
           (-0.692,  1.73e+08),
           (-0.689,  7.74e+07),
           (-0.685,  4.70e+08),
           (-0.682,  1.09e+09),
           (-0.678,  2.36e+08),
           (-0.675,  1.05e+08),
           (-0.672,  2.61e+08),
           (-0.668,  2.31e+08),
           (-0.665,  1.49e+07),
           (-0.662, -1.02e+08),
           (-0.658,  9.05e+08),
           (-0.655,  1.36e+08),
           (-0.651,  2.44e+08),
           (-0.648,  2.00e+08),
           (-0.645,  1.80e+08),
           (-0.641,  7.45e+08),
           (-0.638, -3.58e+08),
           (-0.635,  1.15e+09),
           (-0.631,  8.38e+08),
           (-0.628, -1.29e+08),
           (-0.624,  1.46e+07),
           (-0.621, -5.30e+08),
           (-0.618,  3.57e+08),
           (-0.614,  6.24e+08),
           (-0.611,  3.20e+08),
           (-0.608,  2.52e+08),
           (-0.604, -3.76e+07),
           (-0.601,  5.12e+08),
           (-0.597,  1.42e+09),
           (-0.594,  2.78e+08),
           (-0.591,  9.14e+08),
           (-0.587,  1.12e+09),
           (-0.584,  1.07e+09),
           (-0.581,  5.21e+08),
           (-0.577, -3.08e+08),
           (-0.574,  4.67e+08),
           (-0.570,  8.92e+08),
           (-0.567,  7.68e+08),
           (-0.564,  9.04e+08),
           (-0.560,  1.12e+09),
           (-0.557,  1.00e+09),
           (-0.554,  9.56e+08),
           (-0.550,  5.88e+08),
           (-0.547,  1.85e+09),
           (-0.543,  2.18e+09),
           (-0.540,  1.86e+09),
           (-0.537,  1.77e+09),
           (-0.533,  2.11e+09),
           (-0.530,  2.71e+09),
           (-0.527,  2.55e+09),
           (-0.523,  1.32e+09),
           (-0.516,  2.44e+09),
           (-0.513,  1.01e+09),
           (-0.510,  1.82e+09),
           (-0.506,  1.98e+09),
           (-0.503,  5.55e+08),
           (-0.500,  1.12e+09),
           (-0.496,  9.01e+08),
           (-0.493,  9.07e+08),
           (-0.489,  9.93e+08),
           (-0.486,  1.83e+09),
           (-0.483,  6.29e+08),
           (-0.479,  1.29e+09),
           (-0.476,  8.48e+08),
           (-0.473,  1.68e+09),
           (-0.469,  8.98e+08),
           (-0.466,  1.22e+09),
           (-0.462,  1.94e+09),
           (-0.459,  2.00e+08),
           (-0.456,  1.36e+09),
           (-0.452,  5.67e+08),
           (-0.449,  5.37e+08),
           (-0.446,  9.91e+08),
           (-0.442,  5.16e+08),
           (-0.439,  4.68e+08),
           (-0.435,  9.83e+08),
           (-0.432,  1.00e+09),
           (-0.429,  6.20e+08),
           (-0.425,  1.37e+09),
           (-0.422,  8.45e+08),
           (-0.419,  1.72e+06),
           (-0.415,  5.06e+08),
           (-0.412,  8.77e+08),
           (-0.408,  9.74e+08),
           (-0.405,  1.74e+09),
           (-0.402,  2.85e+08),
           (-0.398,  2.27e+09),
           (-0.395,  1.39e+09),
           (-0.392,  1.45e+09),
           (-0.388,  4.68e+08),
           (-0.385,  1.26e+09),
           (-0.381,  9.93e+08),
           (-0.378,  1.36e+09),
           (-0.375, -3.35e+07),
           (-0.371,  1.53e+09),
           (-0.368,  1.11e+09),
           (-0.365,  9.93e+08),
           (-0.361,  7.79e+08),
           (-0.358,  2.48e+09),
           (-0.354,  7.68e+08),
           (-0.351,  7.95e+08),
           (-0.348,  1.89e+09),
           (-0.344,  7.63e+08),
           (-0.341,  5.20e+08),
           (-0.338,  7.36e+08),
           (-0.334,  1.23e+09),
           (-0.327, -1.21e+08),
           (-0.324,  4.77e+07),
           (-0.321,  1.32e+09),
           (-0.317,  8.47e+08),
           (-0.314,  1.81e+09),
           (-0.311, -3.37e+08),
           (-0.307,  1.30e+09),
           (-0.304,  1.26e+09),
           (-0.300, -1.31e+08),
           (-0.297,  3.77e+08),
           (-0.294,  1.06e+09),
           (-0.290,  6.14e+08),
           (-0.287,  4.91e+08),
           (-0.284,  1.19e+09),
           (-0.280,  3.80e+08),
           (-0.277,  9.48e+08),
           (-0.273, -3.21e+07),
           (-0.267,  1.32e+09),
           (-0.263,  8.99e+07),
           (-0.260,  1.20e+09),
           (-0.257,  9.90e+08),
           (-0.253,  3.11e+08),
           (-0.250,  9.35e+08),
           (-0.246,  9.47e+08),
           (-0.243,  7.44e+08),
           (-0.240,  1.40e+09),
           (-0.236,  1.47e+08),
           (-0.233,  9.66e+08),
           (-0.230, -1.26e+09),
           (-0.226,  1.23e+09),
           (-0.223,  1.23e+09),
           (-0.219,  8.44e+07),
           (-0.216,  3.39e+08),
           (-0.213,  6.65e+08),
           (-0.209,  1.41e+09),
           (-0.206,  6.29e+08),
           (-0.203,  6.06e+08),
           (-0.199,  6.36e+08),
           (-0.196, -1.07e+07),
           (-0.192,  2.69e+08),
           (-0.186, -3.11e+08),
           (-0.182, -6.18e+07),
           (-0.179, -3.33e+08),
           (-0.176, -1.95e+08),
           (-0.172,  4.97e+08),
           (-0.169, -1.21e+07),
           (-0.165, -3.40e+08),
           (-0.162,  1.39e+08),
           (-0.159,  3.57e+08),
           (-0.155, -3.52e+08),
           (-0.152, -1.19e+08),
           (-0.149,  4.11e+08),
           (-0.145,  7.26e+08),
           (-0.142,  6.74e+08),
           (-0.138, -9.28e+07),
           (-0.135,  1.68e+08),
           (-0.132,  9.49e+08),
           (-0.128,  7.53e+08),
           (-0.125,  8.79e+08),
           (-0.122, -1.70e+08),
           (-0.118,  1.50e+09),
           (-0.115,  6.66e+08),
           (-0.111,  4.09e+08),
           (-0.108,  5.56e+08),
           (-0.105,  7.74e+08),
           (-0.101,  1.22e+09),
           (-0.098,  9.32e+08),
           (-0.095,  7.14e+08),
           (-0.091,  8.67e+08),
           (-0.088,  5.72e+08),
           (-0.084,  3.35e+08),
           (-0.081,  2.74e+08),
           (-0.078,  1.17e+09),
           (-0.074,  1.54e+09),
           (-0.071,  1.20e+09),
           (-0.068,  1.03e+09),
           (-0.064,  5.90e+08),
           (-0.061,  7.81e+08),
           (-0.057, -1.06e+07),
           (-0.054,  1.40e+09),
           (-0.051,  3.33e+08),
           (-0.047,  3.13e+07),
           (-0.044,  1.05e+09),
           (-0.041,  4.86e+08),
           (-0.037,  1.18e+09),
           (-0.034, -1.23e+08),
           (-0.030,  2.90e+08),
           (-0.027,  2.01e+08),
           (-0.024,  8.97e+08),
           (-0.020,  1.47e+09),
           (-0.017,  2.52e+09),
           (-0.014,  1.78e+09),
           (-0.010,  2.76e+09),
           (-0.007,  3.26e+09),
           (-0.003,  3.93e+09),
           (-0.000,  3.56e+09),
           ( 0.003,  1.52e+09),
