Bolide Detection Notification: 2017-362

At 17:45:44 UT on 28 Dec 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.41e+10 watts/steradian, and total radiated flash
energy 7.78e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.253, -1.62e+08),
           (-0.250, -4.59e+08),
           (-0.246,  8.70e+08),
           (-0.243,  3.48e+08),
           (-0.240, -6.71e+08),
           (-0.236,  2.50e+08),
           (-0.233,  9.54e+08),
           (-0.230,  1.17e+09),
           (-0.226, -1.26e+09),
           (-0.223,  8.67e+08),
           (-0.219, -1.89e+09),
           (-0.216,  1.37e+09),
           (-0.213,  4.16e+08),
           (-0.209,  1.51e+09),
           (-0.206,  1.93e+08),
           (-0.203,  1.05e+09),
           (-0.199, -1.11e+09),
           (-0.196,  1.64e+09),
           (-0.192, -1.04e+09),
           (-0.189,  1.81e+09),
           (-0.186,  1.58e+09),
           (-0.182, -8.49e+08),
           (-0.179, -1.59e+09),
           (-0.175, -2.50e+08),
           (-0.172,  9.30e+08),
           (-0.169, -9.53e+08),
           (-0.165, -3.03e+09),
           (-0.162, -2.18e+09),
           (-0.159, -1.65e+09),
           (-0.155, -1.60e+08),
           (-0.152, -1.93e+09),
           (-0.148, -4.72e+08),
           (-0.145,  7.24e+08),
           (-0.142, -4.73e+08),
           (-0.138, -5.46e+08),
           (-0.132,  7.11e+08),
           (-0.128, -3.77e+08),
           (-0.125,  9.97e+08),
           (-0.122, -9.26e+08),
           (-0.118,  7.45e+08),
           (-0.115,  3.39e+07),
           (-0.111, -1.20e+09),
           (-0.108, -1.74e+09),
           (-0.105, -4.94e+08),
           (-0.101,  1.28e+09),
           (-0.098, -3.63e+08),
           (-0.095,  8.59e+08),
           (-0.091, -2.19e+09),
           (-0.088, -2.28e+09),
           (-0.084,  3.58e+08),
           (-0.081, -8.43e+08),
           (-0.078, -1.04e+09),
           (-0.074,  4.27e+08),
           (-0.071, -1.57e+09),
           (-0.068, -1.18e+09),
           (-0.064, -5.41e+08),
           (-0.061,  9.95e+08),
           (-0.057,  2.92e+08),
           (-0.054, -1.19e+09),
           (-0.051,  1.64e+08),
           (-0.047,  1.26e+07),
           (-0.044, -8.80e+06),
           (-0.040, -1.65e+09),
           (-0.037, -1.38e+09),
           (-0.034, -5.52e+07),
           (-0.030,  1.66e+09),
           (-0.027, -1.77e+09),
           (-0.024, -1.26e+09),
           (-0.020,  1.27e+09),
           (-0.017,  1.77e+09),
           (-0.013,  5.57e+08),
           (-0.010,  1.47e+09),
           (-0.007,  1.97e+09),
           (-0.003,  6.02e+09),
           (-0.000,  3.61e+09),
           ( 0.003,  6.48e+09),
           ( 0.007,  4.20e+09),
           ( 0.010,  4.32e+09),
           ( 0.013,  7.75e+09),
           ( 0.017,  1.01e+10),
           ( 0.020,  8.88e+09),
           ( 0.024,  9.70e+09),
           ( 0.027,  1.03e+10),
           ( 0.030,  1.23e+10),
           ( 0.034,  1.33e+10),
           ( 0.037,  1.28e+10),
           ( 0.040,  1.78e+10),
           ( 0.044,  1.59e+10),
           ( 0.047,  1.44e+10),
           ( 0.051,  1.35e+10),
           ( 0.054,  1.25e+10),
           ( 0.057,  1.38e+10),
           ( 0.061,  1.58e+10),
           ( 0.064,  1.87e+10),
           ( 0.068,  2.02e+10),
           ( 0.071,  2.05e+10),
           ( 0.074,  2.00e+10),
           ( 0.078,  1.94e+10),
           ( 0.081,  1.60e+10),
           ( 0.084,  1.92e+10),
           ( 0.088,  1.76e+10),
           ( 0.091,  1.86e+10),
           ( 0.095,  2.24e+10),
           ( 0.098,  2.10e+10),
           ( 0.101,  2.49e+10),
           ( 0.108,  3.12e+10),
           ( 0.111,  3.60e+10),
           ( 0.115,  4.26e+10),
           ( 0.118,  4.41e+10),
           ( 0.122,  4.24e+10),
           ( 0.125,  4.37e+10),
           ( 0.128,  4.18e+10),
           ( 0.132,  4.05e+10),
