Bolide Detection Notification: 2018-032

At 12:21:36 UT on 01 Feb 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 19.4 °S, Lon 104.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.83e+10 watts/steradian, and total radiated flash
energy 1.28e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -1.06e+09),
           (-1.991,  3.76e+08),
           (-1.988,  3.34e+08),
           (-1.978, -6.77e+07),
           (-1.974,  1.05e+09),
           (-1.971,  9.96e+08),
           (-1.968,  1.36e+08),
           (-1.964,  3.59e+08),
           (-1.961,  1.41e+09),
           (-1.957,  1.28e+09),
           (-1.954,  6.00e+08),
           (-1.951, -5.88e+08),
           (-1.947,  2.40e+09),
           (-1.944,  9.06e+08),
           (-1.941,  3.29e+08),
           (-1.937,  1.27e+09),
           (-1.934,  6.52e+08),
           (-1.930,  2.34e+09),
           (-1.927,  8.61e+07),
           (-1.924,  1.98e+09),
           (-1.920,  1.90e+09),
           (-1.917, -9.55e+08),
           (-1.914,  1.28e+09),
           (-1.910,  2.02e+09),
           (-1.907,  2.07e+09),
           (-1.897, -7.35e+08),
           (-1.893,  1.47e+09),
           (-1.890,  1.04e+09),
           (-1.887, -4.05e+06),
           (-1.883, -3.94e+08),
           (-1.880, -4.23e+08),
           (-1.876, -8.38e+08),
           (-1.873,  1.44e+09),
           (-1.870, -8.96e+08),
           (-1.866,  1.30e+09),
           (-1.860, -4.74e+08),
           (-1.856,  2.61e+08),
           (-1.853,  2.57e+08),
           (-1.846, -1.16e+09),
           (-1.843,  1.85e+08),
           (-1.839, -2.68e+08),
           (-1.836, -3.18e+09),
           (-1.833, -1.26e+09),
           (-1.829, -3.69e+08),
           (-1.826, -7.46e+08),
           (-1.822, -1.90e+09),
           (-1.819, -2.47e+09),
           (-1.816,  2.39e+08),
           (-1.812, -1.32e+09),
           (-1.809, -1.83e+09),
           (-1.806, -1.41e+09),
           (-1.802, -1.81e+09),
           (-1.799, -1.25e+09),
           (-1.795, -1.06e+09),
           (-1.792,  2.64e+08),
           (-1.789, -1.19e+09),
           (-1.785, -1.18e+09),
           (-1.782,  2.18e+08),
           (-1.779,  6.51e+08),
           (-1.775,  2.21e+08),
           (-1.772, -3.45e+07),
           (-1.768, -7.39e+08),
           (-1.762,  1.03e+09),
           (-1.758,  1.46e+09),
           (-1.755, -4.80e+08),
           (-1.752, -4.08e+08),
           (-1.748, -5.91e+08),
           (-1.745,  2.46e+08),
           (-1.741,  9.00e+07),
           (-1.738, -4.48e+08),
           (-1.735,  2.02e+08),
           (-1.731, -6.80e+08),
           (-1.728,  5.96e+08),
           (-1.725, -1.16e+09),
           (-1.721, -1.22e+09),
           (-1.718,  1.41e+09),
           (-1.714, -2.04e+09),
           (-1.711, -2.06e+09),
           (-1.708,  5.01e+08),
           (-1.704, -7.83e+08),
           (-1.701,  6.89e+08),
           (-1.698,  4.65e+08),
           (-1.694,  1.24e+08),
           (-1.691,  1.52e+09),
           (-1.687,  3.08e+08),
           (-1.684,  3.94e+07),
           (-1.681,  7.50e+08),
           (-1.677, -3.78e+08),
           (-1.674,  9.56e+08),
           (-1.671,  7.86e+08),
           (-1.667,  9.62e+08),
           (-1.664, -1.29e+09),
           (-1.660,  5.66e+08),
           (-1.657,  1.10e+09),
           (-1.654,  2.06e+07),
           (-1.650,  7.44e+08),
           (-1.647, -2.15e+08),
           (-1.644,  2.00e+09),
           (-1.633, -2.30e+09),
           (-1.630,  3.86e+08),
           (-1.627,  8.55e+08),
           (-1.623, -1.22e+09),
           (-1.620, -2.14e+09),
           (-1.617, -2.19e+09),
           (-1.613, -2.95e+09),
           (-1.610, -1.82e+09),
           (-1.606, -2.82e+09),
           (-1.603, -1.14e+09),
           (-1.600, -5.80e+08),
           (-1.593, -3.19e+09),
           (-1.590, -2.86e+08),
           (-1.586,  6.58e+08),
           (-1.583, -7.14e+08),
           (-1.579, -1.56e+09),
           (-1.576, -1.68e+09),
           (-1.569, -9.13e+08),
           (-1.563, -3.39e+08),
           (-1.559,  3.41e+08),
           (-1.556, -1.04e+09),
           (-1.552, -9.22e+08),
           (-1.549,  1.88e+08),
           (-1.546, -1.40e+09),
           (-1.542, -8.41e+08),
           (-1.539, -1.02e+09),
           (-1.536,  1.20e+09),
           (-1.532,  6.52e+08),
           (-1.529, -2.22e+09),
           (-1.525, -8.93e+08),
           (-1.522, -1.68e+08),
           (-1.519,  3.77e+07),
           (-1.515,  1.22e+09),
           (-1.509, -2.80e+09),
           (-1.505, -9.22e+08),
           (-1.502, -2.32e+08),
           (-1.498, -1.93e+09),
           (-1.495,  8.32e+08),
           (-1.492,  1.14e+09),
           (-1.488, -1.99e+09),
           (-1.482,  7.73e+08),
           (-1.478, -1.54e+09),
           (-1.475,  2.93e+08),
           (-1.468, -1.35e+09),
           (-1.465,  5.88e+08),
           (-1.461,  1.42e+09),
           (-1.458, -7.56e+08),
           (-1.455, -4.42e+08),
           (-1.451, -1.09e+09),
           (-1.444,  2.99e+09),
           (-1.441,  4.18e+08),
           (-1.438,  2.07e+09),
           (-1.434, -5.23e+06),
           (-1.431,  2.26e+09),
           (-1.424,  9.86e+08),
           (-1.421,  1.33e+09),
           (-1.417, -6.43e+08),
           (-1.414,  2.70e+09),
           (-1.411,  3.39e+09),
           (-1.407,  3.39e+09),
           (-1.404,  1.94e+09),
           (-1.401,  2.15e+09),
           (-1.397,  8.36e+08),
           (-1.394,  3.28e+09),
           (-1.390,  1.35e+09),
           (-1.387,  1.86e+09),
           (-1.384,  1.32e+09),
           (-1.380, -1.15e+08),
           (-1.377,  9.82e+08),
           (-1.374,  8.64e+08),
           (-1.370,  1.26e+09),
           (-1.367,  2.51e+09),
           (-1.363,  1.74e+09),
           (-1.360,  1.54e+09),
           (-1.357,  4.36e+08),
           (-1.353,  8.98e+08),
           (-1.350, -2.64e+08),
           (-1.347,  7.39e+08),
           (-1.343,  2.37e+09),
           (-1.340, -1.27e+09),
           (-1.336,  1.72e+09),
           (-1.333,  3.09e+09),
           (-1.330,  1.74e+08),
           (-1.326,  2.05e+09),
           (-1.323,  1.55e+09),
           (-1.320,  2.19e+09),
