Bolide Detection Notification: 2018-206

At 21:55:23 UT on 25 Jul 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 76.9 °N, Lon 69.0 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.92e+10 watts/steradian, and total radiated flash
energy 5.97e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-5.798,  7.17e+08),
           (-5.795,  6.19e+08),
           (-5.792,  2.04e+09),
           (-5.785, -1.31e+09),
           (-5.775,  9.02e+08),
           (-5.771, -3.80e+08),
           (-5.768,  1.61e+09),
           (-5.765,  2.75e+08),
           (-5.761,  1.23e+09),
           (-5.754, -1.32e+09),
           (-5.751,  5.50e+08),
           (-5.748, -4.54e+08),
           (-5.744, -3.29e+08),
           (-5.741,  1.26e+09),
           (-5.738, -1.54e+09),
           (-5.727,  9.49e+08),
           (-5.724,  1.31e+08),
           (-5.721,  7.14e+08),
           (-5.717,  3.41e+06),
           (-5.714,  4.02e+08),
           (-5.711, -1.31e+09),
           (-5.707,  2.65e+08),
           (-5.704, -2.69e+08),
           (-5.700, -1.49e+08),
           (-5.697, -1.51e+09),
           (-5.690,  1.47e+09),
           (-5.684, -1.10e+09),
           (-5.680, -1.47e+08),
           (-5.677, -1.40e+09),
           (-5.673,  1.08e+09),
           (-5.667,  6.08e+07),
           (-5.663,  4.99e+08),
           (-5.660, -7.75e+08),
           (-5.657,  4.11e+08),
           (-5.653, -9.79e+08),
           (-5.650, -7.14e+08),
           (-5.646,  8.60e+08),
           (-5.643,  1.62e+08),
           (-5.640,  5.22e+08),
           (-5.633, -4.74e+08),
           (-5.630, -1.77e+08),
           (-5.626,  6.41e+08),
           (-5.623,  9.06e+07),
           (-5.619,  2.88e+08),
           (-5.616,  1.88e+09),
           (-5.609, -7.71e+08),
           (-5.606,  4.35e+08),
           (-5.599, -3.88e+07),
           (-5.596, -3.35e+08),
           (-5.592, -1.17e+08),
           (-5.589,  2.33e+09),
           (-5.582, -1.44e+09),
           (-5.576,  1.11e+09),
           (-5.572,  1.58e+09),
