Bolide Detection Notification: 2019-074

At 12:26:56 UT on 15 Mar 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 63.7 °N, Lon 95.7 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.26e+09 watts/steradian, and total radiated flash
energy 4.60e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -1.26e+09),
           (-1.995, -2.78e+08),
           (-1.991,  6.66e+07),
           (-1.988, -4.51e+07),
           (-1.985,  7.16e+08),
           (-1.981, -1.13e+09),
           (-1.974,  2.03e+08),
           (-1.971, -8.32e+08),
           (-1.968,  5.23e+08),
           (-1.964,  1.35e+08),
           (-1.958,  3.07e+08),
           (-1.954,  7.97e+08),
           (-1.951,  1.49e+09),
           (-1.947,  6.68e+08),
           (-1.944, -8.27e+08),
           (-1.941,  2.85e+08),
           (-1.937,  1.01e+09),
           (-1.934,  2.57e+09),
           (-1.927, -8.93e+08),
           (-1.924, -9.11e+08),
           (-1.920,  2.13e+08),
           (-1.917,  1.92e+09),
           (-1.914, -9.06e+08),
           (-1.910,  2.20e+08),
           (-1.907,  2.97e+09),
           (-1.903, -1.06e+09),
           (-1.900, -1.26e+09),
           (-1.897,  8.44e+08),
           (-1.893,  1.00e+09),
           (-1.890, -2.15e+08),
           (-1.887,  3.50e+08),
           (-1.883, -4.37e+08),
           (-1.880,  6.06e+08),
           (-1.877, -9.32e+07),
           (-1.873,  1.44e+09),
           (-1.870,  5.08e+08),
           (-1.866, -9.20e+07),
           (-1.863, -1.78e+08),
           (-1.860,  1.54e+09),
           (-1.856,  1.55e+09),
           (-1.853,  1.47e+09),
           (-1.850,  6.56e+07),
           (-1.846,  1.57e+08),
           (-1.843, -4.48e+08),
           (-1.839, -6.61e+08),
           (-1.836,  8.96e+08),
           (-1.833, -7.01e+08),
           (-1.826,  4.13e+08),
           (-1.823,  3.34e+07),
           (-1.819,  1.24e+09),
           (-1.816,  1.06e+09),
           (-1.809,  1.86e+09),
           (-1.806,  5.35e+07),
           (-1.799,  1.70e+09),
           (-1.796,  2.07e+08),
           (-1.792,  1.46e+09),
           (-1.789,  8.29e+08),
           (-1.785, -2.48e+07),
           (-1.782,  2.25e+09),
           (-1.779,  4.44e+08),
           (-1.775,  4.80e+08),
           (-1.772,  1.47e+09),
           (-1.768, -2.17e+07),
           (-1.765, -3.19e+07),
           (-1.762,  1.68e+09),
           (-1.755, -1.08e+09),
           (-1.752,  5.24e+08),
           (-1.748,  6.42e+08),
           (-1.745, -1.08e+08),
           (-1.742,  9.36e+08),
           (-1.738,  9.64e+08),
           (-1.735,  4.84e+08),
           (-1.731,  1.78e+08),
           (-1.728,  2.56e+08),
           (-1.725,  1.01e+09),
           (-1.721,  2.78e+07),
           (-1.718,  4.29e+08),
           (-1.714,  1.38e+09),
           (-1.711, -5.33e+08),
           (-1.708,  2.02e+06),
           (-1.704,  1.34e+09),
           (-1.701,  3.58e+08),
           (-1.698,  2.02e+08),
           (-1.694, -7.05e+08),
           (-1.691,  1.31e+09),
           (-1.688,  8.78e+08),
           (-1.684,  1.18e+09),
           (-1.681, -3.25e+08),
           (-1.677, -6.60e+08),
           (-1.674,  1.04e+09),
           (-1.671,  1.75e+08),
           (-1.667,  8.00e+07),
           (-1.664, -6.80e+08),
           (-1.661, -5.83e+08),
           (-1.657, -3.26e+08),
           (-1.654,  1.60e+08),
           (-1.650,  1.00e+09),
           (-1.647,  9.25e+06),
           (-1.644,  3.54e+08),
           (-1.640, -1.11e+08),
           (-1.637, -8.88e+07),
           (-1.633,  1.33e+09),
           (-1.630, -9.75e+08),
           (-1.627,  3.00e+08),
           (-1.623, -2.05e+08),
           (-1.620,  3.51e+08),
           (-1.617, -5.56e+08),
           (-1.613, -7.80e+08),
           (-1.607,  3.19e+08),
           (-1.603, -1.09e+09),
           (-1.596, -1.59e+07),
           (-1.593, -5.96e+08),
           (-1.590, -9.37e+08),
           (-1.586,  1.92e+08),
           (-1.583,  2.61e+07),
           (-1.579, -2.51e+08),
           (-1.576, -1.82e+08),
           (-1.573, -6.12e+08),
           (-1.569, -1.09e+08),
           (-1.566, -1.36e+09),
           (-1.563, -1.07e+07),
           (-1.559, -1.21e+07),
           (-1.556,  1.52e+09),
           (-1.552,  1.11e+09),
           (-1.549,  1.41e+09),
           (-1.546,  5.69e+08),
           (-1.539,  1.15e+07),
           (-1.536, -5.68e+08),
           (-1.532,  1.07e+09),
           (-1.529, -1.27e+07),
           (-1.526,  5.70e+08),
           (-1.522, -2.60e+08),
           (-1.519,  1.73e+09),
           (-1.515, -1.86e+09),
           (-1.512, -7.51e+08),
           (-1.509, -7.86e+08),
           (-1.505,  9.76e+07),
           (-1.502, -4.01e+08),
           (-1.498,  1.61e+09),
           (-1.495, -1.80e+09),
           (-1.492, -5.93e+07),
           (-1.488, -1.79e+08),
           (-1.485,  1.01e+09),
           (-1.478, -8.66e+08),
           (-1.475,  4.39e+08),
           (-1.472,  6.71e+08),
           (-1.468, -1.88e+09),
           (-1.465,  5.31e+08),
           (-1.461, -1.18e+09),
           (-1.458, -1.50e+09),
           (-1.455,  1.96e+09),
           (-1.451,  9.11e+08),
           (-1.448,  3.03e+08),
           (-1.444,  7.65e+08),
           (-1.441,  2.18e+09),
           (-1.438,  2.25e+09),
           (-1.434,  1.17e+09),
           (-1.431,  1.62e+09),
           (-1.428,  9.01e+08),
           (-1.424,  1.63e+09),
           (-1.421,  5.07e+08),
           (-1.414,  7.49e+08),
           (-1.411,  8.89e+08),
           (-1.407, -3.59e+08),
           (-1.404,  2.14e+08),
           (-1.401, -9.36e+08),
           (-1.397,  1.17e+09),
           (-1.391,  3.09e+06),
           (-1.387,  7.10e+08),
           (-1.384,  6.00e+07),
           (-1.380,  4.41e+08),
           (-1.377,  5.19e+08),
           (-1.374,  2.24e+08),
           (-1.370,  6.30e+08),
           (-1.367,  3.51e+08),
           (-1.363,  9.14e+08),
           (-1.357,  1.38e+09),
           (-1.353, -3.08e+08),
           (-1.350, -1.86e+08),
           (-1.347, -5.63e+08),
           (-1.343,  1.51e+08),
           (-1.340,  1.78e+09),
           (-1.337,  6.44e+08),
           (-1.333,  7.35e+08),
           (-1.330, -3.91e+08),
           (-1.326,  1.52e+08),
           (-1.323, -3.44e+08),
           (-1.320,  1.02e+09),
           (-1.316, -4.21e+08),
           (-1.313, -1.48e+08),
           (-1.309,  1.00e+09),
           (-1.306,  3.36e+08),
           (-1.299, -1.88e+09),
           (-1.296,  1.65e+08),
           (-1.293, -3.84e+08),
           (-1.289,  7.23e+08),
           (-1.286,  9.31e+08),
           (-1.282, -6.23e+08),
           (-1.279, -1.39e+09),
           (-1.272,  8.73e+08),
           (-1.269,  3.56e+08),
           (-1.266, -1.16e+09),
           (-1.262,  5.15e+08),
           (-1.259, -1.39e+09),
           (-1.256, -9.18e+08),
           (-1.252, -1.12e+09),
           (-1.249,  1.23e+09),
           (-1.245, -6.10e+08),
           (-1.242,  1.18e+09),
           (-1.239, -1.40e+08),
           (-1.235,  8.00e+08),
           (-1.232, -7.92e+08),
           (-1.228, -2.00e+08),
           (-1.225,  1.58e+09),
           (-1.222,  1.15e+09),
           (-1.218,  8.74e+08),
           (-1.215,  8.08e+08),
           (-1.212, -4.92e+08),
           (-1.208,  5.43e+08),
           (-1.205,  6.48e+08),
           (-1.202,  1.08e+09),
           (-1.195, -2.83e+08),
           (-1.191,  1.93e+09),
           (-1.188,  3.42e+08),
           (-1.185, -2.12e+08),
           (-1.181,  6.70e+08),
           (-1.178,  4.32e+08),
           (-1.174,  1.48e+09),
           (-1.171,  1.82e+09),
           (-1.168,  1.13e+09),
           (-1.164, -6.08e+08),
           (-1.161,  5.75e+08),
           (-1.158,  5.55e+08),
           (-1.154,  9.98e+08),
           (-1.151, -1.59e+09),
           (-1.147, -1.10e+09),
           (-1.144,  1.65e+09),
           (-1.141,  3.19e+08),
           (-1.137, -4.48e+08),
           (-1.134,  1.81e+08),
           (-1.131,  1.94e+08),
           (-1.127,  4.64e+08),
           (-1.124, -3.00e+08),
           (-1.121, -1.40e+09),
           (-1.117, -6.65e+08),
           (-1.114,  1.71e+09),
           (-1.110, -1.20e+09),
           (-1.107,  1.20e+09),
           (-1.104,  6.34e+08),
           (-1.100,  9.98e+08),
           (-1.097, -1.05e+08),
           (-1.090,  1.26e+09),
           (-1.087,  4.57e+08),
           (-1.083,  5.27e+08),
           (-1.080, -7.06e+08),
           (-1.077,  6.29e+08),
           (-1.073, -1.49e+09),
           (-1.070,  2.49e+08),
           (-1.067, -8.34e+07),
           (-1.063, -6.65e+08),
           (-1.060,  9.42e+08),
           (-1.053, -1.49e+09),
           (-1.050,  3.17e+07),
           (-1.046,  7.47e+08),
           (-1.039, -7.16e+08),
           (-1.036,  8.29e+08),
           (-1.033,  1.42e+09),
           (-1.029, -8.41e+07),
           (-1.026, -4.49e+08),
           (-1.023,  5.67e+08),
           (-1.019, -4.57e+08),
           (-1.016, -3.92e+08),
           (-1.013, -1.17e+09),
           (-1.009,  2.95e+08),
           (-1.006,  8.70e+07),
           (-1.002, -1.92e+08),
           (-0.999, -2.00e+09),
           (-0.996, -1.08e+09),
           (-0.992, -1.28e+09),
           (-0.986,  3.29e+08),
           (-0.982, -1.01e+09),
           (-0.979, -9.37e+08),
           (-0.975, -1.54e+09),
           (-0.972, -7.99e+08),
           (-0.969,  2.14e+09),
           (-0.965, -1.80e+09),
           (-0.962, -3.52e+08),
           (-0.958,  2.44e+08),
           (-0.955, -6.81e+08),
           (-0.948,  9.19e+07),
           (-0.945, -4.38e+08),
           (-0.942,  6.69e+07),
           (-0.938,  1.44e+09),
           (-0.932, -9.87e+08),
           (-0.928,  2.44e+08),
           (-0.925, -7.22e+08),
           (-0.921, -4.16e+08),
           (-0.918,  1.34e+09),
           (-0.915, -1.16e+08),
           (-0.911,  3.31e+08),
           (-0.908,  5.82e+07),
           (-0.905,  7.39e+07),
           (-0.901, -7.36e+07),
           (-0.898, -5.82e+08),
           (-0.894,  1.71e+09),
           (-0.891, -2.67e+07),
           (-0.888,  4.69e+08),
           (-0.884, -1.74e+09),
           (-0.881, -1.75e+08),
           (-0.877, -2.62e+09),
           (-0.874, -5.57e+08),
           (-0.871, -1.54e+09),
           (-0.867,  5.01e+08),
           (-0.864,  6.84e+08),
           (-0.861, -1.03e+09),
           (-0.857,  8.86e+08),
           (-0.854, -9.28e+08),
           (-0.851, -5.68e+08),
           (-0.847,  2.53e+08),
           (-0.844,  1.35e+08),
           (-0.837, -1.87e+09),
           (-0.834, -1.22e+08),
           (-0.830, -2.35e+09),
           (-0.827, -2.86e+08),
           (-0.824, -1.88e+08),
           (-0.820,  8.33e+08),
           (-0.817, -2.93e+08),
           (-0.813, -5.33e+08),
           (-0.810, -1.67e+08),
           (-0.807,  8.44e+08),
           (-0.803, -3.34e+08),
           (-0.800,  4.21e+08),
           (-0.796,  1.54e+09),
           (-0.793, -2.26e+09),
           (-0.790, -1.42e+09),
           (-0.786,  1.10e+09),
           (-0.783, -1.19e+08),
           (-0.780, -1.92e+09),
           (-0.776, -1.06e+09),
           (-0.773,  9.50e+08),
           (-0.769,  2.71e+08),
           (-0.766, -1.42e+09),
           (-0.759,  9.13e+07),
           (-0.756, -1.06e+09),
           (-0.749, -7.02e+08),
           (-0.746, -7.25e+06),
           (-0.743, -1.02e+08),
           (-0.739, -1.49e+09),
           (-0.736, -6.08e+08),
           (-0.729,  2.14e+09),
           (-0.726,  1.45e+09),
           (-0.722, -1.31e+09),
           (-0.719, -5.16e+08),
           (-0.716,  1.10e+09),
           (-0.712,  2.28e+08),
           (-0.709, -1.13e+09),
           (-0.705, -2.49e+08),
           (-0.702,  8.11e+07),
           (-0.699,  7.66e+08),
           (-0.695, -8.97e+08),
           (-0.692,  1.49e+09),
           (-0.685, -1.42e+09),
           (-0.682, -6.26e+08),
           (-0.678,  1.46e+09),
           (-0.675, -1.39e+09),
           (-0.672, -5.55e+08),
           (-0.668, -3.12e+07),
           (-0.665, -1.01e+09),
           (-0.662,  2.17e+08),
           (-0.658, -9.24e+08),
           (-0.655,  4.56e+08),
           (-0.651, -8.11e+08),
           (-0.648, -5.21e+07),
           (-0.645,  1.32e+08),
           (-0.641,  3.42e+07),
           (-0.638, -1.79e+09),
           (-0.635, -6.65e+07),
           (-0.631,  3.08e+08),
           (-0.628, -3.01e+07),
           (-0.624, -8.53e+08),
           (-0.621, -1.17e+09),
           (-0.618,  5.96e+08),
           (-0.614,  8.59e+08),
           (-0.607,  1.06e+08),
           (-0.604, -7.34e+08),
           (-0.601, -1.41e+08),
           (-0.594,  2.42e+09),
           (-0.591,  2.05e+09),
           (-0.587,  1.51e+09),
           (-0.584,  1.86e+09),
           (-0.581, -3.83e+08),
           (-0.577,  4.23e+08),
           (-0.574, -4.06e+08),
           (-0.567,  2.47e+09),
           (-0.564,  2.11e+09),
           (-0.560,  2.53e+09),
           (-0.557,  1.73e+09),
           (-0.554,  3.26e+09),
           (-0.550,  3.02e+09),
           (-0.547,  1.18e+09),
           (-0.543,  9.77e+08),
           (-0.540,  2.11e+09),
           (-0.537,  2.17e+09),
           (-0.533,  1.79e+09),
           (-0.530,  2.15e+09),
           (-0.526,  3.65e+09),
           (-0.523,  3.39e+09),
           (-0.520,  4.47e+09),
           (-0.516,  2.43e+09),
           (-0.510,  3.77e+09),
           (-0.506,  3.19e+09),
           (-0.503,  3.09e+09),
           (-0.499,  3.87e+09),
           (-0.496,  4.12e+09),
           (-0.493,  3.95e+09),
           (-0.489,  3.69e+09),
           (-0.486,  1.24e+09),
           (-0.483,  2.94e+09),
           (-0.479,  4.01e+09),
           (-0.476,  2.86e+09),
           (-0.473,  1.26e+09),
           (-0.469,  1.98e+09),
           (-0.466,  4.66e+09),
           (-0.462,  5.33e+09),
           (-0.459,  3.19e+09),
           (-0.456,  2.79e+09),
           (-0.452,  3.43e+09),
           (-0.449,  1.94e+09),
           (-0.446,  4.27e+09),
           (-0.442,  3.26e+09),
           (-0.439,  4.58e+09),
           (-0.435,  4.05e+09),
           (-0.432,  4.15e+09),
           (-0.429,  3.04e+09),
           (-0.425,  3.42e+09),
           (-0.422,  1.89e+09),
           (-0.419,  4.14e+09),
           (-0.415,  4.40e+09),
           (-0.412,  3.45e+09),
           (-0.408,  2.98e+09),
           (-0.405,  3.44e+09),
           (-0.402,  3.43e+09),
           (-0.398,  2.36e+09),
           (-0.395,  1.68e+09),
           (-0.391,  3.12e+09),
           (-0.388,  2.58e+09),
           (-0.385,  3.23e+09),
           (-0.381,  1.73e+09),
           (-0.378,  3.13e+09),
           (-0.375,  2.42e+09),
           (-0.371,  2.60e+09),
           (-0.368,  1.44e+09),
           (-0.365,  2.35e+09),
           (-0.361,  2.51e+09),
           (-0.358,  3.79e+09),
           (-0.354,  3.33e+09),
           (-0.351,  1.92e+09),
           (-0.348,  2.44e+09),
           (-0.344,  1.01e+09),
           (-0.341,  1.52e+09),
           (-0.337,  3.24e+09),
           (-0.334,  2.50e+09),
           (-0.331,  2.58e+09),
           (-0.327,  2.70e+09),
           (-0.324,  2.75e+09),
           (-0.321,  2.70e+09),
           (-0.317,  1.13e+09),
           (-0.314,  2.94e+09),
           (-0.311,  3.56e+09),
           (-0.304,  2.72e+09),
           (-0.300,  3.13e+09),
           (-0.297,  1.86e+09),
           (-0.294,  2.50e+09),
           (-0.287,  5.25e+09),
           (-0.284,  1.36e+09),
           (-0.280,  3.52e+09),
           (-0.277,  2.59e+09),
           (-0.273,  9.70e+08),
           (-0.270,  1.94e+09),
           (-0.267,  1.46e+09),
           (-0.263,  2.30e+09),
           (-0.256,  3.48e+09),
           (-0.253,  9.42e+08),
           (-0.246,  3.02e+09),
           (-0.243,  8.57e+08),
           (-0.240,  3.29e+09),
           (-0.236,  4.16e+09),
           (-0.233,  1.81e+09),
           (-0.229,  1.88e+09),
           (-0.226,  1.87e+09),
           (-0.219,  2.48e+09),
           (-0.216,  2.23e+09),
           (-0.213,  2.23e+09),
           (-0.209,  2.25e+09),
           (-0.206,  1.48e+09),
           (-0.203,  2.56e+09),
           (-0.196,  1.02e+09),
