Bolide Detection Notification: 2019-171

At 06:07:32 UT on 20 Jun 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 7.3 °N, Lon 67.6 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.10e+10 watts/steradian, and total radiated flash
energy 2.25e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.348,  1.19e+08),
           (-0.344, -6.82e+07),
           (-0.341, -7.47e+08),
           (-0.338, -2.33e+08),
           (-0.334, -4.82e+08),
           (-0.331, -1.21e+08),
           (-0.327, -1.41e+08),
           (-0.324,  4.37e+08),
           (-0.321,  2.61e+08),
           (-0.317, -1.35e+09),
           (-0.314,  1.94e+07),
           (-0.311,  4.74e+08),
           (-0.307, -3.74e+08),
           (-0.304,  1.58e+08),
           (-0.300, -7.80e+08),
           (-0.297, -9.88e+08),
           (-0.294,  1.02e+09),
           (-0.290, -4.17e+08),
           (-0.284, -8.64e+08),
           (-0.280,  3.21e+08),
           (-0.277,  6.28e+08),
           (-0.273,  2.67e+08),
           (-0.270, -1.43e+08),
           (-0.267, -1.41e+09),
           (-0.263,  7.64e+08),
           (-0.260,  3.85e+08),
           (-0.257,  1.11e+09),
           (-0.253,  2.06e+08),
           (-0.250, -3.64e+08),
           (-0.246, -1.92e+08),
           (-0.243,  3.50e+08),
           (-0.240, -1.03e+09),
           (-0.236, -7.65e+07),
           (-0.233,  4.22e+08),
           (-0.230, -4.46e+07),
           (-0.226,  6.89e+08),
           (-0.223, -5.16e+08),
           (-0.219,  6.86e+08),
           (-0.216, -4.57e+08),
           (-0.213, -5.30e+06),
           (-0.209,  1.89e+08),
           (-0.206, -1.13e+08),
           (-0.203,  2.57e+08),
           (-0.199,  3.03e+08),
           (-0.196, -5.38e+08),
           (-0.192,  3.00e+08),
           (-0.189,  1.22e+08),
           (-0.186, -7.85e+08),
           (-0.182, -4.47e+08),
           (-0.179,  1.31e+08),
           (-0.176, -6.13e+08),
           (-0.172, -1.52e+08),
           (-0.169, -1.08e+09),
           (-0.165, -1.41e+08),
           (-0.162,  2.43e+07),
           (-0.159, -2.53e+08),
           (-0.155,  8.08e+08),
           (-0.152, -3.35e+08),
           (-0.149, -1.03e+08),
           (-0.145,  1.11e+09),
           (-0.142, -1.04e+08),
           (-0.138,  8.49e+08),
           (-0.135,  6.14e+08),
           (-0.132, -3.67e+08),
           (-0.128, -4.29e+08),
           (-0.125,  9.05e+08),
           (-0.122,  7.11e+08),
           (-0.118, -4.66e+07),
           (-0.115, -3.05e+08),
           (-0.111,  2.46e+08),
           (-0.108, -1.85e+08),
