Bolide Detection Notification: 2019-255

At 02:34:58 UT on 12 Sep 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 24.9 °N, Lon 47.8 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.73e+10 watts/steradian, and total radiated flash
energy 5.63e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.499, -6.90e+08),
           (-0.496, -5.67e+08),
           (-0.493, -1.62e+09),
           (-0.489, -2.02e+09),
           (-0.486, -1.34e+09),
           (-0.483, -1.04e+09),
           (-0.479, -3.70e+08),
           (-0.476, -6.08e+08),
           (-0.473, -1.20e+09),
           (-0.469, -1.69e+09),
           (-0.466,  3.37e+07),
           (-0.462,  1.10e+08),
           (-0.459, -7.48e+08),
           (-0.456, -6.03e+08),
           (-0.452, -1.90e+08),
           (-0.449, -1.38e+09),
           (-0.446, -1.20e+09),
           (-0.442, -8.31e+08),
           (-0.439, -1.36e+09),
           (-0.435, -1.76e+09),
           (-0.432, -2.85e+09),
           (-0.429, -1.70e+09),
           (-0.425, -1.33e+09),
           (-0.422, -1.79e+09),
           (-0.419, -8.38e+08),
           (-0.415, -1.24e+09),
           (-0.412, -1.05e+09),
           (-0.408, -3.76e+08),
           (-0.405, -5.46e+08),
           (-0.402, -1.35e+09),
           (-0.398, -8.17e+08),
           (-0.395, -2.22e+09),
           (-0.392, -7.51e+08),
           (-0.388, -3.14e+08),
           (-0.385, -2.01e+08),
           (-0.381, -9.72e+08),
           (-0.378, -6.51e+08),
           (-0.375, -1.44e+09),
           (-0.371, -5.21e+08),
           (-0.368, -4.07e+08),
           (-0.365, -3.37e+08),
           (-0.361, -5.82e+08),
           (-0.358, -6.15e+07),
           (-0.354, -3.62e+07),
           (-0.351, -1.40e+08),
           (-0.348,  1.17e+09),
           (-0.344, -8.08e+07),
           (-0.341, -9.70e+08),
           (-0.338, -5.34e+08),
           (-0.334, -5.31e+08),
           (-0.331,  5.54e+08),
           (-0.327, -1.03e+09),
           (-0.324,  1.07e+09),
           (-0.321,  8.19e+08),
           (-0.317, -4.94e+08),
           (-0.314, -8.02e+08),
           (-0.310, -1.69e+09),
           (-0.307, -5.24e+08),
           (-0.304,  4.44e+08),
           (-0.297, -5.86e+08),
           (-0.294, -1.03e+08),
           (-0.290,  2.88e+07),
           (-0.287, -9.76e+08),
           (-0.284, -1.15e+09),
           (-0.280,  1.05e+08),
           (-0.277,  5.85e+08),
           (-0.273, -9.51e+08),
           (-0.270, -7.87e+08),
           (-0.267,  1.92e+08),
           (-0.263,  3.28e+08),
           (-0.260,  3.28e+08),
           (-0.256,  2.72e+08),
           (-0.253,  1.42e+09),
           (-0.250, -2.02e+08),
           (-0.246,  1.84e+08),
           (-0.243,  8.71e+08),
           (-0.240,  4.10e+08),
           (-0.236,  8.52e+08),
           (-0.233,  1.50e+08),
           (-0.230,  4.84e+08),
           (-0.226,  1.17e+09),
           (-0.223,  8.76e+08),
           (-0.219,  4.32e+08),
           (-0.216,  1.11e+09),
           (-0.213,  9.49e+08),
           (-0.209,  1.33e+09),
           (-0.206,  1.66e+09),
           (-0.203,  2.10e+09),
           (-0.199,  4.02e+09),
           (-0.196,  3.13e+09),
           (-0.192,  5.41e+09),
           (-0.189,  6.68e+09),
           (-0.186,  8.83e+09),
           (-0.182,  1.03e+10),
           (-0.179,  1.38e+10),
           (-0.172,  1.67e+10),
           (-0.169,  1.77e+10),
           (-0.165,  1.74e+10),
           (-0.162,  1.68e+10),
           (-0.159,  1.67e+10),
           (-0.155,  1.64e+10),
           (-0.152,  1.80e+10),
           (-0.149,  1.90e+10),
           (-0.145,  2.05e+10),
           (-0.142,  2.05e+10),
           (-0.138,  2.15e+10),
           (-0.135,  2.11e+10),
           (-0.132,  2.37e+10),
           (-0.128,  2.26e+10),
           (-0.125,  2.22e+10),
           (-0.122,  2.22e+10),
           (-0.118,  2.28e+10),
           (-0.115,  2.28e+10),
           (-0.111,  2.16e+10),
           (-0.108,  2.13e+10),
           (-0.105,  2.17e+10),
           (-0.101,  2.28e+10),
           (-0.098,  2.51e+10),
           (-0.095,  2.87e+10),
           (-0.091,  2.83e+10),
           (-0.088,  2.95e+10),
           (-0.084,  3.34e+10),
           (-0.081,  3.57e+10),
           (-0.078,  3.73e+10),
           (-0.074,  3.69e+10),
           (-0.071,  3.64e+10),
           (-0.064,  3.09e+10),
           (-0.061,  2.99e+10),
           (-0.057,  2.95e+10),
           (-0.054,  2.86e+10),
           (-0.051,  2.55e+10),
           (-0.047,  2.33e+10),
           (-0.044,  2.30e+10),
           (-0.040,  2.22e+10),
           (-0.037,  1.92e+10),
           (-0.034,  1.92e+10),
           (-0.030,  1.74e+10),
           (-0.027,  1.66e+10),
           (-0.024,  1.60e+10),
           (-0.017,  1.12e+10),
           (-0.013,  1.08e+10),
           (-0.010,  1.01e+10),
           (-0.007,  9.82e+09),
           (-0.003,  1.02e+10),
           ( 0.000,  8.82e+09),
           ( 0.003,  8.49e+09),
           ( 0.007,  6.48e+09),
           ( 0.010,  6.39e+09),
           ( 0.013,  6.34e+09),
           ( 0.017,  6.00e+09),
           ( 0.020,  4.80e+09),
           ( 0.024,  6.19e+09),
           ( 0.030,  3.52e+09),
           ( 0.034,  4.95e+09),
           ( 0.037,  4.05e+09),
           ( 0.044,  2.77e+09),
           ( 0.047,  3.72e+09),
           ( 0.051,  3.32e+09),
           ( 0.054,  3.24e+09),
           ( 0.057,  3.66e+09),
           ( 0.061,  2.86e+09),
           ( 0.064,  2.54e+09),
           ( 0.068,  1.86e+09),
           ( 0.071,  2.10e+09),
           ( 0.074,  7.45e+08),
           ( 0.078,  2.41e+09),
           ( 0.081,  7.96e+08),
           ( 0.084,  1.65e+09),
           ( 0.088,  5.44e+08),
           ( 0.091, -2.01e+08),
           ( 0.095,  8.54e+08),
           ( 0.098,  3.68e+07),
           ( 0.101, -8.83e+08),
           ( 0.105,  1.39e+09),
           ( 0.108, -1.54e+08),
           ( 0.111, -3.50e+08),
           ( 0.115, -3.50e+08),
           ( 0.118,  6.33e+08),
           ( 0.122,  4.62e+08),
           ( 0.125, -3.10e+08),
           ( 0.128, -1.78e+09),
           ( 0.132, -9.50e+08),
           ( 0.135, -1.27e+09),
           ( 0.138, -1.90e+08),
           ( 0.142, -6.15e+07),
           ( 0.145,  5.65e+08),
           ( 0.148, -8.98e+08),
           ( 0.152, -1.20e+09),
           ( 0.155, -8.94e+08),
           ( 0.159, -6.51e+07),
           ( 0.162, -1.27e+07),
           ( 0.165, -1.89e+09),
           ( 0.169, -7.80e+08),
           ( 0.172, -6.11e+08),
           ( 0.175, -1.18e+08),
           ( 0.179, -8.44e+08),
           ( 0.182, -5.78e+08),
           ( 0.186, -6.86e+08),
           ( 0.189, -8.34e+08),
           ( 0.192, -1.28e+09),
           ( 0.196, -1.81e+09),
           ( 0.199, -1.27e+09),
           ( 0.203, -1.83e+09),
           ( 0.206, -1.28e+09),
           ( 0.209, -5.84e+08),
           ( 0.213, -1.65e+09),
           ( 0.216, -1.53e+09),
           ( 0.219, -1.48e+09),
           ( 0.223, -6.48e+07),
           ( 0.226, -1.88e+09),
           ( 0.229, -1.46e+09),
           ( 0.233, -3.23e+07),
           ( 0.236, -1.22e+09),
           ( 0.240, -5.63e+08),
           ( 0.243, -8.92e+08),
           ( 0.246, -7.10e+08),
           ( 0.250,  4.45e+08),
           ( 0.253,  2.21e+08),
           ( 0.257, -1.08e+09),
           ( 0.260, -2.04e+09),
           ( 0.263, -1.51e+09),
           ( 0.267, -1.14e+09),
           ( 0.270, -9.34e+08),
           ( 0.273, -3.95e+08),
           ( 0.277, -3.24e+09),
           ( 0.280, -7.74e+08),
           ( 0.283, -1.23e+09),
           ( 0.287, -7.28e+08),
           ( 0.290, -1.00e+06),
           ( 0.294, -5.80e+08),
           ( 0.297, -1.74e+09),
           ( 0.300, -1.25e+09),
           ( 0.304, -2.09e+09),
           ( 0.307, -1.38e+09),
           ( 0.310, -1.49e+09),
           ( 0.314, -3.82e+07),
           ( 0.317, -3.26e+08),
           ( 0.321, -3.09e+08),
           ( 0.324, -1.25e+09),
           ( 0.327, -9.84e+08),
           ( 0.331,  1.31e+08),
           ( 0.334, -8.39e+08),
           ( 0.338, -1.96e+09),
           ( 0.341, -8.33e+08),
           ( 0.344, -1.15e+09),
           ( 0.348, -1.56e+09),
           ( 0.351, -9.86e+08),
           ( 0.354, -1.34e+09),
           ( 0.358, -1.59e+09),
           ( 0.361, -2.76e+08),
           ( 0.364, -3.03e+08),
           ( 0.368, -9.22e+08),
           ( 0.371, -1.26e+09),
           ( 0.375, -1.57e+08),
           ( 0.378,  8.01e+07),
           ( 0.381, -8.20e+07),
           ( 0.385, -5.83e+08),
           ( 0.388, -7.89e+08),
           ( 0.392, -3.05e+08),
           ( 0.395, -8.09e+08),
           ( 0.398, -1.58e+08),
           ( 0.402, -1.03e+09),
           ( 0.405, -9.72e+08),
           ( 0.408,  5.81e+08),
           ( 0.412,  1.71e+08),
           ( 0.415, -1.11e+09),
           ( 0.418, -8.00e+08),
           ( 0.422, -2.52e+09),
           ( 0.425, -1.15e+09),
           ( 0.429, -1.47e+09),
           ( 0.435, -1.55e+09),
           ( 0.439, -1.58e+09),
           ( 0.442, -9.76e+08),
           ( 0.445, -6.75e+08),
           ( 0.449, -1.54e+09),
           ( 0.452, -2.89e+08),
           ( 0.456, -1.33e+09),
           ( 0.459, -1.52e+09),
           ( 0.462, -8.50e+08),
           ( 0.466, -4.82e+08),
           ( 0.469, -6.97e+08),
           ( 0.473, -1.10e+09),
           ( 0.476, -1.70e+09),
           ( 0.479, -2.01e+09),
           ( 0.483, -2.18e+09),
           ( 0.486, -2.49e+09),
           ( 0.489, -1.86e+09),
           ( 0.493, -9.67e+08),
           ( 0.496, -1.45e+09),
           ( 0.499, -1.64e+09),
           ( 0.499, -1.64e+09)]
