Bolide Detection Notification: 2020-015

At 06:31:39 UT on 15 Jan 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 23.7 °S, Lon 125.2 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.50e+10 watts/steradian, and total radiated flash
energy 1.67e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[( 0.003, -6.85e+08),
           ( 0.007, -2.08e+09),
           ( 0.010, -2.03e+09),
           ( 0.013, -1.26e+09),
           ( 0.017, -1.84e+09),
           ( 0.020, -5.07e+08),
           ( 0.024, -3.95e+08),
           ( 0.030,  5.50e+08),
           ( 0.034, -5.34e+08),
           ( 0.037, -9.17e+08),
           ( 0.040,  4.44e+08),
           ( 0.044, -2.02e+09),
           ( 0.047, -7.41e+08),
           ( 0.054, -4.54e+08),
           ( 0.057, -1.23e+09),
           ( 0.061,  1.16e+09),
           ( 0.064, -4.79e+08),
           ( 0.068, -1.50e+09),
           ( 0.071,  8.57e+08),
           ( 0.074,  4.10e+08),
           ( 0.078,  1.82e+09),
           ( 0.081,  1.29e+09),
           ( 0.084,  2.13e+09),
           ( 0.088,  1.53e+09),
           ( 0.091,  1.47e+09),
           ( 0.095,  1.33e+09),
           ( 0.098, -7.65e+08),
           ( 0.101,  1.67e+09),
           ( 0.105,  2.74e+08),
           ( 0.108,  5.47e+08),
           ( 0.111,  1.67e+09),
           ( 0.115,  1.14e+09),
           ( 0.118,  8.44e+08),
           ( 0.122,  7.59e+08),
           ( 0.125,  1.33e+09),
           ( 0.128, -3.55e+08),
           ( 0.132, -1.55e+09),
           ( 0.135,  9.38e+08),
           ( 0.138, -1.33e+07),
           ( 0.142, -2.08e+09),
           ( 0.145, -1.41e+09),
           ( 0.148, -1.12e+09),
           ( 0.152, -2.94e+09),
           ( 0.155, -1.59e+09),
           ( 0.159, -1.90e+09),
           ( 0.162, -9.32e+08),
           ( 0.165, -1.28e+09),
           ( 0.169, -1.91e+09),
           ( 0.172, -1.41e+08),
           ( 0.175, -2.07e+09),
           ( 0.179, -1.38e+09),
           ( 0.182, -4.04e+08),
           ( 0.186, -1.73e+09),
           ( 0.189, -1.13e+09),
           ( 0.192, -3.39e+08),
           ( 0.196, -2.17e+09),
           ( 0.199, -1.60e+09),
           ( 0.203,  3.08e+08),
           ( 0.206,  4.96e+08),
           ( 0.209, -3.61e+09),
           ( 0.213, -3.42e+09),
           ( 0.216, -2.41e+09),
           ( 0.219, -1.87e+09),
           ( 0.223, -1.91e+09),
           ( 0.226, -3.87e+09),
           ( 0.230, -4.61e+09),
           ( 0.233, -3.48e+09),
           ( 0.236, -2.84e+09),
           ( 0.240, -4.51e+09),
           ( 0.243, -3.26e+09),
           ( 0.246, -3.90e+09),
           ( 0.250, -2.58e+09),
           ( 0.253, -5.31e+09),
           ( 0.257,  4.95e+07),
           ( 0.260, -1.45e+09),
           ( 0.263, -1.70e+09),
           ( 0.267, -2.45e+09),
           ( 0.270, -1.33e+09),
           ( 0.273, -7.80e+08),
           ( 0.277, -2.26e+09),
           ( 0.280, -2.03e+09),
           ( 0.283, -3.02e+09),
           ( 0.287, -1.37e+09),
           ( 0.297, -5.22e+09),
           ( 0.300, -3.77e+09),
           ( 0.304, -3.96e+09),
           ( 0.307, -3.01e+09),
           ( 0.310, -4.32e+09),
           ( 0.314, -3.60e+09),
           ( 0.317, -4.79e+09),
           ( 0.321, -4.27e+09),
           ( 0.324, -5.25e+09),
           ( 0.327, -4.82e+09),
           ( 0.331, -5.39e+09),
           ( 0.334, -5.66e+09),
           ( 0.338, -5.43e+09),
           ( 0.341, -8.23e+09),
           ( 0.344, -7.48e+09),
           ( 0.348, -5.04e+09),
           ( 0.351, -5.91e+09),
           ( 0.354, -6.37e+09),
           ( 0.358, -6.93e+09),
           ( 0.361, -5.65e+09),
           ( 0.365, -4.91e+09),
           ( 0.368, -5.45e+09),
           ( 0.371, -6.52e+09),
           ( 0.375, -5.20e+09),
           ( 0.378, -5.90e+09),
           ( 0.381, -6.89e+09),
           ( 0.385, -6.42e+09),
           ( 0.388, -8.79e+09),
           ( 0.392, -9.39e+09),
           ( 0.395, -7.27e+09),
           ( 0.398, -7.47e+09),
           ( 0.402, -6.07e+09),
           ( 0.405, -6.14e+09),
           ( 0.408, -6.60e+09),
           ( 0.412, -6.35e+09),
           ( 0.415, -6.17e+09),
           ( 0.418, -5.07e+09),
           ( 0.422, -4.63e+09),
           ( 0.425, -4.80e+09),
           ( 0.429, -5.22e+09),
           ( 0.432, -6.13e+09),
           ( 0.435, -6.69e+09),
           ( 0.439, -8.08e+09),
           ( 0.442, -4.99e+09),
           ( 0.449, -5.64e+09),
           ( 0.452, -6.32e+09),
           ( 0.456, -7.41e+09),
           ( 0.459, -5.28e+09),
           ( 0.462, -4.90e+09),
           ( 0.466, -5.53e+09),
           ( 0.469, -5.21e+09),
           ( 0.472, -5.95e+09),
           ( 0.476, -5.03e+09),
           ( 0.479, -6.25e+09),
           ( 0.483, -5.57e+09),
           ( 0.486, -7.60e+09),
           ( 0.489, -5.35e+09),
           ( 0.493, -6.63e+09),
           ( 0.496, -8.27e+09),
           ( 0.500, -7.69e+09),
           ( 0.506, -6.19e+09),
           ( 0.510, -6.60e+09),
           ( 0.513, -5.88e+09),
           ( 0.516, -6.51e+09),
           ( 0.520, -5.98e+09),
           ( 0.523, -7.39e+09),
           ( 0.526, -6.62e+09),
           ( 0.533, -7.07e+09),
           ( 0.537, -6.85e+09),
           ( 0.540, -6.06e+09),
           ( 0.543, -7.90e+09),
           ( 0.547, -6.86e+09),
           ( 0.550, -8.09e+09),
           ( 0.553, -8.12e+09),
           ( 0.557, -7.91e+09),
           ( 0.560, -7.32e+09),
           ( 0.564, -8.89e+09),
           ( 0.570, -7.47e+09),
           ( 0.574, -1.02e+10),
           ( 0.577, -1.17e+10),
           ( 0.581, -1.23e+10),
           ( 0.584, -9.44e+09),
           ( 0.587, -8.40e+09),
           ( 0.591, -9.02e+09),
           ( 0.594, -8.70e+09),
           ( 0.597, -8.78e+09),
           ( 0.601, -8.55e+09),
           ( 0.604, -8.75e+09),
           ( 0.607, -7.60e+09),
           ( 0.611, -7.62e+09),
           ( 0.614, -8.83e+09),
           ( 0.618, -7.47e+09),
           ( 0.621, -7.44e+09),
           ( 0.624, -6.31e+09),
           ( 0.628, -6.49e+09),
           ( 0.631, -7.45e+09),
           ( 0.635, -7.67e+09),
           ( 0.638, -6.59e+09),
           ( 0.641, -7.83e+09),
           ( 0.645, -8.23e+09),
           ( 0.648, -5.14e+09),
           ( 0.651, -6.65e+09),
           ( 0.655, -6.87e+09),
           ( 0.658, -6.96e+09),
           ( 0.661, -6.31e+09),
           ( 0.665, -4.23e+09),
           ( 0.668, -5.74e+09),
           ( 0.672, -5.55e+09),
           ( 0.675, -5.88e+09),
           ( 0.678, -4.77e+09),
           ( 0.682, -7.14e+09),
           ( 0.685, -5.54e+09),
           ( 0.688, -5.92e+09),
           ( 0.692, -5.82e+09),
           ( 0.695, -6.73e+09),
           ( 0.699, -7.49e+09),
           ( 0.702, -6.17e+09),
           ( 0.705, -5.11e+09),
           ( 0.709, -5.54e+09),
           ( 0.712, -5.58e+09),
           ( 0.716, -5.31e+09),
           ( 0.719, -4.98e+09),
           ( 0.722, -6.75e+09),
           ( 0.726, -2.80e+09),
           ( 0.729, -3.29e+09),
           ( 0.732, -1.17e+09),
           ( 0.736, -4.36e+09),
           ( 0.739, -3.82e+09),
           ( 0.742, -3.56e+09),
           ( 0.746, -3.98e+09),
           ( 0.749, -4.51e+09),
           ( 0.753, -2.48e+09),
           ( 0.756, -2.78e+09),
           ( 0.759, -1.79e+09),
           ( 0.763, -5.15e+09),
           ( 0.766, -5.13e+09),
           ( 0.776, -2.33e+09),
           ( 0.780,  2.24e+08),
           ( 0.783, -5.36e+08),
           ( 0.786, -7.74e+08),
           ( 0.790, -1.07e+09),
           ( 0.793, -5.99e+08),
           ( 0.796,  1.14e+09),
           ( 0.800,  7.00e+08),
           ( 0.803,  1.79e+09),
           ( 0.807, -2.05e+06),
           ( 0.810, -1.01e+08),
           ( 0.813,  4.23e+08),
           ( 0.817,  1.63e+09),
           ( 0.820,  4.70e+09),
           ( 0.823,  3.94e+09),
           ( 0.827,  3.73e+09),
           ( 0.830,  2.13e+09),
           ( 0.834,  5.34e+09),
           ( 0.837,  5.45e+09),
           ( 0.840,  5.64e+09),
           ( 0.847,  8.03e+09),
           ( 0.851,  1.01e+10),
