Bolide Detection Notification: 2020-083

At 16:51:50 UT on 23 Mar 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 24.4 °S, Lon 67.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.77e+10 watts/steradian, and total radiated flash
energy 1.32e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.553, -4.49e+08),
           (-0.547,  1.21e+08),
           (-0.543,  2.83e+08),
           (-0.540, -2.57e+08),
           (-0.537,  4.33e+08),
           (-0.533, -1.34e+09),
           (-0.530, -1.27e+08),
           (-0.527,  7.03e+08),
           (-0.523, -6.83e+08),
           (-0.520,  3.38e+09),
           (-0.516,  1.13e+08),
           (-0.513, -6.77e+08),
           (-0.510, -1.22e+09),
           (-0.506,  1.06e+08),
           (-0.503,  4.45e+08),
           (-0.499, -2.92e+08),
           (-0.496, -3.82e+07),
           (-0.493, -2.63e+07),
           (-0.489,  3.30e+08),
           (-0.486, -5.05e+08),
           (-0.483,  7.38e+08),
           (-0.479, -1.16e+07),
           (-0.476,  3.39e+08),
           (-0.473, -2.23e+08),
           (-0.469, -1.14e+09),
           (-0.466, -5.41e+08),
           (-0.462,  1.22e+09),
           (-0.459,  1.19e+09),
           (-0.456,  1.76e+09),
           (-0.452,  1.40e+09),
           (-0.449,  1.23e+08),
           (-0.445,  6.09e+08),
           (-0.442,  3.48e+09),
           (-0.439,  1.79e+09),
           (-0.435,  1.40e+09),
           (-0.432,  2.45e+09),
           (-0.429,  8.54e+08),
           (-0.425,  2.15e+09),
           (-0.422,  2.18e+09),
           (-0.419,  2.16e+09),
           (-0.415,  1.10e+08),
           (-0.412,  1.01e+09),
           (-0.408,  2.24e+09),
           (-0.405,  1.83e+08),
           (-0.402,  4.83e+08),
           (-0.398,  3.24e+09),
           (-0.395,  2.78e+09),
           (-0.391,  1.40e+09),
           (-0.388,  2.53e+09),
           (-0.385,  1.85e+09),
           (-0.381,  3.26e+09),
           (-0.378,  5.06e+09),
           (-0.375,  3.03e+09),
           (-0.371,  4.17e+09),
           (-0.368,  1.98e+09),
           (-0.365,  3.62e+09),
           (-0.361,  3.47e+09),
           (-0.358,  7.51e+08),
           (-0.354,  2.24e+09),
           (-0.351,  1.04e+09),
           (-0.348,  1.33e+09),
           (-0.344,  1.49e+09),
           (-0.341, -4.18e+08),
           (-0.334,  2.42e+09),
           (-0.327,  1.21e+09),
           (-0.324,  2.06e+09),
           (-0.321,  1.47e+09),
           (-0.317,  4.24e+09),
           (-0.314,  3.60e+09),
           (-0.311,  1.00e+09),
           (-0.307,  2.53e+09),
           (-0.304,  1.56e+09),
           (-0.300,  2.26e+09),
           (-0.297,  1.28e+09),
           (-0.294,  2.24e+09),
           (-0.290,  1.51e+09),
           (-0.287,  1.54e+09),
           (-0.283,  1.92e+09),
           (-0.280,  2.17e+09),
           (-0.277,  3.94e+09),
           (-0.273,  8.72e+08),
           (-0.270,  4.80e+08),
           (-0.267,  7.62e+08),
           (-0.263,  7.63e+08),
           (-0.260,  8.34e+08),
           (-0.257,  1.26e+09),
           (-0.253,  1.05e+09),
           (-0.246,  2.25e+09),
           (-0.243,  2.34e+09),
           (-0.240,  2.63e+09),
           (-0.236,  1.87e+09),
           (-0.233, -6.66e+07),
           (-0.229,  2.76e+09),
           (-0.226,  2.96e+09),
           (-0.223,  1.79e+09),
           (-0.219,  2.51e+09),
           (-0.216,  2.66e+09),
           (-0.213,  2.46e+09),
           (-0.206,  2.84e+09),
           (-0.202,  3.66e+09),
           (-0.199,  2.48e+09),
           (-0.196,  9.58e+07),
           (-0.192,  1.63e+09),
           (-0.189,  3.57e+09),
           (-0.186,  2.68e+09),
           (-0.182,  2.54e+09),
           (-0.179,  2.85e+09),
           (-0.176,  3.80e+09),
           (-0.172,  3.28e+09),
           (-0.169,  1.46e+09),
           (-0.165,  3.37e+09),
           (-0.162,  2.76e+09),
           (-0.159,  3.83e+09),
           (-0.155,  2.60e+09),
           (-0.152,  3.50e+09),
           (-0.148,  3.51e+09),
           (-0.145,  3.20e+09),
           (-0.142,  2.02e+09),
