Bolide Detection Notification: 2020-139

At 01:11:09 UT on 18 May 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.7 °S, Lon 77.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.09e+10 watts/steradian, and total radiated flash
energy 1.35e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.277,  1.09e+08),
           (-0.273,  9.26e+08),
           (-0.270, -6.62e+07),
           (-0.267,  1.46e+09),
           (-0.263,  1.88e+08),
           (-0.260, -4.41e+08),
           (-0.257, -3.91e+08),
           (-0.253,  1.18e+09),
           (-0.250,  1.20e+09),
           (-0.246, -9.31e+08),
           (-0.243, -8.84e+08),
           (-0.240, -5.20e+08),
           (-0.236,  3.52e+08),
           (-0.233,  1.07e+09),
           (-0.230,  5.07e+08),
           (-0.226, -2.10e+09),
           (-0.223,  8.08e+08),
           (-0.219,  1.32e+09),
           (-0.216,  1.24e+09),
           (-0.213,  9.36e+08),
           (-0.209, -3.63e+08),
           (-0.203,  8.46e+08),
           (-0.199, -8.98e+08),
           (-0.196,  6.09e+08),
           (-0.192,  7.73e+08),
           (-0.189, -2.06e+09),
           (-0.186,  9.19e+08),
           (-0.182, -9.02e+07),
           (-0.179,  1.61e+09),
           (-0.176,  3.66e+07),
           (-0.172,  3.47e+08),
           (-0.169, -3.86e+08),
           (-0.165,  1.10e+08),
           (-0.162,  7.86e+08),
           (-0.159,  2.86e+08),
           (-0.155,  1.27e+09),
           (-0.149,  5.10e+08),
           (-0.145, -5.02e+07),
           (-0.142,  1.55e+09),
           (-0.138,  9.99e+08),
           (-0.135,  8.93e+07),
           (-0.132,  6.95e+08),
           (-0.128,  6.81e+08),
           (-0.125, -1.64e+08),
           (-0.122, -5.09e+08),
           (-0.118,  2.49e+07),
           (-0.115,  6.65e+08),
           (-0.111,  8.27e+08),
           (-0.108,  8.70e+08),
           (-0.105, -1.22e+08),
           (-0.101,  1.80e+08),
           (-0.098,  1.74e+09),
           (-0.095, -1.85e+08),
           (-0.091,  8.88e+08),
           (-0.088,  1.21e+09),
           (-0.084,  6.10e+08),
           (-0.081,  1.22e+09),
           (-0.074,  1.73e+09),
           (-0.071,  2.19e+09),
           (-0.068,  2.25e+09),
           (-0.064,  1.16e+08),
           (-0.061, -5.94e+08),
           (-0.057,  1.32e+09),
           (-0.054,  8.16e+08),
           (-0.051,  1.43e+09),
           (-0.047,  3.27e+09),
           (-0.041,  3.70e+09),
           (-0.037,  2.61e+09),
           (-0.034,  2.00e+09),
           (-0.030,  5.38e+09),
           (-0.027,  3.62e+09),
           (-0.024,  2.47e+09),
           (-0.020,  3.38e+09),
           (-0.017,  4.16e+09),
           (-0.014,  1.20e+09),
           (-0.010,  3.52e+09),
           (-0.007,  4.15e+09),
           (-0.003,  5.12e+09),
           (-0.000,  6.85e+09),
           ( 0.003,  4.95e+09),
           ( 0.007,  4.67e+09),
           ( 0.010,  5.04e+09),
           ( 0.013,  6.58e+09),
           ( 0.017,  7.39e+09),
           ( 0.020,  6.45e+09),
           ( 0.024,  9.93e+09),
           ( 0.027,  1.24e+10),
           ( 0.030,  1.26e+10),
           ( 0.034,  1.30e+10),
           ( 0.037,  1.62e+10),
           ( 0.040,  1.98e+10),
           ( 0.044,  1.87e+10),
           ( 0.051,  2.38e+10),
           ( 0.054,  2.88e+10),
           ( 0.061,  3.28e+10),
           ( 0.064,  3.42e+10),
           ( 0.067,  3.76e+10),
           ( 0.071,  3.98e+10),
           ( 0.074,  4.08e+10),
           ( 0.078,  4.11e+10),
           ( 0.081,  4.03e+10),
           ( 0.084,  3.85e+10),
           ( 0.088,  3.92e+10),
           ( 0.091,  4.07e+10),
           ( 0.094,  4.35e+10),
           ( 0.098,  4.70e+10),
           ( 0.101,  4.90e+10),
           ( 0.108,  5.58e+10),
           ( 0.111,  5.86e+10),
           ( 0.115,  6.26e+10),
           ( 0.118,  6.56e+10),
           ( 0.121,  6.91e+10),
           ( 0.125,  6.96e+10),
           ( 0.128,  7.00e+10),
           ( 0.132,  7.09e+10),
           ( 0.135,  6.88e+10),
           ( 0.138,  6.96e+10),
           ( 0.142,  6.96e+10),
           ( 0.145,  6.59e+10),
           ( 0.148,  6.58e+10),
           ( 0.152,  6.05e+10),
           ( 0.155,  5.63e+10),
           ( 0.159,  5.27e+10),
           ( 0.162,  5.26e+10),
           ( 0.165,  5.11e+10),
           ( 0.169,  4.93e+10),
           ( 0.172,  4.65e+10),
           ( 0.175,  4.50e+10),
           ( 0.179,  4.27e+10),
           ( 0.182,  4.17e+10),
           ( 0.186,  3.90e+10),
           ( 0.192,  3.62e+10),
           ( 0.196,  3.55e+10),
           ( 0.199,  3.30e+10),
           ( 0.202,  3.34e+10),
           ( 0.206,  3.17e+10),
           ( 0.209,  3.08e+10),
           ( 0.213,  2.89e+10),
           ( 0.216,  2.74e+10),
           ( 0.219,  2.70e+10),
           ( 0.223,  2.55e+10),
           ( 0.226,  2.50e+10),
           ( 0.229,  2.27e+10),
           ( 0.233,  2.22e+10),
           ( 0.236,  2.20e+10),
           ( 0.240,  2.02e+10),
           ( 0.243,  1.97e+10),
           ( 0.246,  1.95e+10),
           ( 0.250,  1.88e+10),
           ( 0.253,  1.83e+10),
           ( 0.256,  1.79e+10),
           ( 0.260,  1.74e+10),
