Bolide Detection Notification: 2020-215

At 16:36:24 UT on 02 Aug 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 35.1 °S, Lon 34.2 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.20e+10 watts/steradian, and total radiated flash
energy 5.30e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597, -1.95e+09),
           (-0.594, -4.54e+08),
           (-0.591, -1.53e+09),
           (-0.587, -1.43e+09),
           (-0.584,  2.31e+09),
           (-0.580, -1.64e+09),
           (-0.574,  2.59e+09),
           (-0.570, -4.78e+08),
           (-0.567, -6.81e+08),
           (-0.564, -1.95e+09),
           (-0.560,  1.46e+09),
           (-0.557, -5.26e+08),
           (-0.553, -2.37e+08),
           (-0.550, -3.67e+08),
           (-0.547, -3.48e+08),
           (-0.543, -3.60e+07),
           (-0.540, -4.11e+08),
           (-0.537, -8.54e+08),
           (-0.533, -1.01e+09),
           (-0.530, -3.50e+09),
           (-0.526,  1.71e+09),
           (-0.523,  2.89e+08),
           (-0.516, -1.35e+09),
           (-0.513,  4.54e+08),
           (-0.510, -1.27e+09),
           (-0.506,  3.65e+07),
           (-0.503, -3.40e+09),
           (-0.499, -3.45e+08),
           (-0.496, -4.59e+08),
           (-0.493, -2.00e+09),
           (-0.489, -1.55e+09),
           (-0.486, -5.94e+08),
           (-0.483, -1.54e+09),
           (-0.479, -1.75e+09),
           (-0.476,  3.38e+09),
           (-0.469, -2.52e+08),
           (-0.466,  2.91e+09),
           (-0.462,  7.29e+08),
           (-0.459, -2.51e+09),
           (-0.456, -4.44e+08),
           (-0.452,  4.03e+08),
           (-0.449, -2.40e+09),
           (-0.445, -1.56e+08),
           (-0.442,  6.12e+06),
           (-0.439,  3.60e+08),
           (-0.435, -3.11e+09),
           (-0.432, -8.15e+07),
           (-0.429, -2.48e+09),
           (-0.425,  1.68e+09),
           (-0.422,  2.25e+09),
           (-0.418,  1.60e+08),
           (-0.415, -1.35e+09),
           (-0.412,  4.23e+08),
           (-0.408, -1.52e+07),
           (-0.405, -1.65e+07),
           (-0.402,  3.34e+09),
           (-0.398,  1.07e+08),
           (-0.395,  1.36e+09),
           (-0.391,  1.49e+09),
           (-0.388, -4.32e+08),
           (-0.385,  1.16e+09),
           (-0.381,  1.93e+09),
           (-0.378, -8.73e+08),
           (-0.375, -2.04e+09),
           (-0.368,  2.27e+09),
           (-0.364, -3.79e+08),
           (-0.361, -1.59e+09),
           (-0.358,  9.22e+08),
           (-0.354, -3.60e+08),
           (-0.351,  1.68e+09),
           (-0.348, -4.68e+08),
           (-0.344,  1.13e+09),
           (-0.341,  9.81e+07),
           (-0.337, -2.20e+09),
           (-0.334, -1.06e+07),
           (-0.331, -1.97e+09),
           (-0.327,  1.91e+09),
           (-0.324,  2.07e+09),
           (-0.321, -7.39e+08),
           (-0.317, -1.62e+09),
           (-0.314,  1.72e+09),
           (-0.310,  1.05e+09),
           (-0.307, -8.02e+08),
           (-0.304, -5.41e+08),
           (-0.300,  1.03e+09),
           (-0.297,  2.07e+08),
           (-0.294, -7.89e+08),
           (-0.290, -1.19e+09),
           (-0.287, -1.42e+09),
           (-0.283, -5.69e+08),
           (-0.280,  2.02e+09),
           (-0.277, -1.13e+09),
           (-0.273,  4.11e+08),
           (-0.270, -4.48e+08),
           (-0.267, -2.87e+09),
           (-0.263,  2.15e+09),
           (-0.260, -6.02e+08),
           (-0.256,  1.33e+08),
           (-0.253,  1.60e+09),
           (-0.250, -1.90e+09),
           (-0.246,  1.55e+09),
           (-0.243,  9.99e+08),
           (-0.240, -7.46e+08),
           (-0.236,  2.42e+09),
           (-0.233,  8.43e+08),
           (-0.229, -5.33e+07),
           (-0.226,  5.31e+08),
           (-0.223, -7.35e+07),
           (-0.219, -1.35e+09),
           (-0.216,  8.26e+08),
           (-0.213, -1.04e+08),
           (-0.209,  1.85e+09),
           (-0.206,  1.04e+08),
           (-0.202,  9.26e+08),
           (-0.199, -2.39e+09),
           (-0.196,  2.94e+08),
           (-0.192, -2.85e+08),
           (-0.189,  1.34e+09),
           (-0.186,  7.38e+08),
           (-0.182,  2.14e+09),
           (-0.179,  1.47e+09),
           (-0.175,  9.89e+08),
           (-0.172,  2.16e+09),
           (-0.169,  3.86e+09),
           (-0.165,  2.13e+09),
           (-0.162,  4.12e+09),
           (-0.159,  3.33e+08),
           (-0.155,  8.37e+08),
           (-0.152,  9.11e+08),
           (-0.148, -4.01e+09),
           (-0.145, -1.01e+09),
           (-0.142,  8.63e+06),
           (-0.138, -2.79e+08),
           (-0.135,  1.88e+09),
           (-0.132, -1.24e+09),
           (-0.128,  8.70e+08),
           (-0.125,  2.09e+09),
           (-0.121, -8.43e+08),
           (-0.118, -7.30e+08),
           (-0.115, -5.82e+08),
           (-0.111,  3.21e+08),
           (-0.108,  5.64e+08),
           (-0.105,  1.15e+09),
           (-0.101,  1.83e+09),
           (-0.098,  2.70e+09),
           (-0.095,  2.56e+09),
           (-0.091, -2.77e+07),
           (-0.088,  1.83e+09),
           (-0.084,  1.25e+09),
           (-0.081,  8.38e+08),
           (-0.078,  3.10e+08),
           (-0.074,  4.34e+08),
           (-0.071,  2.63e+08),
           (-0.067,  1.31e+09),
           (-0.064,  5.19e+08),
           (-0.061, -6.71e+08),
           (-0.057, -5.59e+08),
           (-0.054, -1.46e+09),
           (-0.051,  2.02e+09),
           (-0.047,  3.19e+08),
           (-0.044,  4.60e+09),
           (-0.040,  1.78e+08),
           (-0.037, -1.13e+09),
           (-0.034,  1.06e+09),
           (-0.030, -3.33e+08),
           (-0.027,  2.91e+09),
           (-0.024,  4.03e+09),
           (-0.020,  2.44e+09),
           (-0.017,  2.76e+09),
           (-0.013,  2.55e+09),
           (-0.010,  4.37e+09),
           (-0.007,  3.96e+09),
           (-0.003,  3.42e+09),
           ( 0.000,  3.63e+09),
           ( 0.003,  6.26e+09),
           ( 0.007,  5.28e+09),
           ( 0.010,  3.71e+09),
           ( 0.014,  4.78e+09),
           ( 0.017,  4.74e+09),
           ( 0.020,  5.21e+09),
           ( 0.024,  6.16e+09),
           ( 0.027,  6.33e+09),
           ( 0.030,  8.63e+09),
           ( 0.034,  9.02e+09),
           ( 0.037,  1.03e+10),
           ( 0.040,  1.06e+10),
           ( 0.044,  6.65e+09),
           ( 0.047,  6.53e+09),
           ( 0.054,  1.03e+10),
           ( 0.057,  8.09e+09),
           ( 0.061,  6.39e+09),
           ( 0.064,  1.03e+10),
           ( 0.068,  9.64e+09),
           ( 0.071,  9.83e+09),
           ( 0.074,  9.51e+09),
           ( 0.078,  8.34e+09),
           ( 0.081,  7.46e+09),
           ( 0.088,  8.14e+09),
