Bolide Detection Notification: 2020-243

At 16:08:21 UT on 30 Aug 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 26.0 °N, Lon 133.5 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 4.91e+10 watts/steradian, and total radiated flash
energy 6.11e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.297, -1.83e+08),
           (-0.294, -4.57e+08),
           (-0.290,  1.33e+07),
           (-0.287, -1.54e+07),
           (-0.283,  5.75e+08),
           (-0.280, -6.36e+08),
           (-0.277,  5.45e+08),
           (-0.273,  7.97e+08),
           (-0.270,  1.41e+09),
           (-0.267,  3.07e+08),
           (-0.263,  2.84e+07),
           (-0.260, -3.49e+08),
           (-0.257, -7.97e+08),
           (-0.253,  7.89e+08),
           (-0.250,  9.62e+08),
           (-0.246,  1.94e+09),
           (-0.243,  6.25e+08),
           (-0.240, -3.26e+08),
           (-0.236,  1.43e+09),
           (-0.233,  1.32e+09),
           (-0.230,  8.78e+08),
           (-0.226,  2.43e+08),
           (-0.223,  4.18e+08),
           (-0.219,  2.47e+09),
           (-0.216, -1.31e+08),
           (-0.213,  1.35e+09),
           (-0.209,  5.02e+08),
           (-0.206,  3.80e+08),
           (-0.202, -2.97e+07),
           (-0.199,  2.02e+08),
           (-0.196,  7.36e+08),
           (-0.192,  3.07e+08),
           (-0.189,  1.66e+08),
           (-0.186,  3.85e+08),
           (-0.182,  1.17e+09),
           (-0.179, -6.47e+07),
           (-0.176,  5.72e+07),
           (-0.172,  1.26e+08),
           (-0.169, -2.43e+07),
           (-0.165, -1.37e+09),
           (-0.162, -8.87e+08),
           (-0.159, -5.07e+08),
           (-0.155,  6.13e+08),
           (-0.152, -1.04e+09),
           (-0.149, -1.90e+09),
           (-0.145,  1.31e+09),
           (-0.142,  2.35e+09),
           (-0.138,  3.53e+08),
           (-0.135,  1.37e+09),
           (-0.132,  2.75e+09),
           (-0.128,  3.72e+09),
           (-0.125,  2.91e+09),
           (-0.121,  5.55e+08),
           (-0.118,  4.25e+08),
           (-0.115,  1.15e+09),
           (-0.111,  1.80e+09),
           (-0.108,  1.79e+09),
           (-0.105,  2.64e+07),
           (-0.101,  9.34e+08),
