Bolide Detection Notification: 2021-312

At 05:28:28 UT on 08 Nov 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.8 °S, Lon 7.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 2.44e+10 watts/steradian, and total radiated flash
energy 3.10e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.500,  1.08e+09),
           (-0.496, -1.39e+08),
           (-0.493,  3.35e+08),
           (-0.489, -4.92e+08),
           (-0.486,  5.84e+08),
           (-0.483,  8.34e+08),
           (-0.479, -1.57e+09),
           (-0.476,  2.99e+08),
           (-0.473,  2.74e+08),
           (-0.469,  5.87e+08),
           (-0.466, -1.57e+08),
           (-0.462,  2.92e+08),
           (-0.459, -8.03e+08),
           (-0.456, -1.45e+08),
           (-0.452,  6.31e+08),
           (-0.446,  2.77e+08),
           (-0.442,  3.84e+08),
           (-0.439, -5.31e+08),
           (-0.435,  8.31e+08),
           (-0.432,  5.46e+08),
           (-0.429,  5.85e+08),
           (-0.425, -4.47e+08),
           (-0.422,  2.39e+08),
           (-0.419, -3.01e+08),
           (-0.415,  6.35e+08),
           (-0.412,  5.28e+08),
           (-0.408,  1.07e+09),
           (-0.405,  1.38e+09),
           (-0.402,  8.35e+08),
           (-0.398,  1.33e+09),
           (-0.395,  1.36e+09),
           (-0.392, -6.95e+08),
           (-0.388,  5.74e+07),
           (-0.385,  3.50e+08),
           (-0.381,  3.48e+08),
           (-0.378, -3.18e+07),
           (-0.375, -6.41e+08),
           (-0.371, -7.55e+08),
           (-0.368,  3.62e+08),
           (-0.365,  1.55e+08),
           (-0.361,  4.77e+08),
           (-0.358, -4.32e+08),
           (-0.354, -5.49e+08),
           (-0.351, -4.30e+07),
           (-0.348,  6.94e+08),
           (-0.344,  7.08e+07),
           (-0.341, -6.55e+07),
           (-0.338, -1.06e+09),
           (-0.334,  6.65e+07),
           (-0.331,  6.17e+07),
           (-0.327,  8.51e+08),
           (-0.324, -1.98e+08),
           (-0.321, -2.88e+08),
