Bolide Detection Notification: 2022-048

At 12:08:06 UT on 17 Feb 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 33.5 °N, Lon 38.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.76e+09 watts/steradian, and total radiated flash
energy 2.85e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.682,  6.03e+08),
           (-0.678,  4.66e+07),
           (-0.675,  1.87e+07),
           (-0.672, -1.31e+09),
           (-0.668,  3.48e+08),
           (-0.665,  8.16e+07),
           (-0.662,  3.25e+08),
           (-0.658,  4.68e+07),
           (-0.655,  4.27e+08),
           (-0.651, -7.65e+07),
           (-0.648,  1.67e+07),
           (-0.645, -8.66e+08),
           (-0.641, -2.87e+08),
           (-0.638,  1.18e+09),
           (-0.635, -2.47e+08),
           (-0.631,  8.31e+08),
           (-0.628,  1.59e+08),
           (-0.624, -1.10e+09),
           (-0.621, -1.94e+08),
           (-0.618, -1.61e+09),
           (-0.614, -4.05e+08),
           (-0.611, -3.63e+08),
           (-0.607, -9.49e+08),
           (-0.604, -9.75e+08),
           (-0.601,  3.86e+08),
           (-0.597, -1.07e+09),
           (-0.594, -3.23e+07),
           (-0.591, -9.57e+08),
           (-0.587, -1.33e+09),
           (-0.584, -1.17e+09),
           (-0.581, -1.58e+09),
           (-0.577, -4.47e+08),
           (-0.574, -2.13e+09),
           (-0.570,  4.65e+08),
           (-0.567, -8.38e+08),
           (-0.564,  2.81e+08),
           (-0.560,  6.83e+08),
           (-0.557, -6.91e+08),
           (-0.550, -1.83e+09),
           (-0.547, -1.36e+09),
           (-0.543,  4.38e+08),
           (-0.540,  4.21e+08),
           (-0.533, -1.45e+09),
           (-0.530, -8.17e+08),
           (-0.526, -2.20e+09),
           (-0.523, -4.77e+08),
           (-0.520, -1.86e+09),
           (-0.516, -1.20e+09),
           (-0.513,  3.86e+07),
           (-0.510,  2.84e+08),
           (-0.506,  8.16e+08),
