Bolide Detection Notification: 2022-094

At 00:30:39 UT on 04 Apr 2022, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 3.2 °S, Lon 64.3 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.20e+10 watts/steradian, and total radiated flash
energy 2.68e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  2.99e+08),
           (-0.996,  2.47e+08),
           (-0.989,  1.36e+09),
           (-0.986,  1.39e+09),
           (-0.982,  6.27e+08),
           (-0.979,  2.93e+09),
           (-0.975,  9.66e+08),
           (-0.972,  1.02e+09),
           (-0.969,  1.03e+09),
           (-0.965,  7.73e+08),
           (-0.962,  5.88e+08),
           (-0.959,  1.25e+09),
           (-0.955,  7.52e+08),
           (-0.952,  1.11e+09),
           (-0.948, -1.58e+08),
           (-0.945,  2.90e+08),
           (-0.942,  3.09e+08),
           (-0.938,  7.60e+08),
           (-0.935,  7.20e+08),
           (-0.932,  4.53e+08),
           (-0.928, -5.65e+07),
           (-0.925, -2.01e+08),
           (-0.921,  3.04e+08),
           (-0.918,  2.39e+08),
           (-0.915,  4.50e+08),
           (-0.911,  7.38e+08),
           (-0.908,  1.30e+08),
           (-0.905,  1.22e+09),
           (-0.898, -1.15e+09),
           (-0.894,  1.73e+09),
           (-0.891,  1.03e+09),
           (-0.888, -5.39e+08),
           (-0.884,  1.82e+09),
           (-0.881, -8.20e+08),
           (-0.878,  3.80e+08),
           (-0.874, -6.06e+07),
           (-0.871, -8.28e+07),
           (-0.867,  1.54e+08),
           (-0.864, -5.24e+08),
           (-0.861,  9.23e+08),
           (-0.857,  5.96e+07),
           (-0.854,  6.71e+08),
           (-0.851,  5.60e+08),
           (-0.847, -4.70e+08),
           (-0.844,  2.16e+08),
           (-0.840,  5.21e+08),
           (-0.837,  4.56e+08),
           (-0.830, -1.14e+09),
           (-0.827, -3.26e+08),
           (-0.824,  9.26e+08),
           (-0.820,  2.47e+08),
           (-0.817,  1.04e+09),
           (-0.813, -9.53e+08),
           (-0.810,  2.44e+08),
           (-0.807,  1.06e+09),
           (-0.803, -7.13e+07),
           (-0.800,  2.18e+09),
           (-0.797,  1.65e+09),
           (-0.793,  5.48e+08),
           (-0.790,  4.49e+08),
           (-0.786,  1.58e+08),
           (-0.783, -4.97e+08),
           (-0.780,  3.00e+08),
           (-0.776,  2.54e+08),
           (-0.773,  1.20e+09),
           (-0.770,  2.79e+07),
           (-0.766,  1.81e+08),
           (-0.763,  2.38e+08),
           (-0.759,  1.29e+08),
           (-0.756,  6.73e+07),
           (-0.753, -4.80e+07),
           (-0.749, -1.15e+08),
           (-0.746,  4.65e+08),
           (-0.743, -5.19e+08),
           (-0.739,  2.12e+08),
           (-0.736,  2.18e+08),
           (-0.732,  1.45e+08),
           (-0.729,  2.65e+08),
           (-0.726, -1.37e+08),
           (-0.722, -7.89e+08),
           (-0.719,  1.96e+08),
           (-0.716,  2.45e+08),
           (-0.712,  4.93e+08),
           (-0.709, -7.29e+07),
           (-0.705,  1.63e+09),
           (-0.702, -6.35e+08),
           (-0.699, -1.16e+09),
           (-0.695,  2.67e+08),
           (-0.692,  1.12e+09),
           (-0.689,  1.04e+09),
           (-0.685,  3.40e+08),
           (-0.682,  2.01e+08),
           (-0.678, -1.75e+08),
           (-0.675,  7.62e+08),
           (-0.672,  3.23e+08),
           (-0.668,  9.02e+08),
           (-0.665, -9.14e+06),
           (-0.662, -2.40e+09),
           (-0.658,  6.58e+07),
           (-0.655,  5.55e+07),
           (-0.651,  5.19e+08),
           (-0.645,  7.25e+08),
           (-0.641,  1.80e+09),
           (-0.638,  2.21e+07),
           (-0.635, -1.58e+08),
           (-0.631, -3.50e+07),
           (-0.628,  6.39e+08),
           (-0.624,  8.10e+08),
           (-0.621,  1.50e+09),
           (-0.618,  5.27e+08),
           (-0.614, -1.60e+07),
           (-0.611,  7.01e+08),
           (-0.608,  5.70e+08),
           (-0.604,  9.72e+08),
           (-0.601, -9.41e+08),
           (-0.597,  6.58e+08),
           (-0.594,  1.66e+09),
           (-0.587, -4.11e+08),
           (-0.584,  9.69e+08),
           (-0.577, -6.36e+08),
           (-0.574,  1.08e+09),
           (-0.570, -3.08e+08),
           (-0.567,  6.33e+08),
           (-0.564,  1.22e+09),
           (-0.560,  1.67e+08),
           (-0.557, -4.27e+08),
           (-0.554, -2.60e+08),
           (-0.550,  1.40e+09),
           (-0.547,  9.37e+05),
           (-0.543, -6.78e+08),
           (-0.540, -2.93e+08),
           (-0.537,  5.43e+08),
           (-0.533,  8.74e+08),
           (-0.530,  7.82e+08),
           (-0.527,  1.71e+08),
           (-0.523,  3.25e+08),
           (-0.520,  1.86e+08),
           (-0.516,  1.28e+09),
           (-0.510, -5.59e+08),
           (-0.506,  5.28e+08),
           (-0.503,  1.11e+08),
           (-0.500,  1.38e+08),
           (-0.496,  1.41e+08),
           (-0.493, -6.53e+08),
           (-0.489,  1.13e+09),
           (-0.486,  1.02e+09),
           (-0.483, -3.29e+08),
           (-0.479,  7.11e+08),
           (-0.476,  1.02e+09),
           (-0.473,  1.05e+09),
           (-0.469, -5.56e+08),
           (-0.466,  6.84e+08),
           (-0.462, -5.98e+08),
           (-0.459, -4.11e+08),
           (-0.456, -9.96e+08),
           (-0.452,  1.37e+09),
           (-0.449, -5.49e+08),
           (-0.446,  1.14e+09),
           (-0.442,  1.44e+09),
           (-0.435,  3.53e+08),
           (-0.432,  3.13e+08),
           (-0.429,  1.64e+09),
           (-0.425, -1.84e+08),
           (-0.422,  9.19e+08),
           (-0.419,  9.03e+07),
           (-0.415, -1.22e+09),
           (-0.412,  9.30e+08),
           (-0.408,  1.88e+09),
           (-0.405,  2.02e+08),
           (-0.402, -8.80e+08),
           (-0.398,  1.33e+09),
           (-0.395,  1.56e+09),
           (-0.392, -7.96e+08),
           (-0.388, -3.35e+08),
           (-0.385,  7.37e+08),
           (-0.381,  1.32e+09),
           (-0.375, -1.38e+08),
           (-0.371,  3.32e+08),
           (-0.368,  4.01e+08),
           (-0.365, -1.67e+08),
           (-0.361,  1.20e+08),
           (-0.358, -6.54e+08),
           (-0.354,  8.41e+08),
           (-0.351,  1.09e+09),
           (-0.348,  5.90e+08),
           (-0.344, -5.57e+07),
           (-0.341,  8.80e+08),
           (-0.338,  7.44e+08),
           (-0.334, -6.83e+08),
           (-0.331,  2.33e+08),
           (-0.327,  1.22e+08),
           (-0.324,  4.78e+08),
           (-0.321, -2.74e+08),
           (-0.317, -3.59e+08),
           (-0.314,  3.71e+08),
           (-0.311,  1.32e+09),
           (-0.307, -1.33e+08),
           (-0.304,  1.94e+08),
           (-0.300, -3.32e+08),
           (-0.297,  7.30e+08),
           (-0.294,  5.69e+08),
           (-0.290,  1.42e+09),
           (-0.287, -1.50e+08),
           (-0.284, -6.33e+08),
           (-0.280, -8.05e+08),
           (-0.277, -1.27e+09),
           (-0.273,  5.64e+08),
           (-0.270,  1.78e+09),
           (-0.263, -7.08e+08),
           (-0.260, -1.79e+08),
           (-0.257,  1.02e+08),
           (-0.253,  1.42e+08),
           (-0.250, -1.39e+08),
           (-0.246,  7.87e+07),
           (-0.243,  1.06e+09),
           (-0.240,  1.07e+09),
           (-0.236,  5.03e+08),
           (-0.233,  9.91e+08),
           (-0.230, -8.48e+08),
           (-0.226, -4.52e+08),
           (-0.223, -2.38e+08),
           (-0.219,  5.49e+08),
           (-0.216,  8.27e+08),
           (-0.213, -7.56e+07),
           (-0.209,  2.10e+07),
           (-0.203,  7.61e+08),
           (-0.199,  1.39e+09),
           (-0.196, -3.21e+08),
           (-0.192,  1.76e+09),
           (-0.189, -2.85e+08),
           (-0.186,  3.47e+07),
           (-0.182,  1.56e+09),
           (-0.179,  1.34e+09),
           (-0.176, -1.34e+09),
           (-0.172, -4.17e+06),
           (-0.169,  3.06e+08),
           (-0.165,  2.39e+09),
           (-0.162, -3.81e+08),
           (-0.159, -4.17e+08),
           (-0.155,  1.68e+09),
           (-0.149, -5.08e+08),
           (-0.145, -3.00e+08),
           (-0.142,  1.69e+08),
           (-0.138,  7.89e+08),
           (-0.135, -2.84e+08),
           (-0.132,  2.05e+09),
           (-0.128, -5.90e+08),
           (-0.125,  5.42e+08),
           (-0.122,  2.27e+08),
           (-0.118,  5.57e+08),
           (-0.115, -1.06e+09),
           (-0.111,  4.81e+07),
           (-0.108,  6.59e+08),
           (-0.105,  4.33e+08),
           (-0.101,  6.95e+08),
           (-0.098,  5.48e+08),
           (-0.095, -1.25e+08),
           (-0.091,  8.33e+08),
           (-0.088,  8.83e+08),
           (-0.084,  1.88e+09),
           (-0.081,  7.41e+08),
           (-0.078, -9.02e+08),
           (-0.074,  7.67e+08),
           (-0.071, -2.78e+08),
           (-0.068,  9.07e+08),
           (-0.064,  5.37e+08),
           (-0.061,  2.98e+08),
           (-0.057,  7.25e+08),
           (-0.054,  7.37e+08),
           (-0.051,  1.35e+07),
           (-0.047,  1.28e+08),
           (-0.044,  3.20e+08),
           (-0.041,  1.09e+09),
           (-0.037,  3.99e+08),
           (-0.034,  7.10e+08),
           (-0.030, -3.04e+08),
           (-0.027,  3.84e+08),
           (-0.024,  2.11e+09),
