Bolide Detection Notification: 2009-110

At 04:01:39 UT on 20 Apr 2009, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 6.0 °N, Lon 84.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.72e+09 watts/steradian, and total radiated flash
energy 3.29e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -5.97e+08),
           (-0.996, -4.39e+08),
           (-0.992, -4.14e+08),
           (-0.989,  5.61e+08),
           (-0.986, -2.19e+08),
           (-0.982, -4.46e+08),
           (-0.979,  2.51e+09),
           (-0.975,  1.25e+08),
           (-0.972, -2.67e+08),
           (-0.969, -5.32e+08),
           (-0.965, -9.31e+08),
           (-0.962,  1.25e+08),
           (-0.959,  1.77e+09),
           (-0.955,  3.88e+08),
           (-0.952, -7.63e+07),
           (-0.948,  5.17e+08),
           (-0.945,  1.38e+09),
           (-0.942, -1.44e+09),
           (-0.938, -8.54e+08),
           (-0.935,  6.94e+08),
           (-0.931,  3.57e+08),
           (-0.928,  1.68e+09),
           (-0.925, -1.45e+09),
           (-0.921, -8.45e+08),
           (-0.918,  1.30e+09),
           (-0.915,  7.33e+08),
           (-0.911, -4.42e+08),
           (-0.905,  4.34e+08),
           (-0.901,  5.90e+08),
           (-0.898, -4.72e+08),
           (-0.894,  6.31e+08),
           (-0.891, -1.46e+09),
           (-0.888,  8.83e+07),
           (-0.884, -2.00e+08),
           (-0.881,  4.98e+08),
           (-0.878, -1.43e+09),
           (-0.874,  3.73e+08),
           (-0.871,  5.29e+08),
           (-0.867,  4.46e+08),
           (-0.864,  1.43e+09),
           (-0.861,  8.08e+08),
           (-0.857,  1.20e+09),
           (-0.854, -1.30e+07),
           (-0.851,  6.11e+08),
           (-0.847,  8.77e+08),
           (-0.844,  6.21e+08),
           (-0.840,  1.51e+09),
           (-0.837, -7.03e+07),
           (-0.834,  2.65e+09),
           (-0.830,  1.99e+09),
           (-0.827,  8.37e+07),
           (-0.824,  2.08e+08),
           (-0.820,  8.34e+08),
           (-0.817, -7.40e+08),
           (-0.813,  2.22e+08),
           (-0.810, -4.27e+08),
           (-0.807,  4.84e+08),
           (-0.803, -2.45e+08),
           (-0.800, -4.21e+08),
           (-0.797, -2.22e+08),
           (-0.793,  1.22e+08),
           (-0.790,  3.13e+08),
           (-0.786,  9.88e+07),
           (-0.783, -1.01e+09),
           (-0.780, -6.81e+08),
           (-0.776,  1.10e+09),
           (-0.770, -9.23e+08),
           (-0.763,  1.35e+09),
           (-0.759, -1.49e+08),
           (-0.756, -1.18e+09),
           (-0.753,  2.17e+09),
           (-0.749,  8.27e+08),
           (-0.746, -1.49e+09),
           (-0.743,  3.14e+08),
           (-0.739,  7.02e+08),
           (-0.736,  1.61e+09),
           (-0.732,  7.71e+08),
           (-0.729,  1.25e+09),
           (-0.726,  1.57e+08),
           (-0.722,  1.89e+09),
           (-0.719,  1.27e+09),
           (-0.716,  1.15e+09),
           (-0.712,  5.38e+08),
           (-0.709, -8.44e+08),
           (-0.705,  3.63e+08),
           (-0.702,  4.66e+07),
           (-0.699, -9.62e+08),
           (-0.695, -1.74e+08),
           (-0.692,  3.80e+08),
           (-0.689,  2.25e+09),
           (-0.685,  6.68e+07),
           (-0.682,  1.26e+09),
           (-0.678,  1.02e+09),
           (-0.675, -1.29e+09),
           (-0.672, -2.50e+08),
           (-0.668, -9.62e+08),
           (-0.665, -2.92e+08),
           (-0.662, -6.90e+08),
           (-0.658,  9.58e+08),
           (-0.655,  8.99e+08),
           (-0.651,  6.03e+08),
           (-0.648, -1.09e+09),
           (-0.645,  9.70e+08),
           (-0.641, -5.11e+08),
           (-0.638,  1.08e+09),
           (-0.631, -6.57e+08),
           (-0.628,  6.56e+08),
           (-0.624,  4.65e+08),
           (-0.621, -2.15e+07),
           (-0.618,  1.22e+09),
           (-0.614,  1.22e+09),
           (-0.611,  1.72e+08),
           (-0.608,  2.59e+08),
           (-0.604,  8.42e+08),
           (-0.601, -8.05e+08),
           (-0.597,  5.38e+08),
           (-0.594,  1.41e+08),
           (-0.591,  6.32e+08),
           (-0.587,  6.50e+08),
           (-0.584, -7.46e+08),
           (-0.581,  1.51e+09),
           (-0.577,  5.81e+08),
           (-0.574,  5.69e+08),
           (-0.570,  5.33e+08),
           (-0.567,  1.76e+09),
           (-0.564,  7.52e+08),
           (-0.560,  1.72e+09),
           (-0.557, -3.54e+07),
           (-0.553,  1.49e+09),
           (-0.550,  1.23e+09),
           (-0.547,  8.64e+08),
           (-0.543,  6.53e+08),
           (-0.540, -3.55e+08),
           (-0.537,  2.27e+09),
           (-0.533,  1.15e+09),
           (-0.530,  1.61e+09),
           (-0.527,  6.99e+08),
           (-0.523,  5.13e+08),
           (-0.516,  3.29e+09),
           (-0.513,  1.16e+09),
           (-0.510,  1.91e+07),
           (-0.506,  1.51e+09),
           (-0.503,  7.77e+08),
           (-0.500,  1.40e+09),
           (-0.496,  2.21e+09),
           (-0.493,  2.16e+09),
           (-0.489,  1.61e+09),
           (-0.486,  5.94e+08),
           (-0.483,  1.52e+09),
           (-0.479,  7.11e+08),
           (-0.476,  1.32e+09),
           (-0.472,  1.23e+08),
           (-0.469, -4.34e+07),
           (-0.466, -3.41e+08),
           (-0.462,  1.33e+09),
           (-0.459,  6.48e+08),
           (-0.456, -1.70e+08),
           (-0.452,  8.27e+07),
           (-0.449,  1.50e+09),
           (-0.446,  5.50e+08),
           (-0.442,  1.11e+09),
           (-0.439,  4.78e+08),
           (-0.435,  6.53e+08),
           (-0.432,  1.55e+09),
           (-0.429,  1.07e+09),
           (-0.425, -6.56e+07),
           (-0.422,  7.74e+08),
           (-0.418, -1.45e+08),
           (-0.415,  1.49e+09),
           (-0.412,  1.55e+09),
           (-0.408,  9.63e+08),
           (-0.405, -2.19e+09),
           (-0.402,  1.38e+09),
           (-0.398,  1.38e+09),
           (-0.395, -1.88e+08),
           (-0.392,  5.29e+08),
           (-0.388,  1.38e+09),
           (-0.385,  2.59e+09),
           (-0.381,  5.42e+08),
           (-0.378,  2.48e+09),
           (-0.371,  8.30e+07),
           (-0.368,  6.95e+08),
           (-0.365,  2.24e+09),
           (-0.361,  1.89e+08),
           (-0.358,  1.24e+09),
           (-0.354,  1.48e+09),
           (-0.351,  8.62e+08),
           (-0.348,  2.50e+09),
           (-0.344,  2.62e+09),
           (-0.341,  4.62e+08),
           (-0.337,  2.39e+09),
           (-0.334,  3.16e+09),
           (-0.331,  2.51e+09),
           (-0.327,  1.71e+09),
           (-0.324,  5.14e+08),
           (-0.321,  1.58e+09),
           (-0.317,  1.89e+09),
           (-0.314,  3.60e+09),
           (-0.310,  1.63e+09),
           (-0.307,  2.10e+09),
           (-0.304,  2.78e+09),
           (-0.300,  3.63e+09),
           (-0.297,  2.18e+09),
           (-0.294,  1.37e+09),
           (-0.290,  2.38e+09),
           (-0.287,  1.21e+09),
           (-0.283,  9.86e+08),
           (-0.280,  2.96e+09),
           (-0.277,  2.05e+09),
           (-0.273,  2.13e+09),
           (-0.270,  2.61e+09),
           (-0.267,  3.48e+09),
           (-0.263,  3.67e+09),
           (-0.260,  2.49e+09),
           (-0.257,  2.44e+09),
           (-0.253,  2.57e+09),
           (-0.250,  1.67e+09),
           (-0.246,  1.44e+09),
           (-0.243,  1.38e+09),
           (-0.240,  1.57e+09),
           (-0.236,  3.01e+09),
           (-0.233,  2.98e+09),
           (-0.229,  3.68e+09),
           (-0.226,  1.94e+09),
           (-0.223,  2.54e+09),
           (-0.219,  2.08e+09),
           (-0.216,  1.41e+09),
           (-0.213,  3.00e+09),
           (-0.209,  2.56e+09),
           (-0.203,  1.11e+09),
           (-0.199,  2.12e+09),
           (-0.196,  9.15e+08),
           (-0.192,  1.69e+09),
           (-0.189,  2.04e+09),
           (-0.186,  3.38e+09),
