Bolide Detection Notification: 2014-177

At 05:54:41 UT on 26 Jun 2014, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 71.4 °S, Lon 93.1 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.24e+10 watts/steradian, and total radiated flash
energy 6.14e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.800,  6.66e+08),
           (-0.797,  1.51e+09),
           (-0.793,  3.69e+08),
           (-0.790, -1.25e+09),
           (-0.786, -2.15e+09),
           (-0.783, -5.86e+08),
           (-0.780, -1.08e+09),
           (-0.776, -2.51e+09),
           (-0.773,  8.08e+08),
           (-0.770,  4.47e+08),
           (-0.766, -1.44e+09),
           (-0.763,  2.50e+09),
           (-0.756,  3.28e+08),
           (-0.753,  4.27e+08),
           (-0.749, -9.05e+08),
           (-0.746,  1.83e+09),
           (-0.743, -1.37e+09),
           (-0.739, -5.34e+08),
           (-0.736,  1.23e+08),
           (-0.732, -2.30e+08),
           (-0.729, -3.84e+08),
           (-0.726,  1.80e+09),
           (-0.722, -5.10e+08),
           (-0.719, -2.18e+09),
           (-0.716,  1.83e+09),
           (-0.712,  1.07e+09),
           (-0.709,  6.15e+08),
           (-0.705,  5.27e+08),
           (-0.702,  3.05e+08),
           (-0.699,  1.63e+09),
           (-0.695, -3.88e+07),
           (-0.692,  4.69e+08),
           (-0.689, -2.91e+08),
           (-0.685,  9.07e+08),
           (-0.678,  2.60e+07),
           (-0.675,  1.83e+09),
           (-0.672, -1.22e+09),
           (-0.668,  1.14e+09),
           (-0.665,  6.65e+08),
           (-0.662, -1.16e+09),
           (-0.658,  1.66e+09),
           (-0.655,  1.42e+09),
           (-0.651,  1.83e+09),
           (-0.648, -5.55e+08),
           (-0.645, -1.88e+08),
           (-0.641, -6.36e+08),
           (-0.638,  2.36e+09),
           (-0.635, -2.39e+09),
           (-0.631,  2.81e+09),
           (-0.628,  2.09e+05),
           (-0.621,  1.68e+09),
           (-0.618, -6.77e+08),
           (-0.614, -1.07e+09),
           (-0.611,  2.41e+09),
           (-0.608,  1.58e+09),
           (-0.604, -2.05e+09),
           (-0.601, -6.46e+08),
           (-0.597,  2.63e+09),
           (-0.594, -8.17e+08),
           (-0.591,  1.12e+09),
           (-0.587, -1.08e+08),
           (-0.584, -2.98e+07),
           (-0.581,  1.42e+09),
           (-0.577,  1.74e+08),
           (-0.574,  2.55e+09),
           (-0.570, -1.32e+09),
           (-0.567,  2.12e+09),
           (-0.564,  1.26e+09),
           (-0.560, -1.90e+09),
           (-0.557,  3.76e+08),
           (-0.553, -7.07e+08),
           (-0.550,  4.50e+08),
           (-0.547, -7.82e+07),
           (-0.543, -1.85e+09),
           (-0.540,  1.32e+09),
           (-0.537,  1.27e+09),
           (-0.533,  4.34e+08),
           (-0.530,  4.16e+08),
           (-0.527,  2.16e+09),
           (-0.523, -1.16e+09),
           (-0.520,  1.79e+09),
           (-0.516,  1.71e+09),
           (-0.513,  8.23e+08),
           (-0.510,  1.54e+08),
           (-0.506,  7.32e+08),
           (-0.503,  1.52e+09),
           (-0.500, -1.13e+09),
           (-0.496,  6.73e+08),
           (-0.493,  6.19e+08),
           (-0.489,  8.34e+08),
           (-0.486,  5.85e+08),
           (-0.483,  1.02e+09),
           (-0.479,  3.24e+09),
           (-0.476,  8.53e+08),
           (-0.473,  1.17e+09),
           (-0.469,  2.60e+09),
           (-0.466, -9.08e+08),
           (-0.462,  8.09e+08),
           (-0.459,  1.49e+07),
           (-0.456, -4.03e+08),
           (-0.452, -1.35e+09),
           (-0.449, -1.51e+09),
           (-0.446,  2.04e+09),
           (-0.442, -9.20e+08),
           (-0.439, -1.28e+09),
           (-0.435,  1.83e+09),
           (-0.432,  2.18e+09),
           (-0.429,  2.08e+09),
           (-0.425,  1.36e+09),
           (-0.422,  1.80e+09),
           (-0.418, -2.86e+09),
           (-0.415,  2.74e+08),
           (-0.412, -1.11e+09),
           (-0.408, -5.72e+08),
           (-0.405,  1.90e+09),
           (-0.402,  7.34e+08),
           (-0.398, -1.08e+09),
           (-0.395, -7.36e+08),
           (-0.392,  4.10e+08),
           (-0.388, -9.88e+06),
           (-0.385,  2.43e+09),
           (-0.381,  3.32e+09),
           (-0.378,  4.47e+08),
           (-0.375, -7.39e+08),
           (-0.371,  1.51e+09),
           (-0.368,  9.84e+08),
           (-0.365, -3.20e+09),
           (-0.361, -4.05e+08),
           (-0.358,  1.92e+09),
           (-0.354,  8.50e+08),
           (-0.351,  1.45e+09),
           (-0.348, -2.37e+08),
           (-0.344,  8.95e+08),
           (-0.341, -4.83e+08),
           (-0.338, -2.58e+08),
           (-0.334,  8.11e+08),
           (-0.331,  1.37e+09),
           (-0.327, -1.02e+09),
           (-0.324,  3.62e+09),
           (-0.317, -1.37e+09),
           (-0.314, -1.61e+09),
           (-0.310, -2.88e+07),
           (-0.307,  2.89e+09),
           (-0.304,  4.63e+07),
           (-0.300,  6.73e+08),
           (-0.297, -6.36e+08),
           (-0.294, -1.04e+09),
           (-0.290, -1.11e+09),
           (-0.287,  1.76e+09),
           (-0.284,  1.70e+09),
           (-0.280, -4.49e+08),
           (-0.277, -3.56e+08),
           (-0.273, -4.47e+08),
           (-0.270,  7.48e+08),
           (-0.267, -7.37e+08),
           (-0.263, -1.23e+09),
           (-0.260,  1.10e+09),
           (-0.257,  1.17e+09),
           (-0.253, -9.54e+08),
           (-0.250,  1.07e+09),
           (-0.246,  4.43e+08),
           (-0.243, -4.68e+08),
           (-0.240,  1.92e+09),
           (-0.236,  1.65e+09),
           (-0.233,  4.73e+08),
           (-0.230, -4.24e+08),
           (-0.226, -4.15e+08),
           (-0.223,  3.31e+08),
           (-0.219,  1.97e+09),
           (-0.216, -1.21e+09),
           (-0.213,  9.58e+08),
           (-0.209,  1.38e+09),
           (-0.206,  3.21e+08),
           (-0.203,  1.05e+09),
           (-0.199, -5.37e+08),
           (-0.196,  3.63e+09),
           (-0.192, -5.61e+08),
           (-0.189,  5.73e+08),
           (-0.186,  8.33e+08),
           (-0.182,  3.00e+09),
           (-0.179,  8.18e+08),
           (-0.175,  2.34e+09),
           (-0.172,  1.71e+08),
           (-0.169,  1.75e+09),
           (-0.165,  1.52e+09),
           (-0.162,  1.00e+09),
           (-0.159,  6.37e+08),
           (-0.155, -1.69e+09),
           (-0.152,  1.42e+09),
           (-0.149,  1.80e+09),
           (-0.145, -1.08e+09),
           (-0.142,  3.74e+08),
           (-0.138, -1.19e+09),
           (-0.135,  6.18e+08),
           (-0.132,  2.09e+09),
           (-0.128, -1.90e+09),
           (-0.125,  7.07e+08),
           (-0.122,  1.54e+09),
           (-0.118,  2.11e+09),
           (-0.115,  1.81e+09),
           (-0.111, -1.15e+09),
           (-0.108,  1.85e+08),
           (-0.105,  3.34e+09),
           (-0.101, -8.45e+07),
           (-0.098,  9.82e+07),
           (-0.095, -5.45e+08),
           (-0.091, -2.80e+08),
           (-0.084,  4.11e+09),
           (-0.081, -9.60e+08),
           (-0.078,  1.75e+09),
           (-0.074,  1.41e+09),
           (-0.071,  1.49e+09),
           (-0.068,  3.28e+09),
           (-0.064,  2.30e+09),
           (-0.061,  2.16e+09),
           (-0.057,  2.53e+09),
           (-0.054,  2.76e+09),
           (-0.051,  3.50e+09),
           (-0.044,  1.70e+09),
           (-0.041,  3.54e+09),
           (-0.037,  2.49e+09),
           (-0.030,  4.51e+09),
           (-0.027,  3.35e+09),
           (-0.024,  5.03e+09),
           (-0.020,  4.26e+09),
           (-0.017,  5.75e+09),
           (-0.014,  4.36e+09),
           (-0.010,  6.67e+09),
           (-0.007,  6.85e+09),
           (-0.003,  7.26e+09),
           ( 0.000,  6.21e+09),
           ( 0.003,  5.75e+09),
           ( 0.007,  4.91e+09),
           ( 0.010,  5.64e+09),
           ( 0.013,  6.63e+09),
           ( 0.017,  5.46e+09),
           ( 0.020,  5.56e+09),
           ( 0.024,  7.87e+09),
           ( 0.027,  5.52e+09),
           ( 0.030,  5.33e+09),
           ( 0.034,  1.76e+09),
           ( 0.037,  6.12e+09),
           ( 0.040,  5.28e+09),
           ( 0.044,  5.66e+09),
           ( 0.047,  2.95e+09),
           ( 0.051,  4.88e+09),
           ( 0.054,  3.75e+09),
           ( 0.057,  6.15e+09),
           ( 0.061,  6.12e+09),
           ( 0.064,  5.70e+09),
           ( 0.071,  3.08e+09),
           ( 0.074,  2.69e+09),
           ( 0.078,  6.21e+09),
           ( 0.081,  5.76e+09),
           ( 0.084,  3.83e+09),
           ( 0.088,  5.96e+09),
           ( 0.091,  4.92e+09),
           ( 0.094,  7.37e+09),
           ( 0.098,  7.44e+09),
           ( 0.101,  5.76e+09),
           ( 0.105,  6.45e+09),
           ( 0.108,  5.41e+09),
           ( 0.111,  4.14e+09),
           ( 0.115,  5.19e+09),
           ( 0.118,  7.62e+09),
           ( 0.121,  4.93e+09),
           ( 0.125,  3.76e+09),
           ( 0.128,  5.50e+09),
           ( 0.132,  6.58e+09),
           ( 0.135,  9.71e+09),
           ( 0.138,  7.46e+09),
           ( 0.142,  7.48e+09),
           ( 0.145,  5.80e+09),
           ( 0.148,  6.13e+09),
           ( 0.152,  4.29e+09),
           ( 0.155,  5.55e+09),
           ( 0.159,  7.27e+09),
           ( 0.162,  7.65e+09),
           ( 0.165,  1.00e+10),
           ( 0.169,  8.84e+09),
           ( 0.172,  1.17e+10),
           ( 0.175,  1.09e+10),
           ( 0.179,  9.89e+09),
           ( 0.182,  8.31e+09),
           ( 0.186,  1.06e+10),
           ( 0.189,  9.42e+09),
           ( 0.192,  1.04e+10),
           ( 0.199,  7.59e+09),
           ( 0.202,  1.04e+10),
           ( 0.209,  7.87e+09),
           ( 0.213,  8.98e+09),
           ( 0.216,  7.96e+09),
           ( 0.219,  8.83e+09),
           ( 0.223,  5.68e+09),
           ( 0.226,  4.93e+09),
           ( 0.229,  8.40e+09),
           ( 0.233,  9.51e+09),
           ( 0.236,  7.82e+09),
           ( 0.240,  9.03e+09),
           ( 0.243,  6.17e+09),
           ( 0.246,  8.08e+09),
           ( 0.250,  7.78e+09),
           ( 0.253,  7.01e+09),
           ( 0.256,  8.11e+09),
           ( 0.260,  8.16e+09),
           ( 0.263,  8.85e+09),
           ( 0.267,  6.70e+09),
           ( 0.270,  5.39e+09),
           ( 0.273,  5.88e+09),
           ( 0.277,  5.58e+09),
           ( 0.280,  7.35e+09),
           ( 0.283,  5.72e+09),
           ( 0.287,  5.61e+09),
           ( 0.290,  6.71e+09),
           ( 0.294,  5.83e+09),
           ( 0.297,  8.61e+09),
           ( 0.300,  6.27e+09),
           ( 0.304,  6.57e+09),
           ( 0.307,  5.19e+09),
           ( 0.314,  6.50e+09),
           ( 0.317,  4.71e+09),
           ( 0.321,  6.32e+09),
           ( 0.324,  5.77e+09),
           ( 0.327,  7.41e+09),
           ( 0.331,  8.59e+09),
           ( 0.334,  6.23e+09),
           ( 0.337,  8.27e+09),
           ( 0.341,  7.19e+09),
           ( 0.344,  5.73e+09),
           ( 0.348,  4.70e+09),
           ( 0.351,  4.87e+09),
           ( 0.354,  5.55e+09),
           ( 0.358,  7.59e+09),
           ( 0.361,  6.96e+09),
           ( 0.364,  6.60e+09),
           ( 0.368,  6.72e+09),
           ( 0.371,  4.95e+09),
           ( 0.375,  4.85e+09),
           ( 0.378,  5.82e+09),
           ( 0.381,  4.82e+09),
           ( 0.385,  4.22e+09),
           ( 0.388,  3.81e+09),
           ( 0.391,  3.25e+09),
           ( 0.395,  2.35e+09),
           ( 0.398,  5.71e+09),
           ( 0.402,  3.52e+09),
           ( 0.405,  6.66e+09),
           ( 0.408,  3.28e+09),
           ( 0.412,  4.43e+09),
           ( 0.415,  4.09e+09),
           ( 0.418,  1.93e+09),
           ( 0.422,  2.31e+09),
           ( 0.425,  2.80e+09),
           ( 0.429,  1.96e+09),
           ( 0.432,  5.83e+09),
           ( 0.435,  2.71e+09),
           ( 0.439,  2.37e+09),
           ( 0.442,  2.20e+09),
           ( 0.446,  2.99e+09),
           ( 0.449,  2.61e+09),
           ( 0.452,  2.85e+09),
           ( 0.456,  4.31e+09),
           ( 0.459,  2.18e+09),
           ( 0.462,  3.02e+09),
           ( 0.466,  5.01e+09),
           ( 0.469,  1.06e+09),
           ( 0.472,  6.89e+08),
           ( 0.476,  3.37e+09),
           ( 0.479,  2.08e+09),
           ( 0.483,  3.08e+09),
           ( 0.486,  3.50e+09),
           ( 0.489,  2.05e+09),
           ( 0.493,  4.05e+09),
           ( 0.496,  4.23e+09),
           ( 0.499,  4.16e+09),
           ( 0.503,  4.26e+09),
