Bolide Detection Notification: 2015-317

At 14:59:27 UT on 13 Nov 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 16.0 °N, Lon 124.3 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 5.07e+10 watts/steradian, and total radiated flash
energy 8.32e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.597, -3.29e+08),
           (-0.594, -8.34e+08),
           (-0.591, -1.45e+08),
           (-0.587,  1.41e+09),
           (-0.584,  2.51e+08),
           (-0.580, -3.05e+08),
           (-0.577,  4.51e+08),
           (-0.574, -1.48e+08),
           (-0.570, -4.08e+08),
           (-0.567,  4.19e+08),
           (-0.564, -5.05e+08),
           (-0.560,  3.88e+08),
           (-0.557, -3.79e+08),
           (-0.553,  1.20e+08),
           (-0.550, -2.98e+08),
           (-0.547, -1.77e+08),
           (-0.543,  1.63e+09),
           (-0.540, -1.07e+09),
           (-0.537,  4.54e+08),
           (-0.533,  9.35e+08),
           (-0.530,  2.67e+08),
           (-0.520, -1.19e+08),
           (-0.516,  1.26e+09),
           (-0.513, -8.57e+08),
           (-0.510, -6.28e+08),
           (-0.506,  7.10e+08),
           (-0.503, -1.06e+09),
           (-0.499,  6.97e+08),
           (-0.496, -1.22e+08),
           (-0.493, -1.27e+09),
           (-0.489, -2.63e+08),
           (-0.486, -4.56e+08),
           (-0.483, -9.45e+08),
           (-0.479, -9.55e+08),
           (-0.476, -1.42e+09),
           (-0.472, -1.05e+09),
           (-0.469, -1.56e+09),
           (-0.466, -1.03e+09),
           (-0.462, -7.27e+08),
           (-0.459, -1.19e+09),
           (-0.456, -1.56e+07),
           (-0.452,  1.80e+08),
           (-0.449,  1.09e+08),
           (-0.445, -9.18e+08),
           (-0.442, -3.99e+08),
           (-0.435, -2.23e+09),
           (-0.432, -1.67e+08),
           (-0.429, -1.41e+09),
