Bolide Detection Notification: 2016-109

At 11:59:10 UT on 18 Apr 2016, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 20.7 °N, Lon 14.5 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 9.56e+10 watts/steradian, and total radiated flash
energy 2.31e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.378, -1.82e+09),
           (-0.375, -7.70e+08),
           (-0.371,  6.04e+08),
           (-0.368,  7.51e+08),
           (-0.364,  1.74e+08),
           (-0.361, -7.24e+08),
           (-0.358, -2.28e+09),
           (-0.354,  2.31e+09),
           (-0.351, -3.79e+08),
           (-0.348, -5.43e+07),
           (-0.344, -1.37e+09),
           (-0.341,  1.89e+09),
           (-0.337,  1.90e+09),
           (-0.334,  1.51e+09),
           (-0.331,  2.95e+09),
           (-0.327,  2.22e+09),
           (-0.324, -1.69e+08),
           (-0.321,  1.29e+09),
           (-0.317,  6.64e+07),
           (-0.314, -2.02e+08),
           (-0.307,  8.02e+08),
           (-0.304, -5.39e+08),
           (-0.300, -2.07e+08),
           (-0.297,  6.07e+08),
           (-0.294,  1.91e+09),
           (-0.287,  1.33e+09),
           (-0.283,  1.85e+09),
           (-0.280, -1.66e+08),
           (-0.277,  2.10e+09),
           (-0.273,  1.49e+09),
           (-0.270,  2.78e+09),
           (-0.267,  3.89e+08),
           (-0.263,  5.73e+08),
           (-0.260,  1.88e+09),
           (-0.256,  2.27e+09),
           (-0.253, -1.29e+08),
           (-0.250,  6.58e+08),
           (-0.246,  2.39e+09),
           (-0.243,  1.95e+09),
           (-0.240,  9.03e+08),
           (-0.236,  2.02e+09),
           (-0.233, -1.42e+08),
           (-0.229,  9.53e+08),
           (-0.226,  6.29e+08),
           (-0.223,  1.10e+09),
           (-0.219,  6.11e+08),
           (-0.216,  3.01e+09),
           (-0.213,  2.40e+09),
           (-0.209, -2.27e+08),
           (-0.206,  1.07e+09),
           (-0.202,  1.28e+09),
           (-0.199, -8.82e+08),
           (-0.196, -5.11e+08),
           (-0.192,  2.08e+09),
           (-0.189, -2.14e+09),
           (-0.186, -2.92e+08),
           (-0.182, -9.11e+08),
           (-0.179,  1.63e+09),
           (-0.175,  1.57e+09),
           (-0.172, -5.62e+07),
           (-0.169,  9.53e+08),
           (-0.165,  1.64e+09),
           (-0.162,  8.36e+08),
           (-0.159,  7.87e+08),
           (-0.155,  1.20e+09),
           (-0.152,  2.06e+09),
           (-0.148, -1.60e+09),
           (-0.145,  9.88e+08),
           (-0.142, -1.14e+09),
           (-0.138, -7.84e+07),
           (-0.135,  2.46e+09),
           (-0.132,  1.03e+08),
           (-0.128, -6.62e+08),
           (-0.125, -1.60e+09),
           (-0.121,  1.37e+09),
           (-0.118,  8.75e+08),
           (-0.115, -4.36e+08),
           (-0.111,  2.64e+08),
           (-0.108, -1.03e+09),
           (-0.105, -1.94e+08),
           (-0.101,  2.06e+09),
           (-0.098, -6.99e+08),
           (-0.094,  6.24e+08),
           (-0.091,  1.13e+08),
           (-0.088,  1.73e+09),
