Bolide Detection Notification: 2017-288

At 04:33:16 UT on 15 Oct 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 65.2 °S, Lon 128.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.54e+10 watts/steradian, and total radiated flash
energy 3.16e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.479,  2.99e+09),
           (-0.476,  1.99e+09),
           (-0.473, -1.43e+08),
           (-0.469, -6.35e+08),
           (-0.466,  1.74e+09),
           (-0.462,  2.00e+09),
           (-0.459,  5.55e+07),
           (-0.456,  2.11e+09),
           (-0.452, -2.29e+08),
           (-0.449, -4.40e+08),
           (-0.446,  2.34e+09),
           (-0.442,  2.43e+09),
           (-0.439,  5.31e+08),
           (-0.435,  2.96e+09),
           (-0.432,  3.31e+07),
           (-0.429, -1.80e+08),
           (-0.425,  1.99e+09),
           (-0.422, -5.49e+08),
           (-0.419,  1.29e+09),
           (-0.415,  3.76e+08),
           (-0.412,  2.34e+09),
           (-0.408,  9.30e+08),
           (-0.405,  7.55e+08),
           (-0.398, -2.54e+09),
           (-0.395,  5.40e+09),
           (-0.392,  1.18e+09),
           (-0.388,  1.30e+09),
           (-0.385, -4.44e+08),
           (-0.381,  3.16e+09),
           (-0.378,  2.04e+09),
           (-0.375, -1.41e+08),
           (-0.371,  3.66e+08),
           (-0.368,  2.82e+09),
           (-0.365,  2.90e+09),
           (-0.361,  4.57e+09),
           (-0.358,  3.25e+09),
           (-0.354, -2.10e+09),
           (-0.351, -4.91e+08),
           (-0.348,  2.03e+08),
           (-0.344, -9.21e+08),
           (-0.341,  7.64e+08),
           (-0.338,  1.25e+09),
           (-0.334,  8.72e+07),
           (-0.331,  3.73e+09),
           (-0.327, -1.08e+09),
           (-0.324,  1.32e+09),
           (-0.321,  8.31e+07),
           (-0.317, -1.96e+09),
           (-0.314,  1.46e+09),
           (-0.311, -9.24e+08),
           (-0.307, -1.33e+09),
           (-0.300,  7.67e+08),
           (-0.297, -1.35e+09),
           (-0.294,  4.25e+08),
           (-0.290, -8.17e+08),
           (-0.287,  1.25e+09),
           (-0.284,  4.71e+08),
           (-0.280, -1.89e+09),
           (-0.277,  2.64e+09),
           (-0.273,  1.58e+08),
           (-0.270,  2.78e+08),
           (-0.267, -8.00e+08),
           (-0.263,  1.81e+09),
           (-0.260,  1.97e+09),
           (-0.257, -6.87e+08),
           (-0.253,  1.33e+09),
           (-0.250,  7.50e+08),
           (-0.246, -1.71e+09),
           (-0.243, -2.94e+09),
           (-0.240, -1.99e+09),
           (-0.236,  2.07e+09),
           (-0.233,  2.66e+09),
           (-0.230,  1.53e+09),
           (-0.226, -2.69e+08),
           (-0.223, -2.39e+09),
           (-0.219, -7.78e+08),
           (-0.216,  5.50e+08),
           (-0.213, -5.03e+08),
           (-0.209,  5.46e+08),
           (-0.206,  7.54e+08),
           (-0.203, -3.07e+08),
           (-0.199, -6.33e+08),
           (-0.196,  1.36e+09),
           (-0.192, -5.93e+07),
           (-0.189,  2.60e+09),
           (-0.186,  1.89e+09),
           (-0.182,  1.51e+09),
           (-0.179,  3.68e+09),
           (-0.175,  2.60e+09),
           (-0.172,  1.90e+09),
           (-0.169,  6.79e+07),
           (-0.165,  1.24e+08),
           (-0.162,  1.12e+09),
           (-0.159, -3.22e+07),
           (-0.155,  2.00e+08),
           (-0.152,  3.03e+09),
           (-0.149,  5.98e+08),
           (-0.145, -1.92e+07),
           (-0.142,  1.52e+09),
           (-0.135, -1.38e+09),
           (-0.132, -1.81e+09),
           (-0.128, -6.37e+08),
           (-0.125, -1.46e+09),
           (-0.122, -8.55e+07),
           (-0.118, -2.30e+09),
           (-0.115,  1.90e+09),
           (-0.111, -1.33e+09),
           (-0.108, -8.87e+08),
           (-0.105,  1.50e+08),
           (-0.101,  1.38e+09),
           (-0.098, -1.21e+09),
           (-0.095, -2.11e+09),
           (-0.091, -2.38e+09),
           (-0.084, -1.32e+09),
           (-0.081,  3.49e+09),
           (-0.078,  2.16e+09),
           (-0.074,  7.03e+08),
           (-0.071,  1.04e+09),
           (-0.068,  2.12e+08),
           (-0.064,  2.67e+08),
           (-0.061, -1.01e+09),
           (-0.057,  2.01e+09),
           (-0.054,  1.86e+09),
           (-0.051,  1.58e+09),
           (-0.047,  4.19e+09),
           (-0.044,  2.28e+09),
           (-0.041,  3.20e+09),
           (-0.037,  2.17e+09),
           (-0.034,  2.26e+09),
           (-0.030,  4.91e+09),
           (-0.027,  6.12e+09),
           (-0.024,  2.87e+09),
           (-0.020,  1.10e+09),
           (-0.017,  3.41e+09),
           (-0.014, -2.28e+08),
           (-0.010,  2.95e+09),
           (-0.007,  5.31e+09),
           (-0.003,  4.32e+09),
           ( 0.000,  7.53e+09),
           ( 0.003,  4.01e+09),
           ( 0.007,  6.02e+09),
           ( 0.010,  5.71e+09),
           ( 0.013,  6.50e+09),
           ( 0.017,  6.27e+09),
           ( 0.020,  7.05e+09),
           ( 0.024,  5.07e+09),
           ( 0.027,  2.89e+09),
           ( 0.030,  7.11e+09),
           ( 0.034,  5.79e+09),
           ( 0.037,  8.47e+09),
           ( 0.040,  8.42e+09),
           ( 0.044,  6.19e+09),
           ( 0.047,  6.81e+09),
           ( 0.051,  4.51e+09),
           ( 0.054,  7.13e+09),
           ( 0.057,  8.20e+09),
           ( 0.061,  8.28e+09),
           ( 0.064,  9.25e+09),
           ( 0.068,  1.00e+10),
           ( 0.071,  9.75e+09),
           ( 0.074,  8.47e+09),
           ( 0.078,  1.23e+10),
           ( 0.081,  1.18e+10),
           ( 0.084,  1.54e+10),
           ( 0.088,  1.11e+10),
           ( 0.091,  1.44e+10),
           ( 0.094,  1.48e+10),
           ( 0.098,  1.40e+10),
           ( 0.101,  1.38e+10),
           ( 0.105,  1.48e+10),
           ( 0.108,  1.41e+10),
           ( 0.111,  1.51e+10),
           ( 0.115,  1.29e+10),
           ( 0.118,  1.39e+10),
           ( 0.121,  1.10e+10),
           ( 0.125,  1.26e+10),
           ( 0.128,  1.44e+10),
           ( 0.132,  1.26e+10),
           ( 0.135,  1.17e+10),
           ( 0.138,  8.87e+09),
           ( 0.142,  9.01e+09),
           ( 0.145,  8.62e+09),
           ( 0.148,  9.00e+09),
           ( 0.152,  6.84e+09),
           ( 0.155,  9.93e+09),
           ( 0.159,  1.12e+10),
           ( 0.162,  8.43e+09),
           ( 0.165,  7.14e+09),
           ( 0.169,  8.82e+09),
           ( 0.172,  6.63e+09),
           ( 0.175,  8.90e+09),
           ( 0.179,  1.08e+10),
           ( 0.182,  6.01e+09),
           ( 0.186,  5.38e+09),
           ( 0.189,  5.82e+09),
           ( 0.192,  8.10e+09),
           ( 0.199,  4.13e+09),
           ( 0.202,  4.06e+09),
           ( 0.206,  3.79e+09),
           ( 0.209,  5.91e+09),
           ( 0.213,  7.78e+09),
           ( 0.216,  4.88e+09),
           ( 0.219,  2.69e+09),
           ( 0.223, -1.20e+09),
           ( 0.226,  3.55e+08),
           ( 0.230,  1.26e+09),
           ( 0.233, -4.24e+08),
           ( 0.236,  3.93e+08),
           ( 0.240,  2.22e+09),
           ( 0.243,  4.37e+08),
           ( 0.246, -5.52e+08),
           ( 0.250,  1.52e+09),
           ( 0.253,  8.90e+08),
           ( 0.256,  1.58e+09),
           ( 0.260,  8.84e+08),
           ( 0.263,  2.96e+09),
           ( 0.267,  1.36e+09),
           ( 0.270,  4.20e+09),
           ( 0.273,  2.36e+09),
           ( 0.277,  3.63e+09),
           ( 0.280,  3.97e+08),
           ( 0.283,  2.25e+09),
           ( 0.287,  8.41e+09),
           ( 0.294,  1.68e+09),
           ( 0.297,  2.50e+09),
           ( 0.300,  3.71e+09),
           ( 0.304, -1.93e+09),
