Bolide Detection Notification: 2018-015

At 02:18:38 UT on 15 Jan 2018, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 52.0 °S, Lon 57.2 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.95e+10 watts/steradian, and total radiated flash
energy 1.93e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-1.114, -1.96e+08),
           (-1.110,  1.50e+09),
           (-1.107, -1.93e+09),
           (-1.104, -1.93e+09),
           (-1.100,  2.29e+09),
           (-1.097, -1.60e+08),
           (-1.094,  5.36e+08),
           (-1.090, -1.29e+08),
           (-1.083,  5.59e+08),
           (-1.080, -5.82e+08),
           (-1.077,  3.08e+08),
           (-1.070, -5.48e+07),
           (-1.067, -5.41e+08),
           (-1.063,  6.32e+07),
           (-1.060,  1.32e+08),
           (-1.056,  5.53e+08),
           (-1.053, -1.80e+09),
           (-1.046, -1.99e+08),
           (-1.043, -1.08e+09),
           (-1.039,  1.51e+09),
           (-1.036,  1.18e+09),
           (-1.033, -2.12e+09),
           (-1.029, -3.10e+08),
           (-1.026,  1.39e+08),
           (-1.023,  1.44e+09),
           (-1.019, -3.76e+06),
           (-1.016,  4.38e+07),
           (-1.012,  3.77e+08),
           (-1.009, -1.27e+08),
           (-1.006,  5.73e+08),
           (-1.002, -5.50e+08),
           (-0.999,  9.22e+08),
           (-0.996, -2.30e+08),
           (-0.992,  7.98e+08),
           (-0.989, -7.69e+07),
           (-0.986, -5.62e+08),
           (-0.982,  2.48e+08),
           (-0.979, -6.60e+08),
           (-0.975,  3.34e+08),
           (-0.972, -4.81e+08),
           (-0.969,  8.96e+08),
           (-0.965, -4.64e+08),
           (-0.962, -1.16e+09),
           (-0.959, -1.46e+09),
           (-0.952,  1.20e+09),
           (-0.948, -4.79e+08),
           (-0.945, -5.31e+07),
           (-0.942,  7.91e+08),
           (-0.938, -1.09e+09),
           (-0.935,  6.94e+08),
           (-0.932, -5.82e+08),
           (-0.928, -6.24e+08),
           (-0.921,  2.90e+08),
           (-0.918, -4.60e+08),
           (-0.915,  5.05e+08),
           (-0.911, -1.85e+09),
           (-0.908, -1.43e+09),
           (-0.904,  1.32e+09),
           (-0.901, -7.79e+08),
           (-0.898, -1.42e+09),
