Bolide Detection Notification: 2019-257

At 12:39:33 UT on 14 Sep 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.6 °S, Lon 33.5 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.51e+10 watts/steradian, and total radiated flash
energy 1.11e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.928,  1.70e+09),
           (-0.925, -7.50e+08),
           (-0.921,  4.32e+07),
           (-0.918, -1.52e+08),
           (-0.915,  1.79e+09),
           (-0.911, -6.76e+08),
           (-0.908,  3.10e+09),
           (-0.904, -7.93e+08),
           (-0.901,  1.09e+09),
           (-0.898,  8.77e+08),
           (-0.894, -5.40e+08),
           (-0.891, -2.06e+08),
           (-0.888,  4.15e+09),
           (-0.877, -1.52e+09),
           (-0.874,  6.44e+08),
           (-0.871,  1.93e+09),
           (-0.867, -8.14e+08),
           (-0.864, -4.88e+08),
           (-0.861,  1.41e+09),
           (-0.857,  8.30e+08),
           (-0.854, -1.14e+09),
           (-0.850,  2.20e+08),
           (-0.844,  1.85e+09),
           (-0.840,  1.31e+09),
           (-0.837, -9.82e+08),
           (-0.834,  2.69e+09),
           (-0.830,  6.52e+06),
           (-0.827, -3.87e+08),
           (-0.823, -5.66e+07),
           (-0.820, -6.65e+08),
           (-0.817,  1.63e+09),
           (-0.813,  2.27e+09),
           (-0.810, -5.37e+08),
           (-0.807, -1.05e+09),
           (-0.800,  3.07e+09),
           (-0.796,  8.06e+07),
           (-0.793,  2.28e+08),
           (-0.786,  2.68e+09),
           (-0.783,  4.26e+08),
           (-0.780,  2.37e+08),
           (-0.776,  1.34e+09),
           (-0.773, -5.39e+08),
           (-0.769, -1.67e+09),
           (-0.763,  1.82e+09),
           (-0.759,  1.98e+09),
           (-0.756,  1.88e+09),
           (-0.753,  2.46e+09),
           (-0.749,  9.46e+08),
           (-0.746,  2.39e+09),
           (-0.742,  2.32e+09),
           (-0.739,  1.73e+08),
           (-0.736,  2.58e+09),
           (-0.732,  2.49e+09),
           (-0.729,  1.82e+09),
           (-0.726,  1.53e+09),
           (-0.722, -7.94e+08),
           (-0.719, -4.50e+08),
           (-0.715,  2.49e+09),
           (-0.712, -2.69e+07),
           (-0.709,  6.99e+08),
           (-0.705, -6.01e+08),
           (-0.702,  2.90e+08),
           (-0.699, -6.00e+08),
           (-0.695,  3.05e+09),
           (-0.692,  8.46e+08),
           (-0.688, -7.42e+08),
           (-0.685,  1.02e+09),
           (-0.682, -9.32e+08),
           (-0.678,  8.20e+08),
           (-0.675,  7.11e+08),
           (-0.672, -3.51e+08),
           (-0.668, -6.96e+08),
           (-0.665,  8.56e+08),
           (-0.661,  2.51e+07),
           (-0.658,  8.61e+06),
           (-0.655,  7.17e+08),
           (-0.651, -2.87e+08),
           (-0.648,  2.37e+09),
           (-0.645,  1.95e+09),
           (-0.641,  1.20e+09),
           (-0.638,  2.44e+09),
           (-0.634,  2.06e+09),
           (-0.631,  1.27e+09),
           (-0.624,  7.11e+08),
           (-0.621, -2.73e+09),
           (-0.618,  3.94e+08),
           (-0.614,  2.33e+07),
           (-0.611,  2.20e+09),
           (-0.607,  2.42e+09),
           (-0.604, -1.68e+09),
           (-0.601,  9.13e+08),
           (-0.594, -5.51e+08),
           (-0.591,  1.17e+09),
           (-0.587, -6.16e+08),
           (-0.584,  1.44e+09),
           (-0.580,  1.86e+09),
           (-0.577,  5.92e+08),
           (-0.574,  6.84e+08),
           (-0.570,  6.17e+08),
           (-0.567,  9.71e+08),
           (-0.564, -6.71e+08),
           (-0.560, -1.61e+09),
           (-0.557,  1.49e+09),
           (-0.553,  1.66e+09),
           (-0.550,  3.74e+08),
           (-0.547, -3.57e+08),
           (-0.543, -3.37e+08),
           (-0.540, -7.80e+08),
           (-0.537,  2.53e+09),
           (-0.533,  6.65e+08),
           (-0.530, -2.68e+08),
           (-0.526, -1.99e+08),
           (-0.523, -1.42e+09),
           (-0.520,  1.50e+08),
           (-0.516,  5.97e+08),
           (-0.513,  1.56e+09),
           (-0.510,  1.38e+09),
           (-0.506,  1.97e+09),
           (-0.503,  3.86e+09),
           (-0.499, -1.12e+09),
           (-0.496,  7.66e+08),
           (-0.493,  1.25e+09),
           (-0.489, -7.07e+08),
           (-0.486, -1.63e+07),
           (-0.483,  1.80e+09),
           (-0.479, -1.05e+09),
           (-0.476,  2.51e+09),
           (-0.472,  2.53e+09),
           (-0.469,  1.01e+09),
           (-0.466,  1.79e+08),
           (-0.462,  1.30e+09),
           (-0.459, -1.24e+09),
           (-0.456,  1.93e+09),
           (-0.452, -2.08e+08),
           (-0.449,  1.79e+09),
           (-0.445,  1.70e+09),
           (-0.442, -2.32e+09),
           (-0.439, -3.25e+08),
           (-0.435,  2.23e+08),
           (-0.432,  1.23e+09),
           (-0.429, -8.03e+08),
           (-0.425,  4.23e+08),
           (-0.422,  6.48e+08),
           (-0.418,  3.92e+08),
           (-0.415,  1.01e+09),
           (-0.412, -2.14e+09),
           (-0.408,  6.58e+08),
           (-0.405,  9.80e+08),
           (-0.402,  4.14e+08),
