Bolide Detection Notification: 2020-017

At 21:29:46 UT on 17 Jan 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 19.4 °N, Lon 66.0 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.58e+09 watts/steradian, and total radiated flash
energy 1.17e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-3.183,  2.35e+07),
           (-3.179,  4.73e+06),
           (-3.176, -5.37e+08),
           (-3.172, -3.87e+08),
           (-3.169,  4.51e+07),
           (-3.162, -9.55e+08),
           (-3.159, -1.58e+08),
           (-3.156, -1.02e+09),
           (-3.152, -9.75e+08),
           (-3.149,  6.76e+08),
           (-3.145,  4.55e+08),
           (-3.142, -4.72e+08),
           (-3.132,  2.30e+08),
           (-3.129,  1.69e+08),
           (-3.125,  2.09e+08),
           (-3.122, -2.12e+08),
           (-3.118, -1.22e+09),
           (-3.115, -1.09e+09),
           (-3.102,  4.53e+08),
           (-3.098, -1.40e+09),
           (-3.085,  3.28e+08),
           (-3.078, -4.34e+07),
           (-3.075, -8.35e+08),
           (-3.068,  1.20e+09),
           (-3.061, -5.78e+08),
           (-3.054,  5.74e+08),
           (-3.051,  8.56e+07),
           (-3.048,  1.74e+08),
           (-3.041, -4.92e+08),
           (-3.038, -1.66e+08),
           (-3.034, -1.05e+09),
           (-3.027, -9.27e+08),
           (-3.021, -3.09e+08),
           (-3.017,  6.06e+07),
           (-3.004, -1.00e+09),
           (-2.997,  5.27e+08),
           (-2.994, -8.72e+08),
           (-2.987,  4.23e+08),
           (-2.980, -6.83e+08),
           (-2.973, -5.03e+08),
           (-2.970,  1.71e+08),
           (-2.963, -5.28e+08),
           (-2.960, -7.10e+07),
           (-2.956, -5.99e+08),
           (-2.950,  5.96e+08),
           (-2.946,  5.30e+07),
           (-2.943,  9.64e+08),
           (-2.933,  3.08e+08),
           (-2.926, -1.62e+09),
           (-2.923, -1.54e+09),
           (-2.919,  3.65e+08),
           (-2.916,  1.51e+08),
           (-2.909, -1.14e+09),
           (-2.896,  6.35e+07),
           (-2.892, -1.46e+09),
           (-2.886,  1.74e+08),
           (-2.882,  2.32e+08),
           (-2.876, -1.06e+09),
           (-2.872,  5.97e+08),
           (-2.869, -5.37e+08),
           (-2.862,  6.20e+08),
           (-2.859,  7.48e+08),
           (-2.852, -1.49e+09),
           (-2.845,  1.44e+08),
           (-2.842, -1.36e+09),
           (-2.838, -9.63e+08),
           (-2.835, -9.86e+08),
           (-2.832, -9.76e+08),
           (-2.828, -5.39e+08),
           (-2.825, -9.68e+08),
           (-2.821, -3.44e+08),
           (-2.818, -9.66e+08),
           (-2.815, -4.59e+08),
           (-2.808, -9.08e+08),
           (-2.805,  7.04e+08),
           (-2.801,  6.77e+08),
           (-2.798, -7.44e+08),
           (-2.794, -6.15e+08),
           (-2.791,  2.65e+08),
           (-2.788, -1.08e+09),
           (-2.781,  1.66e+08),
           (-2.778, -3.46e+08),
           (-2.774,  5.48e+08),
           (-2.771, -1.13e+08),
           (-2.767,  4.68e+08),
           (-2.764, -1.51e+08),
           (-2.761,  1.04e+08),
           (-2.757,  6.96e+08),
           (-2.754, -4.32e+07),
           (-2.751, -2.92e+07),
           (-2.747,  8.05e+08),
           (-2.744,  4.93e+08),
           (-2.741, -1.09e+09),
           (-2.737,  8.67e+08),
           (-2.730, -5.08e+07),
           (-2.727,  3.38e+08),
           (-2.724, -2.02e+08),
           (-2.720, -1.20e+08),
           (-2.710,  1.28e+09),
           (-2.703, -3.03e+08),
           (-2.700, -1.22e+09),
           (-2.693,  1.60e+09),
           (-2.687, -8.72e+08),
           (-2.683,  1.10e+08),
           (-2.680,  1.26e+08),
           (-2.673, -1.16e+09),
           (-2.663,  7.57e+08),
           (-2.659,  4.18e+08),
           (-2.656,  9.26e+08),
           (-2.653, -4.62e+08),
           (-2.646,  3.97e+08),
           (-2.643,  2.08e+08),
           (-2.639, -1.46e+09),
           (-2.632,  9.94e+08),
           (-2.629,  5.09e+08),
           (-2.626,  1.23e+09),
           (-2.619, -5.52e+08),
           (-2.612,  8.03e+08),
           (-2.609, -4.36e+07),
           (-2.605,  1.66e+09),
           (-2.599,  5.94e+08),
           (-2.595, -5.23e+08),
           (-2.589,  4.32e+07),
