Bolide Detection Notification: 2020-086

At 23:27:56 UT on 26 Mar 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.3 °S, Lon 23.5 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.08e+10 watts/steradian, and total radiated flash
energy 1.17e+11 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.553,  4.55e+08),
           (-0.550,  1.06e+09),
           (-0.543, -3.41e+08),
           (-0.540, -6.71e+07),
           (-0.537, -3.93e+08),
           (-0.533, -4.46e+08),
           (-0.530,  1.52e+08),
           (-0.527, -1.17e+09),
           (-0.523,  1.05e+09),
           (-0.516,  1.39e+09),
           (-0.513, -1.15e+09),
           (-0.510, -8.56e+08),
           (-0.506,  7.83e+08),
           (-0.503,  1.83e+09),
           (-0.499, -1.25e+08),
           (-0.496, -9.62e+08),
           (-0.493,  1.24e+09),
           (-0.489,  1.78e+08),
           (-0.486, -3.04e+08),
           (-0.483,  9.20e+08),
           (-0.479, -1.35e+08),
           (-0.476,  8.04e+07),
           (-0.473,  8.83e+07),
           (-0.469,  1.12e+09),
           (-0.466,  1.15e+09),
           (-0.462,  1.31e+09),
           (-0.459,  5.78e+08),
           (-0.456,  8.92e+08),
           (-0.452,  1.49e+09),
           (-0.449,  6.73e+08),
           (-0.445, -7.99e+08),
           (-0.442,  1.35e+09),
           (-0.439,  6.97e+08),
           (-0.435, -7.67e+08),
           (-0.432,  1.07e+09),
           (-0.429,  9.36e+08),
           (-0.425,  2.53e+09),
           (-0.422,  3.28e+08),
           (-0.419, -1.72e+08),
           (-0.415,  6.10e+08),
           (-0.412, -7.23e+08),
           (-0.408,  1.80e+08),
           (-0.405,  6.29e+08),
           (-0.402,  9.14e+08),
           (-0.398, -1.82e+08),
           (-0.395,  2.12e+08),
           (-0.391, -4.15e+08),
           (-0.388,  1.49e+08),
           (-0.385, -6.27e+08),
           (-0.378,  1.03e+09),
           (-0.375,  8.13e+08),
           (-0.371, -8.35e+08),
