Bolide Detection Notification: 2021-136

At 15:51:07 UT on 16 May 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 52.1 °S, Lon 171.2 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.89e+09 watts/steradian, and total radiated flash
energy 3.90e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[( 0.003, -5.12e+08),
           ( 0.007, -9.44e+08),
           ( 0.010,  8.68e+08),
           ( 0.014,  8.92e+08),
           ( 0.017, -1.02e+08),
           ( 0.020, -3.08e+09),
           ( 0.024, -6.17e+08),
           ( 0.027, -2.65e+08),
           ( 0.030,  6.21e+08),
           ( 0.034,  2.24e+08),
           ( 0.037,  5.55e+08),
           ( 0.041, -1.50e+09),
           ( 0.047,  3.01e+08),
           ( 0.051, -4.32e+08),
           ( 0.054,  3.59e+08),
           ( 0.057,  8.73e+08),
           ( 0.061, -8.61e+06),
           ( 0.064,  1.48e+09),
           ( 0.068,  1.08e+09),
           ( 0.074, -7.03e+08),
           ( 0.078,  1.86e+08),
           ( 0.081, -3.10e+08),
           ( 0.084,  3.56e+08),
           ( 0.088, -8.67e+08),
           ( 0.091, -8.93e+08),
           ( 0.095,  5.71e+08),
           ( 0.098, -3.01e+09),
           ( 0.101,  2.35e+08),
           ( 0.105,  3.32e+08),
           ( 0.108,  2.87e+08),
           ( 0.111, -3.30e+08),
           ( 0.115, -1.93e+08),
           ( 0.118, -1.49e+09),
           ( 0.122, -1.78e+08),
           ( 0.125, -3.31e+08),
           ( 0.128, -9.28e+08),
           ( 0.132, -6.05e+08),
           ( 0.135,  2.27e+08),
           ( 0.138, -1.63e+09),
           ( 0.145,  1.73e+08),
           ( 0.148,  9.84e+07),
           ( 0.152,  8.96e+08),
           ( 0.155,  5.45e+08),
           ( 0.159, -1.10e+09),
           ( 0.162, -2.15e+08),
           ( 0.165,  9.02e+08),
           ( 0.169,  2.69e+08),
           ( 0.172, -1.30e+09),
           ( 0.176, -3.46e+08),
           ( 0.179, -1.55e+08),
           ( 0.182, -4.17e+08),
           ( 0.186, -4.79e+08),
           ( 0.189,  2.94e+08),
           ( 0.192,  3.94e+07),
           ( 0.196, -6.28e+08),
           ( 0.199, -2.58e+08),
           ( 0.203, -9.71e+08),
           ( 0.206,  7.25e+08),
           ( 0.209,  1.80e+09),
           ( 0.213,  1.61e+09),
           ( 0.216,  8.01e+08),
           ( 0.219,  9.42e+08),
           ( 0.223, -7.77e+08),
           ( 0.230,  7.35e+08),
           ( 0.233,  1.22e+08),
           ( 0.236,  2.12e+09),
           ( 0.240, -7.65e+08),
           ( 0.243, -8.00e+08),
           ( 0.250,  6.55e+08),
           ( 0.253, -5.29e+08),
           ( 0.256, -6.97e+08),
           ( 0.260,  1.01e+09),
           ( 0.270, -8.50e+08),
           ( 0.273, -1.01e+09),
           ( 0.277, -2.43e+07),
           ( 0.280, -4.46e+08),
           ( 0.284,  9.01e+08),
           ( 0.287, -4.15e+08),
           ( 0.290,  1.98e+08),
           ( 0.294, -8.90e+08),
           ( 0.297, -1.68e+09),
           ( 0.300, -1.02e+09),
           ( 0.304,  1.05e+09),
           ( 0.307,  1.23e+07),
           ( 0.311, -5.29e+08),
           ( 0.314, -9.19e+08),
           ( 0.321,  9.86e+08),
           ( 0.324,  8.83e+08),
           ( 0.327, -2.42e+09),
           ( 0.331,  7.02e+07),
           ( 0.334,  2.01e+08),
           ( 0.338, -8.77e+08),
           ( 0.341,  7.21e+08),
           ( 0.344, -1.09e+08),
           ( 0.348, -4.20e+07),
           ( 0.351,  1.06e+09),
           ( 0.354, -1.19e+09),
           ( 0.358,  7.11e+06),
           ( 0.361,  3.85e+08),
           ( 0.365,  4.49e+08),
           ( 0.368, -2.49e+08),
           ( 0.371,  4.25e+08),
           ( 0.375, -3.26e+08),
           ( 0.378, -5.91e+08),
           ( 0.381, -2.02e+08),
           ( 0.385, -8.80e+08),
           ( 0.388, -5.20e+08),
           ( 0.391,  1.41e+08),
           ( 0.395,  2.22e+08),
           ( 0.398,  2.12e+08),
           ( 0.402, -2.43e+09),
           ( 0.405, -2.20e+09),
           ( 0.408,  1.12e+09),
           ( 0.412,  6.70e+08),
           ( 0.415, -7.41e+08),
           ( 0.419, -8.17e+08),
           ( 0.422,  9.14e+07),
           ( 0.425, -9.24e+08),
           ( 0.429, -6.74e+08),
           ( 0.432,  1.25e+08),
           ( 0.435, -8.86e+08),
           ( 0.439, -8.62e+08),
           ( 0.442, -4.78e+08),
           ( 0.446, -1.55e+09),
