Bolide Detection Notification: 2021-210

At 13:19:57 UT on 29 Jul 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 42.2 °N, Lon 98.4 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.76e+10 watts/steradian, and total radiated flash
energy 3.83e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.800, -6.37e+08),
           (-0.797, -1.33e+08),
           (-0.793, -6.33e+07),
           (-0.790,  4.33e+08),
           (-0.786, -2.45e+08),
           (-0.783, -7.62e+08),
           (-0.780, -1.01e+09),
           (-0.776, -8.73e+08),
           (-0.773,  6.73e+08),
           (-0.770, -2.31e+07),
           (-0.766,  5.98e+07),
           (-0.763, -2.28e+08),
           (-0.759, -1.61e+09),
           (-0.756, -9.20e+08),
           (-0.753, -2.42e+09),
           (-0.749, -1.05e+09),
           (-0.746, -6.18e+08),
           (-0.743,  1.68e+08),
           (-0.739,  5.25e+07),
           (-0.736, -8.42e+08),
           (-0.732, -7.30e+08),
           (-0.726, -6.57e+07),
           (-0.722, -4.34e+08),
           (-0.719,  1.33e+08),
           (-0.716, -9.89e+08),
           (-0.712,  6.61e+08),
           (-0.709, -5.55e+08),
           (-0.705, -8.39e+07),
           (-0.702,  6.65e+07),
           (-0.699, -1.90e+08),
           (-0.695, -2.14e+09),
           (-0.692,  2.42e+08),
           (-0.689,  1.13e+08),
           (-0.685, -1.65e+09),
           (-0.682,  1.89e+08),
           (-0.678,  7.65e+08),
           (-0.675, -8.93e+08),
           (-0.672, -1.97e+08),
           (-0.668,  6.44e+08),
           (-0.665, -1.52e+08),
           (-0.662, -8.04e+08),
           (-0.658, -7.77e+07),
           (-0.655, -5.72e+06),
           (-0.651,  1.17e+09),
           (-0.648, -1.13e+08),
           (-0.645, -2.02e+07),
           (-0.641, -1.20e+08),
           (-0.638, -3.85e+07),
           (-0.635, -1.34e+09),
           (-0.631, -5.90e+08),
           (-0.628,  6.90e+08),
           (-0.624, -7.13e+08),
           (-0.621, -4.32e+08),
           (-0.618,  8.98e+08),
           (-0.614,  1.37e+09),
           (-0.611,  7.51e+07),
           (-0.608,  5.69e+08),
           (-0.604,  1.49e+09),
           (-0.601,  4.13e+08),
           (-0.597, -1.60e+08),
           (-0.594, -1.19e+09),
           (-0.591,  7.15e+06),
           (-0.587, -1.27e+08),
           (-0.584,  7.38e+07),
           (-0.581, -5.01e+08),
           (-0.577, -4.69e+07),
           (-0.574,  6.60e+08),
           (-0.570, -4.34e+08),
           (-0.567,  6.11e+07),
           (-0.564, -7.02e+08),
           (-0.560, -5.91e+08),
           (-0.557, -2.61e+08),
           (-0.553, -6.00e+08),
           (-0.550,  2.14e+08),
           (-0.547,  7.70e+07),
           (-0.543, -9.58e+08),
           (-0.540, -2.60e+08),
           (-0.537,  5.08e+06),
           (-0.533,  8.09e+08),
           (-0.530, -1.06e+09),
           (-0.527,  7.70e+07),
           (-0.523, -1.59e+09),
           (-0.520,  6.91e+08),
           (-0.516, -1.08e+09),
           (-0.513, -4.36e+08),
           (-0.510, -6.95e+08),
           (-0.506, -7.67e+08),
           (-0.503, -1.86e+09),
           (-0.500, -5.26e+08),
           (-0.496, -1.13e+09),
           (-0.493, -1.87e+08),
           (-0.489, -7.13e+08),
           (-0.486,  4.54e+06),
           (-0.483, -3.44e+07),
           (-0.479,  2.20e+08),
           (-0.476,  6.47e+08),
           (-0.473, -8.95e+08),
           (-0.469, -7.90e+08),
           (-0.466, -4.27e+08),
           (-0.462,  1.93e+08),
           (-0.459, -3.87e+07),
           (-0.456,  2.44e+08),
           (-0.452, -8.42e+08),
           (-0.449, -1.98e+08),
           (-0.446,  6.44e+08),
           (-0.442,  1.87e+09),
           (-0.439, -3.50e+08),
           (-0.435,  8.58e+07),
           (-0.432,  1.81e+09),
           (-0.429,  6.83e+08),
           (-0.425,  7.82e+08),
           (-0.422,  2.09e+09),
           (-0.418,  7.79e+08),
           (-0.415,  2.24e+08),
           (-0.412, -5.19e+07),
           (-0.408, -4.44e+08),
           (-0.405, -5.02e+08),
           (-0.402,  1.96e+08),
           (-0.398,  1.60e+09),
           (-0.392, -1.97e+08),
           (-0.388,  9.04e+08),
           (-0.385,  3.55e+08),
           (-0.381,  7.82e+08),
           (-0.378,  1.52e+09),
           (-0.375,  1.42e+09),
           (-0.371,  6.26e+08),
           (-0.368,  7.14e+08),
           (-0.365,  9.28e+08),
           (-0.361,  5.98e+08),
           (-0.358,  7.09e+08),
           (-0.354,  1.28e+09),
           (-0.351,  7.18e+08),
           (-0.348, -4.55e+07),
           (-0.344,  1.49e+09),
           (-0.341,  2.34e+09),
           (-0.338,  1.82e+09),
           (-0.334,  1.97e+09),
           (-0.331,  2.02e+09),
           (-0.324,  4.71e+08),
           (-0.321,  1.34e+09),
           (-0.317,  1.25e+09),
           (-0.314,  1.05e+09),
           (-0.310,  1.08e+09),
           (-0.307, -2.23e+08),
           (-0.304,  4.79e+08),
           (-0.300,  1.23e+08),
           (-0.297,  1.24e+09),
           (-0.294,  2.93e+09),
           (-0.290,  2.06e+09),
           (-0.287,  2.11e+09),
           (-0.284,  3.09e+09),
           (-0.280,  2.09e+09),
           (-0.277,  3.85e+09),
           (-0.273,  2.95e+09),
           (-0.270,  5.19e+09),
           (-0.267,  5.26e+09),
           (-0.263,  4.17e+09),
           (-0.260,  3.61e+09),
           (-0.257,  3.92e+09),
           (-0.253,  3.72e+09),
           (-0.250,  5.68e+09),
           (-0.246,  3.63e+09),
           (-0.243,  2.70e+09),
           (-0.240,  3.98e+09),
           (-0.236,  2.95e+09),
           (-0.233,  3.31e+09),
           (-0.230,  3.83e+09),
           (-0.226,  3.93e+09),
           (-0.223,  3.97e+09),
           (-0.219,  5.34e+09),
           (-0.216,  4.33e+09),
           (-0.213,  4.84e+09),
           (-0.209,  3.50e+09),
           (-0.206,  5.06e+09),
           (-0.203,  4.19e+09),
           (-0.199,  3.98e+09),
           (-0.196,  4.86e+09),
           (-0.192,  4.82e+09),
           (-0.189,  4.35e+09),
           (-0.186,  5.48e+09),
           (-0.182,  4.57e+09),
           (-0.179,  4.67e+09),
           (-0.175,  3.91e+09),
           (-0.172,  5.14e+09),
           (-0.169,  3.18e+09),
           (-0.165,  4.76e+09),
           (-0.162,  5.76e+09),
           (-0.159,  7.36e+09),
