Bolide Detection Notification: 2021-344

At 01:19:05 UT on 10 Dec 2021, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 47.5 °S, Lon 172.6 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.60e+10 watts/steradian, and total radiated flash
energy 4.91e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.800, -2.82e+09),
           (-0.797,  6.83e+08),
           (-0.793,  1.78e+09),
           (-0.790, -9.31e+08),
           (-0.786, -7.94e+08),
           (-0.783, -4.12e+08),
           (-0.780, -3.37e+08),
           (-0.776, -5.01e+08),
           (-0.773,  1.38e+09),
           (-0.770, -6.68e+08),
           (-0.766, -1.46e+09),
           (-0.763,  1.72e+09),
           (-0.759, -4.17e+08),
           (-0.756, -3.24e+08),
           (-0.753, -2.04e+08),
           (-0.749, -2.54e+09),
           (-0.746,  1.71e+08),
           (-0.743,  1.14e+09),
           (-0.739, -3.07e+09),
           (-0.736,  1.91e+09),
           (-0.732, -2.83e+07),
           (-0.729, -5.02e+08),
           (-0.726,  1.15e+09),
           (-0.722,  3.69e+09),
           (-0.719, -7.63e+08),
           (-0.716, -8.17e+08),
           (-0.712, -7.68e+08),
           (-0.709,  7.94e+08),
           (-0.705,  2.05e+09),
           (-0.702,  1.65e+09),
           (-0.699, -7.52e+08),
           (-0.695,  1.44e+09),
           (-0.692,  1.16e+09),
           (-0.689,  1.83e+09),
           (-0.685,  3.77e+08),
           (-0.678, -6.22e+08),
           (-0.675, -3.12e+09),
           (-0.672,  8.75e+07),
           (-0.668, -2.08e+09),
           (-0.665, -2.86e+09),
           (-0.662,  1.16e+09),
           (-0.658, -2.53e+09),
           (-0.655, -1.12e+09),
           (-0.651,  7.63e+08),
           (-0.648,  6.06e+08),
           (-0.645, -5.50e+08),
           (-0.641, -9.67e+08),
           (-0.638,  2.97e+08),
           (-0.635, -5.02e+07),
           (-0.631, -7.42e+08),
           (-0.628, -1.87e+09),
           (-0.621,  4.93e+08),
           (-0.618,  1.39e+09),
           (-0.614,  5.52e+08),
           (-0.611,  1.59e+09),
           (-0.608,  8.70e+08),
           (-0.604, -9.85e+08),
           (-0.601, -8.61e+08),
           (-0.597, -2.29e+08),
           (-0.594,  6.53e+08),
           (-0.591, -1.33e+09),
           (-0.587, -2.10e+08),
           (-0.584, -1.87e+09),
           (-0.581,  2.76e+09),
           (-0.577, -5.27e+07),
           (-0.574, -1.55e+09),
           (-0.570,  4.29e+08),
           (-0.567,  1.21e+09),
           (-0.564, -6.84e+06),
           (-0.560,  6.06e+08),
           (-0.557,  8.73e+08),
           (-0.553,  1.07e+08),
           (-0.550,  1.81e+09),
           (-0.547,  4.64e+08),
           (-0.543,  3.11e+09),
           (-0.540,  3.24e+09),
           (-0.537,  1.60e+09),
           (-0.533, -2.42e+09),
           (-0.530, -1.56e+09),
           (-0.527, -1.33e+09),
           (-0.523, -1.30e+09),
           (-0.520,  7.69e+08),
           (-0.516,  1.27e+09),
           (-0.513,  2.41e+09),
           (-0.506, -2.04e+09),
           (-0.503,  2.67e+09),
           (-0.500,  1.04e+09),
           (-0.496, -1.54e+09),
           (-0.493, -4.48e+08),
           (-0.489, -6.43e+08),
           (-0.486,  4.40e+08),
           (-0.483,  2.03e+08),
           (-0.479, -1.11e+09),
           (-0.476, -6.85e+08),
           (-0.473, -6.07e+08),
           (-0.469,  5.21e+08),
           (-0.466, -4.64e+08),
           (-0.462,  7.97e+08),
           (-0.459,  2.76e+09),
           (-0.456,  3.95e+09),
           (-0.452, -1.50e+09),
           (-0.449,  4.87e+08),
           (-0.446,  1.36e+09),
           (-0.442, -8.00e+08),
           (-0.439,  1.66e+09),
           (-0.435,  2.72e+09),
           (-0.432,  1.07e+09),
           (-0.429,  1.75e+09),
           (-0.425, -8.50e+08),
           (-0.422, -4.56e+08),
           (-0.418,  2.17e+08),
           (-0.415,  1.05e+08),
           (-0.412, -1.34e+09),
           (-0.408,  1.29e+09),
           (-0.405,  5.96e+08),
           (-0.402,  1.03e+09),
           (-0.398, -1.67e+09),
           (-0.395, -1.11e+09),
           (-0.392,  1.08e+09),
           (-0.388,  2.85e+08),
           (-0.385,  1.86e+09),
           (-0.381, -6.77e+08),
           (-0.378, -8.77e+08),
           (-0.375, -1.13e+09),
           (-0.371,  2.59e+08),
           (-0.368,  7.71e+08),
           (-0.365, -1.98e+09),
           (-0.361, -1.25e+09),
           (-0.358,  1.52e+09),
           (-0.354, -7.61e+08),
           (-0.351,  1.84e+09),
           (-0.348, -1.54e+09),
           (-0.344,  1.17e+09),
           (-0.341, -9.37e+08),
           (-0.334,  2.03e+07),
           (-0.331,  3.33e+08),
           (-0.327,  1.65e+09),
           (-0.324,  1.21e+09),
           (-0.321, -7.94e+08),
           (-0.317,  1.30e+09),
           (-0.314, -1.68e+09),
           (-0.310,  3.76e+08),
           (-0.307,  1.45e+09),
           (-0.304, -2.59e+08),
           (-0.300,  9.97e+08),
           (-0.297,  1.91e+08),
