Bolide Detection Notification: 2006-287

At 18:10:49 on 14 October 2006, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 49.4N, 175.0W.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 3.20e10 watts/steradian, and total radiated flash
energy 2.58e11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.097, -1.50e+08),
           (-1.093,  3.04e+09),
           (-1.090,  4.66e+09),
           (-1.087,  2.59e+09),
           (-1.083,  5.51e+09),
           (-1.080,  5.85e+09),
           (-1.077,  1.79e+09),
           (-1.073,  1.31e+09),
           (-1.070,  3.02e+09),
           (-1.067, -7.34e+08),
           (-1.063, -1.96e+08),
           (-1.060, -1.84e+09),
           (-1.056,  2.13e+09),
           (-1.053,  1.62e+09),
           (-1.050,  2.43e+09),
           (-1.046, -8.57e+06),
           (-1.043,  1.65e+08),
           (-1.040, -1.94e+09),
           (-1.036, -1.92e+09),
           (-1.033, -2.40e+09),
           (-1.029,  1.16e+08),
           (-1.026, -2.69e+09),
           (-1.023, -4.43e+09),
           (-1.016,  1.87e+09),
           (-1.012, -2.32e+08),
           (-1.009,  5.51e+08),
           (-1.002, -1.05e+09),
           (-0.999,  3.56e+09),
           (-0.996,  3.06e+09),
           (-0.992, -1.59e+09),
           (-0.989,  2.63e+09),
           (-0.985,  3.63e+09),
           (-0.982,  1.94e+09),
           (-0.979,  4.49e+09),
           (-0.975,  1.50e+09),
           (-0.972,  1.17e+09),
           (-0.969, -7.32e+08),
           (-0.965,  7.85e+08),
           (-0.962,  3.53e+09),
           (-0.959,  1.43e+09),
           (-0.955,  2.39e+09),
           (-0.952,  6.23e+09),
           (-0.948,  9.41e+08),
           (-0.945,  4.67e+08),
           (-0.942,  1.90e+09),
           (-0.935, -7.95e+08),
           (-0.928, -6.02e+09),
           (-0.921,  2.69e+09),
           (-0.918, -3.12e+09),
           (-0.915, -2.67e+09),
           (-0.911,  2.31e+09),
           (-0.908,  3.30e+09),
           (-0.904,  1.19e+09),
           (-0.901,  1.52e+09),
           (-0.898,  4.88e+09),
           (-0.894,  1.13e+09),
           (-0.891, -1.09e+09),
           (-0.888,  8.06e+07),
           (-0.884,  3.47e+09),
           (-0.881,  1.59e+09),
           (-0.877,  4.04e+09),
           (-0.874,  3.30e+09),
           (-0.871, -2.38e+09),
           (-0.867,  1.31e+08),
           (-0.864,  7.53e+07),
           (-0.861,  3.58e+09),
           (-0.854,  2.51e+09),
           (-0.851,  2.08e+09),
           (-0.847, -3.53e+08),
           (-0.844,  3.70e+09),
           (-0.840,  2.43e+09),
           (-0.837,  3.79e+09),
           (-0.834,  3.07e+09),
           (-0.830,  2.66e+08),
           (-0.827, -7.73e+08),
           (-0.824,  9.16e+08),
           (-0.820,  6.03e+09),
           (-0.817,  6.85e+09),
           (-0.813,  3.67e+09),
           (-0.810,  2.41e+09),
           (-0.807,  2.82e+09),
           (-0.803, -2.67e+08),
           (-0.800,  4.59e+09),
           (-0.796,  5.22e+09),
           (-0.793,  2.25e+09),
           (-0.790,  1.58e+09),
           (-0.786,  1.26e+09),
           (-0.783,  6.65e+09),
           (-0.780,  6.46e+09),
           (-0.776,  3.40e+09),
           (-0.773,  7.26e+09),
           (-0.766, -1.95e+09),
           (-0.763,  2.27e+09),
           (-0.759, -2.24e+08),
           (-0.756, -6.69e+08),
           (-0.753,  9.76e+08),
           (-0.749,  3.51e+09),
           (-0.746,  3.75e+09),
           (-0.743,  2.73e+09),
           (-0.739, -4.81e+08),
           (-0.736,  1.40e+09),
           (-0.732,  7.67e+09),
           (-0.729,  3.21e+09),
           (-0.726,  3.61e+09),
           (-0.719,  3.68e+09),
           (-0.716,  1.08e+09),
           (-0.712, -5.68e+08),
           (-0.709,  2.99e+09),
           (-0.705, -1.12e+09),
           (-0.699, -1.93e+09),
           (-0.695,  2.09e+09),
           (-0.692,  2.13e+09),
           (-0.688,  3.35e+09),
           (-0.685,  1.70e+09),
           (-0.682, -9.25e+08),
           (-0.678,  4.27e+09),
           (-0.672, -1.43e+09),
           (-0.668,  8.91e+06),
           (-0.665,  2.30e+09),
           (-0.661, -2.11e+09),
           (-0.658, -1.85e+09),
           (-0.655, -1.05e+09),
           (-0.651, -3.34e+09),
           (-0.648, -3.14e+09),
           (-0.645, -1.01e+09),
           (-0.641, -1.22e+08),
           (-0.635, -2.52e+09),
           (-0.631,  1.96e+09),
           (-0.628,  2.00e+09),
           (-0.624,  1.66e+08),
