Bolide Detection Notification: 2006-297

At 08:42:53 UT on 24 Oct 2006, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 1.9S, Lon 2.7W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.8E10 watts/steradian, and total radiated flash
energy  2.25E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.097,  2.95e+09),
           (-1.093,  3.23e+09),
           (-1.090,  2.07e+09),
           (-1.087,  2.73e+09),
           (-1.083,  5.14e+09),
           (-1.080,  8.73e+08),
           (-1.077, -1.63e+08),
           (-1.073,  1.58e+09),
           (-1.070,  2.58e+09),
           (-1.067,  6.10e+08),
           (-1.063,  4.20e+08),
           (-1.060,  1.08e+09),
           (-1.056,  7.95e+08),
           (-1.053,  9.43e+08),
           (-1.050,  4.02e+08),
           (-1.046,  1.34e+09),
           (-1.043,  1.35e+09),
           (-1.040,  1.93e+09),
           (-1.036,  1.53e+09),
           (-1.033,  1.11e+09),
           (-1.029,  9.24e+07),
           (-1.026, -9.63e+08),
           (-1.023,  2.91e+08),
           (-1.019,  4.18e+09),
           (-1.016,  2.83e+09),
           (-1.012,  3.55e+09),
           (-1.009,  2.67e+09),
           (-1.006,  2.78e+09),
           (-1.002,  2.50e+09),
           (-0.999,  1.31e+09),
           (-0.996,  8.55e+08),
           (-0.992, -2.67e+08),
           (-0.989, -1.08e+09),
           (-0.985,  2.21e+08),
           (-0.982, -1.86e+08),
           (-0.979, -4.49e+08),
           (-0.975,  6.76e+08),
           (-0.972, -5.72e+08),
           (-0.969, -4.03e+09),
           (-0.965, -4.34e+09),
           (-0.962, -2.25e+09),
           (-0.959, -1.95e+09),
           (-0.955, -4.40e+09),
           (-0.952, -2.65e+09),
           (-0.948, -2.48e+09),
           (-0.945, -1.34e+09),
           (-0.942, -2.15e+09),
           (-0.938, -3.04e+09),
           (-0.935,  6.92e+08),
           (-0.932,  1.97e+09),
           (-0.928, -2.75e+08),
           (-0.925,  1.18e+09),
           (-0.921,  7.81e+08),
           (-0.918,  3.86e+09),
           (-0.915,  1.46e+09),
           (-0.911, -1.87e+08),
           (-0.908,  2.28e+09),
           (-0.904, -9.69e+08),
           (-0.901,  7.50e+08),
           (-0.898,  4.64e+09),
           (-0.894,  5.38e+09),
           (-0.891,  5.52e+09),
           (-0.888,  5.55e+09),
           (-0.884,  2.59e+09),
           (-0.881,  1.11e+09),
           (-0.877,  3.30e+08),
           (-0.874,  1.53e+09),
           (-0.871,  1.03e+09),
           (-0.867, -1.64e+09),
           (-0.864,  2.40e+09),
           (-0.861,  4.40e+09),
           (-0.857,  3.33e+09),
           (-0.854,  4.51e+09),
           (-0.851,  6.22e+09),
           (-0.847,  5.89e+09),
           (-0.844,  4.44e+09),
           (-0.840,  4.28e+09),
           (-0.837,  3.40e+09),
           (-0.834,  3.62e+09),
           (-0.830,  5.69e+09),
           (-0.827,  4.33e+09),
           (-0.824,  1.67e+09),
           (-0.820, -6.05e+08),
           (-0.817,  1.51e+09),
           (-0.813,  1.97e+07),
           (-0.810, -1.96e+09),
           (-0.807,  1.97e+09),
           (-0.803,  3.82e+09),
           (-0.800,  2.99e+09),
           (-0.796,  1.63e+09),
           (-0.793, -2.26e+09),
           (-0.790, -7.29e+08),
           (-0.786,  1.17e+09),
           (-0.783,  2.55e+08),
           (-0.780,  2.53e+09),
           (-0.776,  1.65e+09),
           (-0.773,  1.61e+09),
           (-0.769,  3.47e+09),
           (-0.766,  2.45e+09),
           (-0.763,  2.91e+09),
           (-0.759,  4.30e+09),
           (-0.756,  4.85e+09),
           (-0.753,  2.51e+09),
           (-0.749,  1.84e+09),
           (-0.746,  2.89e+09),
           (-0.743,  2.15e+09),
           (-0.739,  2.16e+09),
           (-0.736,  2.80e+09),
           (-0.732, -5.63e+08),
           (-0.729, -3.13e+09),
           (-0.726, -4.96e+09),
           (-0.722, -2.93e+09),
           (-0.719, -3.63e+09),
           (-0.716, -4.28e+08),
           (-0.712,  5.04e+08),
           (-0.709,  1.02e+09),
           (-0.705,  2.37e+09),
           (-0.702,  2.47e+09),
           (-0.699,  2.39e+09),
           (-0.695, -3.01e+08),
           (-0.692, -3.44e+08),
           (-0.688,  4.40e+09),
           (-0.685,  5.63e+09),
           (-0.682,  4.65e+09),
           (-0.678,  2.05e+09),
           (-0.675,  3.01e+08),
           (-0.672,  2.30e+09),
           (-0.668,  2.74e+09),
           (-0.665,  3.16e+09),
           (-0.661,  2.07e+09),
           (-0.658,  6.17e+08),
           (-0.655,  7.36e+08),
           (-0.651,  2.38e+09),
           (-0.648,  4.39e+09),
           (-0.645,  4.42e+09),
           (-0.641,  4.29e+09),
           (-0.638,  4.17e+09),
           (-0.635,  3.55e+09),
           (-0.631,  4.35e+08),
           (-0.628, -1.65e+09),
           (-0.624, -2.36e+09),
           (-0.621,  3.57e+08),
           (-0.618,  8.66e+08),
           (-0.614,  9.12e+08),
           (-0.611,  8.57e+08),
           (-0.608, -7.52e+08),
           (-0.604, -4.52e+08),
           (-0.601,  3.93e+08),
           (-0.597,  6.31e+07),
           (-0.594,  2.29e+09),
           (-0.591,  2.78e+09),
           (-0.587,  1.86e+09),
           (-0.584,  3.00e+09),
           (-0.580,  2.57e+09),
           (-0.577,  1.37e+09),
           (-0.574,  2.74e+09),
           (-0.570,  9.76e+08),
           (-0.567,  6.48e+08),
           (-0.564,  3.72e+08),
           (-0.560,  2.28e+09),
           (-0.557,  1.97e+09),
           (-0.553,  1.87e+09),
           (-0.550,  3.71e+09),
           (-0.547,  4.63e+09),
           (-0.543,  5.26e+09),
           (-0.540,  3.19e+09),
           (-0.537,  2.84e+09),
           (-0.533,  1.24e+09),
           (-0.530, -1.10e+09),
           (-0.527, -5.98e+08),
           (-0.523,  1.34e+09),
           (-0.520, -2.43e+08),
           (-0.516,  2.07e+09),
           (-0.513,  2.63e+09),
           (-0.510,  2.45e+09),
           (-0.506,  2.90e+09),
           (-0.503,  1.24e+09),
           (-0.500,  8.11e+08),
           (-0.496,  2.54e+09),
           (-0.493,  2.04e+09),
           (-0.489,  2.77e+09),
           (-0.486,  6.10e+09),
           (-0.483,  5.41e+09),
           (-0.479,  2.58e+09),
           (-0.476,  1.36e+09),
           (-0.472,  2.42e+09),
           (-0.469,  1.47e+09),
           (-0.466,  3.27e+08),
           (-0.462,  1.32e+09),
           (-0.459,  8.31e+08),
           (-0.456,  1.12e+09),
           (-0.452,  2.37e+09),
           (-0.449,  3.61e+08),
           (-0.445, -2.15e+08),
           (-0.442,  1.70e+09),
           (-0.439,  4.96e+09),
           (-0.435,  3.78e+09),
           (-0.432,  2.27e+09),
           (-0.429,  4.35e+08),
           (-0.425,  3.52e+09),
           (-0.422,  2.23e+09),
           (-0.419,  1.98e+09),
           (-0.415,  4.80e+09),
           (-0.412,  5.71e+09),
           (-0.408,  8.11e+09),
           (-0.405,  9.49e+09),
           (-0.402,  9.81e+09),
           (-0.398,  9.23e+09),
           (-0.395,  7.79e+09),
           (-0.392,  6.38e+09),
           (-0.388,  4.81e+09),
           (-0.385,  5.44e+09),
           (-0.381,  1.05e+10),
           (-0.378,  1.15e+10),
           (-0.375,  1.18e+10),
           (-0.371,  9.07e+09),
           (-0.368,  6.18e+09),
           (-0.364,  3.34e+09),
           (-0.361,  2.00e+09),
           (-0.358,  2.92e+09),
           (-0.354,  5.30e+09),
           (-0.351,  5.24e+09),
           (-0.348,  4.47e+09),
           (-0.344,  5.27e+09),
           (-0.341,  6.20e+09),
           (-0.337,  5.82e+09),
           (-0.334,  3.64e+09),
           (-0.331,  4.28e+09),
           (-0.327,  5.76e+09),
           (-0.324,  7.12e+09),
           (-0.321,  6.55e+09),
           (-0.317,  6.09e+09),
           (-0.314,  6.08e+09),
           (-0.311,  5.59e+09),
           (-0.307,  6.34e+09),
           (-0.304,  4.54e+09),
           (-0.300,  6.66e+09),
           (-0.297,  7.54e+09),
           (-0.294,  7.99e+09),
           (-0.290,  7.73e+09),
           (-0.287,  7.05e+09),
           (-0.284,  8.38e+09),
           (-0.280,  5.80e+09),
           (-0.277,  4.41e+09),
           (-0.273,  1.77e+09),
           (-0.270,  2.39e+09),
           (-0.267,  1.97e+09),
           (-0.263,  1.06e+09),
           (-0.260,  3.51e+09),
           (-0.256,  4.63e+09),
           (-0.253,  3.22e+09),
           (-0.250,  2.23e+09),
           (-0.246,  9.20e+08),
           (-0.243,  2.18e+08),
           (-0.240,  2.29e+09),
           (-0.236,  1.04e+09),
           (-0.233,  5.26e+09),
           (-0.229,  9.98e+09),
           (-0.226,  1.09e+10),
           (-0.223,  1.01e+10),
           (-0.219,  8.64e+09),
           (-0.216,  7.87e+09),
           (-0.213,  4.97e+09),
           (-0.209,  5.12e+09),
           (-0.206,  5.62e+09),
           (-0.203,  6.94e+09),
           (-0.199,  6.64e+09),
           (-0.196,  7.14e+09),
           (-0.192,  1.01e+10),
           (-0.189,  1.29e+10),
           (-0.186,  1.49e+10),
           (-0.182,  1.50e+10),
           (-0.179,  1.27e+10),
           (-0.176,  1.04e+10),
           (-0.172,  1.09e+10),
           (-0.169,  9.17e+09),
           (-0.165,  8.62e+09),
           (-0.162,  9.94e+09),
           (-0.159,  1.03e+10),
           (-0.155,  7.09e+09),
           (-0.152,  6.58e+09),
           (-0.148,  8.90e+09),
           (-0.145,  7.59e+09),
           (-0.142,  7.17e+09),
           (-0.138,  7.63e+09),
           (-0.135,  6.33e+09),
           (-0.132,  5.55e+09),
           (-0.128,  7.22e+09),
           (-0.125,  8.65e+09),
           (-0.121,  9.09e+09),
           (-0.118,  1.03e+10),
           (-0.115,  1.05e+10),
           (-0.111,  1.08e+10),
           (-0.108,  9.98e+09),
           (-0.105,  1.03e+10),
           (-0.101,  1.22e+10),
           (-0.098,  1.45e+10),
           (-0.095,  1.53e+10),
           (-0.091,  1.64e+10),
           (-0.088,  1.59e+10),
           (-0.084,  1.72e+10),
           (-0.081,  1.44e+10),
           (-0.078,  1.48e+10),
           (-0.074,  1.58e+10),
           (-0.071,  1.37e+10),
           (-0.068,  1.29e+10),
           (-0.064,  1.46e+10),
           (-0.061,  1.84e+10),
           (-0.057,  1.95e+10),
           (-0.054,  1.93e+10),
           (-0.051,  2.04e+10),
           (-0.047,  1.74e+10),
           (-0.044,  1.81e+10),
           (-0.040,  1.96e+10),
           (-0.037,  1.88e+10),
           (-0.034,  1.65e+10),
           (-0.030,  1.55e+10),
           (-0.027,  1.49e+10),
           (-0.024,  1.49e+10),
           (-0.020,  1.93e+10),
           (-0.017,  2.37e+10),
           (-0.013,  2.81e+10),
           (-0.010,  2.89e+10),
           (-0.007,  2.80e+10),
           (-0.003,  2.81e+10),
           ( 0.000,  2.48e+10),
           ( 0.003,  2.88e+10),
           ( 0.007,  2.88e+10),
           ( 0.010,  2.57e+10),
           ( 0.013,  2.68e+10),
           ( 0.017,  2.75e+10),
           ( 0.020,  2.70e+10),
           ( 0.024,  2.95e+10),
           ( 0.027,  3.09e+10),
           ( 0.030,  3.35e+10),
           ( 0.034,  3.38e+10),
           ( 0.037,  3.41e+10),
           ( 0.040,  3.53e+10),
           ( 0.044,  3.18e+10),
           ( 0.047,  2.82e+10),
           ( 0.051,  2.79e+10),
           ( 0.054,  2.84e+10),
           ( 0.057,  2.61e+10),
           ( 0.061,  2.46e+10),
           ( 0.064,  2.66e+10),
           ( 0.068,  2.91e+10),
           ( 0.071,  3.03e+10),
           ( 0.074,  3.02e+10),
           ( 0.078,  3.17e+10),
           ( 0.081,  2.83e+10),
           ( 0.084,  2.42e+10),
           ( 0.088,  2.59e+10),
           ( 0.091,  2.45e+10),
           ( 0.095,  2.39e+10),
           ( 0.098,  2.45e+10),
           ( 0.101,  2.25e+10),
           ( 0.105,  2.24e+10),
           ( 0.108,  2.20e+10),
           ( 0.111,  2.36e+10),
           ( 0.115,  2.22e+10),
           ( 0.118,  2.13e+10),
           ( 0.121,  2.06e+10),
           ( 0.125,  2.07e+10),
           ( 0.128,  2.21e+10),
           ( 0.132,  2.19e+10),
           ( 0.135,  2.29e+10),
           ( 0.138,  2.35e+10),
           ( 0.142,  2.29e+10),
           ( 0.145,  2.39e+10),
           ( 0.148,  2.26e+10),
           ( 0.152,  1.96e+10),
           ( 0.155,  1.85e+10),
           ( 0.159,  2.19e+10),
           ( 0.162,  2.37e+10),
           ( 0.165,  2.31e+10),
           ( 0.169,  2.26e+10),
           ( 0.172,  2.44e+10),
           ( 0.176,  2.69e+10),
           ( 0.179,  2.82e+10),
           ( 0.182,  2.89e+10),
           ( 0.186,  2.73e+10),
           ( 0.189,  2.49e+10),
           ( 0.192,  2.77e+10),
           ( 0.196,  2.79e+10),
           ( 0.199,  2.59e+10),
           ( 0.203,  2.54e+10),
           ( 0.206,  2.62e+10),
           ( 0.209,  2.61e+10),
           ( 0.213,  2.82e+10),
           ( 0.216,  2.91e+10),
           ( 0.219,  3.04e+10),
           ( 0.223,  3.00e+10),
           ( 0.226,  2.72e+10),
           ( 0.229,  2.75e+10),
           ( 0.233,  2.83e+10),
           ( 0.236,  2.91e+10),
           ( 0.240,  2.85e+10),
           ( 0.243,  3.01e+10),
           ( 0.246,  2.78e+10),
           ( 0.250,  2.76e+10),
           ( 0.253,  2.99e+10),
           ( 0.256,  3.41e+10),
           ( 0.260,  3.98e+10),
           ( 0.263,  4.16e+10),
           ( 0.267,  3.98e+10),
           ( 0.270,  3.98e+10),
           ( 0.273,  4.05e+10),
           ( 0.277,  4.18e+10),
           ( 0.280,  4.06e+10),
           ( 0.284,  3.65e+10),
