Bolide Detection Notification: 2006-335

At 06:09:25 on 01 December 2006, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was 13.0S, 30.7E.

Based on the visible-light intensity-time signature, peak brightness of the flash was
determined to be approximately 1.90e10 watts/steradian, and total radiated flash
energy 6.30e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.499,  4.62e+08),
           (-0.496,  5.19e+08),
           (-0.493, -2.99e+08),
           (-0.489, -1.43e+09),
           (-0.486, -1.95e+09),
           (-0.483, -9.52e+08),
           (-0.479,  2.12e+09),
           (-0.476,  3.81e+09),
           (-0.473,  1.94e+09),
           (-0.469,  1.03e+09),
           (-0.466,  1.25e+09),
           (-0.462,  1.92e+09),
           (-0.459,  6.42e+08),
           (-0.456,  2.37e+08),
           (-0.452,  2.03e+09),
           (-0.449,  2.14e+09),
           (-0.445, -5.74e+08),
           (-0.442, -5.38e+08),
           (-0.439,  1.75e+09),
           (-0.435,  3.02e+09),
           (-0.432,  3.53e+09),
           (-0.429,  9.58e+08),
           (-0.425,  1.71e+09),
           (-0.422,  1.39e+09),
           (-0.419, -6.86e+08),
           (-0.415,  6.21e+08),
           (-0.412,  1.34e+09),
           (-0.408, -7.93e+08),
           (-0.402, -2.47e+09),
           (-0.395, -1.64e+09),
           (-0.391, -6.63e+08),
           (-0.385,  4.09e+09),
           (-0.381,  2.55e+09),
           (-0.378,  2.32e+09),
           (-0.371,  4.72e+09),
           (-0.368,  5.02e+09),
           (-0.365,  2.32e+09),
           (-0.361,  2.41e+09),
           (-0.358,  1.53e+09),
           (-0.354,  1.05e+08),
           (-0.351,  1.41e+09),
           (-0.344, -2.93e+08),
           (-0.341, -2.01e+09),
           (-0.337, -1.13e+09),
           (-0.334,  1.41e+09),
           (-0.327, -8.05e+08),
           (-0.324,  1.72e+08),
           (-0.321,  2.72e+09),
           (-0.311,  3.49e+08),
           (-0.307,  1.35e+08),
           (-0.304,  3.64e+08),
           (-0.300, -1.69e+08),
