Bolide Detection Notification: 2006-343

At 06:31:14 UT on 09 Dec 2006, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 26.2N, Lon 26.0E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 2.20E11 watts/steradian, and total radiated flash
energy  7.41E12 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-11.998,  3.88e+09),
           (-11.995,  8.85e+09),
           (-11.991,  1.04e+10),
           (-11.988,  6.36e+09),
           (-11.985,  4.90e+09),
           (-11.981,  2.19e+09),
           (-11.978, -2.80e+09),
           (-11.974, -6.31e+09),
           (-11.971, -5.57e+09),
           (-11.968, -4.05e+09),
           (-11.964, -3.49e+09),
           (-11.961,  5.13e+08),
           (-11.958,  4.88e+09),
           (-11.954,  3.46e+09),
           (-11.951,  6.68e+09),
           (-11.948,  6.29e+09),
           (-11.944,  9.65e+09),
           (-11.941,  7.55e+09),
           (-11.937,  1.00e+09),
           (-11.934,  1.91e+09),
           (-11.931,  4.77e+09),
           (-11.927,  7.00e+09),
           (-11.924,  3.30e+09),
           (-11.921,  4.01e+09),
           (-11.917,  8.63e+09),
           (-11.914,  8.37e+09),
           (-11.910,  1.27e+10),
           (-11.907,  3.25e+09),
           (-11.904, -2.28e+08),
           (-11.900,  8.36e+09),
           (-11.897,  4.57e+08),
           (-11.893,  1.31e+09),
           (-11.890, -2.59e+09),
           (-11.887, -4.28e+09),
           (-11.883, -3.78e+09),
           (-11.880, -5.72e+09),
           (-11.877, -1.60e+09),
           (-11.873, -5.50e+08),
           (-11.870,  2.76e+08),
           (-11.867,  6.14e+09),
           (-11.863,  6.84e+09),
           (-11.860,  2.39e+09),
           (-11.856,  5.59e+09),
           (-11.853,  4.75e+09),
           (-11.850,  2.64e+09),
           (-11.846,  6.95e+08),
           (-11.843,  5.34e+09),
           (-11.839,  5.62e+09),
           (-11.836,  6.36e+09),
           (-11.833, -1.84e+09),
           (-11.829,  1.27e+09),
           (-11.826,  3.97e+09),
           (-11.823,  2.15e+09),
           (-11.819,  1.64e+08),
           (-11.816,  3.11e+09),
           (-11.812,  9.51e+09),
           (-11.809,  9.98e+09),
           (-11.806,  1.15e+10),
           (-11.802,  9.90e+09),
           (-11.799,  1.37e+10),
           (-11.796,  1.86e+10),
           (-11.792,  1.35e+10),
           (-11.789,  9.10e+09),
           (-11.786,  1.26e+10),
           (-11.782,  1.97e+10),
           (-11.779,  1.59e+10),
           (-11.775,  1.66e+10),
           (-11.772,  1.83e+10),
           (-11.769,  8.67e+09),
           (-11.765,  4.99e+09),
           (-11.762,  8.70e+09),
           (-11.758,  1.21e+10),
           (-11.755,  6.22e+09),
           (-11.752,  8.07e+08),
           (-11.748,  1.59e+09),
           (-11.745,  1.64e+08),
           (-11.742, -1.35e+09),
           (-11.738,  5.76e+09),
           (-11.735,  4.15e+09),
           (-11.731,  1.16e+09),
           (-11.728,  4.32e+09),
           (-11.725, -1.42e+09),
           (-11.721, -2.00e+08),
           (-11.718, -2.62e+09),
           (-11.715, -5.77e+09),
           (-11.711, -5.88e+09),
           (-11.708, -4.52e+08),
           (-11.705,  1.25e+09),
           (-11.701, -3.21e+09),
           (-11.698,  2.79e+09),
           (-11.694,  7.28e+09),
           (-11.691,  1.17e+10),
           (-11.688,  1.42e+10),
           (-11.684,  1.23e+10),
           (-11.681,  8.75e+09),
           (-11.677,  8.79e+09),
           (-11.674,  1.01e+10),
           (-11.671,  1.38e+10),
           (-11.667,  1.05e+10),
           (-11.664,  7.69e+09),
           (-11.661,  1.03e+10),
           (-11.657,  1.20e+10),
           (-11.654,  1.21e+10),
           (-11.651,  8.00e+09),
           (-11.647, -7.87e+08),
           (-11.644,  5.46e+09),
           (-11.640,  2.09e+09),
           (-11.637,  6.44e+09),
           (-11.634,  1.51e+10),
           (-11.630,  1.64e+10),
           (-11.627,  1.30e+10),
           (-11.624,  9.13e+09),
           (-11.620,  5.76e+09),
           (-11.617,  7.62e+09),
           (-11.613,  6.99e+09),
           (-11.610,  3.17e+09),
           (-11.607, -4.94e+08),
           (-11.603,  5.98e+09),
           (-11.600,  9.79e+09),
           (-11.596,  1.24e+10),
           (-11.593,  1.18e+10),
           (-11.590,  8.81e+09),
           (-11.586,  1.01e+10),
           (-11.583,  6.15e+09),
           (-11.580,  6.61e+09),
           (-11.576,  9.72e+09),
           (-11.573,  9.00e+09),
           (-11.570,  5.55e+09),
           (-11.566,  1.52e+10),
           (-11.563,  1.59e+10),
           (-11.559,  1.45e+10),
           (-11.556,  1.72e+10),
           (-11.553,  1.34e+10),
           (-11.549,  7.60e+09),
           (-11.546,  6.43e+09),
           (-11.543,  5.38e+09),
           (-11.539,  4.46e+09),
           (-11.536,  7.13e+09),
           (-11.532,  4.89e+09),
           (-11.529,  5.77e+09),
           (-11.526,  5.21e+09),
           (-11.522,  8.54e+09),
           (-11.519,  1.10e+10),
           (-11.515,  1.40e+10),
           (-11.512,  8.56e+09),
           (-11.509,  9.13e+09),
           (-11.505,  8.53e+09),
           (-11.502,  1.46e+10),
           (-11.499,  2.06e+10),
           (-11.495,  1.49e+10),
           (-11.492,  1.23e+10),
           (-11.489,  2.10e+10),
           (-11.485,  1.95e+10),
           (-11.482,  1.68e+10),
           (-11.478,  1.87e+10),
           (-11.475,  1.87e+10),
           (-11.472,  2.40e+10),
           (-11.468,  2.05e+10),
           (-11.465,  2.07e+10),
           (-11.462,  2.23e+10),
           (-11.458,  2.28e+10),
           (-11.455,  2.36e+10),
           (-11.451,  2.01e+10),
           (-11.448,  1.50e+10),
           (-11.445,  1.40e+10),
           (-11.441,  1.41e+10),
           (-11.438,  1.15e+10),
           (-11.434,  1.25e+10),
           (-11.431,  1.26e+10),
           (-11.428,  1.31e+10),
           (-11.424,  1.47e+10),
           (-11.421,  1.09e+10),
           (-11.418,  1.20e+10),
           (-11.414,  1.40e+10),
           (-11.411,  1.11e+10),
           (-11.408,  1.47e+10),
           (-11.404,  1.00e+10),
           (-11.401,  1.05e+10),
           (-11.397,  1.07e+10),
           (-11.394,  7.69e+09),
           (-11.391,  1.23e+10),
           (-11.387,  1.42e+10),
