Bolide Detection Notification: 2007-026

At 22:22:21 UT on 26 Jan 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 3.7N, Lon 99.7E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 3.4E10 watts/steradian, and total radiated flash
energy  1.47E11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.297,  2.93e+09),
           (-0.294,  4.80e+09),
           (-0.290,  3.36e+09),
           (-0.287,  4.34e+08),
           (-0.284, -1.06e+09),
           (-0.280, -5.49e+08),
           (-0.277, -1.35e+09),
           (-0.273,  8.01e+08),
           (-0.270,  1.35e+09),
           (-0.267,  1.16e+09),
           (-0.263,  5.62e+09),
           (-0.260,  8.68e+09),
           (-0.256,  2.92e+09),
           (-0.253, -1.46e+09),
           (-0.250,  2.83e+08),
           (-0.246,  2.20e+09),
           (-0.243,  2.80e+08),
           (-0.240, -6.03e+08),
           (-0.236,  2.05e+09),
           (-0.233,  2.37e+09),
           (-0.230, -2.17e+09),
           (-0.226, -2.05e+09),
           (-0.223, -1.41e+09),
           (-0.219, -6.28e+08),
           (-0.216, -1.20e+09),
           (-0.213, -2.75e+09),
           (-0.209, -3.98e+09),
           (-0.206,  6.57e+08),
           (-0.202, -1.42e+08),
           (-0.199,  9.96e+08),
           (-0.196, -1.58e+09),
           (-0.192, -3.34e+09),
           (-0.189, -3.94e+09),
           (-0.186, -4.55e+08),
           (-0.182,  1.67e+09),
           (-0.179,  2.12e+09),
           (-0.176,  1.91e+09),
           (-0.172, -8.53e+08),
           (-0.169,  2.48e+09),
           (-0.165,  4.57e+09),
           (-0.162,  3.60e+09),
           (-0.159,  2.32e+09),
           (-0.155,  2.21e+09),
           (-0.152,  1.88e+09),
           (-0.148,  4.80e+09),
           (-0.145,  3.88e+09),
           (-0.142,  2.24e+09),
           (-0.138,  2.40e+09),
           (-0.135,  3.28e+09),
           (-0.132,  3.32e+08),
           (-0.128, -1.81e+09),
           (-0.125, -2.02e+09),
           (-0.122,  2.57e+09),
           (-0.118,  9.58e+08),
           (-0.115,  1.40e+08),
           (-0.111, -1.57e+09),
           (-0.108, -3.64e+08),
           (-0.105,  1.12e+09),
           (-0.101, -4.76e+08),
           (-0.098, -1.24e+09),
           (-0.094,  9.35e+08),
           (-0.091,  1.49e+09),
           (-0.088,  4.21e+08),
           (-0.084,  3.53e+09),
           (-0.081,  4.41e+09),
           (-0.078,  9.49e+08),
           (-0.074,  1.60e+09),
           (-0.071,  3.01e+08),
           (-0.068,  8.12e+09),
           (-0.064,  5.74e+09),
           (-0.061,  2.49e+09),
           (-0.057,  4.00e+09),
           (-0.054,  2.77e+09),
           (-0.051,  4.78e+09),
           (-0.047,  3.98e+09),
           (-0.044,  3.15e+09),
           (-0.040,  4.74e+09),
           (-0.037,  4.28e+09),
           (-0.034,  7.71e+08),
           (-0.030,  1.24e+08),
           (-0.027,  4.27e+09),
           (-0.024,  6.66e+09),
           (-0.020,  7.90e+09),
           (-0.017,  1.28e+10),
           (-0.014,  9.85e+09),
           (-0.010,  1.14e+10),
           (-0.007,  1.19e+10),
           (-0.003,  9.45e+09),
           ( 0.000,  1.21e+10),
           ( 0.003,  1.57e+10),
           ( 0.007,  1.68e+10),
           ( 0.010,  1.83e+10),
           ( 0.014,  1.71e+10),
           ( 0.017,  1.71e+10),
           ( 0.020,  1.92e+10),
           ( 0.024,  2.23e+10),
           ( 0.027,  2.68e+10),
           ( 0.030,  2.93e+10),
           ( 0.034,  3.64e+10),
           ( 0.037,  3.75e+10),
           ( 0.040,  3.75e+10),
           ( 0.044,  3.37e+10),
           ( 0.047,  3.24e+10),
           ( 0.051,  3.32e+10),
           ( 0.054,  3.62e+10),
           ( 0.057,  3.52e+10),
           ( 0.061,  3.45e+10),
           ( 0.064,  3.25e+10),
           ( 0.068,  3.83e+10),
           ( 0.071,  4.07e+10),
           ( 0.074,  4.29e+10),
           ( 0.078,  4.27e+10),
           ( 0.081,  4.14e+10),
