Bolide Detection Notification: 2007-066

At 15:16:49 UT on 07 Mar 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.3E10 watts/steradian, and total radiated flash
energy  2.7E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  7.22e+08),
           (-0.196,  9.85e+08),
           (-0.192,  5.56e+07),
           (-0.189, -2.14e+08),
           (-0.186, -9.15e+08),
           (-0.182,  7.00e+08),
           (-0.179,  1.77e+09),
           (-0.175,  7.09e+08),
           (-0.172,  1.12e+08),
           (-0.169,  7.50e+08),
           (-0.165,  3.07e+08),
           (-0.162, -4.37e+07),
           (-0.159,  1.06e+09),
           (-0.155,  2.26e+09),
           (-0.152,  2.22e+09),
           (-0.149,  1.30e+09),
           (-0.145,  2.09e+08),
           (-0.142, -9.57e+08),
           (-0.138, -6.72e+08),
           (-0.135, -1.28e+09),
           (-0.132, -7.66e+08),
           (-0.128, -7.98e+08),
           (-0.125, -1.31e+09),
           (-0.121, -2.56e+09),
           (-0.118, -1.89e+09),
           (-0.115, -2.20e+09),
           (-0.111, -3.21e+09),
           (-0.108, -2.86e+09),
           (-0.105, -2.32e+09),
           (-0.101, -1.93e+09),
           (-0.098, -1.52e+09),
           (-0.095, -4.37e+08),
           (-0.091, -1.55e+09),
           (-0.088, -1.57e+09),
           (-0.084, -1.64e+09),
           (-0.081, -1.35e+09),
           (-0.078,  1.22e+07),
           (-0.074,  1.99e+07),
           (-0.071, -1.61e+09),
           (-0.067, -2.31e+09),
           (-0.064, -1.67e+09),
           (-0.061, -2.45e+09),
           (-0.057, -1.45e+09),
           (-0.054, -9.68e+07),
           (-0.051, -4.41e+08),
           (-0.047, -2.15e+09),
           (-0.044, -2.29e+09),
           (-0.041, -7.14e+08),
           (-0.037,  3.07e+08),
           (-0.034,  7.38e+07),
           (-0.030, -9.16e+08),
           (-0.027, -2.54e+09),
           (-0.024, -9.95e+08),
           (-0.020,  5.46e+08),
           (-0.017,  1.74e+09),
           (-0.013,  2.05e+09),
           (-0.010,  2.30e+09),
           (-0.007,  4.60e+09),
           (-0.003,  8.87e+09),
           (-0.000,  1.34e+10),
           ( 0.003,  1.87e+10),
           ( 0.007,  2.43e+10),
           ( 0.010,  2.94e+10),
           ( 0.013,  3.27e+10),
           ( 0.017,  3.37e+10),
           ( 0.020,  3.59e+10),
           ( 0.024,  3.82e+10),
           ( 0.027,  4.00e+10),
           ( 0.030,  4.17e+10),
           ( 0.034,  4.34e+10),
           ( 0.037,  4.39e+10),
           ( 0.041,  4.63e+10),
           ( 0.044,  4.99e+10),
           ( 0.047,  5.20e+10),
           ( 0.051,  5.37e+10),
           ( 0.054,  5.44e+10),
           ( 0.057,  5.37e+10),
           ( 0.061,  4.77e+10),
           ( 0.064,  4.14e+10),
           ( 0.067,  3.62e+10),
           ( 0.071,  3.30e+10),
           ( 0.074,  3.14e+10),
           ( 0.078,  3.06e+10),
           ( 0.081,  3.07e+10),
           ( 0.084,  2.90e+10),
           ( 0.088,  2.77e+10),
           ( 0.091,  2.61e+10),
           ( 0.095,  2.54e+10),
           ( 0.098,  2.46e+10),
           ( 0.101,  2.38e+10),
           ( 0.105,  2.28e+10),
           ( 0.108,  2.30e+10),
           ( 0.111,  2.40e+10),
           ( 0.115,  2.43e+10),
           ( 0.118,  2.28e+10),
           ( 0.121,  2.29e+10),
           ( 0.125,  2.31e+10),
           ( 0.128,  2.18e+10),
           ( 0.132,  2.09e+10),
           ( 0.135,  1.93e+10),
           ( 0.138,  1.81e+10),
           ( 0.142,  1.81e+10),
           ( 0.145,  1.78e+10),
           ( 0.149,  1.84e+10),
           ( 0.152,  1.87e+10),
           ( 0.155,  1.87e+10),
           ( 0.159,  1.80e+10),
           ( 0.162,  1.74e+10),
           ( 0.165,  1.62e+10),
           ( 0.169,  1.42e+10),
           ( 0.172,  1.31e+10),
           ( 0.175,  1.32e+10),
           ( 0.179,  1.23e+10),
           ( 0.182,  1.05e+10),
           ( 0.186,  1.15e+10),
           ( 0.189,  9.00e+09),
           ( 0.192,  7.41e+09),
           ( 0.196,  8.67e+09),
           ( 0.199,  9.44e+09),
           ( 0.203,  1.07e+10),
           ( 0.206,  1.14e+10),
           ( 0.209,  1.35e+10),
           ( 0.213,  1.27e+10),
           ( 0.216,  1.05e+10),
           ( 0.219,  1.13e+10),
           ( 0.223,  1.10e+10),
           ( 0.226,  1.19e+10),
           ( 0.229,  1.21e+10),
           ( 0.233,  1.18e+10),
           ( 0.236,  1.03e+10),
           ( 0.240,  1.09e+10),
           ( 0.243,  1.09e+10),
           ( 0.246,  1.05e+10),
           ( 0.250,  1.04e+10),
           ( 0.253,  1.20e+10),
           ( 0.257,  1.25e+10),
           ( 0.260,  1.22e+10),
           ( 0.263,  1.38e+10),
           ( 0.267,  1.55e+10),
           ( 0.270,  1.54e+10),
           ( 0.273,  1.42e+10),
           ( 0.277,  1.43e+10),
           ( 0.280,  1.50e+10),
           ( 0.283,  1.35e+10),
           ( 0.287,  1.24e+10),
           ( 0.290,  1.15e+10),
           ( 0.294,  1.03e+10),
           ( 0.297,  1.04e+10),
           ( 0.300,  1.09e+10),
           ( 0.304,  9.66e+09),
           ( 0.307,  7.93e+09),
           ( 0.311,  5.13e+09),
           ( 0.314,  5.05e+09),
           ( 0.317,  5.70e+09),
           ( 0.321,  5.03e+09),
           ( 0.324,  4.26e+09),
           ( 0.327,  4.87e+09),
           ( 0.331,  6.12e+09),
           ( 0.334,  5.22e+09),
           ( 0.337,  5.66e+09),
           ( 0.341,  6.35e+09),
           ( 0.344,  7.41e+09),
           ( 0.348,  8.75e+09),
           ( 0.351,  9.59e+09),
           ( 0.354,  8.02e+09),
           ( 0.358,  5.85e+09),
           ( 0.361,  5.42e+09),
           ( 0.365,  5.10e+09),
           ( 0.368,  3.43e+09),
           ( 0.371,  3.47e+09),
           ( 0.375,  1.84e+09),
           ( 0.378,  2.73e+09),
           ( 0.381,  4.12e+09),
           ( 0.385,  4.21e+09),
           ( 0.388,  4.92e+09),
           ( 0.391,  6.35e+09),
           ( 0.395,  5.56e+09),
           ( 0.398,  5.72e+09),
           ( 0.402,  3.47e+09),
           ( 0.405,  3.42e+09),
           ( 0.408,  3.79e+09),
           ( 0.412,  2.77e+09),
           ( 0.415,  1.48e+09),
           ( 0.419,  1.73e+09),
           ( 0.422,  2.87e+09),
           ( 0.425,  2.28e+09),
           ( 0.429,  2.12e+09),
           ( 0.432,  1.38e+09),
           ( 0.435,  6.64e+08),
           ( 0.439,  1.80e+09),
           ( 0.442,  5.26e+09),
           ( 0.445,  7.44e+09),
           ( 0.449,  8.09e+09),
           ( 0.452,  8.47e+09),
           ( 0.456,  8.43e+09),
           ( 0.459,  6.74e+09),
           ( 0.462,  8.51e+09),
           ( 0.466,  1.08e+10),
           ( 0.469,  1.12e+10),
           ( 0.473,  1.12e+10),
           ( 0.476,  9.66e+09),
           ( 0.479,  8.38e+09),
           ( 0.483,  6.70e+09),
           ( 0.486,  6.93e+09),
           ( 0.489,  6.90e+09),
           ( 0.493,  6.78e+09),
           ( 0.496,  5.29e+09),
           ( 0.499,  5.56e+09),
           ( 0.503,  6.01e+09),
           ( 0.506,  6.72e+09),
           ( 0.510,  7.74e+09),
           ( 0.513,  7.26e+09),
           ( 0.516,  6.66e+09),
           ( 0.520,  5.88e+09),
           ( 0.523,  6.09e+09),
           ( 0.527,  5.09e+09),
           ( 0.530,  6.12e+09),
           ( 0.533,  5.49e+09),
           ( 0.537,  5.61e+09),
           ( 0.540,  3.46e+09),
           ( 0.543,  3.86e+09),
           ( 0.547,  4.90e+09),
           ( 0.550,  3.72e+09),
           ( 0.553,  3.62e+09),
           ( 0.557,  2.45e+09),
           ( 0.560,  7.14e+08),
           ( 0.564,  1.41e+09),
           ( 0.567,  1.26e+08),
           ( 0.570, -1.68e+09),
           ( 0.574, -8.62e+08),
           ( 0.577, -6.88e+08),
           ( 0.581, -1.94e+08),
           ( 0.584,  4.92e+08),
           ( 0.587,  1.95e+09),
           ( 0.591,  2.39e+09),
           ( 0.594,  2.81e+09),
           ( 0.597,  3.90e+09),
           ( 0.601,  3.63e+09),
           ( 0.604,  2.13e+09),
           ( 0.607,  2.87e+09),
           ( 0.611,  3.47e+08),
           ( 0.614, -1.69e+09),
           ( 0.618, -2.14e+09),
           ( 0.621, -2.05e+09),
           ( 0.624, -1.87e+09),
           ( 0.628, -1.84e+08),
           ( 0.631,  9.74e+08),
           ( 0.635,  1.55e+09),
           ( 0.638,  1.64e+09),
           ( 0.641,  2.10e+09),
           ( 0.645,  1.77e+09),
           ( 0.648,  1.30e+09),
           ( 0.651,  2.42e+09),
           ( 0.655,  2.16e+09),
           ( 0.658,  2.28e+09),
           ( 0.661,  2.10e+09),
           ( 0.665,  1.40e+09),
           ( 0.668,  1.42e+09),
           ( 0.672,  2.15e+09),
           ( 0.675,  1.01e+09),
           ( 0.678,  2.97e+07),
           ( 0.682, -8.86e+08),
           ( 0.685, -3.25e+09),
           ( 0.689, -3.40e+09),
           ( 0.692, -2.40e+09),
           ( 0.695, -2.78e+09),
           ( 0.699, -2.05e+09),
           ( 0.702, -1.51e+09),
           ( 0.705, -1.30e+08),
           ( 0.709,  1.30e+09),
           ( 0.712,  1.12e+09),
           ( 0.715,  3.96e+08),
           ( 0.719,  8.91e+08),
           ( 0.722,  1.08e+09),
           ( 0.726,  1.49e+09),
           ( 0.729,  2.33e+09),
           ( 0.732,  2.35e+09),
           ( 0.736,  2.42e+09),
           ( 0.739,  9.11e+08),
           ( 0.743,  1.48e+09),
           ( 0.746,  2.07e+09),
           ( 0.749,  1.09e+09),
           ( 0.753,  9.83e+08),
           ( 0.756,  3.51e+08),
           ( 0.759,  9.36e+08),
           ( 0.763,  3.28e+09),
           ( 0.766,  3.44e+09),
           ( 0.769,  2.89e+09),
           ( 0.773,  1.65e+09),
           ( 0.776,  1.20e+09),
           ( 0.780,  1.02e+08),
           ( 0.783,  6.33e+08),
           ( 0.786,  2.32e+09),
           ( 0.790,  1.95e+09),
           ( 0.793,  1.99e+09),
           ( 0.797,  1.53e+09),
           ( 0.800,  9.30e+08),
           ( 0.803, -2.53e+08),
           ( 0.807, -4.14e+08),
           ( 0.810,  2.15e+09),
           ( 0.813,  1.27e+09),
           ( 0.817,  8.12e+08),
           ( 0.820,  1.76e+09),
           ( 0.823,  2.86e+09),
           ( 0.827,  3.07e+09),
           ( 0.830,  2.76e+09),
           ( 0.834,  3.08e+09),
           ( 0.837,  2.67e+09),
           ( 0.840,  2.49e+09),
           ( 0.844,  2.75e+09),
           ( 0.847,  1.49e+09),
           ( 0.851,  1.20e+09),
           ( 0.854,  1.61e+09),
           ( 0.857,  3.08e+09),
           ( 0.861,  2.79e+09),
           ( 0.864,  4.18e+09),
           ( 0.867,  3.26e+09),
           ( 0.871,  3.36e+09),
           ( 0.874,  3.52e+09),
           ( 0.877,  3.97e+09),
           ( 0.881,  3.71e+09),
           ( 0.884,  2.97e+09),
           ( 0.888,  3.56e+09),
           ( 0.891,  1.91e+09),
           ( 0.894,  4.05e+08),
           ( 0.898, -1.16e+08),
           ( 0.901, -2.39e+09),
           ( 0.905, -2.81e+09),
           ( 0.908, -1.35e+09),
           ( 0.911, -1.03e+09),
           ( 0.915, -2.70e+08),
           ( 0.918,  7.70e+08),
           ( 0.921,  8.01e+07),
           ( 0.925,  1.92e+08),
           ( 0.928,  1.50e+09),
           ( 0.931,  1.17e+09),
           ( 0.935,  3.01e+09),
           ( 0.938,  1.72e+09),
           ( 0.942, -1.37e+08),
           ( 0.945, -1.13e+09),
           ( 0.948, -4.09e+07),
           ( 0.952, -1.52e+09),
           ( 0.955, -1.94e+09),
           ( 0.959,  8.01e+07),
