Bolide Detection Notification: 2007-074

At 02:20:15 UT on 15 Mar 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 44.1S, Lon 148.4W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.0E10 watts/steradian, and total radiated flash
energy  2.5E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.398,  4.44e+08),
           (-0.395,  1.51e+09),
           (-0.392,  2.02e+09),
           (-0.388,  4.24e+09),
           (-0.385,  4.17e+09),
           (-0.381,  4.45e+09),
           (-0.378,  3.47e+09),
           (-0.375,  1.74e+09),
           (-0.371,  1.93e+09),
           (-0.368,  3.02e+09),
           (-0.364,  2.69e+09),
           (-0.361,  1.90e+09),
           (-0.358,  1.30e+09),
           (-0.354,  1.17e+09),
           (-0.351, -9.60e+08),
           (-0.348, -2.07e+09),
           (-0.344, -5.56e+08),
           (-0.341, -1.14e+08),
           (-0.338, -2.93e+08),
           (-0.334, -2.10e+09),
           (-0.331, -7.42e+08),
           (-0.327,  2.13e+09),
           (-0.324,  1.57e+09),
           (-0.321,  8.11e+08),
           (-0.317,  8.89e+08),
           (-0.314,  1.96e+09),
           (-0.310,  5.32e+08),
           (-0.307, -9.49e+08),
           (-0.304, -1.90e+09),
           (-0.300, -1.46e+09),
           (-0.297,  4.27e+08),
           (-0.294,  4.79e+08),
           (-0.290, -7.68e+08),
           (-0.287, -1.09e+09),
           (-0.284, -5.60e+08),
           (-0.280,  8.84e+08),
           (-0.277,  2.00e+09),
           (-0.273, -2.96e+08),
           (-0.270, -1.57e+09),
           (-0.267,  2.31e+06),
           (-0.263,  4.50e+08),
           (-0.260, -7.21e+08),
           (-0.256,  3.65e+08),
           (-0.253,  9.57e+08),
           (-0.250,  4.39e+08),
           (-0.246, -2.73e+08),
           (-0.243,  4.56e+08),
           (-0.240, -1.97e+08),
           (-0.236, -1.96e+09),
           (-0.233, -9.86e+08),
           (-0.230,  7.32e+08),
           (-0.226,  6.11e+07),
           (-0.223,  1.90e+08),
           (-0.219,  1.66e+09),
           (-0.216,  1.45e+09),
           (-0.213,  1.29e+09),
           (-0.209, -3.73e+08),
           (-0.206, -1.14e+09),
           (-0.202,  3.24e+07),
           (-0.199, -2.07e+08),
           (-0.196, -8.63e+08),
           (-0.192, -1.63e+09),
           (-0.189, -7.47e+08),
           (-0.186, -8.58e+08),
           (-0.182,  7.35e+08),
           (-0.179,  1.01e+09),
           (-0.176, -9.00e+07),
           (-0.172, -8.35e+08),
           (-0.169, -2.19e+09),
           (-0.165, -1.67e+09),
           (-0.162,  7.22e+07),
           (-0.159,  1.76e+09),
           (-0.155, -3.61e+08),
           (-0.152, -5.89e+08),
           (-0.148, -1.19e+09),
           (-0.145,  2.10e+08),
           (-0.142,  1.05e+09),
           (-0.138,  6.63e+08),
           (-0.135, -2.46e+09),
           (-0.132, -4.99e+09),
           (-0.128, -3.85e+09),
           (-0.125, -3.57e+09),
           (-0.122, -3.25e+09),
           (-0.118, -1.09e+09),
           (-0.115,  7.43e+07),
           (-0.111,  1.07e+09),
           (-0.108,  2.37e+09),
           (-0.105,  2.07e+09),
           (-0.101,  4.57e+09),
           (-0.098,  6.48e+09),
           (-0.094,  7.54e+09),
           (-0.091,  1.01e+10),
           (-0.088,  1.11e+10),
           (-0.084,  1.48e+10),
           (-0.081,  1.63e+10),
           (-0.078,  1.58e+10),
           (-0.074,  1.64e+10),
           (-0.071,  1.81e+10),
           (-0.068,  1.99e+10),
           (-0.064,  1.97e+10),
           (-0.061,  1.93e+10),
           (-0.057,  2.04e+10),
           (-0.054,  2.16e+10),
           (-0.051,  2.05e+10),
           (-0.047,  1.92e+10),
           (-0.044,  1.71e+10),
           (-0.040,  1.85e+10),
           (-0.037,  1.85e+10),
           (-0.034,  1.83e+10),
           (-0.030,  2.04e+10),
           (-0.027,  2.14e+10),
           (-0.024,  2.29e+10),
           (-0.020,  2.27e+10),
           (-0.017,  2.03e+10),
           (-0.014,  2.18e+10),
           (-0.010,  2.35e+10),
           (-0.007,  2.61e+10),
           (-0.003,  2.63e+10),
           (-0.000,  3.01e+10),
           ( 0.003,  3.34e+10),
           ( 0.007,  3.46e+10),
           ( 0.010,  3.70e+10),
           ( 0.014,  3.81e+10),
           ( 0.017,  3.90e+10),
           ( 0.020,  4.01e+10),
           ( 0.024,  3.94e+10),
           ( 0.027,  4.14e+10),
           ( 0.030,  4.14e+10),
           ( 0.034,  4.02e+10),
           ( 0.037,  4.15e+10),
           ( 0.040,  4.02e+10),
           ( 0.044,  3.87e+10),
           ( 0.047,  3.77e+10),
           ( 0.051,  3.86e+10),
           ( 0.054,  3.74e+10),
           ( 0.057,  3.52e+10),
           ( 0.061,  3.44e+10),
           ( 0.064,  2.95e+10),
           ( 0.068,  2.68e+10),
           ( 0.071,  2.86e+10),
           ( 0.074,  3.05e+10),
           ( 0.078,  3.16e+10),
           ( 0.081,  3.06e+10),
           ( 0.084,  3.05e+10),
           ( 0.088,  2.96e+10),
           ( 0.091,  2.77e+10),
           ( 0.094,  2.49e+10),
           ( 0.098,  2.40e+10),
           ( 0.101,  2.39e+10),
           ( 0.105,  2.40e+10),
           ( 0.108,  2.27e+10),
           ( 0.111,  2.23e+10),
           ( 0.115,  2.20e+10),
           ( 0.118,  1.88e+10),
           ( 0.122,  1.54e+10),
           ( 0.125,  1.47e+10),
           ( 0.128,  1.59e+10),
           ( 0.132,  1.49e+10),
           ( 0.135,  1.51e+10),
           ( 0.138,  1.63e+10),
           ( 0.142,  1.83e+10),
           ( 0.145,  1.94e+10),
           ( 0.148,  1.75e+10),
           ( 0.152,  1.56e+10),
           ( 0.155,  1.47e+10),
           ( 0.159,  1.55e+10),
           ( 0.162,  1.66e+10),
           ( 0.165,  1.58e+10),
           ( 0.169,  1.39e+10),
           ( 0.172,  1.25e+10),
           ( 0.176,  1.14e+10),
           ( 0.179,  9.83e+09),
           ( 0.182,  1.07e+10),
           ( 0.186,  9.74e+09),
           ( 0.189,  1.27e+10),
           ( 0.192,  1.36e+10),
           ( 0.196,  1.48e+10),
           ( 0.199,  1.64e+10),
           ( 0.202,  1.65e+10),
           ( 0.206,  1.55e+10),
           ( 0.209,  1.53e+10),
           ( 0.213,  1.43e+10),
           ( 0.216,  1.17e+10),
           ( 0.219,  8.70e+09),
           ( 0.223,  5.98e+09),
           ( 0.226,  4.89e+09),
           ( 0.230,  5.94e+09),
           ( 0.233,  8.05e+09),
           ( 0.236,  9.35e+09),
           ( 0.240,  9.60e+09),
           ( 0.243,  9.58e+09),
           ( 0.246,  9.72e+09),
           ( 0.250,  1.12e+10),
           ( 0.253,  8.48e+09),
           ( 0.256,  6.64e+09),
           ( 0.260,  5.20e+09),
           ( 0.263,  4.14e+09),
